Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
1,57941.582691,20.327,0.96,27,26,o,0,1.27,31.56167,9.64917,1713.21,1006.85,2.51,2.11,47.4,-0.5429999999999999,18.76,19.36,02a57941o0135o
4,57963.610368,16.844,0.03,664,20,o,0,1.37,31.56167,9.64917,222.49,8269.17,3.23,2.48,-83.2,-0.42,18.95,20.5,01a57963o0520o
5,57963.618902,16.929000000000002,0.097,614,60,o,0,1.13,31.56167,9.64917,205.96,8201.22,3.28,2.49,-82.8,-0.419,17.52,18.95,01a57963o0537o
6,57963.62742899999,16.948,0.053,604,32,o,0,1.19,31.56167,9.64917,268.74,8248.16,3.4,2.71,-85.6,-0.398,18.5,19.55,01a57963o0554o
7,57963.630391,16.879,0.125,643,80,o,0,2.06,31.56167,9.64917,9953.47,8164.76,3.74,2.76,-84.7,-0.388,17.96,18.7,01a57963o0560o
8,57963.63613300001,16.651,0.23,794,183,o,0,1.27,31.56167,9.64917,291.49,8098.64,3.24,2.45,-81.9,-0.519,17.42,17.57,01a57963o0571o
9,57971.59948,17.029,0.031,560,18,o,0,3.01,31.56167,9.64917,2406.91,9833.18,2.09,1.83,25.6,-0.526,19.26,19.88,02a57971o0668o
10,57971.61141900001,17.057000000000002,0.036000000000000004,546,20,o,0,1.56,31.56167,9.64917,2428.09,9876.44,2.12,1.81,31.0,-0.514,19.18,19.79,02a57971o0685o
11,57971.623188,17.087,0.037000000000000005,531,19,o,0,1.71,31.56167,9.64917,2373.17,9800.13,2.02,1.81,29.3,-0.507,19.25,19.96,02a57971o0702o
12,57971.634428,17.000999999999998,0.142,575,82,o,0,1.28,31.56167,9.64917,2354.53,9919.99,2.06,1.86,23.8,-0.446,17.42,17.31,02a57971o0719o
13,57972.54300800001,17.159000000000002,0.07200000000000001,497,36,o,0,1.09,31.56167,9.64917,715.7,755.48,3.24,2.68,80.3,-0.507,18.47,19.2,01a57972o0455o
14,57972.55146,17.232,0.096,465,45,o,0,1.65,31.56167,9.64917,699.16,692.93,3.33,2.77,81.1,-0.487,18.21,18.82,01a57972o0472o
15,57972.55888200001,17.195,0.103,481,49,o,0,1.32,31.56167,9.64917,9425.69,10414.29,3.78,2.68,-83.4,-0.4370000000000001,18.08,18.62,01a57972o0487o
16,57972.559923,17.24,0.14,462,65,o,0,1.08,31.56167,9.64917,761.19,746.84,3.36,2.71,85.4,-0.508,17.84,18.28,01a57972o0489o
17,57972.567264,17.408,0.14400000000000002,395,57,o,0,1.04,31.56167,9.64917,9410.57,10349.67,3.76,2.68,-83.9,-0.444,17.96,18.39,01a57972o0504o
18,57972.568287,17.136,0.129,508,65,o,0,1.02,31.56167,9.64917,781.47,603.22,3.35,2.7,81.2,-0.506,17.78,18.3,01a57972o0506o
19,57972.57563300001,17.213,0.16,473,76,o,0,1.08,31.56167,9.64917,9471.76,10402.39,3.85,2.83,-86.7,-0.407,17.59,18.13,01a57972o0521o
