Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
100,57964.3439,20.11,0.429,33,14,o,0,1.04,240.33483,26.02288,7899.24,8395.83,3.06,2.63,-86.6,-0.453,19.27,20.56,01a57964o0208o
102,57966.326291,20.591,0.625,21,13,o,0,1.55,240.33483,26.02288,1399.44,956.8,2.03,1.8,47.1,-0.55,19.38,20.25,02a57966o0165o
104,57966.343282,20.377,0.604,26,16,o,0,0.81,240.33483,26.02288,1436.64,994.04,2.18,1.92,48.3,-0.529,19.33,20.21,02a57966o0197o
107,57968.329621,20.251,0.943,29,27,o,0,1.26,240.33483,26.02288,8015.13,9510.52,3.23,2.99,76.2,-0.443,18.57,19.64,01a57968o0028o
108,57968.337409,19.079,0.312,85,26,o,0,1.07,240.33483,26.02288,7970.74,9462.0,3.18,2.84,87.8,-0.458,18.6,19.64,01a57968o0043o
109,57968.34610700001,19.082,0.28300000000000003,84,24,o,0,1.08,240.33483,26.02288,7965.08,9611.39,3.26,2.77,-88.3,-0.463,18.74,19.74,01a57968o0060o
110,57971.30962000001,19.084,0.175,84,15,o,0,1.67,240.33483,26.02288,2167.43,3190.89,2.0,1.99,26.0,-0.429,19.08,19.66,02a57971o0153o
111,57971.318545,18.906,0.188,99,19,o,0,1.14,240.33483,26.02288,2132.61,3150.06,1.94,1.92,-36.6,-0.431,19.06,19.56,02a57971o0170o
112,57971.32781900001,18.752,0.157,115,18,o,0,1.07,240.33483,26.02288,2204.16,3226.75,2.04,2.02,-19.5,-0.448,19.0,19.57,02a57971o0187o
113,57971.33963,18.98,0.225,93,21,o,0,0.95,240.33483,26.02288,2222.63,3109.07,2.08,2.04,28.5,-0.434,18.89,19.41,02a57971o0209o
117,57975.298065,19.145,0.172,80,14,o,0,1.17,240.33483,26.02288,1864.93,1830.62,2.0,1.86,43.4,-0.491,19.32,20.09,02a57975o0126o
118,57975.307091,19.085,0.17,84,14,o,0,1.15,240.33483,26.02288,1845.93,1791.92,2.08,1.91,46.6,-0.482,19.25,19.99,02a57975o0143o
119,57975.31634299999,18.954,0.156,95,15,o,0,1.34,240.33483,26.02288,1915.85,1868.45,2.1,1.94,41.6,-0.48,19.22,19.88,02a57975o0159o
120,57975.324716,18.56,0.127,137,17,o,0,1.2,240.33483,26.02288,1932.81,1750.73,2.27,2.08,45.6,-0.473,19.1,19.85,02a57975o0175o
121,57977.28515,19.278,0.15,71,11,o,0,1.38,240.33483,26.02288,5416.76,7256.14,2.97,2.79,4.8,-0.4320000000000001,19.56,21.43,01a57977o0092o
122,57977.29404,19.125,0.117,81,10,o,0,1.68,240.33483,26.02288,5444.54,7329.05,2.99,2.81,3.9,-0.438,19.48,21.36,01a57977o0109o
123,57977.30297,19.086,0.136,84,12,o,0,1.12,240.33483,26.02288,5385.32,7286.46,2.9,2.74,11.4,-0.439,19.52,21.33,01a57977o0126o
124,57977.311976,19.283,0.154,70,11,o,0,1.39,240.33483,26.02288,5380.82,7435.57,2.96,2.82,8.9,-0.4370000000000001,19.5,21.33,01a57977o0143o
125,57979.27421,19.448,0.126,60,8,o,0,2.99,240.33483,26.02288,2680.25,3109.69,1.93,1.91,-51.9,-0.446,19.73,20.96,02a57979o0070o
126,57979.290085,19.584,0.132,53,7,o,0,2.56,240.33483,26.02288,2661.51,3069.77,1.94,1.92,-38.3,-0.443,19.69,20.99,02a57979o0100o
127,57979.297983,19.688,0.153,48,7,o,0,2.77,240.33483,26.02288,2712.58,3146.5,1.97,1.94,-12.4,-0.444,19.7,21.03,02a57979o0115o
128,57979.305709,20.448,0.311,24,8,o,0,1.71,240.33483,26.02288,2726.16,3027.88,2.01,1.97,-57.8,-0.442,19.7,20.97,02a57979o0130o
133,57983.289252,17.967,0.034,236,8,c,0,1.61,240.33483,26.02288,2511.35,2291.01,2.42,2.27,46.5,-0.408,19.87,21.8,02a57983o0114c
134,57983.298053,17.992,0.031,231,7,c,0,2.99,240.33483,26.02288,2494.9,2251.33,2.41,2.25,47.3,-0.4270000000000001,19.85,21.75,02a57983o0131c
135,57983.307436,17.96,0.037000000000000005,238,9,c,0,1.02,240.33483,26.02288,2547.9,2327.87,2.46,2.3,46.5,-0.412,19.83,21.71,02a57983o0148c
136,57983.316096,17.889,0.033,254,8,c,0,1.9,240.33483,26.02288,2564.85,2210.92,2.44,2.29,46.5,-0.416,19.82,21.65,02a57983o0165c
139,57987.285767,18.724,0.305,118,36,c,0,1.06,240.33483,26.02288,2108.31,2451.35,2.68,2.54,46.0,-0.402,18.2,19.83,02a57987o0086c
140,57987.294614,18.301,0.226,174,39,c,0,1.66,240.33483,26.02288,2091.77,2411.52,2.6,2.46,40.9,-0.412,17.61,19.21,02a57987o0103c
146,57991.293084,0.0,0.0,0,0,c,0,-0.0,240.33483,26.02288,9519.14,8041.19,1.9,1.73,14.5,-0.36,nan,21.85,02a57991o0016c
