Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
69,57965.3036,19.472,0.626,59,37,o,0,1.18,232.66888,45.98105,6251.84,9603.69,2.84,2.7,-85.2,-0.48,18.29,19.17,01a57965o0112o
71,57965.324153,18.97,0.211,94,20,o,0,1.43,232.66888,45.98105,6202.77,9721.41,2.85,2.68,-86.0,-0.476,18.93,20.05,01a57965o0154o
72,57967.28032000001,18.837,0.132,106,14,o,0,0.6,232.66888,45.98105,3319.73,1714.55,1.88,1.79,46.7,-0.481,19.5,20.35,02a57967o0069o
73,57967.29910800001,19.041,0.132,88,12,o,0,1.57,232.66888,45.98105,3291.56,1671.49,1.95,1.81,53.7,-0.471,19.45,20.3,02a57967o0107o
74,57967.30311,19.185,0.156,77,12,o,0,1.28,232.66888,45.98105,3356.54,1747.51,1.95,1.84,48.2,-0.472,19.42,20.27,02a57967o0115o
75,57967.313603,19.018,0.135,90,12,o,0,1.38,232.66888,45.98105,3368.34,1628.98,1.96,1.79,44.0,-0.488,19.44,20.24,02a57967o0136o
76,57969.29928200001,18.78,0.15,112,17,o,0,1.47,232.66888,45.98105,4254.33,8947.24,2.69,2.64,6.0,-0.459,19.05,20.13,01a57969o0028o
77,57969.30172999999,18.549,0.126,138,17,o,0,1.14,232.66888,45.98105,4202.77,8877.83,2.68,2.62,24.8,-0.465,19.09,20.14,01a57969o0033o
78,57969.31394099999,18.82,0.147,108,16,o,0,1.52,232.66888,45.98105,4196.11,9041.46,2.77,2.61,-86.3,-0.473,19.01,20.14,01a57969o0058o
80,57972.260597,19.662,0.784,50,39,o,0,0.87,232.66888,45.98105,6223.36,10461.94,2.13,1.87,17.8,-0.552,18.9,19.28,02a57972o0044o
81,57972.269544,18.668,0.159,124,20,o,0,1.53,232.66888,45.98105,1909.66,859.44,2.28,1.94,43.3,-0.499,18.81,19.3,02a57972o0062o
82,57972.271008,18.627,0.135,129,17,o,0,1.88,232.66888,45.98105,1896.59,820.4,2.16,1.83,41.0,-0.52,18.92,19.33,02a57972o0065o
83,57972.279939,18.712,0.294,119,35,o,0,1.22,232.66888,45.98105,6286.13,10420.46,2.25,2.0,23.8,-0.4920000000000001,18.6,18.9,02a57972o0083o
84,57972.282403,18.702,0.163,120,20,o,0,1.43,232.66888,45.98105,1949.58,894.91,2.19,1.86,45.7,-0.498,18.84,19.3,02a57972o0088o
85,57972.28979,18.701,0.18,120,22,o,0,1.3,232.66888,45.98105,1972.1,773.97,2.2,1.85,45.3,-0.51,18.91,19.4,02a57972o0103o
86,57974.254641,19.276,0.348,71,25,o,0,1.25,232.66888,45.98105,5559.07,7549.05,2.76,2.72,28.1,-0.462,18.61,19.64,01a57974o0040o
87,57974.27364199999,18.875,0.122,102,12,o,0,2.22,232.66888,45.98105,5601.39,7662.33,2.65,2.63,58.5,-0.465,19.09,20.14,01a57974o0076o
88,57974.27675499999,18.704,0.141,120,17,o,0,1.27,232.66888,45.98105,5550.0,7597.49,2.67,2.62,79.2,-0.465,19.09,20.14,01a57974o0082o
89,57974.293722,18.428,0.118,154,18,o,0,1.17,232.66888,45.98105,5549.18,7778.74,2.82,2.65,86.4,-0.465,18.95,19.94,01a57974o0114o
90,57976.270468,18.697,0.086,121,10,o,0,1.61,232.66888,45.98105,2238.99,1202.78,1.91,1.8,46.1,-0.493,19.78,21.12,02a57976o0079o
91,57976.273002,18.703,0.071,120,9,o,0,2.95,232.66888,45.98105,2225.46,1163.75,1.9,1.77,49.1,-0.4970000000000001,19.78,21.12,02a57976o0084o
92,57976.284913,18.913,0.113,99,11,o,0,1.5,232.66888,45.98105,2300.97,1119.86,1.98,1.87,57.4,-0.489,19.73,21.04,02a57976o0107o
93,57976.287461,18.91,0.092,99,9,o,0,1.09,232.66888,45.98105,2287.68,1236.74,1.99,1.87,48.5,-0.482,19.74,21.02,02a57976o0112o
94,57978.27321,18.769,0.106,113,12,o,0,1.33,232.66888,45.98105,4679.13,8079.72,2.76,2.69,19.9,-0.451,19.29,20.78,01a57978o0059o
95,57978.274238,18.794,0.122,110,14,o,0,1.29,232.66888,45.98105,4666.75,8044.22,2.72,2.67,25.2,-0.457,19.36,20.79,01a57978o0061o
96,57978.276317,18.823,0.11,107,12,o,0,1.53,232.66888,45.98105,4628.92,8014.84,2.72,2.69,-77.5,-0.46,19.34,20.79,01a57978o0065o
97,57978.28829,18.861,0.115,104,12,o,0,1.19,232.66888,45.98105,4620.06,8176.58,2.67,2.62,17.0,-0.468,19.33,20.81,01a57978o0088o
98,57980.251919,18.646,0.069,126,9,o,0,2.95,232.66888,45.98105,3329.51,4102.31,1.96,1.8,-47.2,-0.463,19.61,20.58,02a57980o0021o
99,57980.270233,18.716,0.075,118,9,o,0,1.83,232.66888,45.98105,3299.66,4060.63,1.92,1.75,-38.8,-0.466,19.63,20.57,02a57980o0058o
100,57980.273662,18.822,0.097,107,10,o,0,1.45,232.66888,45.98105,3367.77,4135.13,1.92,1.76,-35.4,-0.463,19.63,20.55,02a57980o0065o
101,57980.284579,18.497,0.063,145,9,o,0,2.58,232.66888,45.98105,3377.57,4016.19,1.99,1.84,-38.6,-0.453,19.58,20.53,02a57980o0087o
102,57982.247022,19.094,0.17600000000000002,84,15,o,0,1.35,232.66888,45.98105,8051.09,8533.08,2.84,2.73,65.0,-0.452,19.29,20.64,01a57982o0031o
103,57982.265739,18.953,0.14400000000000002,95,14,o,0,1.48,232.66888,45.98105,8090.57,8643.84,2.82,2.7,74.1,-0.445,19.28,20.63,01a57982o0067o
104,57982.270404,19.161,0.183,79,14,o,0,1.36,232.66888,45.98105,8042.89,8586.25,2.87,2.73,86.2,-0.44,19.27,20.63,01a57982o0076o
105,57982.282395,18.607,0.115,131,15,o,0,1.26,232.66888,45.98105,8037.22,8746.67,2.85,2.74,74.5,-0.449,19.26,20.6,01a57982o0099o
106,57984.267394,18.542,0.064,139,9,c,0,1.0,232.66888,45.98105,2503.93,1541.91,2.48,2.23,47.6,-0.446,19.83,21.63,02a57984o0076c
107,57984.273703,18.576,0.062,135,8,c,0,1.54,232.66888,45.98105,2491.09,1501.77,2.5,2.26,46.5,-0.44,19.82,21.64,02a57984o0089c
108,57984.27516100001,18.56,0.063,137,9,c,0,1.12,232.66888,45.98105,2543.63,1578.34,2.48,2.24,49.4,-0.441,19.8,21.64,02a57984o0092c
109,57984.281576,18.458,0.063,150,9,c,0,1.2,232.66888,45.98105,2569.43,1460.34,2.5,2.25,48.4,-0.44,19.81,21.62,02a57984o0105c
110,57988.255818,18.854,0.079,104,8,c,0,1.08,232.66888,45.98105,5079.25,3650.97,2.49,2.42,70.3,-0.408,19.75,21.64,02a57988o0051c
111,57988.267004,18.9,0.087,100,9,c,0,1.22,232.66888,45.98105,5064.83,3610.81,2.46,2.39,69.9,-0.409,19.78,21.64,02a57988o0073c
112,57988.275846,18.954,0.084,95,8,c,0,2.29,232.66888,45.98105,5118.22,3685.61,2.43,2.37,78.3,-0.407,19.78,21.62,02a57988o0091c
113,57988.28228099999,18.833,0.081,106,9,c,0,1.43,232.66888,45.98105,5145.15,3568.54,2.63,2.57,77.7,-0.398,19.71,21.58,02a57988o0104c
114,57990.248223,19.379,0.181,64,12,o,0,1.65,232.66888,45.98105,7256.47,8700.76,3.0,2.85,15.9,-0.436,19.33,20.96,01a57990o0031o
115,57990.264473,19.886,0.28600000000000003,40,12,o,0,1.22,232.66888,45.98105,7296.43,8798.67,2.94,2.81,26.1,-0.441,19.38,21.05,01a57990o0053o
116,57990.274585,19.19,0.159,77,12,o,0,1.55,232.66888,45.98105,7248.69,8874.98,3.1,2.98,35.1,-0.43,19.34,21.07,01a57990o0073o
