Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57992.631836,16.343,0.028,1054,29,o,0,10.69,80.49529,3.48492,907.28,2518.86,3.28,2.72,80.2,-0.473,18.85,20.0,01a57992o0724o
1,57992.637422,16.51,0.073,904,66,o,0,1.89,80.49529,3.48492,887.33,2463.38,3.21,2.76,84.9,-0.493,17.95,18.62,01a57992o0735o
2,57992.641601,16.282,0.145,1115,162,o,0,1.23,80.49529,3.48492,947.13,2529.07,3.21,2.86,83.9,-0.52,16.99,17.46,01a57992o0743o
3,57996.634211,15.300999999999998,0.011,2752,29,o,0,150.89,80.49529,3.48492,7830.41,3151.3,3.4,3.09,-81.9,-0.425,18.64,19.7,01a57996o0621o
4,57996.640063,16.808,0.098,687,67,o,0,2.35,80.49529,3.48492,7810.88,3094.65,3.3,3.06,-80.0,-0.436,17.56,18.15,01a57996o0632o
5,57998.63216,16.660999999999998,0.034,786,27,o,0,12.83,80.49529,3.48492,9731.91,8827.5,2.19,1.96,42.6,-0.475,19.44,20.23,02a57998o0751o
6,57998.639464,16.761,0.14,717,101,o,0,1.79,80.49529,3.48492,9752.0,8868.77,2.29,2.02,43.1,-0.569,18.45,18.58,02a57998o0765o
7,57998.64474500001,17.195,0.99,481,476,o,0,1.14,80.49529,3.48492,9693.49,8791.54,2.47,2.32,24.6,-0.342,17.1,17.04,02a57998o0775o
8,58000.575834,16.756,0.067,721,48,o,0,14.17,80.49529,3.48492,9601.29,2608.58,6.28,5.86,-72.9,-0.316,17.98,19.66,01a58000o0708o
9,58000.581047,16.596,0.049,835,41,o,0,17.46,80.49529,3.48492,9581.19,2556.99,5.67,5.3,-77.1,-0.326,18.08,19.72,01a58000o0719o
10,58000.584839,16.607,0.05,827,41,o,0,17.35,80.49529,3.48492,9639.89,2625.91,5.91,5.46,-81.2,-0.314,18.11,19.75,01a58000o0727o
11,58000.587207,16.437,0.044,966,42,o,0,6.96,80.49529,3.48492,9660.26,2503.07,5.94,5.47,-82.8,-0.311,18.11,19.78,01a58000o0732o
12,58002.618128,17.055999999999994,0.07200000000000001,546,39,o,0,3.16,80.49529,3.48492,1467.32,9641.81,2.15,1.79,30.4,-0.511,18.88,19.3,02a58002o0754o
13,58002.625755,17.149,0.07200000000000001,502,36,o,0,3.55,80.49529,3.48492,1486.19,9681.79,2.11,1.8,30.5,-0.521,18.9,19.32,02a58002o0769o
14,58002.632515,17.129,0.069,511,35,o,0,2.18,80.49529,3.48492,1429.19,9604.86,2.13,1.89,34.1,-0.507,18.81,19.24,02a58002o0782o
15,58002.637219,17.192999999999998,0.09,482,43,o,0,1.98,80.49529,3.48492,1409.86,9723.87,2.1,1.8,29.4,-0.524,18.73,18.99,02a58002o0791o
16,58004.619849,17.629,0.108,322,35,o,0,14.5,80.49529,3.48492,58.48,3042.92,3.36,2.66,84.2,-0.472,18.77,19.8,01a58004o0235o
18,58004.629479,17.065,0.052000000000000005,542,28,o,0,10.83,80.49529,3.48492,9744.16,2990.96,3.52,2.76,-82.5,-0.445,18.79,19.72,01a58004o0255o
19,58004.634177,17.589000000000002,0.101,334,34,o,0,8.59,80.49529,3.48492,99.17,3035.49,3.31,2.71,81.7,-0.466,18.6,19.48,01a58004o0265o
20,58004.636378,17.573,0.124,339,42,o,0,6.98,80.49529,3.48492,9725.65,2929.57,3.61,2.84,-83.3,-0.439,18.43,19.15,01a58004o0269o
21,58004.639779,17.32,0.132,429,57,o,0,7.25,80.49529,3.48492,117.88,2899.45,3.44,2.8,86.9,-0.462,17.99,18.57,01a58004o0276o
22,58004.641383,17.291,0.142,440,63,o,0,4.97,80.49529,3.48492,9785.42,2990.06,3.73,2.88,-84.9,-0.436,17.68,18.12,01a58004o0279o
23,58004.64420700001,17.114,0.266,518,138,o,0,1.33,80.49529,3.48492,9805.27,2863.31,3.76,2.88,-86.3,-0.454,17.05,17.39,01a58004o0285o
24,58008.606308,16.916,0.034,622,21,o,0,35.34,80.49529,3.48492,8573.55,2529.45,3.46,2.97,-86.1,-0.429,18.81,19.86,01a58008o0359o
25,58008.612838,17.745,0.093,290,27,o,0,5.49,80.49529,3.48492,8555.25,2469.83,3.47,3.0,-84.7,-0.434,18.84,19.89,01a58008o0373o
26,58008.618048,17.695,0.09,303,27,o,0,8.43,80.49529,3.48492,8614.68,2530.48,3.35,2.92,-85.8,-0.436,18.85,19.9,01a58008o0384o
27,58008.62136699999,17.387999999999998,0.067,402,27,o,0,8.32,80.49529,3.48492,8634.89,2402.71,3.43,2.98,-81.1,-0.44,18.8,19.9,01a58008o0391o
28,58010.600241,17.901,0.128,251,32,o,0,1.22,80.49529,3.48492,1911.87,8410.23,2.09,1.81,25.6,-0.515,19.36,20.14,02a58010o0781o
29,58010.606838,17.915,0.117,248,29,o,0,2.01,80.49529,3.48492,1930.68,8451.41,2.02,1.75,32.3,-0.522,19.39,20.14,02a58010o0795o
30,58010.613787,17.94,0.11,242,27,o,0,7.43,80.49529,3.48492,1872.21,8374.7,2.05,1.77,25.5,-0.515,19.4,20.15,02a58010o0810o
31,58010.618954,17.709,0.091,299,27,o,0,2.31,80.49529,3.48492,1852.02,8492.57,2.03,1.78,28.5,-0.502,19.43,20.15,02a58010o0821o
33,58012.57180700001,14.646,0.004,5032,20,o,0,1606.14,80.49529,3.48492,96.42,2303.55,3.42,2.82,80.4,-0.467,19.24,20.73,01a58012o0743o
34,58012.577821000006,14.363,0.003,6531,22,o,0,2294.12,80.49529,3.48492,112.95,2186.37,3.56,3.04,78.9,-0.459,19.2,20.74,01a58012o0756o
35,58012.589717,15.212,0.006999999999999999,2987,21,o,0,466.1,80.49529,3.48492,9772.14,2203.66,4.16,3.57,-82.9,-0.405,19.04,20.72,01a58012o0777o
36,58012.59630499999,14.681,0.004,4871,21,o,0,1254.85,80.49529,3.48492,9751.85,2165.04,3.6,2.96,-84.0,-0.4370000000000001,19.22,20.76,01a58012o0791o
37,58012.603376,17.633,0.06,321,19,o,0,12.53,80.49529,3.48492,9809.21,2241.58,4.11,3.51,-85.6,-0.405,19.08,20.79,01a58012o0806o
38,58012.60997100001,15.276,0.006999999999999999,2815,18,o,0,550.52,80.49529,3.48492,9826.99,2123.58,3.62,3.03,-81.7,-0.434,19.3,20.87,01a58012o0820o
39,58016.55905900001,17.778,0.086,281,24,o,0,6.84,80.49529,3.48492,8495.42,1530.6,3.76,3.31,-82.9,-0.417,19.02,20.5,01a58016o0424o
40,58016.565606,17.089000000000002,0.041,530,22,o,0,21.43,80.49529,3.48492,8478.65,1492.47,3.62,3.16,-82.5,-0.423,19.09,20.56,01a58016o0438o
41,58016.57213099999,14.701,0.005,4783,25,o,0,828.25,80.49529,3.48492,8541.29,1570.28,3.75,3.45,-82.6,-0.425,19.04,20.58,01a58016o0452o
42,58016.578148,14.816,0.005,4300,21,o,0,958.88,80.49529,3.48492,8559.38,1452.41,3.72,3.34,-81.9,-0.418,19.04,20.61,01a58016o0465o
44,58018.55430900001,19.073,0.145,85,12,c,0,11.82,80.49529,3.48492,3425.52,9791.12,2.56,2.44,-26.7,-0.418,19.66,21.35,02a58018o0409c
45,58018.557135,18.967,0.16399999999999998,94,15,c,0,7.4,80.49529,3.48492,3202.38,71.78,2.69,2.41,-84.4,-0.371,19.62,21.36,02a58018o0415c
46,58018.560992,18.89,0.13,101,13,c,0,5.39,80.49529,3.48492,3443.18,9831.96,2.58,2.48,-33.5,-0.418,19.62,21.39,02a58018o0423c
47,58018.56814700001,16.396,0.012,1004,12,c,0,357.1,80.49529,3.48492,3383.36,9755.74,2.54,2.42,-23.2,-0.416,19.65,21.42,02a58018o0438c
48,58018.571023,19.512,0.225,57,13,c,0,12.68,80.49529,3.48492,3121.89,114.58,2.6,2.29,-82.9,-0.385,19.7,21.46,02a58018o0444c
49,58018.574787,18.61,0.107,131,14,c,0,5.66,80.49529,3.48492,3362.92,9875.77,2.51,2.42,-14.4,-0.418,19.66,21.45,02a58018o0452c
50,58022.53253500001,18.53,0.155,141,22,o,0,6.23,80.49529,3.48492,9451.86,8308.6,2.21,1.98,35.8,-0.495,19.53,20.6,02a58022o0657o
51,58022.539223,18.585,0.146,134,20,o,0,11.51,80.49529,3.48492,9469.86,8349.47,2.18,1.95,40.7,-0.491,19.58,20.6,02a58022o0671o
52,58022.545301,18.745,0.194,115,22,o,0,4.99,80.49529,3.48492,9409.4,8272.98,2.19,1.97,41.5,-0.4920000000000001,19.53,20.56,02a58022o0684o
53,58022.55184199999,18.391,0.149,160,24,o,0,12.04,80.49529,3.48492,9386.96,8392.88,2.06,1.85,36.7,-0.48,19.62,20.56,02a58022o0698o
54,58024.540695,15.027,0.005,3540,19,o,0,1129.9,80.49529,3.48492,7922.26,4283.89,3.29,2.75,-83.3,-0.449,19.18,20.51,01a58024o0710o
55,58024.54775800001,14.315,0.003,6822,21,o,0,1925.64,80.49529,3.48492,7904.06,4225.34,4.14,3.34,-6.2,-0.435,18.96,20.5,01a58024o0725o
56,58024.554753,15.066,0.006,3416,21,o,0,475.45,80.49529,3.48492,7963.67,4282.61,4.72,3.5,-5.0,-0.379,18.86,20.52,01a58024o0740o
57,58024.561713,15.415,0.006999999999999999,2477,18,o,0,505.0,80.49529,3.48492,7992.07,4146.98,3.37,2.83,-84.9,-0.434,19.18,20.55,01a58024o0755o
58,58026.534032,18.003,0.073,228,17,o,0,31.45,80.49529,3.48492,10235.86,8414.7,2.36,2.02,42.4,-0.47,19.64,20.81,02a58026o0636o
59,58026.541691,18.511,0.172,143,25,o,0,6.28,80.49529,3.48492,10254.02,8456.62,2.29,1.94,44.0,-0.455,19.66,20.8,02a58026o0651o
60,58026.5441,18.561,0.187,137,26,o,0,1.5,80.49529,3.48492,518.08,8384.94,2.18,1.89,37.6,-0.469,19.61,20.72,02a58026o0656o
61,58026.548796,18.574,0.179,135,24,o,0,13.09,80.49529,3.48492,10192.75,8379.86,2.21,1.94,38.3,-0.45,19.67,20.81,02a58026o0666o
62,58026.551235,19.142,0.268,80,22,o,0,9.37,80.49529,3.48492,535.48,8425.55,2.22,1.91,38.6,-0.465,19.58,20.74,02a58026o0671o
63,58026.555914,18.32,0.113,171,19,o,0,10.82,80.49529,3.48492,10171.06,8499.6,2.29,1.96,46.3,-0.49,19.65,20.8,02a58026o0681o
64,58026.558295,19.049,0.395,87,34,o,0,1.71,80.49529,3.48492,474.35,8349.21,2.12,1.84,35.9,-0.469,19.65,20.74,02a58026o0686o
65,58026.565267,18.961,0.29600000000000004,94,28,o,0,4.86,80.49529,3.48492,450.39,8468.41,2.12,1.8,33.2,-0.47,19.63,20.72,02a58026o0701o
66,58028.520817,19.49,0.389,58,23,o,0,20.85,80.49529,3.48492,1209.8,930.83,3.24,2.87,78.0,-0.469,19.01,20.14,01a58028o0611o
68,58028.534962,18.978,0.266,93,25,o,0,15.38,80.49529,3.48492,1252.71,931.96,3.2,2.88,77.8,-0.472,19.06,20.32,01a58028o0641o
69,58028.54201000001,16.221,0.018000000000000002,1179,21,o,0,109.37,80.49529,3.48492,1273.53,794.56,3.14,2.73,74.8,-0.479,19.16,20.4,01a58028o0656o
70,58032.52678099999,18.131,0.16699999999999998,203,34,o,0,7.98,80.49529,3.48492,1457.66,4060.92,3.85,3.0,-0.9,-0.436,18.42,19.28,01a58032o0692o
71,58032.536037,19.155,0.392,79,31,o,0,2.58,80.49529,3.48492,1439.63,3994.95,3.12,3.06,23.5,-0.44,18.51,19.31,01a58032o0710o
72,58032.544513,18.953,0.32,95,30,o,0,4.85,80.49529,3.48492,1499.28,4044.67,3.68,3.23,-3.2,-0.416,18.43,19.35,01a58032o0727o
73,58032.553476,17.031,0.055,559,31,o,0,10.8,80.49529,3.48492,1520.07,3900.07,3.1,3.0,74.0,-0.448,18.55,19.36,01a58032o0745o
75,58033.48703,18.438,0.348,153,53,o,0,3.01,80.49529,3.48492,85.31,3596.22,3.44,3.09,81.3,-0.434,18.38,19.08,01a58033o0544o
76,58033.487489,19.419,0.583,62,36,o,0,10.43,80.49529,3.48492,9724.46,3533.45,3.67,2.9,-86.2,-0.438,18.43,19.1,01a58033o0545o
77,58033.49355700001,18.488,0.28300000000000003,146,41,o,0,4.97,80.49529,3.48492,105.72,3465.92,3.43,2.74,80.3,-0.466,18.47,19.11,01a58033o0558o
78,58033.494015,18.257,0.158,181,28,o,0,14.23,80.49529,3.48492,9706.79,3480.49,3.66,2.88,-85.0,-0.438,18.49,19.14,01a58033o0559o
