Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
39,57949.41663200001,17.241,0.726,461,334,o,0,0.48,255.83804,45.41354000000001,5938.75,34.19,3.17,2.99,85.9,-0.439,19.15,20.53,01a57949o0356o
83,57972.323034,19.254,0.284,72,20,o,0,1.13,255.83804,45.41354000000001,2415.82,9319.68,2.19,1.94,30.9,-0.534,18.99,19.48,02a57972o0170o
84,57972.333797,18.89,0.213,101,22,o,0,1.01,255.83804,45.41354000000001,2399.52,9279.4,2.18,1.89,33.8,-0.519,18.97,19.45,02a57972o0192o
85,57972.342138,19.172,0.29,78,23,o,0,1.33,255.83804,45.41354000000001,2454.66,9357.22,2.16,1.89,34.4,-0.522,18.98,19.42,02a57972o0209o
86,57972.354365,18.908,0.328,99,32,o,0,1.78,255.83804,45.41354000000001,2466.79,9237.44,2.32,2.05,34.6,-0.525,18.69,19.14,02a57972o0234o
87,57974.285722,18.323,0.095,170,16,o,0,1.2,255.83804,45.41354000000001,6977.08,8688.56,2.86,2.79,76.6,-0.441,19.07,20.17,01a57974o0099o
88,57974.296289,17.968,0.078,236,18,o,0,1.06,255.83804,45.41354000000001,6995.21,8769.77,2.89,2.72,83.7,-0.447,19.03,20.1,01a57974o0119o
89,57974.314104,18.352,0.123,166,20,o,0,0.95,255.83804,45.41354000000001,6952.48,8766.35,2.85,2.56,-86.7,-0.464,19.02,20.01,01a57974o0153o
90,57974.321365,18.394,0.12,159,19,o,0,1.33,255.83804,45.41354000000001,6933.17,8913.61,2.87,2.57,-84.7,-0.459,19.01,19.99,01a57974o0167o
91,57976.324323,17.932000000000006,0.066,244,16,o,0,0.96,255.83804,45.41354000000001,2697.03,9624.25,2.49,2.32,26.6,-0.48,19.29,20.34,02a57976o0184o
92,57976.328409,17.835,0.066,267,18,o,0,1.04,255.83804,45.41354000000001,2710.16,9661.31,2.51,2.4,29.0,-0.476,19.28,20.3,02a57976o0192o
93,57978.318876,17.636,0.043,320,14,o,0,0.86,255.83804,45.41354000000001,6061.47,9257.39,2.76,2.62,-72.4,-0.47,19.51,21.17,01a57978o0147o
94,57978.330762,17.694000000000006,0.046,304,14,o,0,1.08,255.83804,45.41354000000001,6102.4,9341.12,2.71,2.6,-79.8,-0.482,19.49,21.1,01a57978o0170o
95,57978.342685,17.758,0.046,286,13,o,0,1.25,255.83804,45.41354000000001,6049.59,9309.55,2.83,2.66,85.8,-0.468,19.48,21.13,01a57978o0193o
96,57978.351584,17.704,0.044,301,13,o,0,1.13,255.83804,45.41354000000001,6049.24,9457.58,2.78,2.58,-84.7,-0.483,19.45,21.13,01a57978o0210o
97,57980.312073,17.601,0.032,331,11,o,0,2.0,255.83804,45.41354000000001,1885.48,2831.19,1.81,1.8,33.0,-0.469,19.68,20.72,02a57980o0143o
98,57980.323865,17.694000000000006,0.031,304,9,o,0,2.02,255.83804,45.41354000000001,1929.03,2868.15,1.82,1.81,-16.4,-0.467,19.68,20.74,02a57980o0167o
99,57980.325814,17.726,0.037000000000000005,295,11,o,0,1.83,255.83804,45.41354000000001,1872.34,2790.33,1.8,1.79,32.5,-0.472,19.68,20.74,02a57980o0171o
100,57980.336042,17.715999999999994,0.031,298,9,o,0,3.64,255.83804,45.41354000000001,1953.37,2749.26,1.8,1.79,6.1,-0.467,19.72,20.75,02a57980o0192o
101,57982.307297,17.79,0.058,278,16,o,0,1.03,255.83804,45.41354000000001,7444.04,65.93,3.17,2.93,-17.3,-0.435,19.36,20.84,01a57982o0147o
102,57982.30835399999,17.643,0.049,318,16,o,0,1.13,255.83804,45.41354000000001,9532.62,9774.95,3.0,2.63,88.4,-0.473,19.31,20.77,01a57982o0149o
103,57982.311974,17.68,0.052000000000000005,308,16,o,0,1.31,255.83804,45.41354000000001,9552.29,9828.45,3.15,2.74,86.7,-0.457,19.27,20.78,01a57982o0156o
104,57982.31406,17.635,0.047,321,15,o,0,1.23,255.83804,45.41354000000001,7480.36,131.01,3.15,2.9,-23.6,-0.4320000000000001,19.36,20.8,01a57982o0160o
105,57982.32188400001,17.644000000000005,0.046,318,15,o,0,1.35,255.83804,45.41354000000001,7408.58,202.72,3.18,2.98,-12.7,-0.4270000000000001,19.32,20.78,01a57982o0175o
106,57982.32240700001,17.66,0.049,313,15,o,0,1.36,255.83804,45.41354000000001,7422.68,86.19,3.14,2.96,-11.0,-0.424,19.31,20.79,01a57982o0176o
107,57982.323464,17.505,0.042,362,15,o,0,1.18,255.83804,45.41354000000001,9511.88,9795.74,3.03,2.63,88.5,-0.473,19.32,20.74,01a57982o0178o
108,57982.337511,17.707,0.054000000000000006,300,16,o,0,1.08,255.83804,45.41354000000001,9509.12,9967.71,3.23,2.68,88.1,-0.456,19.26,20.71,01a57982o0205o
109,57984.305002,17.112000000000002,0.023,519,12,c,0,1.81,255.83804,45.41354000000001,2953.3,10006.18,2.63,2.36,23.6,-0.456,19.88,21.79,02a57984o0153c
110,57984.31284199999,17.073,0.02,538,11,c,0,1.61,255.83804,45.41354000000001,1052.22,266.66,2.68,2.37,49.1,-0.464,19.87,21.76,02a57984o0169c
111,57984.314299,17.128,0.025,511,13,c,0,1.43,255.83804,45.41354000000001,2935.96,9966.07,2.61,2.3,23.8,-0.453,19.85,21.79,02a57984o0172c
112,57984.320738,17.063,0.023,543,12,c,0,1.23,255.83804,45.41354000000001,2991.69,10043.25,2.6,2.25,27.7,-0.453,19.87,21.77,02a57984o0185c
113,57984.321709,17.082,0.02,534,11,c,0,1.49,255.83804,45.41354000000001,1097.99,305.94,2.61,2.31,47.6,-0.465,19.83,21.73,02a57984o0187c
114,57984.323163,17.112000000000002,0.021,519,11,c,0,1.6,255.83804,45.41354000000001,1028.16,229.41,2.63,2.34,46.2,-0.47,19.83,21.73,02a57984o0190c
115,57984.333396,17.047,0.02,551,11,c,0,1.56,255.83804,45.41354000000001,1108.62,184.76,2.68,2.34,48.4,-0.463,19.8,21.72,02a57984o0211c
116,57984.333882000006,17.077,0.022,536,12,c,0,2.15,255.83804,45.41354000000001,3004.56,9923.56,2.57,2.25,25.5,-0.46,19.84,21.75,02a57984o0212c
117,57988.30738,17.317999999999998,0.021,429,9,c,0,2.38,255.83804,45.41354000000001,3680.94,2341.79,2.53,2.41,67.6,-0.397,19.79,21.7,02a57988o0155c
118,57988.31376900001,17.244,0.021,460,10,c,0,1.51,255.83804,45.41354000000001,3665.8,2301.81,2.51,2.4,58.9,-0.396,19.76,21.69,02a57988o0168c
119,57988.31475700001,17.289,0.021,441,9,c,0,1.49,255.83804,45.41354000000001,3722.04,2379.46,2.56,2.46,65.2,-0.395,19.76,21.69,02a57988o0170c
120,57988.32371900001,17.262,0.023,452,11,c,0,1.75,255.83804,45.41354000000001,3749.42,2264.03,2.6,2.52,63.9,-0.394,19.75,21.67,02a57988o0188c
121,57990.277128,18.271,0.079,178,14,o,0,0.95,255.83804,45.41354000000001,6667.57,111.63,3.52,3.09,-3.0,-0.411,19.46,21.27,01a57990o0078o
122,57990.278152,18.367,0.08199999999999999,163,13,o,0,0.84,255.83804,45.41354000000001,8682.9,9827.47,3.07,2.91,71.7,-0.449,19.43,21.27,01a57990o0080o
123,57990.286677,18.277,0.071,178,13,o,0,1.43,255.83804,45.41354000000001,8706.91,9901.67,3.01,2.87,69.5,-0.452,19.46,21.27,01a57990o0097o
124,57990.287177,18.324,0.069,170,12,o,0,1.57,255.83804,45.41354000000001,6705.42,190.4,3.5,3.1,-5.0,-0.415,19.45,21.31,01a57990o0098o
125,57990.291144,18.228,0.065,186,12,o,0,1.33,255.83804,45.41354000000001,6654.93,129.25,3.49,2.98,-7.4,-0.416,19.48,21.33,01a57990o0106o
126,57990.291641,18.37,0.08199999999999999,163,13,o,0,1.32,255.83804,45.41354000000001,8656.87,9844.43,3.06,2.91,73.1,-0.445,19.42,21.27,01a57990o0107o
127,57990.294643,18.181,0.063,194,12,o,0,1.21,255.83804,45.41354000000001,6632.38,261.9,3.47,2.93,-8.1,-0.418,19.47,21.33,01a57990o0113o
128,57990.302177,18.2,0.068,191,13,o,0,1.29,255.83804,45.41354000000001,8644.99,10005.37,3.01,2.87,80.7,-0.455,19.41,21.2,01a57990o0128o
129,57992.288546,18.472,0.068,148,10,o,0,1.79,255.83804,45.41354000000001,8703.84,4598.88,2.18,1.98,-45.9,-0.442,19.72,20.89,02a57992o0015o
130,57992.298434,18.882,0.067,102,7,o,0,2.7,255.83804,45.41354000000001,8670.1,4559.43,2.01,1.9,-48.7,-0.455,19.75,20.94,02a57992o0035o
131,57992.300911,18.562,0.06,136,8,o,0,2.11,255.83804,45.41354000000001,8736.04,4638.75,1.97,1.88,-33.6,-0.462,19.8,20.94,02a57992o0040o
132,57992.309215,18.688,0.081,122,10,o,0,1.42,255.83804,45.41354000000001,8748.51,4521.44,1.95,1.91,-12.9,-0.473,19.74,20.91,02a57992o0057o
133,57996.272881,19.586,0.234,53,12,o,0,1.41,255.83804,45.41354000000001,8832.14,6071.62,2.29,2.02,66.1,-0.505,19.4,20.39,02a57996o0029o
134,57996.289121,19.348,0.17600000000000002,66,12,o,0,1.62,255.83804,45.41354000000001,8814.6,6030.1,2.32,2.12,59.2,-0.481,19.41,20.37,02a57996o0062o
135,57996.29768500001,19.773,0.306,45,14,o,0,1.05,255.83804,45.41354000000001,8867.9,6109.02,2.22,2.05,61.4,-0.4920000000000001,19.43,20.36,02a57996o0079o
136,57996.304976,19.519,0.227,56,13,o,0,1.66,255.83804,45.41354000000001,8879.92,5992.46,2.38,2.15,58.0,-0.47,19.36,20.33,02a57996o0094o
138,57998.249824,19.214,0.241,75,18,o,0,1.17,255.83804,45.41354000000001,10072.92,3879.6,3.51,2.89,-85.9,-0.443,19.01,20.2,01a57998o0059o
140,57998.26133,19.075,0.239,85,20,o,0,0.88,255.83804,45.41354000000001,10029.34,3852.15,3.51,2.88,-85.2,-0.43,19.01,20.14,01a57998o0082o
141,57998.26843,19.409,0.289,63,18,o,0,1.52,255.83804,45.41354000000001,544.15,4041.79,3.14,2.58,79.9,-0.483,19.05,20.16,01a57998o0096o
142,57998.273906,19.263,0.256,72,18,o,0,1.14,255.83804,45.41354000000001,10016.75,4019.34,3.45,2.82,-85.9,-0.438,18.99,20.11,01a57998o0107o
143,57998.276903,19.773,0.449,45,20,o,0,1.09,255.83804,45.41354000000001,525.53,4036.47,3.34,2.82,82.2,-0.452,18.97,20.14,01a57998o0113o
144,57998.285441,19.595,0.365,53,19,o,0,1.46,255.83804,45.41354000000001,509.4,4185.48,3.14,2.63,81.7,-0.469,18.98,20.1,01a57998o0130o
145,58000.266861,19.39,0.225,64,14,o,0,1.07,255.83804,45.41354000000001,7186.18,6203.41,1.89,1.85,-35.7,-0.473,19.21,19.76,02a58000o0084o
146,58000.267787,19.351,0.201,66,13,o,0,1.32,255.83804,45.41354000000001,7158.53,6163.0,1.92,1.86,-49.6,-0.479,19.24,19.77,02a58000o0086o
147,58000.280763,20.177,0.4370000000000001,31,14,o,0,0.97,255.83804,45.41354000000001,7209.41,6241.1,1.93,1.85,-38.3,-0.471,19.25,19.78,02a58000o0113o
148,58000.28992999999,19.593,0.29600000000000004,53,16,o,0,1.11,255.83804,45.41354000000001,7234.28,6123.98,1.93,1.87,-38.8,-0.468,19.17,19.75,02a58000o0132o
149,58002.261637,18.796,0.269,110,30,o,0,1.03,255.83804,45.41354000000001,1107.99,3957.13,2.88,2.75,70.8,-0.469,18.59,19.4,01a58002o0042o
150,58002.264921,18.725,0.259,118,30,o,0,1.33,255.83804,45.41354000000001,1140.23,4009.45,2.89,2.73,72.8,-0.474,18.58,19.38,01a58002o0049o
151,58002.275816,19.371,0.483,65,31,o,0,1.09,255.83804,45.41354000000001,1083.75,3971.02,2.92,2.72,75.0,-0.477,18.53,19.35,01a58002o0072o
152,58002.28804199999,18.787,0.285,111,32,o,0,1.19,255.83804,45.41354000000001,1087.72,4132.99,2.92,2.68,77.3,-0.464,18.5,19.25,01a58002o0098o
153,58004.252333,19.348,0.195,66,13,o,0,0.92,255.83804,45.41354000000001,6929.54,7384.0,2.29,2.26,-86.1,-0.451,19.33,20.28,02a58004o0038o
154,58004.268566,19.909,0.35200000000000004,40,14,o,0,1.71,255.83804,45.41354000000001,6886.68,7343.39,2.11,2.03,44.4,-0.494,19.27,19.96,02a58004o0071o
155,58004.275938,19.414,0.27,62,17,o,0,0.82,255.83804,45.41354000000001,6947.68,7418.09,2.25,2.08,45.2,-0.478,19.18,19.89,02a58004o0087o
156,58004.284831,19.523,0.33,56,19,o,0,0.97,255.83804,45.41354000000001,6965.6,7303.68,2.38,2.12,59.0,-0.478,19.07,19.81,02a58004o0105o
157,58008.23985599999,19.844,0.21600000000000005,42,9,o,0,1.25,255.83804,45.41354000000001,7198.94,5937.24,2.05,1.96,-49.5,-0.459,19.76,21.02,02a58008o0058o
158,58008.249668,20.954,0.463,15,7,o,0,2.14,255.83804,45.41354000000001,7168.05,5894.26,2.0,1.97,68.1,-0.469,19.73,21.02,02a58008o0079o
159,58008.25242999999,19.897,0.189,40,8,o,0,2.15,255.83804,45.41354000000001,7235.63,5973.07,2.04,1.99,64.1,-0.464,19.74,21.03,02a58008o0085o
160,58008.26319600001,20.02,0.227,36,8,o,0,1.68,255.83804,45.41354000000001,7245.82,5855.59,2.0,1.93,56.3,-0.478,19.76,21.06,02a58008o0108o
161,58010.239282,20.491,0.5489999999999999,23,13,o,0,1.17,255.83804,45.41354000000001,1822.6,4164.27,2.97,2.85,59.4,-0.453,19.3,20.9,01a58010o0041o
162,58010.248165,20.356,0.465,26,12,o,0,1.27,255.83804,45.41354000000001,1860.85,4238.53,2.97,2.78,67.2,-0.453,19.38,20.93,01a58010o0060o
164,58010.26159,20.266,0.389,28,11,o,0,1.69,255.83804,45.41354000000001,1797.29,4327.14,3.01,2.82,74.9,-0.462,19.36,20.96,01a58010o0089o
165,58012.24900700001,21.108,0.8390000000000001,13,11,c,0,2.46,255.83804,45.41354000000001,5999.37,4697.69,2.4,2.31,-52.4,-0.415,18.97,20.38,02a58012o0075c
166,58012.254047,20.395,0.328,25,8,c,0,1.28,255.83804,45.41354000000001,5984.92,4657.95,2.47,2.35,-55.5,-0.412,19.64,21.3,02a58012o0086c
168,58012.275272000006,20.834,0.605,17,10,c,0,1.09,255.83804,45.41354000000001,6052.13,4619.36,2.57,2.43,-51.3,-0.41,19.57,21.21,02a58012o0132c
174,58016.246738,20.525,0.42,22,9,c,0,0.86,255.83804,45.41354000000001,7248.66,4481.08,2.44,2.39,69.8,-0.42,19.78,21.66,02a58016o0072c
