Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
40,57966.518915,20.734,0.765,18,14,o,0,1.25,340.45845,-26.10725,7236.55,4020.22,3.05,2.8,-77.1,-0.443,19.26,20.72,01a57966o0551o
50,57975.49636799999,19.365,0.523,65,34,o,0,1.13,340.45845,-26.10725,6233.49,1955.03,3.75,3.5,8.7,-0.391,18.28,19.13,01a57975o0504o
51,57975.517538,19.82,0.7070000000000001,43,30,o,0,1.12,340.45845,-26.10725,6262.78,2079.09,3.63,3.36,5.8,-0.392,18.28,19.16,01a57975o0543o
54,57977.493393,19.501,0.3,58,17,o,0,1.36,340.45845,-26.10725,5879.05,6562.52,2.48,2.41,-37.0,-0.424,19.02,19.78,02a57977o0518o
55,57977.503603,19.039,0.206,88,18,o,0,1.0,340.45845,-26.10725,5864.17,6524.06,2.42,2.31,-40.3,-0.425,19.03,19.77,02a57977o0538o
56,57977.518871,19.132,0.219,81,18,o,0,1.01,340.45845,-26.10725,5934.59,6487.3,2.39,2.26,-46.8,-0.425,19.07,19.74,02a57977o0568o
57,57977.520896,19.132,0.22,81,18,o,0,1.37,340.45845,-26.10725,5918.09,6601.69,2.48,2.33,-49.7,-0.413,19.02,19.73,02a57977o0572o
58,57979.499101,19.378,0.29100000000000004,64,19,o,0,0.77,340.45845,-26.10725,5087.65,1279.3,2.86,2.64,80.3,-0.459,19.05,20.32,01a57979o0506o
59,57979.507414,18.903,0.171,100,17,o,0,0.93,340.45845,-26.10725,5111.4,1350.66,2.9,2.74,78.7,-0.459,19.06,20.36,01a57979o0522o
60,57979.511599,18.829,0.175,107,19,o,0,0.81,340.45845,-26.10725,5060.64,1289.76,2.91,2.71,81.2,-0.453,19.06,20.31,01a57979o0530o
61,57979.523478,19.4,0.298,63,19,o,0,1.14,340.45845,-26.10725,5049.14,1454.38,3.04,2.8,-88.8,-0.446,18.93,20.19,01a57979o0553o
62,57981.47938400001,18.751,0.079,115,9,c,0,1.62,340.45845,-26.10725,3946.28,6985.88,2.73,2.58,-20.9,-0.383,19.61,21.18,02a57981o0488c
63,57981.48764199999,18.728,0.092,117,11,c,0,0.97,340.45845,-26.10725,3982.99,7024.65,2.76,2.62,-36.0,-0.383,19.55,21.11,02a57981o0505c
64,57981.489103,19.098,0.129,83,11,c,0,0.97,340.45845,-26.10725,3932.43,6945.03,2.7,2.58,-29.0,-0.387,19.54,21.1,02a57981o0508c
65,57981.494923,18.91,0.12,99,12,c,0,1.26,340.45845,-26.10725,4002.48,6908.16,2.82,2.72,-40.4,-0.377,19.48,21.07,02a57981o0520c
66,57983.490188,18.584,0.11,134,15,o,0,0.95,340.45845,-26.10725,7025.13,3720.41,3.26,3.2,-3.4,-0.398,19.17,20.83,01a57983o0423o
67,57983.49896900001,18.69,0.12,121,15,o,0,1.23,340.45845,-26.10725,6995.05,3716.65,3.14,2.63,-85.5,-0.45,19.32,20.82,01a57983o0440o
68,57983.500534000006,18.538,0.106,140,15,o,0,0.77,340.45845,-26.10725,7046.94,3801.7,3.12,2.61,-86.7,-0.46,19.32,20.83,01a57983o0443o
69,57983.507812,18.697,0.121,121,15,o,0,0.8,340.45845,-26.10725,6981.47,3868.19,3.18,2.63,-83.8,-0.449,19.28,20.82,01a57983o0457o
70,57985.473057,18.42,0.099,156,15,c,0,0.94,340.45845,-26.10725,4337.05,9513.63,3.68,3.46,37.7,-0.401,19.22,21.29,02a57985o0492c
71,57985.480811,18.506,0.076,144,11,c,0,1.48,340.45845,-26.10725,4353.97,9555.19,3.27,2.97,24.9,-0.4370000000000001,19.43,21.44,02a57985o0508c
72,57985.488082,18.793,0.191,110,21,c,0,0.98,340.45845,-26.10725,4391.17,9591.93,3.23,2.95,33.6,-0.4370000000000001,18.67,20.61,02a57985o0523c
74,57987.461062,18.623,0.127,129,16,o,0,0.97,340.45845,-26.10725,3790.12,3754.64,3.18,2.75,86.1,-0.442,19.1,20.58,01a57987o0220o
75,57987.472525,18.636,0.104,128,13,o,0,1.59,340.45845,-26.10725,3816.81,3839.08,3.13,2.77,89.6,-0.441,19.15,20.67,01a57987o0242o
76,57987.488123,18.604,0.12,131,16,o,0,1.35,340.45845,-26.10725,3774.58,3822.49,3.17,2.97,84.8,-0.454,19.1,20.59,01a57987o0272o
77,57987.498546,18.823,0.145,107,16,o,0,1.18,340.45845,-26.10725,3759.79,3980.67,3.09,2.66,-88.8,-0.449,19.12,20.58,01a57987o0292o
78,57989.467227,18.578,0.09,134,12,c,0,1.36,340.45845,-26.10725,3911.38,8240.33,2.55,2.39,7.9,-0.445,19.54,21.18,02a57989o0473c
79,57989.475101,18.417,0.08,156,12,c,0,1.14,340.45845,-26.10725,3893.86,8202.43,2.54,2.41,10.6,-0.446,19.4,21.02,02a57989o0489c
80,57989.47955700001,18.353,0.119,166,20,c,0,1.85,340.45845,-26.10725,3946.32,8281.7,2.6,2.47,9.4,-0.447,18.59,20.19,02a57989o0498c
81,57989.489471,18.343,0.113,167,19,c,0,1.69,340.45845,-26.10725,3984.15,8164.23,2.59,2.45,11.0,-0.448,18.96,20.56,02a57989o0518c
82,57991.472916,18.796,0.124,110,14,o,0,1.74,340.45845,-26.10725,4427.51,8797.87,3.62,3.0,-79.7,-0.4270000000000001,19.14,20.79,01a57991o0473o
83,57991.478472,18.608,0.135,131,18,o,0,0.87,340.45845,-26.10725,4447.37,8859.39,3.61,3.18,-82.4,-0.429,19.11,20.7,01a57991o0484o
84,57991.493559,18.582,0.13699999999999998,134,18,o,0,0.77,340.45845,-26.10725,4403.93,8841.7,3.66,3.35,-67.0,-0.418,19.01,20.64,01a57991o0514o
85,57991.50362,18.38,0.103,162,17,o,0,1.03,340.45845,-26.10725,4388.88,9000.64,3.47,2.85,-82.9,-0.435,19.16,20.6,01a57991o0534o
86,57993.453691,18.53,0.083,141,12,o,0,1.09,340.45845,-26.10725,4947.17,1169.28,2.4,2.13,49.7,-0.467,19.41,20.62,02a57993o0459o
87,57997.419992,18.883,0.16,102,16,o,0,1.02,340.45845,-26.10725,4350.43,6876.28,2.12,1.96,-16.2,-0.462,19.17,19.84,02a57997o0307o
88,57997.428009,18.755,0.138,114,16,o,0,1.14,340.45845,-26.10725,6088.78,3520.91,2.11,2.05,83.9,-0.447,19.17,19.85,02a57997o0322o
89,57997.44207000001,18.488,0.092,146,13,o,0,1.58,340.45845,-26.10725,6156.57,3480.32,2.11,2.06,75.5,-0.439,19.2,19.86,02a57997o0350o
90,57997.443988,18.727,0.138,117,16,o,0,0.87,340.45845,-26.10725,6142.33,3597.14,2.13,2.05,89.6,-0.447,19.16,19.85,02a57997o0354o
91,57999.40384500001,18.076,0.264,214,56,o,0,1.19,340.45845,-26.10725,5539.99,4020.92,3.5,3.38,2.6,-0.393,17.66,18.62,01a57999o0334o
93,57999.420768,18.534,0.387,140,54,o,0,0.83,340.45845,-26.10725,5566.27,3995.1,3.27,2.98,-89.8,-0.421,17.72,18.46,01a57999o0368o
94,57999.42924600001,18.929,0.514,97,50,o,0,1.34,340.45845,-26.10725,5597.95,3845.84,3.27,2.95,88.7,-0.421,17.73,18.35,01a57999o0385o
