Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
48,57986.572448,21.164,0.78,12,10,c,0,0.86,17.94541,7.362989999999999,6517.58,6595.47,2.8,2.58,-4.7,-0.4,19.67,21.54,02a57986o0629c
50,57988.56984400001,20.413,0.779,25,19,o,0,0.91,17.94541,7.362989999999999,4236.35,3438.01,3.7,3.03,0.8,-0.436,19.05,20.75,01a57988o0677o
51,57988.578736,19.832,0.374,42,16,o,0,1.32,17.94541,7.362989999999999,4181.28,3396.59,3.11,2.97,5.2,-0.425,19.12,20.76,01a57988o0694o
52,57988.587653,20.587,0.838,21,18,o,0,0.7,17.94541,7.362989999999999,4166.15,3547.92,3.07,2.97,6.7,-0.433,19.19,20.78,01a57988o0711o
53,57991.57083500001,19.294,0.119,70,8,c,0,1.08,17.94541,7.362989999999999,4939.14,885.71,2.55,2.38,89.1,-0.401,19.83,21.67,02a57991o0506c
54,57991.589262,19.743,0.179,46,8,c,0,0.88,17.94541,7.362989999999999,4917.05,844.39,2.54,2.38,88.2,-0.407,19.83,21.67,02a57991o0538c
55,57991.59508300001,19.759,0.181,45,8,c,0,1.17,17.94541,7.362989999999999,4978.19,926.49,2.53,2.37,82.2,-0.408,19.83,21.62,02a57991o0549c
56,57991.60779800001,19.407,0.128,63,8,c,0,0.97,17.94541,7.362989999999999,4992.02,803.52,2.52,2.36,83.4,-0.411,19.8,21.64,02a57991o0570c
57,57992.504926,19.455,0.228,60,14,o,0,1.02,17.94541,7.362989999999999,6067.32,9921.6,3.12,2.79,-82.5,-0.458,19.36,21.01,01a57992o0476o
58,57992.51201900001,19.072,0.154,85,13,o,0,1.3,17.94541,7.362989999999999,6050.54,9856.97,3.21,2.99,-75.0,-0.442,19.32,21.04,01a57992o0490o
59,57992.519753,20.578000000000007,0.621,21,13,o,0,0.9,17.94541,7.362989999999999,6111.27,9907.1,3.12,2.62,-80.6,-0.47,19.4,21.08,01a57992o0505o
60,57992.527048,19.579,0.24,54,13,o,0,1.1,17.94541,7.362989999999999,6131.06,9762.32,3.17,2.67,-80.2,-0.466,19.4,21.06,01a57992o0519o
63,57995.583328,19.772,0.522,45,23,o,0,0.9,17.94541,7.362989999999999,4295.34,115.26,2.13,1.88,56.1,-0.45,18.86,20.04,02a57995o0645o
64,57996.52093200001,19.371,0.208,65,14,o,0,0.83,17.94541,7.362989999999999,3382.67,10449.36,3.15,2.8,-75.6,-0.434,19.35,21.07,01a57996o0400o
65,57997.543506,19.496,0.238,58,14,o,0,1.35,17.94541,7.362989999999999,5713.53,9447.08,3.43,3.18,-29.7,-0.423,19.23,20.99,01a57997o0606o
66,57997.547823,19.496,0.247,58,14,o,0,1.0,17.94541,7.362989999999999,5753.66,9503.41,3.28,3.14,-27.2,-0.426,19.27,21.01,01a57997o0614o
67,57997.562099,19.157,0.21,79,17,o,0,0.96,17.94541,7.362989999999999,5663.06,9601.12,3.85,3.2,-6.8,-0.423,19.17,20.98,01a57997o0641o
68,57997.563158,20.065,0.41,34,14,o,0,1.1,17.94541,7.362989999999999,5681.72,9487.89,3.21,3.05,-64.9,-0.439,19.27,20.97,01a57997o0643o
69,57998.504471,19.227,0.187,74,14,o,0,0.97,17.94541,7.362989999999999,4652.37,1251.83,1.94,1.89,68.2,-0.465,19.43,20.17,02a57998o0507o
70,57998.512106,19.338,0.193,67,13,o,0,1.16,17.94541,7.362989999999999,4671.3,1293.05,2.15,2.1,71.5,-0.456,19.37,20.21,02a57998o0522o
71,57998.52048099999,19.704,0.292,48,14,o,0,0.96,17.94541,7.362989999999999,4610.7,1215.91,2.0,1.92,63.2,-0.469,19.47,20.28,02a57998o0537o
72,57998.52859,19.389,0.16899999999999998,64,11,o,0,1.08,17.94541,7.362989999999999,4592.24,1336.59,1.97,1.88,57.4,-0.466,19.53,20.38,02a57998o0552o
73,57999.563187,19.123,0.251,82,20,o,0,0.98,17.94541,7.362989999999999,5069.94,2014.65,2.07,1.96,58.2,-0.457,18.86,19.94,02a57999o0611o
74,57999.568334,19.291,0.134,70,9,o,0,1.34,17.94541,7.362989999999999,5059.64,1986.25,2.1,1.97,64.5,-0.457,19.56,20.9,02a57999o0621o
75,57999.569471,19.287,0.131,70,9,o,0,1.57,17.94541,7.362989999999999,5115.27,2058.58,2.08,1.97,62.8,-0.456,19.58,20.98,02a57999o0623o
76,57999.58138,19.487,0.17600000000000002,58,10,o,0,0.56,17.94541,7.362989999999999,5127.66,1935.83,2.05,1.95,63.1,-0.451,19.64,21.21,02a57999o0646o
77,58000.445246,19.062,0.252,86,22,o,0,1.48,17.94541,7.362989999999999,5055.2,10069.88,3.45,3.18,-68.3,-0.425,18.67,19.82,01a58000o0461o
79,58000.457773,19.942,0.609,38,23,o,0,0.98,17.94541,7.362989999999999,5099.55,10070.8,3.37,3.0,-80.5,-0.445,18.72,19.86,01a58000o0487o
80,58000.464028,18.855,0.223,104,23,o,0,1.16,17.94541,7.362989999999999,5120.79,9933.32,3.11,2.83,-76.9,-0.46,18.82,19.87,01a58000o0500o
81,58007.52582,19.49,0.233,58,14,o,0,1.55,17.94541,7.362989999999999,6373.89,1784.56,2.09,1.99,68.1,-0.471,19.3,19.99,02a58007o0557o
82,58007.529821,19.513,0.257,57,15,o,0,0.95,17.94541,7.362989999999999,6358.04,1749.71,2.06,1.98,61.3,-0.472,19.3,19.96,02a58007o0565o
83,58007.543526,20.473,0.598,24,14,o,0,0.79,17.94541,7.362989999999999,6413.04,1823.22,2.06,1.96,71.6,-0.466,19.28,19.97,02a58007o0594o
84,58007.550935,20.149,0.429,32,14,o,0,1.35,17.94541,7.362989999999999,6436.63,1711.01,2.07,1.97,68.4,-0.463,19.27,19.97,02a58007o0609o
85,58008.469028,20.461,0.833,24,20,o,0,0.87,17.94541,7.362989999999999,4051.08,9982.48,4.58,3.14,-1.9,-0.403,18.89,20.53,01a58008o0075o
