Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
7,57943.547236,17.871,0.585,258,151,o,0,0.39,8.51907,-10.56054,5424.34,1313.89,3.16,3.0,49.5,-0.459,17.72,18.15,01a57943o0602o
35,57961.630516,16.5,0.512,912,467,o,0,1.04,8.51907,-10.56054,5451.52,714.77,5.91,4.88,-87.7,-0.245,15.31,15.55,02a57961o0706o
65,57972.47701,18.388,0.498,160,80,o,0,1.08,8.51907,-10.56054,5404.35,9904.83,3.4,3.08,-75.6,-0.455,17.28,17.91,01a57972o0323o
96,57986.553654,20.437,0.299,24,7,c,0,1.66,8.51907,-10.56054,5574.78,788.49,2.63,2.4,76.9,-0.407,19.73,21.58,02a57986o0593c
100,57986.571864,20.563,0.398,22,9,c,0,1.08,8.51907,-10.56054,5615.38,829.89,2.62,2.42,72.6,-0.413,19.74,21.56,02a57986o0628c
106,57992.484513,20.166,0.389,31,12,o,0,1.28,8.51907,-10.56054,5108.87,4240.1,3.18,2.88,81.9,-0.424,19.31,20.95,01a57992o0436o
107,57992.491637,20.724,0.889,19,17,o,0,1.01,8.51907,-10.56054,5088.15,4175.15,3.15,2.89,84.3,-0.4270000000000001,19.13,20.74,01a57992o0450o
108,57992.4993,19.783,0.321,44,14,o,0,0.85,8.51907,-10.56054,5143.11,4223.98,3.31,2.91,78.8,-0.417,19.31,20.99,01a57992o0465o
109,57992.50642000001,20.871,0.7879999999999999,16,13,o,0,0.88,8.51907,-10.56054,5159.44,4082.26,3.17,2.78,85.8,-0.426,19.38,20.97,01a57992o0479o
110,57994.508102,20.269,0.3670000000000001,28,10,o,0,1.11,8.51907,-10.56054,3581.54,5401.06,2.14,2.09,-20.0,-0.445,19.68,21.05,02a57994o0498o
111,57994.516045,19.666,0.173,49,9,o,0,1.46,8.51907,-10.56054,3558.02,5360.6,2.12,2.09,-16.8,-0.436,19.71,21.05,02a57994o0512o
112,57994.524406,19.845,0.192,42,8,o,0,1.53,8.51907,-10.56054,3620.16,5441.18,2.13,2.09,-40.3,-0.441,19.71,21.06,02a57994o0527o
113,57994.53294600001,19.498,0.14400000000000002,58,8,o,0,1.27,8.51907,-10.56054,3639.38,5324.32,2.13,2.06,-38.1,-0.439,19.7,21.08,02a57994o0541o
114,57996.478516,19.685,0.295,48,14,o,0,0.97,8.51907,-10.56054,2371.98,4886.05,3.34,3.22,-7.4,-0.416,19.24,21.05,01a57996o0317o
115,57996.485628,19.838,0.318,42,13,o,0,0.93,8.51907,-10.56054,2350.79,4820.63,3.15,3.08,-84.9,-0.422,19.32,21.07,01a57996o0331o
116,57996.493316,19.639,0.331,51,17,o,0,0.88,8.51907,-10.56054,2406.75,4869.4,4.46,3.29,0.6,-0.394,19.07,21.07,01a57996o0346o
117,57996.500378,19.568,0.257,54,14,o,0,1.08,8.51907,-10.56054,2423.61,4727.25,3.52,3.1,81.4,-0.417,19.23,21.07,01a57996o0360o
118,57998.47594500001,20.1,0.496,33,16,o,0,1.04,8.51907,-10.56054,5483.16,6934.81,1.99,1.87,-19.7,-0.481,19.31,19.94,02a57998o0451o
119,57998.483675,19.893,0.32,40,13,o,0,1.51,8.51907,-10.56054,5499.48,6975.01,2.01,1.89,-22.2,-0.469,19.32,19.95,02a57998o0466o
120,57998.491321,19.265,0.179,71,13,o,0,1.67,8.51907,-10.56054,5440.27,6901.21,1.97,1.86,-17.4,-0.476,19.33,19.99,02a57998o0481o
121,57998.498903,19.43,0.203,61,12,o,0,0.98,8.51907,-10.56054,5417.95,7019.12,1.94,1.87,-20.3,-0.472,19.35,20.03,02a57998o0496o
122,58000.42408400001,20.286,0.7090000000000001,28,20,o,0,1.91,8.51907,-10.56054,4155.32,4390.72,3.31,3.09,87.8,-0.41,18.5,19.54,01a58000o0417o
123,58000.43027899999,19.241,0.315,73,23,o,0,1.21,8.51907,-10.56054,4114.16,4332.46,3.14,2.7,89.5,-0.445,18.65,19.57,01a58000o0430o
124,58000.436521,19.184,0.305,77,24,o,0,1.15,8.51907,-10.56054,4187.91,4389.94,3.26,2.84,89.7,-0.4320000000000001,18.62,19.59,01a58000o0443o
125,58000.44275800001,19.185,0.397,77,30,o,0,0.87,8.51907,-10.56054,4203.88,4253.88,4.2,3.83,89.0,-0.375,18.32,19.6,01a58000o0456o
126,58008.44978600001,19.86,0.353,41,15,o,0,1.49,8.51907,-10.56054,3110.75,4287.79,3.51,3.3,51.2,-0.407,19.02,20.53,01a58008o0035o
127,58008.456512,19.335,0.239,67,16,o,0,1.06,8.51907,-10.56054,3089.28,4224.53,3.35,3.23,31.1,-0.424,19.08,20.56,01a58008o0049o
128,58008.463737,19.666,0.403,49,20,o,0,0.79,8.51907,-10.56054,3145.49,4275.1,4.29,3.39,-0.9,-0.413,18.92,20.56,01a58008o0064o
129,58008.470403,19.521,0.28,56,16,o,0,1.01,8.51907,-10.56054,3163.22,4134.02,3.2,2.91,82.9,-0.441,19.16,20.54,01a58008o0078o
130,58010.442791,20.088,0.272,34,9,o,0,1.13,8.51907,-10.56054,7335.14,6539.79,2.09,2.06,-12.8,-0.465,19.73,21.0,02a58010o0457o
131,58010.45016,19.673,0.194,49,10,o,0,1.44,8.51907,-10.56054,7351.22,6579.75,2.12,2.1,-67.7,-0.464,19.64,20.93,02a58010o0473o
132,58010.459551,20.277,0.277,28,8,o,0,2.11,8.51907,-10.56054,7275.05,6619.33,2.09,2.0,-13.3,-0.471,19.68,20.87,02a58010o0492o
133,58010.463216,19.819000000000006,0.22,43,9,o,0,1.14,8.51907,-10.56054,7292.34,6505.41,2.15,2.13,-15.3,-0.459,19.62,20.86,02a58010o0500o
134,58011.54959,20.223,0.373,30,11,o,0,1.28,8.51907,-10.56054,2290.75,7987.96,2.39,2.27,-39.0,-0.425,19.43,20.6,02a58011o0668o
135,58011.55999,20.34,0.442,26,12,o,0,1.46,8.51907,-10.56054,2273.15,7948.08,2.28,2.18,-39.9,-0.428,19.44,20.55,02a58011o0690o
136,58011.570283,20.121,0.431,32,14,o,0,1.02,8.51907,-10.56054,2331.13,8026.29,2.31,2.21,-35.9,-0.423,19.21,20.28,02a58011o0712o
