Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
18,57985.607353,20.767,0.631,18,11,o,0,1.19,36.87814,21.988670000000006,8136.13,7052.1,3.23,2.96,-87.4,-0.448,19.46,21.47,01a57985o0631o
25,57989.58642100001,20.544,0.838,22,18,o,0,1.36,36.87814,21.988670000000006,3950.5,4305.77,2.85,2.76,-30.1,-0.459,18.94,20.57,01a57989o0660o
45,57995.62082,18.747,0.578,115,67,o,0,0.71,36.87814,21.988670000000006,177.09,9087.26,2.17,1.87,14.2,-0.422,17.64,18.81,02a57995o0714o
69,58005.530096,19.312,0.443,68,30,o,0,1.35,36.87814,21.988670000000006,10377.03,9477.47,3.73,2.69,-82.0,-0.406,18.41,19.21,01a58005o0294o
75,58007.565756,19.637,0.36,51,18,o,0,0.61,36.87814,21.988670000000006,4189.18,963.84,2.02,1.9,65.2,-0.466,19.17,19.76,02a58007o0640o
76,58007.575317,19.162,0.213,78,17,o,0,0.78,36.87814,21.988670000000006,4225.08,1007.95,1.98,1.85,63.6,-0.501,19.14,19.77,02a58007o0656o
77,58007.576743,18.94,0.165,96,16,o,0,1.08,36.87814,21.988670000000006,4171.4,928.26,1.96,1.81,67.2,-0.487,19.18,19.78,02a58007o0659o
78,58007.57984400001,19.157,0.177,79,14,o,0,1.04,36.87814,21.988670000000006,4243.93,890.29,2.0,1.84,64.8,-0.495,19.18,19.77,02a58007o0665o
79,58009.524881,18.676,0.125,123,15,o,0,1.46,36.87814,21.988670000000006,2132.27,9418.7,3.57,3.15,-6.6,-0.409,19.16,20.78,01a58009o0505o
80,58009.53745,18.7,0.115,120,14,o,0,1.52,36.87814,21.988670000000006,2124.83,9334.54,3.09,2.65,-84.6,-0.465,19.31,20.81,01a58009o0529o
81,58009.550012,18.748,0.134,115,15,o,0,1.13,36.87814,21.988670000000006,2200.49,9244.19,3.28,3.1,-59.5,-0.426,19.2,20.8,01a58009o0555o
