Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
19,57973.468497,20.161,0.7170000000000001,31,22,o,0,1.28,3.01616,1.10334,5370.24,6478.23,2.02,1.88,-29.0,-0.465,18.6,18.85,02a57973o0468o
42,57986.576229,19.829,0.5,42,21,c,0,2.05,3.01616,1.10334,8448.71,4067.77,2.7,2.56,-71.7,-0.406,18.49,20.31,02a57986o0634c
71,58008.441139,20.373,0.667,26,17,o,0,1.22,3.01616,1.10334,3898.86,7440.15,3.75,3.63,-67.8,-0.398,18.94,20.58,01a58008o0017o
72,58008.448342,19.98,0.474,37,18,o,0,1.09,3.01616,1.10334,3959.31,7489.77,3.66,3.56,28.3,-0.412,18.95,20.58,01a58008o0032o
73,58008.455089,19.997,0.373,36,14,o,0,1.71,3.01616,1.10334,3977.94,7348.23,3.2,3.14,21.0,-0.426,19.12,20.62,01a58008o0046o
74,58010.43479199999,19.886,0.188,40,8,o,0,1.52,3.01616,1.10334,6612.87,3317.56,2.06,2.0,-63.1,-0.462,19.75,21.02,02a58010o0441o
75,58010.441706,20.001,0.227,36,8,o,0,1.29,3.01616,1.10334,6631.33,3357.32,2.05,2.0,-57.8,-0.479,19.73,21.02,02a58010o0455o
76,58010.45335700001,19.958,0.226,38,8,o,0,0.99,3.01616,1.10334,6551.04,3397.36,2.09,2.01,-61.1,-0.459,19.68,20.91,02a58010o0480o
77,58010.453814,19.557,0.172,55,9,o,0,1.37,3.01616,1.10334,6570.55,3281.1,2.1,2.0,-59.1,-0.462,19.66,20.91,02a58010o0481o
78,58012.423305,19.648,0.552,50,28,o,0,0.91,3.01616,1.10334,5088.27,7344.22,3.29,2.99,-10.9,-0.418,18.53,20.01,01a58012o0434o
79,58012.427897,20.362,0.6779999999999999,26,18,o,0,0.9,3.01616,1.10334,5067.9,7305.47,2.84,2.77,-38.3,-0.459,18.95,20.38,01a58012o0444o
80,58012.436692,19.955,0.414,38,16,o,0,1.19,3.01616,1.10334,5124.73,7382.88,3.09,2.92,-85.9,-0.429,19.06,20.6,01a58012o0463o
81,58012.443426,19.209,0.207,75,16,o,0,1.09,3.01616,1.10334,5140.27,7266.28,2.92,2.85,-82.0,-0.447,19.07,20.56,01a58012o0477o
82,58016.414216,19.889,0.345,40,14,o,0,1.35,3.01616,1.10334,3846.05,6678.25,3.28,3.11,-77.5,-0.429,19.2,20.84,01a58016o0124o
83,58016.420856,19.992,0.339,37,12,o,0,1.78,3.01616,1.10334,3825.15,6639.49,3.15,3.04,-72.9,-0.434,19.18,20.79,01a58016o0138o
84,58016.425011,20.32,0.456,27,12,o,0,1.6,3.01616,1.10334,3882.96,6715.11,3.21,3.07,-87.7,-0.4270000000000001,19.19,20.79,01a58016o0147o
85,58016.43446,20.563,0.67,22,14,o,0,1.06,3.01616,1.10334,3898.49,6599.72,3.36,3.17,-83.4,-0.419,19.18,20.82,01a58016o0167o
86,58018.40729,19.295,0.145,70,10,c,0,1.05,3.01616,1.10334,8112.31,4691.16,2.7,2.52,-44.5,-0.4,19.69,21.39,02a58018o0109c
87,58018.42330900001,19.034,0.104,88,9,c,0,1.17,3.01616,1.10334,8126.79,4735.45,2.75,2.52,-41.2,-0.389,19.68,21.43,02a58018o0141c
88,58018.427486,19.565,0.181,54,10,c,0,0.94,3.01616,1.10334,8071.6,4658.66,2.84,2.62,-39.7,-0.388,19.69,21.43,02a58018o0150c
89,58018.434346,19.389,0.147,64,9,c,0,0.76,3.01616,1.10334,8051.51,4776.37,2.66,2.48,-39.6,-0.397,19.71,21.43,02a58018o0164c
90,58022.400877,21.703000000000007,0.955,8,7,o,0,2.15,3.01616,1.10334,4463.12,3196.33,2.0,1.85,-36.1,-0.455,19.65,20.66,02a58022o0385o
91,58022.407587,20.549,0.496,22,11,o,0,1.04,3.01616,1.10334,4480.7,3236.24,2.04,1.88,-37.4,-0.446,19.65,20.69,02a58022o0399o
92,58022.413854,20.569000000000006,0.516,22,11,o,0,0.75,3.01616,1.10334,4422.41,3161.34,1.97,1.87,-40.6,-0.462,19.65,20.72,02a58022o0412o
93,58022.419627,19.86,0.249,41,10,o,0,0.87,3.01616,1.10334,4402.2,3278.56,2.01,1.87,-40.7,-0.468,19.67,20.73,02a58022o0424o
94,58024.406424,19.902,0.314,40,12,o,0,1.34,3.01616,1.10334,3292.48,9142.97,3.03,2.58,-80.6,-0.461,19.26,20.69,01a58024o0430o
96,58024.425761,20.345,0.541,26,14,o,0,0.98,3.01616,1.10334,3351.84,8993.58,2.93,2.53,-84.8,-0.472,19.34,20.83,01a58024o0471o
98,58026.402764,19.935,0.273,38,10,o,0,1.32,3.01616,1.10334,5230.12,3298.49,1.96,1.92,-50.8,-0.458,19.46,20.26,02a58026o0423o
100,58026.417109,20.314,0.493,27,13,o,0,1.24,3.01616,1.10334,5283.53,7169.8,2.17,2.01,-38.2,-0.454,19.41,20.26,02a58026o0451o
101,58026.43179700001,20.872,0.747,16,12,o,0,1.51,3.01616,1.10334,5301.52,7050.78,2.16,2.06,-52.3,-0.433,19.4,20.29,02a58026o0480o
104,58028.412438,19.997,0.512,36,19,o,0,1.35,3.01616,1.10334,4012.75,4568.63,2.88,2.62,89.9,-0.47,18.81,19.62,01a58028o0386o
