Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
30,58013.555796,19.212,0.165,75,12,o,0,1.12,52.39267,10.97319,5323.39,5632.46,2.88,2.83,-10.6,-0.45,19.35,21.0,01a58013o0692o
31,58013.565991,19.136,0.13699999999999998,80,11,o,0,1.43,52.39267,10.97319,5358.61,5668.98,2.87,2.83,-60.8,-0.45,19.41,20.99,01a58013o0712o
32,58013.567665,19.314,0.18600000000000005,68,13,o,0,0.86,52.39267,10.97319,5300.51,5591.94,2.9,2.75,-1.0,-0.453,19.38,20.98,01a58013o0715o
33,58013.575879,18.946,0.119,96,11,o,0,1.25,52.39267,10.97319,5373.39,5552.16,2.85,2.82,-28.4,-0.452,19.43,21.03,01a58013o0730o
34,58019.549934,17.368,0.025,410,10,c,0,1.55,52.39267,10.97319,3469.93,1873.63,2.39,2.31,86.9,-0.414,19.73,21.39,02a58019o0666c
35,58019.563543,17.322,0.026,428,11,c,0,1.07,52.39267,10.97319,3430.02,1834.65,2.39,2.33,82.2,-0.409,19.78,21.43,02a58019o0692c
36,58019.564000000006,17.382,0.024,405,10,c,0,1.75,52.39267,10.97319,3487.12,1913.15,2.38,2.32,-89.8,-0.401,19.76,21.42,02a58019o0693c
37,58019.572114,17.273,0.022,447,10,c,0,1.6,52.39267,10.97319,3412.16,1952.51,2.44,2.36,89.4,-0.397,19.74,21.45,02a58019o0709c
38,58021.537715,17.412,0.046,394,18,o,0,1.02,52.39267,10.97319,6650.89,7697.65,4.83,3.57,-1.4,-0.364,19.09,21.17,01a58021o0636o
39,58021.543216,17.442,0.036000000000000004,383,14,o,0,1.14,52.39267,10.97319,6632.76,7636.59,3.22,2.6,-84.5,-0.461,19.45,21.18,01a58021o0646o
40,58021.555711,17.58,0.041,337,14,o,0,1.0,52.39267,10.97319,6694.17,7666.72,3.29,2.72,-85.7,-0.442,19.49,21.21,01a58021o0673o
41,58021.559889,17.437,0.035,385,14,o,0,0.91,52.39267,10.97319,6713.51,7535.05,3.24,2.71,-85.5,-0.443,19.43,21.19,01a58021o0681o
42,58023.546881,17.362000000000002,0.026,412,11,o,0,2.67,52.39267,10.97319,3870.45,2052.51,1.92,1.91,60.5,-0.454,19.68,20.75,02a58023o0531o
43,58023.56254199999,17.418,0.023,392,9,o,0,3.96,52.39267,10.97319,3884.13,2093.61,2.01,1.98,78.1,-0.446,19.67,20.75,02a58023o0561o
44,58023.569194,17.340999999999998,0.028,420,12,o,0,1.0,52.39267,10.97319,3832.17,2018.02,1.98,1.94,78.0,-0.446,19.63,20.76,02a58023o0574o
45,58023.579161,17.438,0.033,384,13,o,0,1.24,52.39267,10.97319,6665.38,8298.83,2.23,2.17,-40.4,-0.446,19.6,20.79,02a58023o0592o
46,58025.530714,17.442,0.04,383,15,o,0,1.3,52.39267,10.97319,7036.71,8168.69,3.6,3.48,-77.4,-0.395,19.13,20.91,01a58025o0662o
