Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
21,57986.64025700001,19.065,0.632,86,54,c,0,0.87,45.55608,3.81029,7025.0,1111.9,2.7,2.53,-74.5,-0.389,17.78,18.49,02a57986o0694c
30,57992.57045399999,21.004,0.89,14,13,o,0,10.23,45.55608,3.81029,922.55,2984.21,3.24,2.71,83.2,-0.456,19.4,21.04,01a57992o0603o
40,57998.54874500001,19.363,0.14300000000000002,65,9,o,0,2.93,45.55608,3.81029,9807.09,8213.21,2.39,2.05,39.6,-0.494,19.6,20.77,02a57998o0590o
41,57998.55130499999,20.554,0.536,22,12,o,0,2.86,45.55608,3.81029,93.94,8146.16,2.34,1.89,37.2,-0.442,19.65,20.77,02a57998o0595o
42,57998.55645900001,20.083,0.298,34,10,o,0,2.17,45.55608,3.81029,9747.32,8136.37,2.15,1.92,30.7,-0.467,19.68,20.87,02a57998o0605o
43,57998.559009,19.716,0.21600000000000005,47,10,o,0,2.54,45.55608,3.81029,113.48,8186.72,2.24,1.83,39.3,-0.449,19.66,20.82,02a57998o0610o
45,57998.566744,21.0,0.877,14,13,o,0,1.9,45.55608,3.81029,54.57,8109.67,2.28,1.86,39.2,-0.379,19.72,20.84,02a57998o0625o
47,58000.505488,18.703,0.219,120,26,o,0,1.33,45.55608,3.81029,9548.61,3192.91,4.24,3.78,-83.1,-0.388,18.55,19.87,01a58000o0585o
48,58000.511926,19.107,0.28300000000000003,83,23,o,0,1.42,45.55608,3.81029,9530.26,3137.23,3.82,3.35,-83.5,-0.413,18.71,19.89,01a58000o0598o
49,58000.518212,18.862,0.303,104,31,o,0,1.26,45.55608,3.81029,9590.68,3195.45,5.12,4.64,-87.0,-0.388,18.35,19.92,01a58000o0611o
50,58000.524662,17.455,0.068,378,26,o,0,2.35,45.55608,3.81029,9613.12,3060.16,3.98,3.37,-83.0,-0.403,18.72,19.96,01a58000o0624o
51,58002.45644,19.038,0.726,88,64,o,0,1.64,45.55608,3.81029,1525.65,8973.31,2.52,2.22,35.0,-0.537,18.23,18.66,02a58002o0433o
52,58002.46373500001,18.562,0.537,136,73,o,0,1.11,45.55608,3.81029,1544.27,9013.86,2.42,2.06,27.5,-0.517,18.39,18.71,02a58002o0448o
53,58002.470991,18.198,0.294,191,56,o,0,1.35,45.55608,3.81029,1484.74,8935.84,2.21,1.91,25.8,-0.541,18.49,18.76,02a58002o0463o
54,58002.478344,18.678,0.391,123,48,o,0,1.98,45.55608,3.81029,1463.69,9054.62,2.18,1.8,21.1,-0.535,18.54,18.8,02a58002o0478o
55,58004.51194,18.76,0.268,114,30,o,0,1.3,45.55608,3.81029,9681.09,3699.79,3.49,3.2,-5.7,-0.412,18.39,19.2,01a58004o0003o
57,58004.519073,18.297,0.17800000000000002,174,31,o,0,1.16,45.55608,3.81029,9663.93,3642.31,3.28,3.16,-12.7,-0.426,18.45,19.22,01a58004o0018o
58,58004.523797,18.604,0.454,131,60,o,0,1.06,45.55608,3.81029,68.34,3615.33,2.99,2.84,86.6,-0.483,18.39,19.18,01a58004o0028o
