Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
5,57961.566754,20.291,0.536,28,15,o,0,1.46,330.52111,-7.11981,624.49,7373.68,2.19,2.11,11.4,-0.451,19.33,20.73,02a57961o0587o
42,57982.50670599999,20.461,0.361,24,9,c,0,1.21,330.52111,-7.11981,7517.5,5330.57,2.51,2.4,-76.0,-0.421,19.77,21.48,02a57982o0528c
58,57988.488898,20.38,0.541,26,14,o,0,1.18,330.52111,-7.11981,499.42,2690.06,2.96,2.67,78.7,-0.471,19.27,20.82,01a57988o0522o
77,58010.387404,21.004,0.8240000000000001,14,12,o,0,0.87,330.52111,-7.11981,1662.34,9524.56,2.37,1.94,37.5,-0.485,19.75,21.11,02a58010o0346o
80,58011.4521,20.482,0.404,23,9,o,0,1.32,330.52111,-7.11981,7125.33,5038.25,2.27,2.02,-54.0,-0.428,19.7,20.89,02a58011o0459o
81,58011.46178,20.242,0.342,29,10,o,0,1.12,330.52111,-7.11981,7108.8,4997.73,2.29,2.02,-55.1,-0.431,19.61,20.8,02a58011o0480o
89,58012.377466,19.809,0.303,43,13,o,0,1.36,330.52111,-7.11981,10235.49,9478.98,3.6,2.62,-83.4,-0.424,19.38,20.94,01a58012o0345o
90,58012.378605,19.887,0.369,40,15,o,0,1.01,330.52111,-7.11981,9956.93,1074.22,3.36,2.81,-80.8,-0.452,19.37,20.89,01a58012o0347o
91,58012.387003,19.961,0.495,38,19,o,0,1.06,330.52111,-7.11981,575.92,9627.66,2.9,2.39,-81.3,-0.501,19.14,20.64,01a58012o0361o
92,58016.353066,18.816,0.107,108,12,o,0,2.1,330.52111,-7.11981,1886.2,10205.7,2.87,2.68,-79.6,-0.487,19.26,20.9,01a58016o0008o
93,58016.355968,18.65,0.11,126,14,o,0,1.07,330.52111,-7.11981,2630.39,498.69,3.38,3.14,7.1,-0.4,19.19,20.89,01a58016o0014o
94,58016.360588,18.785,0.133,111,15,o,0,0.97,330.52111,-7.11981,1912.61,10245.89,2.9,2.62,-77.0,-0.491,19.33,20.91,01a58016o0022o
95,58016.363983,18.678,0.1,123,12,o,0,1.46,330.52111,-7.11981,2573.17,421.06,3.06,2.86,14.0,-0.426,19.29,20.85,01a58016o0029o
96,58016.368659,18.739,0.15,116,17,o,0,0.85,330.52111,-7.11981,8711.35,415.65,3.34,3.19,-48.3,-0.429,19.28,20.86,01a58016o0037o
97,58016.372075,18.744,0.121,116,14,o,0,1.09,330.52111,-7.11981,2556.48,539.07,3.13,3.01,34.2,-0.417,19.26,20.89,01a58016o0043o
98,58016.37678300001,18.719,0.119,118,14,o,0,1.45,330.52111,-7.11981,1835.36,10284.04,3.29,2.97,-77.2,-0.443,19.25,20.92,01a58016o0051o
99,58022.333121,18.407,0.061,157,10,o,0,2.49,330.52111,-7.11981,1291.54,973.79,1.96,1.74,46.9,-0.525,19.6,20.69,02a58022o0249o
100,58022.339924,18.476,0.078,148,12,o,0,1.75,330.52111,-7.11981,1273.2,935.32,1.91,1.7,43.3,-0.522,19.61,20.67,02a58022o0263o
101,58022.34617100001,18.474,0.085,148,12,o,0,1.02,330.52111,-7.11981,1334.29,1014.78,1.92,1.7,47.8,-0.522,19.59,20.65,02a58022o0276o
102,58022.35279600001,18.674,0.096,123,12,o,0,1.52,330.52111,-7.11981,1354.28,898.4,1.94,1.73,46.4,-0.532,19.59,20.64,02a58022o0290o
103,58024.342471,18.839,0.159,106,17,o,0,0.71,330.52111,-7.11981,2299.06,7515.8,2.96,2.57,-89.8,-0.468,19.23,20.55,01a58024o0306o
104,58024.34964400001,18.63,0.116,128,15,o,0,1.13,330.52111,-7.11981,2321.42,7583.38,2.76,2.53,-80.8,-0.486,19.26,20.55,01a58024o0321o
105,58024.356807,18.612,0.115,130,15,o,0,0.97,330.52111,-7.11981,2266.85,7535.49,2.86,2.53,-87.4,-0.476,19.25,20.55,01a58024o0336o
106,58024.364997,18.478,0.101,147,15,o,0,1.26,330.52111,-7.11981,2252.48,7684.31,3.04,2.67,86.6,-0.453,19.21,20.56,01a58024o0351o
107,58026.339251,18.407,0.107,157,17,o,0,1.61,330.52111,-7.11981,493.07,862.68,2.32,1.91,25.4,-0.521,19.15,19.91,02a58026o0294o
108,58026.346469,18.499,0.13,145,19,o,0,0.96,330.52111,-7.11981,475.02,823.66,2.29,1.94,53.3,-0.489,19.09,19.89,02a58026o0309o
109,58026.346925,18.94,0.212,96,20,o,0,1.09,330.52111,-7.11981,10175.24,870.36,2.57,2.27,31.3,-0.476,19.18,20.04,02a58026o0310o
110,58026.353954,18.523,0.115,142,16,o,0,2.23,330.52111,-7.11981,537.26,903.11,2.06,1.8,47.2,-0.493,19.18,19.85,02a58026o0324o
111,58026.35441,18.569000000000006,0.14800000000000002,136,20,o,0,1.28,330.52111,-7.11981,10158.31,831.93,2.3,2.04,62.4,-0.4920000000000001,19.27,20.02,02a58026o0325o
112,58026.362414,18.832,0.201,106,21,o,0,1.09,330.52111,-7.11981,556.75,784.49,1.99,1.7,39.1,-0.573,19.19,19.8,02a58026o0339o
113,58026.36287,18.591,0.154,133,20,o,0,0.92,330.52111,-7.11981,10217.5,909.69,2.13,1.97,59.0,-0.505,19.31,19.99,02a58026o0340o
114,58031.416382,18.316,0.226,171,39,o,0,1.37,330.52111,-7.11981,2377.62,1478.14,3.2,3.04,65.1,-0.428,18.04,18.54,01a58031o0472o
116,58031.434686,18.339,0.227,168,38,o,0,1.46,330.52111,-7.11981,2342.82,1506.5,3.22,2.87,82.1,-0.447,18.0,18.41,01a58031o0506o
118,58032.391814,18.925,0.452,98,44,o,0,1.07,330.52111,-7.11981,8754.36,7956.94,3.44,2.78,-85.1,-0.429,18.49,19.17,01a58032o0420o
119,58032.400315,18.651,0.336,126,42,o,0,1.26,330.52111,-7.11981,8777.71,8028.49,3.47,2.83,-84.4,-0.42,18.47,19.13,01a58032o0438o
120,58032.408492,19.425,0.777,62,48,o,0,0.75,330.52111,-7.11981,8721.26,7981.67,3.57,2.84,-83.5,-0.42,18.4,19.09,01a58032o0455o
121,58032.417228,18.728,0.405,117,48,o,0,1.12,330.52111,-7.11981,8705.73,8130.14,3.49,2.78,-83.8,-0.421,18.44,19.04,01a58032o0473o
122,58033.32873,19.127,0.268,81,22,o,0,1.53,330.52111,-7.11981,10152.42,8319.51,3.73,2.77,-86.2,-0.395,18.79,19.8,01a58033o0225o
123,58033.335585,18.81,0.211,109,23,o,0,1.14,330.52111,-7.11981,10175.62,8386.54,3.75,2.7,-84.3,-0.384,18.81,19.79,01a58033o0239o
124,58033.33657100001,19.034,0.246,88,22,o,0,1.42,330.52111,-7.11981,510.21,8447.12,3.24,2.53,-85.4,-0.418,18.83,19.76,01a58033o0241o
125,58033.34188200001,18.906,0.257,100,26,o,0,1.18,330.52111,-7.11981,10118.92,8334.63,3.76,2.77,-84.4,-0.387,18.81,19.78,01a58033o0252o
126,58033.343438,18.714,0.193,119,23,o,0,0.92,330.52111,-7.11981,532.79,8513.8,3.35,2.69,-86.4,-0.413,18.79,19.76,01a58033o0255o
127,58033.348729,19.631,0.546,51,28,o,0,1.23,330.52111,-7.11981,10103.26,8478.76,3.77,2.78,-84.7,-0.392,18.77,19.71,01a58033o0266o
128,58033.349687,20.129,0.7879999999999999,32,25,o,0,1.12,330.52111,-7.11981,476.36,8462.69,3.33,2.67,-88.6,-0.41,18.7,19.7,01a58033o0268o
129,58033.356545,18.839,0.233,106,25,o,0,1.61,330.52111,-7.11981,459.14,8606.53,3.42,2.77,89.0,-0.407,18.68,19.54,01a58033o0282o
131,58034.33951000001,18.912,0.513,99,51,o,0,1.57,330.52111,-7.11981,8429.57,2413.01,2.16,2.04,-74.7,-0.453,17.55,17.69,02a58034o0312o
132,58034.346725,19.058,0.247,86,21,o,0,1.42,330.52111,-7.11981,8489.16,2491.07,2.17,2.03,-79.8,-0.459,18.65,19.11,02a58034o0327o
133,58034.353862,18.678,0.271,123,33,o,0,1.24,330.52111,-7.11981,8508.49,2374.48,2.19,2.05,-75.8,-0.448,18.39,18.62,02a58034o0342o
134,58035.324328,19.257,0.217,72,16,o,0,1.07,330.52111,-7.11981,9323.14,8966.66,3.23,2.61,-83.3,-0.441,19.23,20.61,01a58035o0259o
135,58035.33160599999,19.166,0.287,78,22,o,0,1.13,330.52111,-7.11981,9345.83,9034.96,3.22,2.59,-85.0,-0.441,19.0,20.14,01a58035o0274o
