Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
1,58035.64085900001,18.095,0.313,210,66,o,0,0.96,136.18341999999998,37.22806,4980.32,1114.86,2.03,1.87,-63.3,-0.4,17.45,17.31,02a58035o0825o
4,58061.496037,19.01,0.429,90,39,o,0,1.32,136.18341999999998,37.22806,8578.21,10177.36,3.23,2.69,-81.7,-0.472,18.13,18.68,01a58061o0654o
5,58061.499424,19.558,0.7340000000000001,55,40,o,0,0.98,136.18341999999998,37.22806,8648.99,10254.13,3.19,2.65,-81.6,-0.476,18.2,18.72,01a58061o0661o
6,58061.501314,19.107,0.519,83,43,o,0,0.96,136.18341999999998,37.22806,8667.29,10135.71,3.09,2.6,-82.9,-0.48,18.27,18.73,01a58061o0665o
9,58067.612362,20.814,0.909,17,16,o,0,1.12,136.18341999999998,37.22806,3846.97,1302.85,2.12,1.99,52.3,-0.452,19.22,19.94,02a58067o0853o
10,58067.622751,20.386,0.605,25,15,o,0,1.26,136.18341999999998,37.22806,3857.01,1344.97,2.15,1.99,48.5,-0.475,19.23,19.93,02a58067o0870o
14,58073.61839500001,20.006,0.341,36,12,o,0,1.25,136.18341999999998,37.22806,7258.51,10411.46,3.6,2.75,-76.0,-0.441,19.42,21.14,01a58073o0869o
16,58073.640086,19.875,0.348,41,14,o,0,1.23,136.18341999999998,37.22806,7360.5,10292.54,3.62,2.76,-79.0,-0.4320000000000001,19.39,21.08,01a58073o0904o
22,58077.614416,20.203,0.435,30,13,o,0,1.22,136.18341999999998,37.22806,7652.68,9099.12,3.31,2.66,-78.6,-0.443,19.42,21.24,01a58077o0854o
23,58077.62413400001,20.452,0.512,24,12,o,0,1.45,136.18341999999998,37.22806,7725.2,9141.7,3.34,2.68,-79.3,-0.44,19.46,21.23,01a58077o0871o
24,58077.635672,20.276,0.43,28,12,o,0,1.31,136.18341999999998,37.22806,7750.67,8982.29,3.37,2.68,-81.3,-0.435,19.47,21.18,01a58077o0889o
25,58079.632296,21.167,0.728,12,9,c,0,1.44,136.18341999999998,37.22806,5284.93,8906.63,2.46,2.27,16.6,-0.468,19.81,21.62,02a58079o0837c
26,58079.641824,19.947,0.238,38,9,c,0,1.29,136.18341999999998,37.22806,5266.69,8866.95,2.6,2.27,6.9,-0.453,19.79,21.63,02a58079o0855c
33,58082.59956,20.16,0.449,31,14,o,0,1.34,136.18341999999998,37.22806,409.32,1649.66,3.33,2.62,78.8,-0.475,19.31,20.99,01a58082o0882o
34,58082.609832,20.377,0.525,26,14,o,0,1.13,136.18341999999998,37.22806,406.51,1572.95,3.38,2.83,83.9,-0.469,19.3,21.01,01a58082o0901o
36,58082.619434,20.913,0.794,16,12,o,0,1.49,136.18341999999998,37.22806,9526.94,8627.74,3.81,2.89,-85.3,-0.392,19.32,20.96,01a58082o0920o
42,58090.558517,19.788,0.703,44,31,o,0,0.88,136.18341999999998,37.22806,185.62,1722.31,3.29,2.92,84.5,-0.452,18.45,19.31,01a58090o0029o
44,58090.588876,20.145,0.949,32,30,o,0,0.81,136.18341999999998,37.22806,263.75,1650.14,3.24,2.79,82.5,-0.473,18.48,19.37,01a58090o0052o
53,58094.595978,19.441,0.391,61,24,o,0,1.49,136.18341999999998,37.22806,477.69,10221.97,3.07,2.51,-77.8,-0.506,18.71,19.67,01a58094o0882o
