Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58025.61655599999,19.115,0.242,82,20,o,0,1.23,134.05458000000002,32.50983,10313.29,1993.87,3.94,3.42,-79.2,-0.404,18.93,20.35,01a58025o0819o
1,58025.62925700001,18.926,0.203,98,20,o,0,1.2,134.05458000000002,32.50983,10323.14,1937.35,3.76,3.27,-79.6,-0.434,18.93,20.3,01a58025o0838o
2,58025.641792,19.139,0.6859999999999999,80,55,o,0,1.16,134.05458000000002,32.50983,10414.56,1996.67,3.96,3.35,-79.5,-0.421,17.81,18.34,01a58025o0857o
4,58035.64085900001,18.226,0.399,186,74,o,0,2.21,134.05458000000002,32.50983,1440.58,10240.58,1.93,1.73,20.6,-0.5670000000000001,17.45,17.31,02a58035o0825o
5,58035.65049099999,17.314,0.769,431,331,o,0,2.43,134.05458000000002,32.50983,1392.16,10163.72,7.38,2.38,3.3,-0.184,15.89,16.34,02a58035o0842o
8,58059.61414299999,19.878,0.433,41,18,o,0,0.99,134.05458000000002,32.50983,9247.06,9167.87,2.09,1.89,23.7,-0.479,19.3,19.92,02a58059o0718o
9,58059.625615,20.347,0.531,26,14,o,0,0.87,134.05458000000002,32.50983,9174.54,9092.52,2.05,1.9,25.4,-0.481,19.47,20.32,02a58059o0735o
10,58059.636865,19.992,0.301,37,11,o,0,1.85,134.05458000000002,32.50983,9156.67,9212.12,2.01,1.87,22.9,-0.465,19.58,20.57,02a58059o0752o
15,58063.594881,19.861,0.482,41,20,o,0,1.75,134.05458000000002,32.50983,718.69,8340.72,2.21,2.02,5.3,-0.48,18.96,19.51,02a58063o0777o
18,58063.62295499999,19.982,0.69,37,26,o,0,1.16,134.05458000000002,32.50983,641.91,8422.65,2.36,2.19,17.9,-0.46,18.95,19.58,02a58063o0825o
19,58065.583957,13.33,0.361,16901,6102,o,0,0.18,134.05458000000002,32.50983,5811.34,9255.85,28.46,4.07,0.0,-0.136,15.42,15.59,01a58065o0800o
24,58067.612362,20.181,0.615,31,19,o,0,0.91,134.05458000000002,32.50983,213.1,10416.53,2.42,1.91,18.7,-0.45,19.22,19.94,02a58067o0853o
26,58067.61753400001,19.142,0.436,80,35,o,0,3.13,134.05458000000002,32.50983,10199.7,10516.82,2.31,1.88,30.9,-0.499,19.29,20.0,02a58067o0862o
30,58067.633762,20.553,0.846,22,18,o,0,1.0,134.05458000000002,32.50983,151.28,10381.02,2.39,1.84,17.8,-0.501,19.25,19.9,02a58067o0887o
31,58067.63653500001,19.975,0.449,37,17,o,0,0.99,134.05458000000002,32.50983,4873.0,853.68,2.13,1.97,51.2,-0.469,19.11,19.67,02a58067o0891o
34,58071.644478,20.769,0.531,18,10,c,0,1.3,134.05458000000002,32.50983,1378.14,8134.85,2.57,2.21,19.1,-0.452,19.68,21.28,02a58071o0766c
36,58073.595748,20.195,0.732,30,22,o,0,0.44,134.05458000000002,32.50983,886.07,1365.48,3.53,2.74,82.7,-0.473,19.38,21.1,01a58073o0831o
39,58073.62744400001,20.612,0.942,21,20,o,0,0.55,134.05458000000002,32.50983,963.79,1170.47,3.34,2.63,83.1,-0.483,19.4,21.08,01a58073o0884o
40,58075.633945,20.373,0.536,26,14,c,0,0.74,134.05458000000002,32.50983,1347.42,9155.48,2.64,2.22,16.8,-0.452,19.61,21.32,02a58075o0799c
45,58077.617399,20.54,0.568,22,12,o,0,1.14,134.05458000000002,32.50983,6645.8,9564.16,3.14,2.64,-76.5,-0.465,19.46,21.23,01a58077o0859o
48,58079.633261,20.313,0.297,27,8,c,0,1.56,134.05458000000002,32.50983,4181.43,9317.16,2.5,2.25,17.4,-0.464,19.84,21.6,02a58079o0839c
50,58079.65349500001,19.684,0.278,49,14,c,0,1.1,134.05458000000002,32.50983,4262.69,9280.79,2.53,2.12,10.8,-0.463,19.49,20.86,02a58079o0874c
51,58081.581072,20.301,0.506,28,14,o,0,0.82,134.05458000000002,32.50983,2739.49,563.52,2.98,2.73,82.8,-0.438,19.48,21.22,01a58081o0815o
54,58081.597336,21.072,0.908,14,12,o,0,1.28,134.05458000000002,32.50983,7952.33,10102.65,3.34,2.72,-80.0,-0.448,19.41,21.15,01a58081o0844o
55,58081.600167,19.754,0.28300000000000003,46,13,o,0,0.98,134.05458000000002,32.50983,2807.55,532.17,3.07,3.02,82.3,-0.415,19.39,21.19,01a58081o0849o
63,58097.580462,20.496,0.725,23,17,o,0,0.76,134.05458000000002,32.50983,2753.55,1590.33,3.35,3.13,82.7,-0.428,19.17,20.77,01a58097o0756o
66,58099.56357100001,20.069000000000006,0.565,34,19,o,0,0.99,134.05458000000002,32.50983,8648.68,10091.63,2.5,2.21,27.6,-0.429,19.22,20.3,02a58099o0766o
70,58099.574823,20.293,0.535,28,15,o,0,0.99,134.05458000000002,32.50983,1822.35,300.0,2.38,2.05,41.1,-0.51,19.42,20.51,02a58099o0787o
80,58105.57685599999,20.608,0.485,21,10,o,0,1.21,134.05458000000002,32.50983,800.27,8478.79,2.88,2.44,-83.9,-0.45,19.49,21.31,01a58105o0717o
88,58113.531086,20.164,0.526,31,16,o,0,0.62,134.05458000000002,32.50983,4627.61,86.21,3.3,2.91,84.6,-0.418,19.38,21.18,01a58113o0577o
89,58113.54061799999,19.597,0.353,53,19,o,0,0.75,134.05458000000002,32.50983,10021.51,9706.39,4.16,2.97,-83.6,-0.4,19.35,21.18,01a58113o0596o
91,58113.541532,20.572,0.7,21,15,o,0,0.81,134.05458000000002,32.50983,4643.52,167.38,3.21,2.83,85.0,-0.419,19.39,21.18,01a58113o0598o
93,58113.54246799999,20.675,0.825,20,16,o,0,0.63,134.05458000000002,32.50983,4593.43,92.78,3.25,2.89,85.0,-0.42,19.36,21.17,01a58113o0600o
95,58113.559138,20.457,0.602,24,14,o,0,0.86,134.05458000000002,32.50983,4578.81,275.83,3.17,2.88,84.5,-0.424,19.39,21.16,01a58113o0632o
96,58113.56011900001,20.525,0.804,22,18,o,0,0.72,134.05458000000002,32.50983,9942.21,9825.44,4.02,2.85,-83.4,-0.419,19.32,21.17,01a58113o0634o
107,58119.497827,19.855,0.574,42,24,o,0,1.49,134.05458000000002,32.50983,5304.04,517.17,2.3,2.03,47.3,-0.489,18.65,19.01,02a58119o0613o
112,58119.518338,19.576,0.593,54,32,o,0,0.93,134.05458000000002,32.50983,560.11,9976.87,2.4,2.0,19.5,-0.457,18.67,19.06,02a58119o0648o
115,58123.617823,19.759,0.599,45,27,o,0,1.59,134.05458000000002,32.50983,5446.23,9433.35,2.24,2.03,11.1,-0.494,18.77,19.31,02a58123o0861o
116,58123.629709,19.413,0.374,62,23,o,0,1.28,134.05458000000002,32.50983,5429.8,9393.69,2.23,2.03,7.8,-0.495,18.75,19.27,02a58123o0884o
122,58125.605446,20.897,0.937,16,15,o,0,0.84,134.05458000000002,32.50983,3654.45,1437.74,2.73,2.67,42.3,-0.479,19.25,20.66,01a58125o0848o
124,58125.6313,20.615,0.75,21,16,o,0,1.05,134.05458000000002,32.50983,3641.53,1491.7,2.99,2.84,57.6,-0.451,19.08,20.5,01a58125o0898o
127,58126.620351,20.7,0.943,19,18,o,0,1.21,134.05458000000002,32.50983,9450.9,9769.22,4.96,3.46,-80.4,-0.371,19.18,20.85,01a58126o0891o
128,58126.621726,20.104,0.475,33,16,o,0,0.88,134.05458000000002,32.50983,4085.38,193.87,3.14,3.08,41.7,-0.405,19.22,20.86,01a58126o0894o
131,58126.63948099999,20.392,0.588,25,15,o,0,0.89,134.05458000000002,32.50983,4080.14,215.63,3.18,3.08,15.7,-0.409,19.16,20.78,01a58126o0932o
142,58127.53403,21.173,0.956,12,12,o,0,0.91,134.05458000000002,32.50983,5329.27,10002.19,2.3,1.97,8.5,-0.481,19.68,21.08,02a58127o0690o
146,58129.60017200001,16.916,0.429,622,266,o,0,2.06,134.05458000000002,32.50983,9275.13,10357.98,5.77,3.98,-79.1,-0.287,16.31,17.59,01a58129o0681o
173,58134.523275,20.809,0.963,17,17,o,0,1.02,134.05458000000002,32.50983,9682.92,8746.14,4.85,3.23,-79.7,-0.3670000000000001,19.38,21.21,01a58134o0711o
174,58134.536802,20.711,0.8690000000000001,19,16,o,0,0.94,134.05458000000002,32.50983,9640.93,8724.19,4.81,3.13,-80.7,-0.373,19.39,21.2,01a58134o0740o
175,58134.540626,20.432,0.603,24,15,o,0,1.2,134.05458000000002,32.50983,9613.26,8857.71,4.84,3.11,-83.4,-0.38,19.43,21.19,01a58134o0748o
178,58135.553392,20.772,0.746,18,13,c,0,1.19,134.05458000000002,32.50983,10381.59,1062.01,3.88,3.4,54.3,-0.364,19.56,21.6,02a58135o0741c
183,58135.581868,20.894,0.7859999999999999,16,12,c,0,0.97,134.05458000000002,32.50983,10416.95,1099.2,3.34,2.87,54.6,-0.396,19.62,21.62,02a58135o0799c
184,58135.585303,20.254,0.4270000000000001,29,12,c,0,1.28,134.05458000000002,32.50983,10452.18,982.98,3.41,2.95,49.8,-0.395,19.65,21.62,02a58135o0806c
189,58138.516698,21.089,0.914,13,12,o,0,1.01,134.05458000000002,32.50983,851.49,8664.82,3.45,2.83,-82.6,-0.412,19.34,21.36,01a58138o0692o
201,58144.53554400001,17.546,0.759,348,264,o,0,0.63,134.05458000000002,32.50983,8915.73,2145.97,2.31,2.02,44.6,-0.461,16.5,17.52,02a58144o0606o
204,58147.52594299999,19.458,0.418,60,25,o,0,1.37,134.05458000000002,32.50983,1934.95,823.37,2.62,1.94,31.8,-0.499,18.6,18.95,02a58147o0645o
