Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
9,57976.318266,20.652,0.887,20,18,o,0,1.59,237.82357,-15.45297,2050.05,10089.48,2.92,2.48,-81.4,-0.4970000000000001,18.99,20.07,01a57976o0146o
14,57977.283073,21.033,0.8220000000000001,14,12,o,0,1.21,237.82357,-15.45297,4979.17,7661.55,2.24,2.1,-51.8,-0.455,19.53,20.73,02a57977o0106o
22,57980.31518300001,20.383,0.6509999999999999,26,17,o,0,1.08,237.82357,-15.45297,1688.86,9497.82,2.84,2.48,-82.6,-0.507,19.15,20.38,01a57980o0142o
23,57980.324062,20.079,0.611,34,21,o,0,1.02,237.82357,-15.45297,1632.65,9451.3,2.86,2.52,-80.6,-0.499,19.1,20.34,01a57980o0159o
25,57981.274964,20.171,0.336,31,10,c,0,1.14,237.82357,-15.45297,3068.52,8101.13,2.45,2.25,16.9,-0.453,19.63,21.2,02a57981o0079c
27,57981.291914,20.432,0.395,24,10,c,0,0.95,237.82357,-15.45297,3110.93,8137.85,2.4,2.25,17.9,-0.449,19.67,21.22,02a57981o0113c
28,57981.300297,21.088,0.68,13,9,c,0,1.87,237.82357,-15.45297,3131.07,8020.24,2.42,2.25,17.4,-0.451,19.62,21.22,02a57981o0130c
52,57999.265839,19.291,0.821,70,57,o,0,1.01,237.82357,-15.45297,3525.5,5582.83,3.35,3.07,-81.5,-0.438,18.08,19.06,01a57999o0070o
58,58001.269691,19.699,0.526,48,25,o,0,1.15,237.82357,-15.45297,7377.4,5370.8,2.02,1.95,36.5,-0.509,18.62,19.05,02a58001o0072o
59,58001.277163,19.982,0.617,37,23,o,0,1.78,237.82357,-15.45297,7360.11,5329.79,2.04,1.96,24.8,-0.505,18.55,19.0,02a58001o0088o
67,58006.259651,20.05,0.496,35,17,o,0,1.13,237.82357,-15.45297,6617.89,4980.72,2.44,2.17,-57.0,-0.44,19.18,20.13,02a58006o0063o
68,58006.26576,20.891,0.97,16,16,o,0,0.98,237.82357,-15.45297,6673.45,5058.45,2.35,2.11,-59.5,-0.449,19.17,20.12,02a58006o0076o
78,58024.215674,18.063,0.116,216,25,o,0,1.47,237.82357,-15.45297,4211.09,4800.57,2.93,2.62,84.6,-0.474,18.49,19.21,01a58024o0038o
79,58024.22233500001,18.015,0.102,226,23,o,0,1.42,237.82357,-15.45297,4229.48,4859.83,3.02,2.73,87.8,-0.462,18.53,19.34,01a58024o0052o
80,58024.229412,17.776,0.086,282,24,o,0,1.12,237.82357,-15.45297,4172.56,4804.52,2.86,2.59,86.6,-0.482,18.6,19.34,01a58024o0067o
81,58024.23598,18.045,0.121,220,27,o,0,1.54,237.82357,-15.45297,4152.51,4939.77,2.99,2.76,83.1,-0.459,18.51,19.3,01a58024o0081o
82,58026.213589,17.699,0.116,302,35,o,0,0.88,237.82357,-15.45297,8401.58,4100.76,2.2,2.14,-76.0,-0.475,18.34,18.54,02a58026o0036o
83,58026.22037,17.986,0.12,232,28,o,0,1.38,237.82357,-15.45297,8382.74,4061.86,2.22,2.16,-73.5,-0.481,18.66,19.13,02a58026o0049o
84,58026.227444,18.113,0.122,206,25,o,0,1.26,237.82357,-15.45297,8437.75,4138.86,2.26,2.17,-81.8,-0.469,18.71,19.18,02a58026o0064o
85,58026.234383,17.963,0.101,237,24,o,0,1.48,237.82357,-15.45297,8455.98,4022.32,2.24,2.16,-35.5,-0.455,18.7,19.16,02a58026o0079o
86,58028.21152300001,17.597,0.383,332,127,o,0,1.28,237.82357,-15.45297,1237.45,8248.51,3.09,2.98,-66.9,-0.464,17.78,18.29,01a58028o0013o
87,58028.216766,17.947,0.607,241,146,o,0,1.43,237.82357,-15.45297,1257.14,8303.06,2.88,2.79,-73.8,-0.457,16.49,17.36,01a58028o0024o
88,58028.224083,17.865,0.741,259,192,o,0,0.94,237.82357,-15.45297,1200.53,8247.92,2.97,2.8,-81.3,-0.464,17.48,18.15,01a58028o0039o
98,58124.63945800001,19.227,0.7170000000000001,74,53,o,0,1.3,237.82357,-15.45297,9329.53,5479.44,5.23,3.52,-85.6,-0.3720000000000001,18.14,19.18,01a58124o0933o
100,58128.632169,19.746,0.703,46,32,o,0,1.35,237.82357,-15.45297,8692.3,6742.61,5.94,4.11,-82.4,-0.289,18.41,19.78,01a58128o0805o
101,58128.640722,19.458,0.512,60,31,o,0,1.3,237.82357,-15.45297,8669.31,6691.69,5.9,4.23,-83.5,-0.284,18.38,19.83,01a58128o0822o
102,58128.649364,19.466,0.52,59,31,o,0,1.08,237.82357,-15.45297,8716.31,6753.51,5.8,4.27,-82.8,-0.276,18.46,19.89,01a58128o0839o
103,58128.65799299999,19.412,0.511,62,32,o,0,1.23,237.82357,-15.45297,8723.99,6619.76,5.75,4.22,-82.6,-0.289,18.37,19.83,01a58128o0856o
104,58148.645403,20.098,0.984,33,33,o,0,1.61,237.82357,-15.45297,5900.02,5733.66,4.02,3.15,-88.3,-0.397,18.39,19.45,01a58148o0899o
121,58206.554105,20.719,0.879,19,16,o,0,1.64,237.82357,-15.45297,4135.68,7630.72,2.0,1.82,20.1,-0.529,19.07,19.61,02a58206o0710o
123,58206.574688,20.31,0.604,27,16,o,0,1.65,237.82357,-15.45297,4082.11,7594.17,2.0,1.79,26.0,-0.542,19.07,19.62,02a58206o0752o
125,58207.44198400001,19.349,0.871,66,58,o,0,1.14,237.82357,-15.45297,8380.61,6256.97,5.27,3.38,-84.2,-0.35200000000000004,18.11,19.02,01a58207o0387o
126,58207.45115,19.429,0.95,62,58,o,0,1.06,237.82357,-15.45297,8354.42,6199.42,5.34,3.49,-83.5,-0.343,18.18,19.09,01a58207o0407o
127,58207.460364,19.213,0.779,75,58,o,0,0.98,237.82357,-15.45297,8404.65,6255.94,5.42,3.75,-84.5,-0.333,18.18,19.16,01a58207o0427o
129,58220.58845700001,20.685,0.604,19,12,o,0,1.74,237.82357,-15.45297,2648.32,5060.38,2.92,2.65,-85.9,-0.478,19.27,20.89,01a58220o0788o
135,58226.592494,17.951,0.769,240,184,c,0,1.3,237.82357,-15.45297,7700.29,3046.96,2.67,2.56,-89.6,-0.413,16.54,17.95,02a58226o0572c
