Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
71,58018.423766,21.312,0.723,11,8,c,0,1.46,2.31526,5.29652,6758.01,6253.95,2.72,2.5,-45.2,-0.382,19.74,21.49,02a58018o0142c
72,58018.424222,21.62,0.984,8,8,c,0,1.34,2.31526,5.29652,6777.25,6292.87,2.74,2.52,-42.3,-0.388,19.73,21.49,02a58018o0143c
74,58018.43627000001,21.467,0.787,9,7,c,0,1.31,2.31526,5.29652,6701.56,6332.35,2.69,2.45,-40.3,-0.381,19.77,21.5,02a58018o0168c
75,58022.402729,20.043,0.233,35,8,o,0,1.28,2.31526,5.29652,3109.83,4753.45,1.98,1.81,-26.6,-0.462,19.68,20.72,02a58022o0389o
76,58022.40944,19.757,0.195,45,9,o,0,0.76,2.31526,5.29652,3127.97,4792.98,1.97,1.84,-27.9,-0.462,19.68,20.77,02a58022o0403o
77,58022.415735,20.043,0.274,35,10,o,0,1.03,2.31526,5.29652,3069.48,4716.18,2.0,1.85,-25.1,-0.453,19.68,20.79,02a58022o0416o
78,58022.419172,20.318,0.287,27,8,o,0,1.58,2.31526,5.29652,3049.57,4834.39,1.94,1.84,-33.7,-0.463,19.67,20.78,02a58022o0423o
79,58024.408468,20.729,0.785,18,15,o,0,958.04,2.31526,5.29652,5607.53,2733.27,3.14,2.97,-17.2,-0.426,19.23,20.79,01a58024o0434o
80,58024.411767,19.569000000000006,0.247,54,13,o,0,1.12,2.31526,5.29652,5627.99,2786.87,3.05,2.82,-76.1,-0.434,19.3,20.8,01a58024o0441o
81,58024.427614,19.634,0.24,51,12,o,0,1.29,2.31526,5.29652,4692.5,7517.58,2.98,2.61,-83.5,-0.466,19.36,20.83,01a58024o0475o
82,58024.432453,19.947,0.311,38,12,o,0,1.2,2.31526,5.29652,5558.63,2908.19,3.12,2.92,1.2,-0.426,19.3,20.92,01a58024o0484o
83,58026.406281,19.351,0.172,66,11,o,0,1.04,2.31526,5.29652,6602.7,5570.5,2.19,2.01,-45.6,-0.446,19.45,20.31,02a58026o0430o
84,58026.413908,19.309,0.185,69,13,o,0,1.08,2.31526,5.29652,6582.41,5529.53,2.22,2.04,-48.5,-0.4320000000000001,19.43,20.28,02a58026o0445o
85,58026.415968,19.438,0.17,61,10,o,0,1.22,2.31526,5.29652,3838.61,4820.64,1.96,1.88,-35.8,-0.463,19.48,20.32,02a58026o0449o
86,58026.43271,19.189,0.145,77,11,o,0,1.27,2.31526,5.29652,6656.04,5493.22,2.18,2.02,-63.3,-0.444,19.42,20.34,02a58026o0482o
87,58028.390693,19.161,0.241,79,19,o,0,1.49,2.31526,5.29652,7613.72,4195.48,3.31,2.79,87.6,-0.43,18.8,19.72,01a58028o0343o
88,58028.398818,19.153,0.265,79,21,o,0,1.03,2.31526,5.29652,7595.87,4124.74,3.25,2.76,88.6,-0.442,18.79,19.66,01a58028o0358o
89,58028.412896,19.334,0.311,67,21,o,0,1.29,2.31526,5.29652,2591.94,6265.41,2.84,2.48,-86.5,-0.496,18.82,19.72,01a58028o0387o
90,58028.413355,19.449,0.35200000000000004,60,21,o,0,1.09,2.31526,5.29652,2610.87,6150.89,2.95,2.54,-86.3,-0.484,18.85,19.74,01a58028o0388o
91,58033.394275,19.23,0.33,74,24,o,0,1.29,2.31526,5.29652,3808.92,3608.37,2.94,2.7,-89.2,-0.467,18.55,19.26,01a58033o0361o
92,58033.400971,19.023,0.264,89,24,o,0,1.11,2.31526,5.29652,3830.92,3673.82,2.98,2.68,-87.9,-0.462,18.58,19.29,01a58033o0375o
93,58033.407076,18.467,0.168,149,25,o,0,1.04,2.31526,5.29652,3773.77,3621.76,2.96,2.72,88.6,-0.457,18.59,19.29,01a58033o0388o
94,58033.413689,18.966,0.235,94,22,o,0,1.3,2.31526,5.29652,3758.19,3762.9,2.99,2.67,85.5,-0.457,18.57,19.34,01a58033o0402o
95,58034.393417,19.048,0.161,87,14,o,0,1.52,2.31526,5.29652,4919.73,7117.05,2.26,2.09,-38.4,-0.433,19.1,19.58,02a58034o0425o
96,58034.401676,19.04,0.224,88,20,o,0,0.9,2.31526,5.29652,4900.36,7077.91,2.28,2.09,-38.1,-0.4270000000000001,19.06,19.57,02a58034o0443o
97,58034.403562,18.775,0.161,112,18,o,0,1.18,2.31526,5.29652,4957.9,7152.99,2.3,2.11,-43.4,-0.444,19.05,19.59,02a58034o0447o
98,58034.410582,18.93,0.16,97,16,o,0,1.35,2.31526,5.29652,4977.45,7042.29,2.28,2.07,-50.5,-0.431,19.09,19.58,02a58034o0462o
99,58035.39176000001,18.499,0.21,145,30,o,0,1.15,2.31526,5.29652,2985.1,4262.47,2.84,2.81,13.0,-0.46,18.1,18.91,01a58035o0399o
100,58035.400039,17.698,0.439,303,133,o,0,1.12,2.31526,5.29652,2950.77,4256.07,2.9,2.84,-58.7,-0.443,16.99,17.78,01a58035o0416o
101,58035.400497,18.592,0.339,133,45,o,0,0.99,2.31526,5.29652,3009.5,4335.1,2.84,2.78,54.3,-0.479,18.08,19.04,01a58035o0417o
103,58036.393714,19.088,0.187,84,16,o,0,0.96,2.31526,5.29652,5606.54,3951.01,2.98,2.88,29.0,-0.443,19.22,20.52,01a58036o0425o
104,58036.39516,18.924,0.163,98,16,o,0,0.94,2.31526,5.29652,5626.33,3996.92,2.91,2.84,3.2,-0.446,19.24,20.52,01a58036o0428o
105,58036.40225,19.133,0.19,81,15,o,0,0.88,2.31526,5.29652,5570.66,3948.83,2.93,2.84,12.5,-0.445,19.2,20.52,01a58036o0443o
106,58036.411394,18.74,0.134,116,16,o,0,1.24,2.31526,5.29652,5555.63,4100.25,2.93,2.81,26.2,-0.447,19.2,20.49,01a58036o0461o
107,58037.38549400001,18.936,0.126,97,12,o,0,1.14,2.31526,5.29652,5959.31,5124.92,2.92,2.84,-39.6,-0.436,19.3,20.75,01a58037o0211o
108,58037.387325,19.443,0.193,61,12,o,0,1.83,2.31526,5.29652,5979.1,5171.68,2.95,2.91,-47.9,-0.431,19.24,20.72,01a58037o0215o
109,58037.399614,19.078,0.146,85,12,o,0,1.26,2.31526,5.29652,5924.8,5142.39,2.93,2.88,72.5,-0.434,19.28,20.66,01a58037o0241o
110,58037.40708200001,18.997,0.153,91,14,o,0,1.18,2.31526,5.29652,5908.94,5289.98,3.03,2.91,44.6,-0.425,19.24,20.64,01a58037o0257o
111,58044.370065,19.944000000000006,0.588,38,22,o,0,1.19,2.31526,5.29652,4071.81,2733.9,2.95,2.88,15.3,-0.438,18.63,20.22,01a58044o0387o
112,58044.377217,19.265,0.232,71,16,o,0,0.73,2.31526,5.29652,4093.82,2801.49,2.91,2.87,38.0,-0.4370000000000001,19.17,20.88,01a58044o0402o
113,58044.384391,19.347,0.227,66,15,o,0,0.94,2.31526,5.29652,4038.58,2753.26,2.89,2.83,14.5,-0.449,19.25,20.95,01a58044o0417o
114,58044.391413,19.39,0.208,64,13,o,0,1.2,2.31526,5.29652,4022.95,2898.14,2.86,2.8,49.5,-0.444,19.37,21.05,01a58044o0432o
115,58048.364716,20.039,0.401,35,14,o,0,0.97,2.31526,5.29652,5311.58,2921.84,2.88,2.77,-87.2,-0.449,19.3,20.77,01a58048o0381o
116,58048.371871,20.071,0.381,34,13,o,0,1.03,2.31526,5.29652,5354.34,2989.15,2.97,2.79,77.1,-0.444,19.25,20.72,01a58048o0396o
117,58048.378945,20.079,0.365,34,12,o,0,1.21,2.31526,5.29652,5280.42,2940.75,2.94,2.85,82.7,-0.443,19.29,20.8,01a58048o0411o
118,58048.38611,20.268,0.401,28,11,o,0,1.54,2.31526,5.29652,5264.94,3085.79,3.02,2.84,68.6,-0.4370000000000001,19.28,20.79,01a58048o0426o
119,58054.355683,19.832,0.278,42,12,o,0,1.08,2.31526,5.29652,7240.86,4939.62,2.18,2.07,-65.6,-0.446,19.41,20.31,02a58054o0361o
121,58054.369893,19.855,0.297,42,12,o,0,0.99,2.31526,5.29652,7279.56,4977.79,2.21,2.04,-62.8,-0.453,19.42,20.34,02a58054o0391o
122,58054.376877,20.757,0.635,18,12,o,0,0.81,2.31526,5.29652,7300.3,4862.44,2.19,2.03,-56.5,-0.448,19.46,20.36,02a58054o0406o
123,58056.335336,20.573,1.0,21,21,o,0,1.1,2.31526,5.29652,3939.89,2953.87,3.31,3.14,86.0,-0.422,18.76,19.95,01a58056o0183o
124,58056.342427,19.774,0.42,45,19,o,0,1.13,2.31526,5.29652,3962.62,3021.11,3.15,2.89,84.7,-0.429,18.84,19.95,01a58056o0198o
125,58056.349558,19.565,0.363,54,20,o,0,1.06,2.31526,5.29652,3905.57,2972.43,3.08,2.83,78.5,-0.439,18.86,19.95,01a58056o0213o
128,58060.34374600001,19.763,0.831,45,38,o,0,1.06,2.31526,5.29652,4179.36,3688.51,2.98,2.91,-76.9,-0.443,18.19,18.67,01a58060o0144o
129,58060.35084500001,19.757,0.737,45,34,o,0,1.25,2.31526,5.29652,4124.66,3640.48,3.0,2.68,-87.7,-0.449,18.24,18.68,01a58060o0157o
130,58060.357954,20.065,0.913,34,31,o,0,1.24,2.31526,5.29652,4109.99,3786.03,3.01,2.61,-88.6,-0.448,18.24,18.69,01a58060o0170o
131,58062.344641,19.485,0.282,58,16,o,0,1.37,2.31526,5.29652,4403.87,4897.12,2.24,2.03,-54.8,-0.446,18.96,19.26,02a58062o0274o
134,58062.3652,19.958,0.468,38,18,o,0,1.61,2.31526,5.29652,4461.96,4819.79,2.59,2.37,-52.6,-0.413,18.76,19.25,02a58062o0317o
135,58064.326139,19.61,0.322,52,17,o,0,1.02,2.31526,5.29652,3941.12,2886.79,2.93,2.79,72.0,-0.457,19.06,20.16,01a58064o0290o
138,58064.350326,20.395,0.7190000000000001,25,18,o,0,1.08,2.31526,5.29652,3892.78,3063.56,2.9,2.86,36.0,-0.443,18.98,20.1,01a58064o0341o
139,58066.339764,20.537,0.443,22,10,o,0,0.92,2.31526,5.29652,4211.26,3968.07,2.1,1.97,-64.1,-0.435,19.51,20.58,02a58066o0314o
140,58066.34779,20.349,0.332,26,9,o,0,1.57,2.31526,5.29652,4194.12,3928.75,2.11,1.96,-67.3,-0.447,19.56,20.65,02a58066o0331o
