Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
16,57998.488232,20.703000000000007,0.765,19,14,o,0,1.13,20.40387,-3.5931800000000003,9415.34,3115.66,2.21,2.01,57.9,-0.467,19.33,20.01,02a57998o0475o
79,58033.424702,18.723,0.408,118,48,o,0,1.35,20.40387,-3.5931800000000003,363.42,8954.15,3.3,2.61,-88.6,-0.41,18.34,18.96,01a58033o0425o
80,58033.431856,19.095,0.415,84,35,o,0,1.13,20.40387,-3.5931800000000003,10001.71,1375.57,3.61,2.8,-82.3,-0.443,18.4,19.0,01a58033o0439o
81,58033.439717,18.827,0.455,107,49,o,0,1.25,20.40387,-3.5931800000000003,427.25,8936.89,3.26,2.7,88.4,-0.4320000000000001,18.35,18.95,01a58033o0452o
82,58033.448752,18.884,0.35,101,36,o,0,1.16,20.40387,-3.5931800000000003,9909.38,1483.67,3.61,2.9,-82.3,-0.438,18.4,18.96,01a58033o0466o
83,58034.429089,18.43,0.133,154,20,o,0,0.91,20.40387,-3.5931800000000003,1928.45,1141.76,1.85,1.78,38.4,-0.516,18.9,19.23,02a58034o0501o
84,58034.43776,18.216,0.132,188,25,o,0,0.81,20.40387,-3.5931800000000003,8519.32,9246.77,2.11,1.96,30.4,-0.485,18.94,19.31,02a58034o0516o
85,58034.44590599999,18.561,0.129,137,18,o,0,1.49,20.40387,-3.5931800000000003,1889.93,1107.11,1.81,1.68,56.0,-0.505,18.96,19.23,02a58034o0531o
86,58034.453577,18.421,0.086,156,13,o,0,2.39,20.40387,-3.5931800000000003,1868.23,1224.69,1.92,1.76,50.3,-0.527,18.86,19.17,02a58034o0546o
87,58035.419353,17.98,0.333,233,78,o,0,0.87,20.40387,-3.5931800000000003,1225.28,8299.62,3.02,2.71,-87.4,-0.445,18.07,18.67,01a58035o0455o
88,58036.43088200001,17.858,0.07200000000000001,261,19,o,0,0.99,20.40387,-3.5931800000000003,2079.24,1772.33,2.86,2.78,23.2,-0.456,19.15,20.36,01a58036o0501o
89,58036.438437,17.811,0.058,273,16,o,0,1.16,20.40387,-3.5931800000000003,2102.83,1842.32,2.89,2.83,30.1,-0.446,19.15,20.36,01a58036o0516o
90,58036.447567,17.877,0.069,257,18,o,0,1.42,20.40387,-3.5931800000000003,2046.41,1798.99,2.85,2.79,25.3,-0.448,19.13,20.33,01a58036o0531o
91,58036.45632000001,17.796,0.068,276,19,o,0,1.06,20.40387,-3.5931800000000003,2032.67,1952.37,2.98,2.82,32.4,-0.456,19.13,20.32,01a58036o0546o
92,58037.425543,17.471,0.046,373,17,o,0,0.97,20.40387,-3.5931800000000003,7906.61,7336.33,2.95,2.71,-81.5,-0.452,19.24,20.48,01a58037o0295o
93,58037.432767,17.535,0.05,352,18,o,0,0.89,20.40387,-3.5931800000000003,2458.51,3032.42,2.85,2.83,35.0,-0.448,19.22,20.48,01a58037o0310o
94,58037.441726,17.519000000000002,0.042,357,15,o,0,1.39,20.40387,-3.5931800000000003,2408.52,2990.93,2.79,2.69,-5.2,-0.463,19.24,20.47,01a58037o0325o
95,58037.45026699999,17.642,0.051,319,16,o,0,1.01,20.40387,-3.5931800000000003,2391.42,3140.9,2.77,2.67,19.6,-0.463,19.23,20.49,01a58037o0340o
96,58044.402338,16.576,0.019,850,16,o,0,1.61,20.40387,-3.5931800000000003,10258.84,431.02,3.32,2.93,-67.3,-0.439,19.45,21.12,01a58044o0455o
97,58044.406124,16.542,0.044,877,39,o,0,0.94,20.40387,-3.5931800000000003,10224.95,10205.57,3.29,2.54,89.4,-0.47,18.3,19.79,01a58044o0463o
98,58044.40940800001,16.505,0.032,908,29,o,0,1.08,20.40387,-3.5931800000000003,10281.18,498.14,3.3,2.91,-65.9,-0.441,18.85,20.43,01a58044o0470o
99,58044.409865,16.605999999999998,0.032,827,26,o,0,1.53,20.40387,-3.5931800000000003,509.13,546.77,2.92,2.72,74.5,-0.4970000000000001,18.82,20.4,01a58044o0471o
100,58044.413254,16.54,0.021,879,18,o,0,1.13,20.40387,-3.5931800000000003,10249.07,10273.34,3.31,2.58,-88.4,-0.481,19.36,21.04,01a58044o0478o
101,58044.413713,16.54,0.02,879,17,o,0,1.94,20.40387,-3.5931800000000003,471.45,10320.08,3.02,2.42,-83.5,-0.519,19.31,21.06,01a58044o0479o
102,58044.41649700001,16.547,0.021,874,18,o,0,1.52,20.40387,-3.5931800000000003,10225.78,447.26,3.39,3.07,-65.9,-0.438,19.36,21.07,01a58044o0485o
103,58044.41695700001,16.565,0.023,859,20,o,0,0.95,20.40387,-3.5931800000000003,533.3,613.28,3.01,2.84,75.7,-0.485,19.36,21.05,01a58044o0486o
104,58044.421026,16.526,0.069,891,61,o,0,1.06,20.40387,-3.5931800000000003,10191.56,10221.46,3.25,2.56,-88.5,-0.484,17.96,19.39,01a58044o0493o
