Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
3,58016.405023,19.568,0.264,54,14,o,0,1.46,354.65199,-11.39153,495.47,1884.36,3.44,2.86,80.5,-0.461,19.19,20.78,01a58016o0105o
12,58018.42085800001,13.337,0.277,16796,4658,c,0,10.63,354.65199,-11.39153,8674.86,10525.4,2.97,2.61,42.0,-0.389,19.61,21.42,02a58018o0136c
18,58024.39655499999,20.353,0.574,26,15,o,0,1.0,354.65199,-11.39153,908.12,6154.51,3.28,2.86,88.7,-0.43,19.18,20.6,01a58024o0413o
23,58026.387365,20.618,0.601,20,12,o,0,1.71,354.65199,-11.39153,8569.93,8188.12,2.01,1.88,34.0,-0.485,19.36,20.07,02a58026o0390o
30,58032.453709,19.074,0.578,85,49,o,0,0.98,354.65199,-11.39153,7403.87,6572.48,3.3,2.97,-82.5,-0.443,18.21,18.68,01a58032o0548o
36,58033.382406,19.38,0.564,64,36,o,0,1.05,354.65199,-11.39153,8728.36,6839.72,3.52,2.74,-85.5,-0.446,18.63,19.48,01a58033o0336o
37,58033.38909,19.943,0.898,38,34,o,0,0.94,354.65199,-11.39153,8714.07,6982.94,3.58,2.78,-86.0,-0.435,18.63,19.49,01a58033o0350o
38,58034.36535,18.891,0.292,101,30,o,0,0.8,354.65199,-11.39153,238.61,3816.63,1.82,1.65,25.5,-0.518,18.32,18.54,02a58034o0365o
39,58034.372497,18.792,0.17800000000000002,110,20,o,0,0.69,354.65199,-11.39153,220.47,3777.43,1.85,1.67,27.6,-0.506,19.0,19.53,02a58034o0380o
40,58034.376731,19.123,0.396,82,32,o,0,0.81,354.65199,-11.39153,9919.45,3816.12,2.04,2.01,38.9,-0.515,18.82,19.38,02a58034o0389o
41,58034.379563,19.286,0.229,70,16,o,0,1.05,354.65199,-11.39153,279.42,3855.91,1.9,1.71,23.0,-0.477,19.07,19.58,02a58034o0395o
42,58034.383776,19.243,0.237,73,17,o,0,1.28,354.65199,-11.39153,9901.02,3777.85,2.04,2.0,72.3,-0.512,19.12,19.55,02a58034o0404o
43,58034.39019500001,18.933,0.171,97,17,o,0,1.08,354.65199,-11.39153,9959.04,3856.36,2.07,2.02,70.6,-0.504,19.04,19.54,02a58034o0418o
44,58034.391564,19.257,0.215,72,16,o,0,0.94,354.65199,-11.39153,299.29,3739.08,1.9,1.79,25.8,-0.459,19.08,19.57,02a58034o0421o
45,58034.396655,18.958,0.205,95,19,o,0,0.88,354.65199,-11.39153,9979.26,3739.57,2.09,2.01,86.9,-0.509,19.03,19.56,02a58034o0432o
48,58035.377802,19.564,0.93,54,50,o,0,0.92,354.65199,-11.39153,7895.8,7484.33,3.09,2.88,85.2,-0.434,18.3,19.58,01a58035o0369o
50,58036.37482999999,18.586,0.104,134,14,o,0,1.41,354.65199,-11.39153,885.71,7312.68,2.88,2.54,-86.0,-0.462,19.2,20.51,01a58036o0385o
51,58036.377715,19.303,0.334,69,23,o,0,1.07,354.65199,-11.39153,10521.08,7205.38,3.28,2.69,-86.9,-0.423,19.24,20.48,01a58036o0391o
52,58036.38207100001,18.545,0.101,139,14,o,0,1.6,354.65199,-11.39153,909.25,7379.87,2.84,2.52,89.2,-0.458,19.19,20.47,01a58036o0400o
53,58036.391386,18.712,0.108,119,13,o,0,1.48,354.65199,-11.39153,856.04,7340.7,2.82,2.49,87.7,-0.46,19.19,20.44,01a58036o0420o
54,58036.39276,18.934,0.214,97,21,o,0,1.09,354.65199,-11.39153,10509.76,7382.08,3.27,2.7,85.5,-0.419,19.19,20.42,01a58036o0423o
55,58036.396109,18.942,0.154,96,15,o,0,1.03,354.65199,-11.39153,838.96,7476.2,2.78,2.46,-89.3,-0.472,19.23,20.44,01a58036o0430o
56,58037.37405700001,18.416,0.093,156,14,o,0,1.25,354.65199,-11.39153,1234.27,8519.09,2.8,2.42,-84.3,-0.474,19.28,20.73,01a58037o0187o
57,58037.38116100001,18.391,0.091,160,15,o,0,1.18,354.65199,-11.39153,1257.4,8586.35,2.8,2.48,-86.5,-0.473,19.26,20.64,01a58037o0202o
58,58037.392392,18.377,0.094,162,15,o,0,0.97,354.65199,-11.39153,1204.71,8554.66,2.82,2.43,-87.2,-0.469,19.26,20.56,01a58037o0226o
59,58037.39524400001,18.473,0.099,148,15,o,0,1.08,354.65199,-11.39153,1186.69,8683.65,2.83,2.51,-85.4,-0.474,19.22,20.54,01a58037o0232o
60,58044.347243,17.947,0.064,241,16,o,0,1.41,354.65199,-11.39153,9021.88,5962.57,3.13,2.81,-83.1,-0.4370000000000001,19.29,20.95,01a58044o0339o
61,58044.354407000006,18.095,0.08,210,17,o,0,1.41,354.65199,-11.39153,9045.56,6029.89,3.21,2.83,-82.9,-0.429,19.03,20.62,01a58044o0354o
62,58044.36154500001,18.204,0.102,190,20,o,0,1.01,354.65199,-11.39153,8990.87,5980.69,3.22,2.83,-86.3,-0.429,18.97,20.61,01a58044o0369o
63,58044.368671,17.796,0.085,276,23,o,0,1.18,354.65199,-11.39153,8976.33,6125.48,3.32,2.88,-85.5,-0.426,18.7,20.31,01a58044o0384o
64,58048.340068,18.042,0.077,220,17,o,0,1.3,354.65199,-11.39153,10274.97,6152.29,3.46,2.68,-86.8,-0.446,19.22,20.66,01a58048o0329o
65,58048.347218,17.998,0.071,229,16,o,0,1.18,354.65199,-11.39153,10298.66,6220.04,3.45,2.59,-84.8,-0.451,19.27,20.71,01a58048o0344o
66,58048.351447,17.964000000000006,0.063,237,15,o,0,1.08,354.65199,-11.39153,617.31,6304.81,2.98,2.46,88.7,-0.457,19.23,20.71,01a58048o0353o
67,58048.35434500001,17.817999999999994,0.057,271,15,o,0,1.25,354.65199,-11.39153,10244.64,6171.6,3.42,2.65,-84.4,-0.448,19.32,20.73,01a58048o0359o
68,58048.358593,17.905,0.055,250,14,o,0,1.37,354.65199,-11.39153,641.14,6372.16,2.94,2.43,84.7,-0.458,19.27,20.71,01a58048o0368o
69,58048.361445,17.947,0.062,241,15,o,0,1.11,354.65199,-11.39153,10230.17,6316.3,3.36,2.64,-87.1,-0.455,19.33,20.68,01a58048o0374o
70,58048.365698,17.82,0.062,270,17,o,0,1.04,354.65199,-11.39153,586.92,6324.56,3.0,2.49,85.9,-0.453,19.2,20.59,01a58048o0383o
71,58048.37280800001,17.99,0.066,231,15,o,0,0.98,354.65199,-11.39153,572.25,6469.89,2.92,2.45,89.4,-0.461,19.25,20.66,01a58048o0398o
72,58054.332986,18.212,0.093,188,18,o,0,0.96,354.65199,-11.39153,2578.65,1628.03,2.05,1.87,45.8,-0.495,19.12,19.7,02a58054o0313o
73,58054.340077,18.134,0.085,202,17,o,0,0.89,354.65199,-11.39153,2560.06,1587.87,2.02,1.84,47.4,-0.487,19.11,19.71,02a58054o0328o
74,58054.34720599999,18.148,0.068,200,14,o,0,1.81,354.65199,-11.39153,2618.79,1666.66,2.03,1.85,51.3,-0.499,19.2,19.87,02a58054o0343o
75,58054.354298,18.144,0.06,201,12,o,0,2.13,354.65199,-11.39153,2639.14,1549.84,2.0,1.83,53.7,-0.496,19.26,20.01,02a58054o0358o
76,58056.31024,18.476,0.217,148,32,o,0,2.06,354.65199,-11.39153,8888.06,6168.93,3.64,2.83,-82.9,-0.434,18.55,19.49,01a58056o0131o
77,58056.317839,18.616,0.267,130,35,o,0,1.26,354.65199,-11.39153,8911.69,6238.41,3.58,2.76,-85.8,-0.4270000000000001,18.56,19.48,01a58056o0146o
78,58056.324933,18.398,0.235,159,37,o,0,1.08,354.65199,-11.39153,8858.82,6191.34,3.53,2.82,-81.5,-0.439,18.58,19.49,01a58056o0161o
79,58056.33209700001,18.423,0.254,155,39,o,0,1.2,354.65199,-11.39153,8844.6,6335.64,3.47,2.78,-84.4,-0.445,18.57,19.48,01a58056o0176o
80,58062.331138,18.85,0.214,105,22,o,0,1.0,354.65199,-11.39153,9419.13,1585.68,2.18,2.08,79.7,-0.512,18.89,19.22,02a58062o0246o
