Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
63,58024.461027,20.601,0.843,21,18,o,0,0.99,16.3404,-1.12397,6595.43,4666.73,3.03,2.74,-86.2,-0.44,19.2,20.63,01a58024o0543o
70,58028.44418300001,20.222,0.7829999999999999,30,23,o,0,1.32,16.3404,-1.12397,9561.47,1402.84,3.78,3.54,-21.5,-0.39,18.83,19.97,01a58028o0453o
72,58033.428686,18.488,0.35600000000000004,146,52,o,0,0.97,16.3404,-1.12397,1987.06,6357.52,3.0,2.61,-85.4,-0.494,18.36,18.89,01a58033o0433o
73,58033.436817,19.476,0.826,59,49,o,0,1.13,16.3404,-1.12397,2007.7,6426.91,3.17,2.64,-86.8,-0.469,18.38,18.9,01a58033o0447o
74,58033.444869000006,19.451,0.619,60,37,o,0,1.2,16.3404,-1.12397,8377.03,3923.72,3.39,2.78,-87.4,-0.445,18.3,18.92,01a58033o0460o
76,58034.423902,18.402,0.127,158,20,o,0,1.01,16.3404,-1.12397,6830.56,4332.11,2.26,2.0,-42.1,-0.464,18.99,19.39,02a58034o0490o
77,58034.430459,18.164,0.102,197,20,o,0,0.9,16.3404,-1.12397,3622.86,6061.4,2.12,1.84,-25.5,-0.441,19.0,19.28,02a58034o0504o
78,58034.439502,18.531,0.141,140,20,o,0,0.84,16.3404,-1.12397,6888.16,4413.55,2.27,2.02,-41.8,-0.448,18.98,19.39,02a58034o0519o
79,58034.447442,18.5,0.129,145,19,o,0,1.05,16.3404,-1.12397,6906.83,4294.98,2.28,2.02,-46.7,-0.416,18.93,19.39,02a58034o0534o
81,58036.424853,18.308,0.097,172,17,o,0,0.85,16.3404,-1.12397,3774.2,6686.99,2.8,2.73,80.6,-0.458,19.16,20.39,01a58036o0489o
82,58036.432355,18.32,0.104,171,18,o,0,0.68,16.3404,-1.12397,3797.54,6755.66,2.79,2.74,-72.6,-0.451,19.15,20.37,01a58036o0504o
83,58036.44025,18.315,0.086,172,15,o,0,1.16,16.3404,-1.12397,3742.21,6708.19,2.82,2.75,81.2,-0.453,19.14,20.36,01a58036o0519o
84,58036.44942999999,18.257,0.081,181,15,o,0,1.53,16.3404,-1.12397,3727.96,6860.5,2.8,2.7,12.8,-0.466,19.13,20.34,01a58036o0534o
85,58037.42116699999,18.156,0.093,198,18,o,0,0.84,16.3404,-1.12397,4128.71,7881.16,2.85,2.74,-78.1,-0.471,19.22,20.49,01a58037o0287o
86,58037.429084,18.08,0.078,213,17,o,0,1.07,16.3404,-1.12397,4151.49,7949.45,2.78,2.69,-83.3,-0.46,19.22,20.48,01a58037o0302o
