Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57985.482258,19.799,1.0,44,44,c,0,0.95,346.82412,-17.48125,4892.67,6764.33,3.83,3.66,46.6,-0.374,17.97,20.15,02a57985o0511c
3,57985.515231,21.018,0.687,14,10,c,0,0.92,346.82412,-17.48125,4952.26,6687.55,2.69,2.55,28.8,-0.439,19.68,21.62,02a57985o0579c
8,57989.497401,20.82,0.847,17,14,c,0,1.35,346.82412,-17.48125,4495.77,5504.66,2.48,2.47,81.5,-0.409,19.18,20.82,02a57989o0534c
34,58007.443762,19.938,0.557,38,21,o,0,0.75,346.82412,-17.48125,6920.17,186.52,3.39,3.13,86.2,-0.417,18.89,20.15,01a58007o0476o
42,58011.502721,21.321,0.853,11,9,o,0,1.54,346.82412,-17.48125,4080.49,4237.85,2.33,2.14,-57.2,-0.423,19.46,20.62,02a58011o0568o
50,58013.432029,21.098000000000006,0.691,13,9,c,0,1.14,346.82412,-17.48125,3430.23,9104.96,2.67,2.54,9.9,-0.423,19.67,21.44,02a58013o0470c
59,58019.408618,19.86,0.6459999999999999,41,27,o,0,1.05,346.82412,-17.48125,7252.79,2015.19,3.38,3.06,-87.2,-0.4270000000000001,18.38,20.03,01a58019o0298o
60,58019.417782,20.492,0.8079999999999999,23,19,o,0,1.11,346.82412,-17.48125,7270.91,2051.99,3.51,3.2,-89.7,-0.423,18.87,20.59,01a58019o0318o
63,58022.362696,19.376,0.191,64,12,o,0,1.32,346.82412,-17.48125,2846.17,10165.8,2.24,1.92,33.2,-0.478,19.57,20.54,02a58022o0309o
64,58022.377416,19.317,0.238,68,16,o,0,0.77,346.82412,-17.48125,2812.02,10128.62,2.26,1.92,45.3,-0.518,19.6,20.61,02a58022o0336o
65,58022.383041,19.22,0.173,74,13,o,0,0.95,346.82412,-17.48125,2795.68,10245.84,2.44,1.99,25.6,-0.473,19.52,20.6,02a58022o0348o
