Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
39,58013.55314500001,21.299,0.759,11,8,c,0,1.27,51.32709000000001,-21.8185,8714.92,9698.76,2.63,2.37,50.5,-0.416,19.81,21.63,02a58013o0731c
51,58019.54649400001,17.756,0.064,287,18,o,0,6.82,51.32709000000001,-21.8185,1536.41,97.97,3.67,3.31,12.8,-0.4370000000000001,19.21,20.99,01a58019o0595o
54,58021.556116,21.126,0.585,13,8,c,0,1.33,51.32709000000001,-21.8185,4794.31,3262.64,2.52,2.4,54.1,-0.403,19.83,21.64,02a58021o0735c
58,58023.50728099999,20.343,0.528,26,14,o,0,1.3,51.32709000000001,-21.8185,2059.14,3601.28,3.38,2.82,84.4,-0.4370000000000001,19.21,20.73,01a58023o0540o
78,58037.494467,19.016,0.17800000000000002,90,16,o,0,0.82,51.32709000000001,-21.8185,3201.72,356.35,2.32,2.19,85.9,-0.455,19.19,20.09,02a58037o0405o
79,58037.495378,19.254,0.231,72,17,o,0,1.26,51.32709000000001,-21.8185,6056.71,10075.98,2.35,2.09,46.5,-0.585,19.29,20.15,02a58037o0407o
80,58037.499026,18.935,0.158,97,15,o,0,1.28,51.32709000000001,-21.8185,6074.77,10116.16,2.62,2.36,52.2,-0.4270000000000001,19.17,20.15,02a58037o0415o
81,58037.49948099999,19.243,0.239,73,17,o,0,0.64,51.32709000000001,-21.8185,3238.59,398.35,2.19,2.08,78.6,-0.48,19.25,20.09,02a58037o0416o
82,58037.507698,19.331,0.206,67,14,o,0,1.26,51.32709000000001,-21.8185,6019.35,10037.66,2.18,2.0,54.0,-0.457,19.32,20.13,02a58037o0434o
83,58037.508612,18.81,0.138,109,15,o,0,1.29,51.32709000000001,-21.8185,3164.53,320.31,2.2,2.02,89.0,-0.44,19.25,20.07,02a58037o0436o
