Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
1,57988.32420700001,21.705,0.947,8,7,c,0,1.28,261.5872,41.68459,6792.87,4842.0,2.6,2.54,88.3,-0.408,19.79,21.74,02a57988o0189c
13,57996.27335700001,20.466,0.589,24,14,o,0,1.14,261.5872,41.68459,4690.97,8400.03,2.23,2.0,30.2,-0.522,19.47,20.39,02a57996o0030o
36,58008.22444299999,20.17,0.657,31,20,o,0,1.0,261.5872,41.68459,3103.23,8365.18,2.19,2.11,-38.5,-0.447,19.17,19.79,02a58008o0025o
44,58012.250374,21.017,0.88,14,12,c,0,1.17,261.5872,41.68459,1925.66,7162.89,2.36,2.28,1.1,-0.4270000000000001,19.36,20.9,02a58012o0078c
53,58016.24765499999,21.381,0.89,10,9,c,0,0.99,261.5872,41.68459,3143.46,6901.13,2.36,2.31,13.1,-0.439,19.79,21.7,02a58016o0074c
55,58016.258161,21.561,0.945,9,8,c,0,1.84,261.5872,41.68459,3229.51,6859.64,2.42,2.38,13.7,-0.4320000000000001,19.75,21.69,02a58016o0097c
62,58022.241078,20.487,0.6559999999999999,23,15,o,0,0.87,261.5872,41.68459,7070.11,3901.37,2.99,2.92,53.9,-0.438,19.26,20.59,01a58022o0065o
66,58028.21448,20.404,0.51,25,13,o,0,1.12,261.5872,41.68459,3846.61,7572.51,2.0,1.81,-36.8,-0.467,19.25,19.75,02a58028o0039o
67,58028.21541699999,20.86,0.922,16,15,o,0,1.08,261.5872,41.68459,3904.34,7649.59,2.0,1.81,-33.6,-0.474,19.21,19.7,02a58028o0041o
79,58036.209866,19.297,0.208,69,14,o,0,1.72,261.5872,41.68459,2219.28,7897.72,2.36,2.21,-32.3,-0.446,19.15,20.03,02a58036o0048o
80,58036.217412,18.978,0.147,93,14,o,0,1.11,261.5872,41.68459,2203.25,7858.69,2.42,2.27,-32.5,-0.462,19.3,20.34,02a58036o0064o
81,58036.226323,19.003,0.162,91,15,o,0,0.97,261.5872,41.68459,2257.31,7932.93,2.36,2.23,-34.5,-0.45,19.35,20.39,02a58036o0083o
82,58036.23546,19.295,0.157,70,11,o,0,1.16,261.5872,41.68459,2268.67,7816.33,2.11,2.01,-32.7,-0.45,19.44,20.4,02a58036o0102o
83,58038.206212,18.76,0.171,114,20,o,0,1.22,261.5872,41.68459,4907.55,2445.56,3.29,2.97,8.4,-0.425,18.91,20.07,01a58038o0040o
84,58038.207201,18.491,0.131,146,19,o,0,1.03,261.5872,41.68459,4941.1,2487.95,3.14,2.83,-0.7,-0.444,18.98,20.15,01a58038o0042o
85,58038.220393,18.78,0.202,112,23,o,0,1.74,261.5872,41.68459,4905.25,2456.48,3.25,2.84,2.4,-0.447,18.61,19.95,01a58038o0070o
86,58038.229405,19.056,0.399,87,34,o,0,1.12,261.5872,41.68459,4906.61,2605.15,3.23,2.99,6.7,-0.4370000000000001,18.25,19.61,01a58038o0089o
87,58040.203526,18.291,0.152,175,27,o,0,0.94,261.5872,41.68459,2612.29,9780.54,2.42,2.38,42.9,-0.4920000000000001,18.74,19.19,02a58040o0035o
88,58040.212986,17.957,0.069,238,16,o,0,1.27,261.5872,41.68459,2579.83,9743.66,2.52,2.39,34.5,-0.482,19.25,20.19,02a58040o0055o
89,58040.22304400001,17.964000000000006,0.07,237,17,o,0,1.31,261.5872,41.68459,2634.6,9818.78,2.65,2.53,32.0,-0.502,19.19,20.2,02a58040o0076o
90,58040.227765,17.93,0.07,244,17,o,0,1.07,261.5872,41.68459,8568.22,102.99,2.69,2.21,39.8,-0.442,19.29,20.26,02a58040o0086o
91,58040.232992,18.034,0.083,222,18,o,0,1.11,261.5872,41.68459,2647.52,9699.23,2.48,2.25,20.5,-0.494,19.31,20.25,02a58040o0097o
92,58040.237712,18.202,0.441,190,84,o,0,1.03,261.5872,41.68459,8535.93,62.15,2.98,2.21,38.9,-0.429,17.63,18.52,02a58040o0107o
93,58040.24678,18.047,0.192,219,42,o,0,0.86,261.5872,41.68459,8593.42,141.86,3.06,2.42,35.9,-0.415,18.41,19.35,02a58040o0126o
94,58042.210719,17.658,0.053,314,17,o,0,1.21,261.5872,41.68459,6083.59,3934.98,3.26,3.14,81.6,-0.439,19.13,20.74,01a58042o0050o
95,58042.219794,17.682000000000006,0.048,307,15,o,0,1.62,261.5872,41.68459,6116.6,4003.82,3.26,3.15,74.5,-0.4370000000000001,19.18,20.81,01a58042o0069o
96,58042.22827100001,17.689,0.053,305,16,o,0,0.95,261.5872,41.68459,6074.68,3954.72,3.17,2.93,-85.1,-0.445,19.22,20.78,01a58042o0087o
97,58042.236251,17.74,0.066,291,19,o,0,0.95,261.5872,41.68459,6076.57,4097.63,3.15,2.93,85.9,-0.4370000000000001,19.02,20.52,01a58042o0104o
98,58046.208923,17.381,0.039,405,16,o,0,1.37,261.5872,41.68459,6100.81,2009.8,3.17,3.0,85.9,-0.425,19.15,20.5,01a58046o0042o
99,58046.217829,17.391,0.059,401,24,o,0,0.75,261.5872,41.68459,6133.58,2077.03,3.23,3.02,83.7,-0.418,18.86,20.25,01a58046o0061o
100,58046.226712,17.297,0.049,438,21,o,0,1.07,261.5872,41.68459,6094.39,2027.25,3.11,2.9,83.1,-0.434,18.95,20.22,01a58046o0080o
101,58046.235598,17.268,0.04,450,18,o,0,1.29,261.5872,41.68459,6101.03,2170.52,3.02,2.86,-89.8,-0.442,19.06,20.34,01a58046o0099o
102,58050.208065,17.519000000000002,0.099,357,35,o,0,1.19,261.5872,41.68459,6734.08,2647.41,3.61,3.57,13.5,-0.403,18.23,19.64,01a58050o0010o
103,58050.21694,17.252,0.046,456,21,o,0,1.11,261.5872,41.68459,6768.51,2713.14,3.3,3.27,79.8,-0.411,18.87,20.19,01a58050o0029o
104,58054.20228200001,17.305999999999994,0.055,434,24,o,0,1.09,261.5872,41.68459,6763.1,2034.76,3.39,3.04,1.2,-0.426,18.77,19.7,01a58054o0034o
105,58054.21065,17.23,0.042,466,19,o,0,1.63,261.5872,41.68459,6811.45,2097.82,3.44,3.12,-15.0,-0.422,18.87,19.96,01a58054o0052o
106,58054.219549,17.281,0.05,444,22,o,0,1.09,261.5872,41.68459,6772.04,2046.72,3.47,3.17,-5.1,-0.429,18.82,19.94,01a58054o0071o
107,58054.22794400001,17.209,0.044,474,21,o,0,1.49,261.5872,41.68459,6760.51,2188.48,3.48,3.35,-3.1,-0.419,18.77,19.87,01a58054o0089o
108,58056.20194,17.445,0.043,382,17,o,0,1.47,261.5872,41.68459,4868.54,9650.92,2.16,2.05,1.3,-0.479,19.08,19.55,02a58056o0048o
109,58056.210381,17.27,0.039,449,18,o,0,1.89,261.5872,41.68459,4851.53,9612.34,2.25,2.1,9.2,-0.477,19.21,19.89,02a58056o0066o
110,58056.21941900001,17.344,0.04,419,17,o,0,1.59,261.5872,41.68459,4892.86,9690.91,2.21,2.05,10.7,-0.483,19.21,19.88,02a58056o0085o
111,58056.228406,17.3,0.045,437,20,o,0,0.94,261.5872,41.68459,4918.72,9572.79,2.19,2.08,-1.4,-0.486,19.16,19.85,02a58056o0104o
112,58056.232661,17.336,0.05,422,21,o,0,1.61,261.5872,41.68459,930.21,65.94,2.41,1.97,40.5,-0.5579999999999999,19.11,19.77,02a58056o0113o
113,58060.197388,17.878,0.133,256,34,o,0,0.96,261.5872,41.68459,1909.16,7888.43,2.42,2.25,29.1,-0.48,18.5,18.76,02a58060o0035o
114,58060.204338,17.565,0.07400000000000001,342,25,o,0,1.29,261.5872,41.68459,1893.77,7850.34,2.21,2.01,22.7,-0.496,18.71,18.97,02a58060o0050o
115,58060.213187,17.551,0.096,346,33,o,0,1.13,261.5872,41.68459,1953.21,7925.97,2.26,2.09,17.3,-0.495,18.64,18.93,02a58060o0069o
116,58060.222153,17.678,0.08800000000000001,308,27,o,0,1.29,261.5872,41.68459,1967.63,7806.02,2.34,2.15,25.6,-0.471,18.53,18.86,02a58060o0088o
117,58062.19446900001,17.776,0.09,282,25,o,0,1.35,261.5872,41.68459,5868.86,4269.42,2.85,2.79,38.5,-0.458,18.4,19.11,01a58062o0027o
118,58062.200762,17.839000000000006,0.08800000000000001,266,23,o,0,1.15,261.5872,41.68459,5890.11,4326.35,2.86,2.75,66.6,-0.455,18.74,19.56,01a58062o0040o
119,58062.213059,17.703,0.093,301,28,o,0,0.75,261.5872,41.68459,5868.47,4280.63,2.82,2.79,-75.4,-0.458,18.53,19.27,01a58062o0064o
120,58062.222689,17.697,0.093,303,28,o,0,1.33,261.5872,41.68459,5873.31,4421.37,2.92,2.87,58.4,-0.444,18.43,19.07,01a58062o0085o
121,58064.196279,17.855,0.081,262,21,o,0,0.78,261.5872,41.68459,5416.18,9847.03,2.27,2.1,16.6,-0.489,19.12,19.8,02a58064o0041o
122,58064.197673,17.829,0.06,268,16,o,0,1.47,261.5872,41.68459,1506.5,214.4,2.39,1.95,38.3,-0.534,19.21,19.97,02a58064o0044o
123,58064.203727,17.777,0.052000000000000005,281,15,o,0,1.25,261.5872,41.68459,5400.51,9808.47,2.33,2.12,9.6,-0.474,19.41,20.41,02a58064o0057o
124,58064.205621,17.844,0.054000000000000006,264,14,o,0,1.6,261.5872,41.68459,1476.52,176.95,2.61,2.14,37.8,-0.479,19.28,20.4,02a58064o0061o
125,58064.212791,17.828,0.061,268,16,o,0,1.04,261.5872,41.68459,5457.09,9888.86,2.54,2.33,13.9,-0.47,19.33,20.41,02a58064o0076o
126,58064.21468300001,17.76,0.046,286,13,o,0,1.92,261.5872,41.68459,1534.39,256.81,2.62,2.17,36.3,-0.469,19.29,20.37,02a58064o0080o
127,58064.22187,17.747,0.058,289,17,o,0,1.18,261.5872,41.68459,5473.19,9767.74,2.38,2.16,13.8,-0.475,19.33,20.33,02a58064o0095o
128,58064.223715,17.844,0.056,264,15,o,0,1.3,261.5872,41.68459,1562.22,138.44,2.6,2.13,36.2,-0.486,19.28,20.29,02a58064o0099o
129,58066.190654,18.017,0.272,226,62,o,0,1.4,261.5872,41.68459,7464.65,1416.86,3.01,2.84,-6.2,-0.461,17.54,17.67,01a58066o0037o
130,58066.196266,17.805999999999994,0.105,274,29,o,0,1.14,261.5872,41.68459,7507.9,1468.5,3.0,2.91,-4.4,-0.435,18.53,19.17,01a58066o0049o
131,58066.204214,17.848,0.076,264,20,o,0,1.08,261.5872,41.68459,7469.07,1411.98,2.97,2.88,-15.4,-0.445,18.98,20.02,01a58066o0066o
132,58066.212627,17.879,0.077,256,20,o,0,1.11,261.5872,41.68459,7461.35,1550.01,2.92,2.89,-41.9,-0.447,19.0,20.06,01a58066o0084o
135,58068.200534,18.002,0.425,229,97,o,0,1.01,261.5872,41.68459,3242.8,7455.01,2.29,2.22,1.9,-0.47,17.22,17.81,02a58068o0049o
136,58068.207907,19.042,0.809,88,71,o,0,1.11,261.5872,41.68459,3260.95,7336.21,2.23,2.15,0.4,-0.484,17.46,18.1,02a58068o0064o
137,58072.195592,18.003,0.132,228,30,c,0,0.88,261.5872,41.68459,3468.49,8440.37,2.7,2.59,-17.5,-0.434,18.7,19.76,02a58072o0010c
138,58072.20081,17.97,0.07,236,16,c,0,1.13,261.5872,41.68459,3452.26,8404.56,2.65,2.53,3.6,-0.4370000000000001,19.24,20.54,02a58072o0021c
139,58072.208571,18.085,0.062,212,13,c,0,1.37,261.5872,41.68459,3507.47,8484.82,2.59,2.45,0.3,-0.454,19.4,20.8,02a58072o0037c
140,58072.217728,18.041,0.066,221,14,c,0,1.06,261.5872,41.68459,3520.15,8370.94,2.62,2.46,5.5,-0.46,19.31,20.77,02a58072o0056c
141,58074.189325,17.952,0.199,239,48,o,0,1.53,261.5872,41.68459,5440.69,1927.63,2.91,2.87,39.0,-0.466,17.81,18.15,01a58074o0027o
142,58074.189783,18.154,0.247,199,49,o,0,0.86,261.5872,41.68459,5412.69,1889.94,2.95,2.83,67.5,-0.47,17.89,18.29,01a58074o0028o
143,58074.200375,17.904,0.083,250,21,o,0,1.01,261.5872,41.68459,5413.52,1874.74,3.1,2.91,84.2,-0.446,18.89,20.03,01a58074o0051o
144,58074.200834,18.06,0.096,217,21,o,0,0.9,261.5872,41.68459,5386.56,1992.65,3.08,2.86,82.9,-0.454,18.9,20.05,01a58074o0052o
154,58214.604352,20.841,0.974,17,16,o,0,1.06,261.5872,41.68459,5449.74,10176.81,3.4,2.9,-82.7,-0.445,19.17,20.66,01a58214o0366o
166,58224.607985,20.974,0.643,15,10,c,0,1.14,261.5872,41.68459,2742.5,8572.76,2.62,2.42,-34.6,-0.397,19.67,21.42,02a58224o0327c
174,58234.545641,19.973,0.932,37,35,o,0,0.84,261.5872,41.68459,3493.74,8229.66,3.12,2.84,-78.4,-0.459,18.48,19.49,01a58234o0572o
177,58244.542899,20.066,0.757,34,26,o,0,1.04,261.5872,41.68459,3297.72,7686.61,2.23,1.99,-25.4,-0.45,18.63,19.19,02a58244o0681o
