Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58062.640728,18.186,0.151,193,29,o,0,1.36,154.33671,63.859730000000006,7739.15,1295.72,3.21,2.98,-74.1,-0.451,18.41,19.18,01a58062o0963o
1,58062.64958,17.859,0.236,261,62,o,0,0.88,154.33671,63.859730000000006,7739.03,1230.51,3.3,3.1,-75.4,-0.435,17.75,18.07,01a58062o0982o
2,58074.650324,18.542,0.135,139,19,o,0,1.32,154.33671,63.859730000000006,8371.2,3642.73,3.55,2.94,-78.8,-0.438,18.88,20.04,01a58074o0990o
3,58074.659332,18.238,0.341,184,63,o,0,1.42,154.33671,63.859730000000006,8362.96,3572.45,3.52,2.91,-78.5,-0.446,17.58,17.79,01a58074o1009o
4,58078.63674,18.515,0.099,143,14,o,0,0.87,154.33671,63.859730000000006,6158.96,2446.05,3.13,2.75,-80.6,-0.445,19.41,21.21,01a58078o0962o
5,58078.645558,18.546,0.079,138,11,o,0,2.01,154.33671,63.859730000000006,6159.56,2376.99,3.21,2.8,-80.6,-0.433,19.37,21.12,01a58078o0981o
6,58078.654448,18.731,0.16899999999999998,117,20,o,0,0.87,154.33671,63.859730000000006,6234.64,2403.72,3.23,2.67,-79.4,-0.44,18.93,20.13,01a58078o1000o
7,58078.663389,18.752,0.6829999999999999,115,78,o,0,0.87,154.33671,63.859730000000006,6265.36,2254.91,3.42,3.0,-78.1,-0.448,17.37,17.63,01a58078o1019o
11,58090.666026,18.744,0.613,116,71,o,0,1.14,154.33671,63.859730000000006,8890.64,4538.44,3.69,2.89,-83.3,-0.428,17.59,17.91,01a58090o0108o
13,58091.59423,19.614,0.8540000000000001,52,44,o,0,1.21,154.33671,63.859730000000006,4316.31,8695.77,2.35,2.31,-8.6,-0.473,18.57,19.05,02a58091o0880o
14,58091.602059,19.382,0.7440000000000001,64,48,o,0,0.88,154.33671,63.859730000000006,4247.26,8619.38,2.24,2.17,-18.0,-0.493,18.66,19.06,02a58091o0897o
15,58091.610424,18.676,0.416,123,51,o,0,0.86,154.33671,63.859730000000006,4231.38,8737.37,2.21,2.14,13.4,-0.5,18.65,19.06,02a58091o0915o
16,58094.61811,18.9,0.223,100,22,o,0,1.02,154.33671,63.859730000000006,8246.78,3187.72,3.66,3.09,-77.4,-0.415,18.76,19.98,01a58094o0923o
17,58094.62694800001,19.93,0.561,39,22,o,0,1.06,154.33671,63.859730000000006,8244.17,3115.72,3.71,3.01,-79.0,-0.418,18.81,20.01,01a58094o0942o
18,58094.635714,19.412,0.322,62,20,o,0,1.09,154.33671,63.859730000000006,8316.28,3163.42,3.59,3.01,-77.7,-0.4270000000000001,18.82,20.01,01a58094o0961o
20,58096.637387,19.056,0.207,87,18,o,0,1.42,154.33671,63.859730000000006,3591.31,8426.32,2.22,1.92,15.9,-0.485,19.06,19.95,02a58096o0974o
21,58096.646287,18.222,0.855,187,160,o,0,1.12,154.33671,63.859730000000006,3573.8,8541.99,2.26,1.92,21.0,-0.528,17.55,18.34,02a58096o0993o
22,58098.606187,19.232,0.254,74,19,o,0,1.0,154.33671,63.859730000000006,6070.65,2613.34,3.55,3.27,-59.4,-0.402,18.93,20.6,01a58098o0879o
23,58098.615405,19.277,0.207,71,15,o,0,0.84,154.33671,63.859730000000006,6060.95,2539.43,3.62,3.27,-78.8,-0.401,19.21,21.07,01a58098o0898o
24,58098.624432,19.52,0.233,56,13,o,0,1.26,154.33671,63.859730000000006,6141.45,2584.17,3.44,3.09,-77.3,-0.413,19.21,21.05,01a58098o0917o
25,58098.633266,19.607,0.28600000000000003,52,15,o,0,1.32,154.33671,63.859730000000006,6174.83,2431.0,3.49,3.1,-89.6,-0.408,19.1,20.85,01a58098o0936o
26,58100.626153,20.165,0.387,31,12,o,0,0.98,154.33671,63.859730000000006,3010.45,8405.24,2.28,1.96,23.3,-0.469,19.56,20.9,02a58100o0437o
27,58100.63610599999,19.541,0.193,55,11,o,0,1.13,154.33671,63.859730000000006,7444.13,1984.72,2.55,2.08,51.2,-0.439,19.57,20.95,02a58100o0456o
28,58100.645891,20.143,0.366,32,12,o,0,1.33,154.33671,63.859730000000006,7501.0,2064.19,2.56,2.07,49.3,-0.44,19.53,20.94,02a58100o0475o
29,58100.655996,19.491,0.224,58,13,o,0,0.8,154.33671,63.859730000000006,7507.46,1945.39,2.46,1.98,49.6,-0.451,19.54,20.81,02a58100o0494o
30,58102.599505,20.538,0.789,22,17,o,0,0.91,154.33671,63.859730000000006,10372.35,6105.47,3.89,2.82,-86.5,-0.428,19.16,20.67,01a58102o0886o
31,58102.606787,19.092,0.212,84,18,o,0,1.18,154.33671,63.859730000000006,9545.78,4067.99,3.81,3.02,-79.3,-0.419,19.11,20.63,01a58102o0899o
32,58102.610041,19.436,0.308,61,19,o,0,1.12,154.33671,63.859730000000006,10304.01,6075.0,4.09,3.2,-86.1,-0.412,19.06,20.57,01a58102o0905o
33,58102.616572000006,20.365,0.691,26,18,o,0,1.04,154.33671,63.859730000000006,9551.74,3993.87,3.94,3.1,-83.0,-0.409,19.07,20.67,01a58102o0918o
34,58102.61981799999,19.749,0.411,46,19,o,0,1.02,154.33671,63.859730000000006,10280.1,6233.38,4.06,3.14,-86.4,-0.417,19.08,20.56,01a58102o0924o
35,58102.626075,20.396,0.77,25,19,o,0,0.84,154.33671,63.859730000000006,9609.15,4036.84,3.82,3.0,-79.3,-0.42,19.09,20.63,01a58102o0937o
36,58102.63484,19.157,0.211,79,17,o,0,1.07,154.33671,63.859730000000006,9644.37,3888.81,3.67,2.8,-82.7,-0.428,19.25,20.76,01a58102o0956o
37,58110.589191,19.329,0.197,67,13,o,0,1.04,154.33671,63.859730000000006,8590.44,3929.35,3.42,2.77,-81.0,-0.4370000000000001,19.42,21.18,01a58110o0871o
38,58110.599882,19.809,0.29100000000000004,43,13,o,0,1.46,154.33671,63.859730000000006,8578.94,3851.12,3.49,2.86,-83.7,-0.429,19.37,21.19,01a58110o0890o
39,58110.60907000001,20.087,0.355,34,12,o,0,1.37,154.33671,63.859730000000006,8641.87,3893.06,3.47,2.8,-80.4,-0.431,19.4,21.24,01a58110o0909o
40,58110.617849,19.244,0.201,73,15,o,0,0.97,154.33671,63.859730000000006,8677.77,3743.0,3.65,3.14,-80.5,-0.423,19.32,21.25,01a58110o0928o
41,58112.591515,20.309,0.4370000000000001,27,12,o,0,0.66,154.33671,63.859730000000006,4015.51,8065.83,2.17,2.0,25.4,-0.481,19.71,21.06,02a58112o0874o
42,58112.601646,19.517,0.16699999999999998,57,10,o,0,1.34,154.33671,63.859730000000006,6419.67,2319.94,2.16,1.93,55.6,-0.453,19.7,21.09,02a58112o0893o
43,58112.612264,19.685,0.204,49,10,o,0,1.25,154.33671,63.859730000000006,6484.85,2401.08,2.24,1.94,50.8,-0.449,19.64,21.02,02a58112o0912o
44,58112.622556,20.423,0.471,25,12,o,0,1.22,154.33671,63.859730000000006,6504.08,2280.47,2.22,1.93,51.4,-0.449,19.64,20.97,02a58112o0931o
45,58116.587753,19.75,0.27,46,12,o,0,0.71,154.33671,63.859730000000006,8433.54,1971.71,2.54,2.1,55.5,-0.443,19.69,21.12,02a58116o0857o
46,58116.596851,19.838,0.215,42,9,o,0,1.66,154.33671,63.859730000000006,8399.45,1932.54,2.62,2.12,56.5,-0.44,19.61,21.1,02a58116o0876o
47,58116.60729199999,20.306,0.397,27,11,o,0,1.38,154.33671,63.859730000000006,8463.48,2016.52,2.61,2.1,54.4,-0.442,19.66,21.08,02a58116o0895o
48,58116.61760700001,19.872,0.266,41,11,o,0,1.22,154.33671,63.859730000000006,8483.49,1896.47,2.61,2.08,55.7,-0.448,19.64,21.1,02a58116o0914o
49,58118.651225,19.335,0.208,67,14,o,0,1.2,154.33671,63.859730000000006,10290.77,8364.08,3.88,2.8,-86.7,-0.378,19.22,20.71,01a58118o0977o
50,58118.663689,19.431,0.35700000000000004,61,22,o,0,1.1,154.33671,63.859730000000006,10327.25,8448.61,3.95,2.88,-88.1,-0.37,18.8,19.9,01a58118o1002o
51,58120.496166,19.52,0.584,56,33,o,0,1.6,154.33671,63.859730000000006,1687.8,6712.38,2.23,2.03,32.0,-0.506,18.35,18.72,02a58120o0547o
53,58120.513428,19.779,0.8540000000000001,44,38,o,0,0.9,154.33671,63.859730000000006,1651.77,6671.94,2.61,2.42,32.2,-0.477,18.3,18.78,02a58120o0582o
54,58120.52256000001,19.633,0.621,51,32,o,0,1.84,154.33671,63.859730000000006,1624.99,6788.34,2.34,2.18,27.2,-0.493,18.41,18.8,02a58120o0600o
59,58128.575162,19.939,0.267,38,10,o,0,1.4,154.33671,63.859730000000006,8876.75,3710.25,2.37,2.07,53.8,-0.468,19.65,21.06,02a58128o0770o
60,58128.579776,19.729,0.211,47,10,o,0,1.67,154.33671,63.859730000000006,8860.67,3669.01,2.34,2.02,57.1,-0.473,19.68,21.08,02a58128o0780o
61,58128.588728,20.177,0.355,31,11,o,0,0.98,154.33671,63.859730000000006,8920.03,3750.32,2.51,2.08,56.2,-0.462,19.63,21.13,02a58128o0799o
62,58128.59774,19.982,0.278,37,10,o,0,1.2,154.33671,63.859730000000006,8947.3,3637.16,2.44,2.02,57.6,-0.466,19.64,21.14,02a58128o0818o
63,58130.668352,19.729,0.394,47,18,o,0,1.19,154.33671,63.859730000000006,686.08,5834.45,3.91,3.12,86.1,-0.402,18.92,20.46,01a58130o0920o
64,58132.593426,19.962,0.442,38,17,o,0,0.92,154.33671,63.859730000000006,6774.28,896.64,2.38,2.05,45.0,-0.459,19.19,20.62,02a58132o0843o
65,58132.609714,20.066,0.285,34,10,o,0,1.02,154.33671,63.859730000000006,6757.6,877.61,2.36,2.01,45.5,-0.472,19.73,21.26,02a58132o0877o
66,58132.619753,21.053,0.8059999999999999,14,11,o,0,1.36,154.33671,63.859730000000006,6817.0,935.28,2.41,2.02,44.8,-0.46,19.66,21.19,02a58132o0898o
68,58134.568266,20.869,0.684,16,11,o,0,1.43,154.33671,63.859730000000006,2584.99,6352.38,3.36,2.74,86.7,-0.447,19.38,21.26,01a58134o0806o
70,58134.58898200001,20.249,0.447,29,13,o,0,1.14,154.33671,63.859730000000006,2544.12,6395.32,3.32,2.74,86.7,-0.447,19.33,21.2,01a58134o0850o
71,58134.598809,20.024,0.3670000000000001,36,13,o,0,0.98,154.33671,63.859730000000006,2531.32,6550.15,3.39,2.76,84.8,-0.44,19.35,21.21,01a58134o0871o
72,58138.566865,20.352,0.459,26,12,o,0,1.25,154.33671,63.859730000000006,3690.89,6270.26,3.6,2.97,-88.4,-0.425,19.41,21.56,01a58138o0798o
