Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
10,58009.59279700001,21.01,1.0,14,14,o,0,1.3,58.88846,33.2667,4977.42,2251.13,3.08,2.99,-18.1,-0.44,19.12,20.5,01a58009o0632o
48,58045.497741,19.038,0.16699999999999998,88,15,o,0,1.07,58.88846,33.2667,3746.1,2929.74,3.65,2.98,-1.3,-0.413,19.22,21.06,01a58045o0623o
49,58045.49945800001,19.198,0.187,76,14,o,0,1.04,58.88846,33.2667,3714.26,2883.63,3.37,3.01,-1.5,-0.417,19.29,21.03,01a58045o0626o
50,58045.509444,19.024,0.13699999999999998,89,12,o,0,1.15,58.88846,33.2667,3788.03,2923.64,2.87,2.78,82.4,-0.459,19.39,20.98,01a58045o0646o
51,58045.528684,19.378,0.198,64,13,o,0,1.29,58.88846,33.2667,6223.5,7541.96,3.19,2.87,-86.7,-0.439,19.28,21.0,01a58045o0682o
52,58049.517949,20.18,0.529,31,16,o,0,1.19,58.88846,33.2667,7869.47,10165.63,3.53,2.84,-85.6,-0.45,19.16,20.58,01a58049o0416o
53,58049.518408,19.243,0.21600000000000005,73,16,o,0,0.86,58.88846,33.2667,4128.57,495.68,3.16,2.94,83.0,-0.418,19.14,20.54,01a58049o0417o
54,58049.518865,19.214,0.206,75,15,o,0,1.42,58.88846,33.2667,7885.87,10208.42,3.47,2.8,-82.7,-0.45,19.15,20.56,01a58049o0418o
55,58049.527875,19.167,0.211,78,16,o,0,1.1,58.88846,33.2667,7836.71,10166.84,3.53,2.88,-86.2,-0.444,19.13,20.58,01a58049o0436o
56,58049.528333,19.03,0.172,89,15,o,0,1.04,58.88846,33.2667,4145.02,574.75,3.13,2.86,81.8,-0.426,19.19,20.55,01a58049o0437o
57,58049.53023400001,19.071,0.199,85,17,o,0,1.31,58.88846,33.2667,7805.87,10294.79,3.59,3.06,-89.6,-0.439,19.14,20.58,01a58049o0441o
58,58049.5307,19.566,0.284,54,15,o,0,0.96,58.88846,33.2667,4080.26,506.31,3.16,2.99,74.1,-0.416,19.15,20.57,01a58049o0442o
59,58049.54615900001,19.159,0.224,79,18,o,0,1.09,58.88846,33.2667,4068.08,684.2,3.18,3.0,74.5,-0.421,19.09,20.48,01a58049o0473o
60,58055.483735,19.571,0.243,54,13,o,0,0.51,58.88846,33.2667,5307.12,130.33,2.05,1.93,65.4,-0.446,19.7,20.86,02a58055o0605o
61,58055.48493,19.51,0.161,57,9,o,0,1.72,58.88846,33.2667,5291.21,90.97,2.07,1.9,63.3,-0.447,19.7,20.84,02a58055o0607o
62,58055.485397,19.527,0.206,56,12,o,0,0.79,58.88846,33.2667,8774.55,9900.78,2.09,1.78,43.0,-0.505,19.71,20.85,02a58055o0608o
63,58055.49515,19.015,0.127,90,11,o,0,1.19,58.88846,33.2667,8753.91,9858.48,2.16,1.95,47.9,-0.468,19.62,20.84,02a58055o0627o
64,58055.49561799999,19.723,0.257,47,12,o,0,0.92,58.88846,33.2667,5352.4,167.36,2.07,1.93,64.6,-0.452,19.66,20.84,02a58055o0628o
65,58055.513347,19.411,0.168,62,10,o,0,1.0,58.88846,33.2667,8817.1,9941.61,2.14,1.97,41.3,-0.469,19.66,20.86,02a58055o0663o
67,58055.517377,19.538,0.208,56,12,o,0,1.1,58.88846,33.2667,8833.9,9826.05,2.12,1.81,45.4,-0.485,19.71,20.83,02a58055o0671o
68,58057.50225499999,20.036,0.56,35,20,o,0,1.09,58.88846,33.2667,6451.94,8134.15,3.14,2.77,-88.8,-0.456,18.9,19.97,01a58057o0259o
71,58057.532831,19.218,0.265,75,20,o,0,1.22,58.88846,33.2667,6415.67,8334.87,3.15,2.66,-83.9,-0.457,18.92,20.1,01a58057o0318o
72,58059.46384600001,19.939,0.508,38,20,o,0,0.84,58.88846,33.2667,6070.21,7730.99,2.13,2.01,-41.3,-0.455,18.96,19.25,02a58059o0426o
73,58059.46649199999,20.254,0.575,29,16,o,0,1.77,58.88846,33.2667,6088.41,7767.44,2.12,1.98,-38.3,-0.462,18.95,19.2,02a58059o0431o
74,58059.475337,19.239,0.244,73,18,o,0,1.18,58.88846,33.2667,4465.86,2740.69,2.07,1.89,-71.1,-0.442,18.84,19.07,02a58059o0449o
76,58063.480652,19.108,0.29,83,24,o,0,1.47,58.88846,33.2667,3016.25,3428.18,2.51,2.12,-12.7,-0.429,18.5,18.96,02a58063o0558o
77,58063.499636,20.072,0.7929999999999999,34,27,o,0,0.9,58.88846,33.2667,3002.78,3387.2,2.33,2.06,-20.1,-0.429,18.54,18.94,02a58063o0596o
78,58063.511276,19.416,0.45,62,28,o,0,0.66,58.88846,33.2667,3061.73,3463.2,2.43,2.18,-27.0,-0.415,18.51,18.95,02a58063o0616o
80,58065.48679,20.054,0.932,35,32,o,0,1.06,58.88846,33.2667,6219.96,9649.06,2.93,2.69,-88.1,-0.474,18.23,18.98,01a58065o0612o
82,58067.46025,20.163,0.319,31,10,o,0,1.04,58.88846,33.2667,3475.03,1324.11,2.19,2.01,49.2,-0.451,19.51,20.58,02a58067o0562o
