Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
31,58028.51757300001,19.656,0.583,50,29,o,0,0.93,65.41915,-3.54112,1455.46,6598.57,3.06,2.62,-88.6,-0.471,18.78,19.95,01a58028o0604o
39,58032.50178,19.612,0.775,52,40,o,0,1.13,65.41915,-3.54112,1768.51,47.47,3.44,3.21,7.4,-0.412,18.36,19.11,01a58032o0642o
47,58033.46778099999,19.474,0.634,59,37,o,0,0.99,65.41915,-3.54112,9900.34,9292.94,3.77,2.85,-85.3,-0.391,18.34,18.94,01a58033o0503o
71,58048.476162,19.488,0.246,58,14,o,0,1.42,65.41915,-3.54112,8389.96,9904.68,3.15,2.68,-85.1,-0.452,19.3,20.81,01a58048o0605o
72,58048.48007200001,19.571,0.263,54,14,o,0,1.62,65.41915,-3.54112,8597.24,116.24,3.29,3.12,-27.7,-0.433,19.27,20.85,01a58048o0613o
73,58048.48336699999,19.356,0.227,66,15,o,0,1.1,65.41915,-3.54112,8368.93,9840.35,3.29,3.09,-83.7,-0.415,19.29,20.85,01a58048o0620o
75,58048.490597,19.374,0.229,65,15,o,0,1.13,65.41915,-3.54112,8427.87,9892.91,3.2,2.93,-81.8,-0.426,19.32,20.9,01a58048o0635o
76,58048.494524,20.195,0.471,30,14,o,0,1.41,65.41915,-3.54112,8635.44,103.83,4.1,3.35,-5.8,-0.41,19.16,20.96,01a58048o0643o
77,58048.497857,19.517,0.254,57,14,o,0,1.27,65.41915,-3.54112,8444.99,9749.16,3.29,2.63,-87.7,-0.441,19.37,20.96,01a58048o0650o
78,58054.457992,17.828,0.045,268,12,o,0,1.27,65.41915,-3.54112,9444.29,3210.43,2.13,2.05,51.7,-0.46,19.61,20.64,02a58054o0569o
79,58054.46634400001,17.778,0.046,281,13,o,0,1.06,65.41915,-3.54112,9462.82,3252.36,2.12,2.03,66.8,-0.452,19.63,20.65,02a58054o0584o
81,58054.48306000001,17.829,0.044,268,12,o,0,1.75,65.41915,-3.54112,9380.94,3295.81,2.12,2.05,78.7,-0.458,19.63,20.67,02a58054o0614o
82,58056.435938,17.965999999999994,0.125,236,30,o,0,1.22,65.41915,-3.54112,55.08,9934.65,3.39,2.69,-87.1,-0.472,19.05,20.26,01a58056o0387o
83,58056.437903,17.667,0.062,311,19,o,0,1.34,65.41915,-3.54112,9778.88,9895.61,3.89,2.86,-86.4,-0.407,19.03,20.24,01a58056o0391o
84,58056.441767,17.428,0.068,388,26,o,0,0.87,65.41915,-3.54112,231.6,110.21,3.5,2.72,78.4,-0.5329999999999999,19.06,20.3,01a58056o0399o
86,58056.443674,17.77,0.092,283,26,o,0,1.1,65.41915,-3.54112,9990.28,80.9,3.8,3.01,-86.4,-0.417,19.03,20.28,01a58056o0403o
87,58056.445153,17.683,0.066,307,20,o,0,1.3,65.41915,-3.54112,9757.33,9832.15,3.87,2.88,-86.8,-0.412,19.01,20.25,01a58056o0406o
89,58056.45049,16.729,0.032,738,23,o,0,61.92,65.41915,-3.54112,92.44,9925.47,3.29,2.55,-84.5,-0.475,19.07,20.3,01a58056o0417o
90,58056.45237100001,17.63,0.065,322,21,o,0,1.18,65.41915,-3.54112,9816.15,9886.49,3.9,2.83,-84.5,-0.412,19.02,20.27,01a58056o0421o
91,58056.456346000006,17.732,0.07400000000000001,293,22,o,0,1.45,65.41915,-3.54112,268.98,101.15,3.56,2.85,75.8,-0.516,19.07,20.37,01a58056o0429o
92,58056.457789,17.748,0.068,289,20,o,0,1.51,65.41915,-3.54112,112.48,9782.0,3.53,2.9,-82.9,-0.438,19.03,20.35,01a58056o0432o
93,58056.458252,17.69,0.085,305,26,o,0,1.34,65.41915,-3.54112,10026.68,69.85,3.75,2.98,-86.5,-0.4270000000000001,19.08,20.36,01a58056o0433o
94,58056.459625,17.734,0.068,293,20,o,0,1.36,65.41915,-3.54112,9832.65,9743.51,3.92,2.87,-84.6,-0.405,19.07,20.34,01a58056o0436o
95,58058.42890700001,17.445999999999998,0.047,382,18,o,0,1.68,65.41915,-3.54112,2531.84,1042.34,1.94,1.8,44.9,-0.522,18.97,19.34,02a58058o0333o
96,58058.436189,17.405,0.051,396,20,o,0,1.01,65.41915,-3.54112,2550.85,1082.72,1.87,1.72,47.6,-0.521,19.08,19.37,02a58058o0348o
97,58058.443349,17.51,0.043,360,15,o,0,2.51,65.41915,-3.54112,2490.69,1005.9,1.88,1.72,42.1,-0.525,19.07,19.43,02a58058o0363o
98,58058.450563,17.619,0.047,326,15,o,0,2.13,65.41915,-3.54112,2468.26,1123.95,1.84,1.76,40.3,-0.502,19.09,19.41,02a58058o0378o
99,58060.362972,17.346,0.12,419,50,o,0,1.25,65.41915,-3.54112,9576.78,9433.98,4.08,2.93,-82.8,-0.381,18.01,18.49,01a58060o0179o
100,58060.369003,17.644000000000005,0.161,318,51,o,0,1.11,65.41915,-3.54112,9554.0,9384.8,4.22,3.93,-58.3,-0.322,17.9,18.53,01a58060o0192o
101,58060.37504299999,17.834,0.154,267,41,o,0,1.59,65.41915,-3.54112,9613.1,9451.41,4.01,2.87,-82.0,-0.397,18.11,18.58,01a58060o0205o
102,58060.381092,17.565,0.123,342,42,o,0,1.33,65.41915,-3.54112,9630.36,9320.27,4.05,2.8,-81.8,-0.389,18.12,18.62,01a58060o0218o
103,58064.44267300001,17.429000000000002,0.105,388,41,o,0,0.96,65.41915,-3.54112,55.05,9952.68,3.28,2.78,-82.8,-0.475,18.65,19.59,01a58064o0522o
104,58064.446834,17.34,0.069,421,29,o,0,1.37,65.41915,-3.54112,229.01,134.29,3.42,2.86,76.7,-0.54,18.61,19.57,01a58064o0530o
105,58064.45129600001,17.423,0.081,390,32,o,0,0.84,65.41915,-3.54112,9778.23,9887.75,3.71,2.98,87.5,-0.414,18.55,19.52,01a58064o0538o
107,58064.455052,17.424,0.121,390,47,o,0,0.65,65.41915,-3.54112,9986.49,80.11,3.56,3.11,-79.0,-0.428,18.63,19.5,01a58064o0546o
108,58064.455516,17.617,0.136,326,44,o,0,1.13,65.41915,-3.54112,207.81,61.69,3.48,2.86,81.6,-0.527,18.62,19.59,01a58064o0547o
109,58064.459328,17.423,0.073,390,28,o,0,1.09,65.41915,-3.54112,9755.03,9820.26,3.69,2.81,-88.7,-0.424,18.67,19.55,01a58064o0555o
110,58064.459788,16.38,0.03,1019,31,o,0,124.91,65.41915,-3.54112,91.75,9931.09,3.23,2.74,-84.0,-0.482,18.64,19.63,01a58064o0556o
111,58064.463623,17.542,0.095,349,33,o,0,1.2,65.41915,-3.54112,267.1,111.94,3.43,2.94,78.5,-0.518,18.63,19.61,01a58064o0564o
112,58064.46743300001,17.336,0.073,422,31,o,0,1.0,65.41915,-3.54112,9814.1,9869.56,3.67,3.34,-89.7,-0.403,18.59,19.57,01a58064o0572o
113,58064.46789199999,17.558,0.08800000000000001,344,30,o,0,1.19,65.41915,-3.54112,111.55,9782.93,3.46,3.29,-35.1,-0.415,18.58,19.64,01a58064o0573o
114,58064.471317,17.869,0.276,258,71,o,0,0.42,65.41915,-3.54112,10024.53,57.55,3.6,3.52,-51.5,-0.426,18.59,19.52,01a58064o0580o
115,58064.47559800001,17.48,0.079,370,29,o,0,0.96,65.41915,-3.54112,9831.55,9720.15,3.69,2.9,88.2,-0.415,18.62,19.54,01a58064o0589o
116,58066.45319,17.401,0.031,398,12,o,0,1.92,65.41915,-3.54112,2793.8,4163.53,1.99,1.95,-38.7,-0.445,19.4,20.19,02a58066o0538o
117,58066.462323,17.475,0.034,372,13,o,0,2.21,65.41915,-3.54112,2811.65,4204.97,2.09,1.98,-12.0,-0.445,19.3,20.13,02a58066o0555o
118,58066.470359000006,17.459,0.034,377,13,o,0,1.84,65.41915,-3.54112,2758.13,4124.85,2.08,1.96,-18.5,-0.44,19.34,20.14,02a58066o0572o
119,58066.478393,17.425,0.038,389,15,o,0,0.74,65.41915,-3.54112,2736.84,4243.09,2.03,1.94,-19.7,-0.451,19.37,20.17,02a58066o0589o
120,58068.437738,17.445,0.064,382,25,o,0,1.02,65.41915,-3.54112,567.1,6525.22,3.06,2.64,-88.8,-0.434,18.83,20.28,01a58068o0540o
121,58068.445868,17.355999999999998,0.058,415,24,o,0,1.24,65.41915,-3.54112,547.53,6458.49,3.25,2.74,88.8,-0.421,18.81,20.33,01a58068o0555o
122,58068.446326,17.563,0.07400000000000001,343,25,o,0,1.31,65.41915,-3.54112,10245.33,6467.18,3.66,2.93,-86.7,-0.418,18.67,20.14,01a58068o0556o
123,58068.453283,17.419,0.048,391,19,o,0,1.0,65.41915,-3.54112,606.02,6508.13,3.06,2.6,87.3,-0.4370000000000001,19.12,20.61,01a58068o0570o
124,58068.45374600001,17.534000000000002,0.056,352,20,o,0,0.88,65.41915,-3.54112,10224.64,6400.7,3.61,2.85,-86.4,-0.424,19.13,20.59,01a58068o0571o
125,58068.4604,17.545,0.054000000000000006,348,19,o,0,1.1,65.41915,-3.54112,624.85,6365.14,3.16,2.84,86.7,-0.426,19.11,20.63,01a58068o0585o
126,58068.46085800001,17.502,0.054000000000000006,362,20,o,0,1.12,65.41915,-3.54112,10282.65,6451.35,3.63,2.92,-86.4,-0.419,19.13,20.61,01a58068o0586o
127,58068.467991,17.622,0.07400000000000001,324,24,o,0,1.34,65.41915,-3.54112,10302.24,6307.65,4.06,3.79,-13.6,-0.4,18.78,20.35,01a58068o0601o
128,58070.434456,17.816,0.062,271,17,o,0,1.56,65.41915,-3.54112,10512.09,1792.76,2.72,2.01,56.2,-0.47,19.76,21.04,02a58070o0510o
129,58070.442861,17.582,0.034,337,12,o,0,2.22,65.41915,-3.54112,812.21,1763.89,2.26,1.84,49.3,-0.536,19.76,21.14,02a58070o0526o
130,58070.449501,17.684,0.039,307,12,o,0,2.06,65.41915,-3.54112,10476.05,1756.04,2.76,2.01,53.4,-0.466,19.81,21.2,02a58070o0540o
131,58070.449957,17.570999999999998,0.034,340,12,o,0,1.18,65.41915,-3.54112,832.71,1802.56,2.22,1.8,47.0,-0.535,19.8,21.23,02a58070o0541o
132,58070.456654,17.500999999999998,0.032,363,12,o,0,1.72,65.41915,-3.54112,10454.02,1875.16,2.71,2.01,52.9,-0.467,19.84,21.22,02a58070o0555o
133,58070.464999,17.59,0.032,334,11,o,0,1.9,65.41915,-3.54112,751.91,1844.31,2.28,1.86,46.9,-0.5329999999999999,19.81,21.22,02a58070o0571o
134,58072.427519,17.618,0.047,326,15,o,0,1.22,65.41915,-3.54112,665.77,10161.47,3.09,2.71,-86.0,-0.472,19.41,21.17,01a58072o0520o
135,58072.431952,17.654,0.05,315,16,o,0,1.2,65.41915,-3.54112,845.53,350.88,3.34,2.96,68.7,-0.474,19.36,21.17,01a58072o0528o
136,58072.436401,17.668,0.048,311,15,o,0,1.53,65.41915,-3.54112,10393.1,10102.43,3.67,2.78,89.3,-0.4320000000000001,19.43,21.19,01a58072o0536o
137,58072.43686,17.647000000000006,0.053,317,17,o,0,0.69,65.41915,-3.54112,646.06,10087.25,3.1,2.55,-88.2,-0.4920000000000001,19.46,21.21,01a58072o0537o
138,58072.440921,17.625,0.047,324,15,o,0,1.15,65.41915,-3.54112,824.57,277.65,3.17,2.65,76.3,-0.4920000000000001,19.4,21.16,01a58072o0545o
139,58072.4454,17.666,0.053,312,17,o,0,1.16,65.41915,-3.54112,10372.69,10029.21,3.94,2.89,87.3,-0.4320000000000001,19.38,21.14,01a58072o0553o
140,58072.44585900001,17.557000000000002,0.046,344,16,o,0,1.32,65.41915,-3.54112,705.63,10131.76,3.18,2.6,87.9,-0.477,19.4,21.14,01a58072o0554o
141,58072.449651,17.54,0.04,350,14,o,0,1.58,65.41915,-3.54112,883.43,325.79,3.17,2.74,74.2,-0.49,19.46,21.17,01a58072o0562o
142,58072.45343,17.781,0.058,280,16,o,0,1.19,65.41915,-3.54112,10430.19,10078.64,3.82,2.86,89.2,-0.429,19.37,21.18,01a58072o0570o
143,58072.45389,17.65,0.047,316,15,o,0,1.33,65.41915,-3.54112,723.75,9983.78,3.15,2.62,-86.2,-0.475,19.42,21.19,01a58072o0571o
144,58072.457701,17.795,0.043,277,12,o,0,2.35,65.41915,-3.54112,900.79,176.25,3.14,2.66,76.1,-0.498,19.44,21.19,01a58072o0579o
145,58072.4615,17.67,0.046,310,14,o,0,1.54,65.41915,-3.54112,10447.0,9929.0,3.7,2.69,-89.1,-0.434,19.45,21.18,01a58072o0587o
146,58074.44295,17.803,0.035,275,10,c,0,1.19,65.41915,-3.54112,2328.97,3136.87,2.78,2.42,46.3,-0.418,19.73,21.59,02a58074o0424c
147,58074.453053,17.884,0.038,255,10,c,0,1.64,65.41915,-3.54112,2346.33,3178.27,2.68,2.36,50.5,-0.416,19.72,21.57,02a58074o0441c
148,58074.46214,17.823,0.038,270,10,c,0,1.76,65.41915,-3.54112,2286.92,3102.24,2.76,2.45,52.1,-0.413,19.7,21.56,02a58074o0458c
149,58074.471207,17.885,0.038,255,10,c,0,1.73,65.41915,-3.54112,2267.38,3220.43,2.74,2.44,46.0,-0.415,19.67,21.55,02a58074o0475c
150,58076.420912,18.09,0.084,211,18,o,0,1.08,65.41915,-3.54112,392.34,6610.46,3.36,3.31,-30.8,-0.399,19.06,20.73,01a58076o0430o
151,58076.429823,18.194000000000006,0.093,192,18,o,0,1.18,65.41915,-3.54112,10070.94,6548.63,3.9,3.54,-67.2,-0.392,19.0,20.64,01a58076o0446o
