Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
19,58036.457258,20.542,0.705,22,16,o,0,1.39,30.10505,3.32241,1463.98,7816.18,2.74,2.52,-78.0,-0.481,19.1,20.24,01a58036o0548o
29,58044.43647000001,19.832,0.5429999999999999,42,23,o,0,1.38,30.10505,3.32241,9562.2,6448.32,3.21,2.78,-85.7,-0.4320000000000001,18.8,20.34,01a58044o0521o
30,58044.44445800001,18.229,0.085,186,16,o,0,28.51,30.10505,3.32241,736.4,3667.04,2.96,2.7,88.7,-0.464,19.27,20.94,01a58044o0536o
33,58048.420414,19.788,0.295,44,13,o,0,1.3,30.10505,3.32241,9106.09,3595.41,3.33,2.98,89.1,-0.419,19.29,20.85,01a58048o0497o
34,58048.428827,20.667,0.653,20,13,o,0,1.33,30.10505,3.32241,1191.86,6787.03,2.83,2.44,-84.6,-0.484,19.38,20.83,01a58048o0512o
35,58048.437588,19.817,0.332,43,14,o,0,1.16,30.10505,3.32241,1136.07,6745.14,2.99,2.55,-88.2,-0.469,19.26,20.78,01a58048o0527o
36,58048.445594,19.726,0.28600000000000003,47,13,o,0,1.34,30.10505,3.32241,9168.33,3421.32,3.49,2.89,-83.2,-0.429,19.28,20.81,01a58048o0542o
37,58054.400803,18.744,0.106,115,12,o,0,1.39,30.10505,3.32241,1776.9,1065.99,1.93,1.74,51.8,-0.6,19.5,20.44,02a58054o0457o
38,58054.407824,19.089,0.171,84,14,o,0,0.61,30.10505,3.32241,1756.31,1027.93,1.98,1.8,50.2,-0.56,19.52,20.47,02a58054o0472o
39,58054.415724,18.87,0.133,103,14,o,0,0.7,30.10505,3.32241,1814.66,1109.19,1.91,1.75,51.3,-0.555,19.52,20.51,02a58054o0487o
40,58054.423985,18.865,0.104,103,11,o,0,1.34,30.10505,3.32241,1830.84,989.6,1.97,1.76,50.3,-0.5589999999999999,19.55,20.58,02a58054o0502o
41,58056.383693,17.268,0.047,450,21,o,0,33.07,30.10505,3.32241,809.49,3612.46,3.28,2.69,80.2,-0.464,19.03,20.21,01a58056o0283o
42,58056.390375,18.379,0.163,162,26,o,0,0.95,30.10505,3.32241,10494.64,3553.32,3.71,2.97,-87.6,-0.439,19.06,20.27,01a58056o0295o
43,58056.391967,18.395,0.126,159,20,o,0,1.16,30.10505,3.32241,9483.67,6707.64,3.73,2.87,-84.9,-0.4270000000000001,19.01,20.22,01a58056o0298o
44,58056.398451,18.661,0.168,125,21,o,0,1.26,30.10505,3.32241,10475.76,3484.91,3.71,2.8,-85.8,-0.436,19.07,20.27,01a58056o0310o
45,58056.400006,18.665,0.16,124,20,o,0,0.84,30.10505,3.32241,9426.1,6660.4,3.58,2.72,-83.5,-0.4320000000000001,19.07,20.21,01a58056o0313o
46,58056.407933,17.245,0.05,459,23,o,0,36.23,30.10505,3.32241,870.78,3443.33,3.38,2.73,82.0,-0.455,18.99,20.21,01a58056o0328o
47,58058.385105,18.208,0.393,189,74,o,0,1.01,30.10505,3.32241,1749.52,7151.54,1.94,1.85,21.6,-0.489,17.67,17.5,02a58058o0247o
48,58058.392807,18.23,0.455,185,84,o,0,0.93,30.10505,3.32241,1727.5,7270.04,1.93,1.8,27.9,-0.537,17.94,17.79,02a58058o0262o
49,58062.400899,19.418,0.501,62,31,o,0,0.86,30.10505,3.32241,8605.8,1048.41,2.25,2.12,69.5,-0.477,18.56,18.72,02a58062o0390o
50,58062.407693,18.165,0.125,197,25,o,0,1.31,30.10505,3.32241,8588.48,1013.01,2.21,2.08,-88.5,-0.426,18.63,18.72,02a58062o0404o
51,58062.414808,18.712,0.183,119,22,o,0,1.77,30.10505,3.32241,8647.52,1091.78,2.32,2.18,-88.6,-0.4970000000000001,18.56,18.73,02a58062o0419o
