Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
6,58011.555568,20.459,0.517,24,12,o,0,1.97,49.05897,-18.3171,5697.49,9073.25,2.85,2.51,-78.9,-0.487,19.32,20.76,01a58011o0717o
8,58013.542636,20.686,0.403,19,8,c,0,2.48,49.05897,-18.3171,4608.84,2827.56,2.64,2.5,-56.2,-0.397,19.78,21.61,02a58013o0708c
13,58017.563024,21.415,0.813,10,8,c,0,2.61,49.05897,-18.3171,4240.61,1664.22,2.64,2.41,55.3,-0.409,19.74,21.52,02a58017o0615c
28,58023.505427,20.412,0.5760000000000001,25,14,o,0,1.62,49.05897,-18.3171,3527.01,677.74,3.2,2.86,76.3,-0.425,19.26,20.79,01a58023o0536o
29,58023.50728099999,19.942,0.425,38,16,o,0,1.34,49.05897,-18.3171,6217.47,10384.65,3.38,2.79,-81.3,-0.465,19.21,20.73,01a58023o0540o
61,58047.474793,18.495,0.107,145,16,o,0,1.51,49.05897,-18.3171,6954.24,7907.71,3.36,3.11,-89.8,-0.405,19.06,20.54,01a58047o0615o
62,58047.47708400001,18.428,0.127,154,20,o,0,1.02,49.05897,-18.3171,6933.42,7860.69,3.5,3.24,-6.2,-0.399,19.02,20.5,01a58047o0620o
63,58047.487301,19.095,0.242,84,20,o,0,1.19,49.05897,-18.3171,6990.77,7901.11,3.38,3.24,-11.1,-0.401,18.84,20.25,01a58047o0641o
65,58049.471476,18.271,0.077,178,14,c,0,1.06,49.05897,-18.3171,6123.96,9352.15,2.55,2.32,9.1,-0.44,19.66,21.28,02a58049o0423c
66,58049.473464,16.111,0.015,1305,19,c,0,16.08,49.05897,-18.3171,4355.73,1124.4,2.6,2.34,46.3,-0.498,19.69,21.28,02a58049o0427c
67,58049.484588,18.022,0.054000000000000006,224,12,c,0,1.8,49.05897,-18.3171,6159.91,9394.83,2.56,2.33,5.9,-0.429,19.64,21.23,02a58049o0451c
68,58049.497729,18.113,0.067,206,14,c,0,1.31,49.05897,-18.3171,6185.75,9273.82,2.69,2.32,3.2,-0.45,19.62,21.21,02a58049o0479c
69,58053.434315,17.936,0.047,243,12,o,0,4.69,49.05897,-18.3171,3826.23,545.22,2.06,1.91,60.2,-0.462,19.55,20.56,02a58053o0541o
70,58053.435685,18.271,0.062,178,11,o,0,4.97,49.05897,-18.3171,6451.98,10268.42,2.05,1.85,29.7,-0.487,19.62,20.62,02a58053o0544o
71,58053.440249,18.254,0.079,181,14,o,0,6.88,49.05897,-18.3171,6469.39,10308.6,2.07,1.87,32.6,-0.501,19.59,20.62,02a58053o0554o
73,58053.447136,17.628,0.038,323,12,o,0,4.96,49.05897,-18.3171,6411.43,10230.37,2.08,1.82,40.4,-0.5429999999999999,19.6,20.6,02a58053o0569o
74,58053.44851900001,18.865,0.135,103,14,o,0,4.91,49.05897,-18.3171,6392.18,10349.08,2.11,1.88,39.5,-0.483,19.57,20.61,02a58053o0572o
75,58053.448976,18.294,0.073,175,13,o,0,7.43,49.05897,-18.3171,3768.11,626.58,2.1,1.96,56.0,-0.45,19.54,20.55,02a58053o0573o
76,58053.46054400001,17.83,0.048,268,13,o,0,3.95,49.05897,-18.3171,3779.4,511.28,2.01,1.85,58.0,-0.472,19.58,20.55,02a58053o0581o
77,58055.440511,17.947,0.075,240,18,o,0,1.15,49.05897,-18.3171,6095.59,7781.06,3.01,2.76,-84.3,-0.448,19.14,20.43,01a58055o0551o
78,58055.442344,18.061,0.07400000000000001,216,16,o,0,1.65,49.05897,-18.3171,6114.55,7813.48,3.05,2.68,-87.7,-0.448,19.15,20.45,01a58055o0555o
79,58055.45058,17.858,0.065,261,17,o,0,1.46,49.05897,-18.3171,6142.88,7820.65,2.94,2.84,-73.2,-0.448,19.2,20.53,01a58055o0572o
80,58055.462501,18.094,0.073,210,15,o,0,1.7,49.05897,-18.3171,6181.79,7659.41,3.04,2.66,86.0,-0.45,19.25,20.69,01a58055o0598o
81,58059.43623300001,18.191,0.211,192,41,o,0,1.31,49.05897,-18.3171,7421.14,8058.07,3.44,2.77,-86.7,-0.436,18.47,19.17,01a58059o0464o
82,58059.439895,17.718,0.162,297,48,o,0,1.36,49.05897,-18.3171,7399.22,8006.95,3.6,2.91,-88.7,-0.422,18.36,19.21,01a58059o0472o
83,58059.449308,17.889,0.12,254,30,o,0,0.97,49.05897,-18.3171,3029.48,2245.23,3.22,2.81,81.9,-0.444,18.34,19.12,01a58059o0492o
84,58059.46513300001,18.03,0.207,223,46,o,0,1.13,49.05897,-18.3171,7488.6,7870.16,3.55,2.82,-87.9,-0.4270000000000001,18.43,19.2,01a58059o0526o
85,58063.438025,18.76,0.326,114,37,o,0,1.09,49.05897,-18.3171,9656.34,8903.04,3.81,3.22,87.1,-0.386,18.47,19.34,01a58063o0561o
86,58063.446508,18.468,0.202,149,30,o,0,1.18,49.05897,-18.3171,852.72,1467.68,3.37,3.15,77.1,-0.441,18.5,19.47,01a58063o0579o
87,58063.447883,18.83,0.268,107,29,o,0,1.28,49.05897,-18.3171,796.91,1394.81,3.79,3.41,-88.2,-0.43,18.4,19.47,01a58063o0582o
88,58063.46259,19.744,0.5770000000000001,46,26,o,0,1.35,49.05897,-18.3171,791.05,1571.78,3.24,2.96,84.8,-0.447,18.56,19.47,01a58063o0613o
90,58065.43404099999,18.644,0.123,127,16,o,0,4.06,49.05897,-18.3171,3086.66,680.74,2.1,1.91,50.4,-0.472,19.2,19.83,02a58065o0553o
91,58065.441998,19.02,0.22,90,20,o,0,1.63,49.05897,-18.3171,7355.85,9711.84,2.22,2.11,47.1,-0.474,19.16,19.82,02a58065o0570o
92,58065.442914,18.851,0.184,105,19,o,0,7.06,49.05897,-18.3171,4768.63,71.4,2.18,1.93,56.3,-0.498,19.22,19.87,02a58065o0572o
93,58065.444282,19.142,0.22,80,18,o,0,1.92,49.05897,-18.3171,7429.99,9792.87,2.23,2.11,35.2,-0.465,19.14,19.8,02a58065o0575o
94,58065.458554,18.325,0.111,170,19,o,0,1.98,49.05897,-18.3171,7447.66,9672.55,2.22,2.11,42.9,-0.488,19.17,19.81,02a58065o0605o
95,58067.426459,19.993,0.413,37,15,o,0,1.53,49.05897,-18.3171,7008.22,10385.52,3.29,2.73,-77.6,-0.454,19.34,20.85,01a58067o0527o
96,58067.42829500001,18.526,0.125,141,18,o,0,1.0,49.05897,-18.3171,4311.34,694.12,2.86,2.71,81.8,-0.443,19.17,20.63,01a58067o0531o
98,58067.442525,18.019,0.38,225,86,o,0,1.29,49.05897,-18.3171,4338.28,791.47,2.93,2.79,68.3,-0.435,17.44,18.47,01a58067o0561o
99,58067.442983,16.428,0.092,975,90,o,0,1.3,49.05897,-18.3171,7037.9,10491.67,3.45,2.87,-80.7,-0.426,17.38,18.46,01a58067o0562o
100,58067.44436,18.468,0.424,149,63,o,0,0.91,49.05897,-18.3171,4283.95,721.28,2.96,2.78,69.0,-0.4270000000000001,17.73,18.84,01a58067o0565o
101,58067.44710800001,19.034,0.266,88,24,o,0,1.51,49.05897,-18.3171,4269.84,848.76,2.94,2.74,81.6,-0.441,18.78,20.11,01a58067o0571o
102,58071.40906900001,19.196,0.199,76,15,o,0,1.2,49.05897,-18.3171,6044.32,7190.29,3.63,3.0,84.4,-0.41,19.22,20.91,01a58071o0408o
103,58071.41847899999,19.145,0.177,80,14,o,0,1.38,49.05897,-18.3171,4478.09,3172.06,3.4,2.8,87.6,-0.419,19.24,20.95,01a58071o0428o
104,58071.433616,18.146,0.075,200,15,o,0,1.55,49.05897,-18.3171,4432.86,3153.23,3.35,2.79,88.5,-0.428,19.23,20.92,01a58071o0460o
105,58071.440925,20.197,0.486,30,15,o,0,1.27,49.05897,-18.3171,4392.18,3299.73,3.31,2.84,87.2,-0.424,19.24,20.89,01a58071o0475o
106,58073.436854,20.111,0.269,33,9,c,0,2.3,49.05897,-18.3171,6449.81,10335.75,2.73,2.42,8.8,-0.46,19.75,21.69,02a58073o0216c
107,58073.437311,19.011,0.113,90,10,c,0,1.71,49.05897,-18.3171,3827.29,609.57,3.0,2.54,47.1,-0.423,19.77,21.7,02a58073o0217c
108,58075.415912,18.641,0.113,127,14,o,0,1.39,49.05897,-18.3171,3104.89,3218.16,3.24,3.08,74.3,-0.412,19.25,21.04,01a58075o0515o
109,58075.42507200001,19.277,0.19,71,13,o,0,1.5,49.05897,-18.3171,3128.57,3294.5,3.37,3.25,53.3,-0.406,19.18,21.01,01a58075o0535o
110,58075.42827999999,19.531,0.259,56,14,o,0,1.38,49.05897,-18.3171,3055.96,3230.24,3.36,3.19,46.5,-0.42,19.18,20.98,01a58075o0542o
111,58075.439316,18.844,0.141,105,15,o,0,1.45,49.05897,-18.3171,3044.32,3391.03,3.83,3.3,6.0,-0.395,19.1,21.03,01a58075o0565o
112,58079.398972,19.133,0.163,81,13,o,0,1.3,49.05897,-18.3171,3739.37,2314.62,3.24,2.88,87.5,-0.4320000000000001,19.26,20.89,01a58079o0477o
113,58079.407671,19.782,0.298,44,13,o,0,1.85,49.05897,-18.3171,3763.5,2388.57,3.34,2.92,84.4,-0.423,19.21,20.94,01a58079o0496o
114,58079.40996100001,20.322,0.47,27,13,o,0,1.7,49.05897,-18.3171,3709.09,2320.03,3.23,2.84,82.5,-0.433,19.25,20.93,01a58079o0501o
115,58079.42389500001,19.446,0.21600000000000005,60,13,o,0,1.52,49.05897,-18.3171,3679.13,2494.19,3.21,2.79,85.0,-0.433,19.26,20.91,01a58079o0530o
116,58081.374415,19.904,0.23,40,9,c,0,1.84,49.05897,-18.3171,4410.16,2228.02,2.98,2.5,49.4,-0.4,19.64,21.57,02a58081o0226c
117,58081.390323,19.228,0.126,74,9,c,0,1.09,49.05897,-18.3171,4424.3,2270.49,2.95,2.46,51.7,-0.4,19.66,21.62,02a58081o0260c
