Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
33,58055.301758,19.601,0.321,52,17,o,0,3.09,323.19056,24.14069,9308.5,1770.72,2.07,1.96,55.7,-0.515,19.42,20.13,02a58055o0254o
34,58055.31090599999,19.684,0.29600000000000004,49,14,o,0,1.94,323.19056,24.14069,9291.04,1731.77,2.13,2.0,49.5,-0.496,19.38,20.12,02a58055o0272o
37,58059.297311,18.363,0.093,164,15,o,0,6.2,323.19056,24.14069,8417.74,4326.47,2.05,2.02,-56.9,-0.465,18.98,19.25,02a58059o0101o
38,58059.305679,17.967,0.08199999999999999,236,19,o,0,4.24,323.19056,24.14069,8400.39,4286.85,2.06,1.98,-56.8,-0.46,19.01,19.31,02a58059o0118o
39,58059.314444,18.305,0.12,173,21,o,0,4.81,323.19056,24.14069,8470.42,4365.61,2.04,1.96,-51.4,-0.476,18.97,19.25,02a58059o0135o
40,58059.322799,18.373,0.122,162,20,o,0,2.25,323.19056,24.14069,8487.84,4249.22,2.08,1.99,-52.8,-0.46,18.95,19.22,02a58059o0152o
41,58061.28361000001,17.357,0.104,414,43,o,0,1.58,323.19056,24.14069,10017.84,6934.05,3.22,2.65,-88.7,-0.451,18.65,19.38,01a58061o0216o
42,58061.290244,17.778,0.107,281,30,o,0,2.44,323.19056,24.14069,10061.17,6997.08,3.18,2.68,87.7,-0.453,18.62,19.36,01a58061o0229o
43,58061.293667,17.691,0.092,304,28,o,0,2.39,323.19056,24.14069,329.22,7074.89,2.74,2.41,-88.2,-0.456,18.66,19.38,01a58061o0236o
44,58061.296732,17.622,0.118,324,38,o,0,1.43,323.19056,24.14069,9994.94,6945.54,3.16,2.69,87.5,-0.452,18.61,19.33,01a58061o0242o
45,58061.300263,17.665,0.094,312,30,o,0,2.08,323.19056,24.14069,354.02,7138.06,2.79,2.43,89.9,-0.446,18.64,19.35,01a58061o0249o
46,58061.303335,17.706,0.12,300,36,o,0,1.81,323.19056,24.14069,9985.48,7087.86,3.11,2.64,89.1,-0.462,18.64,19.31,01a58061o0255o
47,58061.306875,17.583,0.101,336,34,o,0,1.69,323.19056,24.14069,305.73,7085.29,2.86,2.47,87.7,-0.43,18.63,19.34,01a58061o0262o
48,58061.31359,17.551,0.08,346,28,o,0,2.87,323.19056,24.14069,295.17,7226.62,2.8,2.45,-89.2,-0.431,18.64,19.32,01a58061o0275o
49,58063.284954,17.914,0.069,248,17,o,0,9.48,323.19056,24.14069,7041.15,5030.68,2.12,2.0,-46.2,-0.465,19.16,19.81,02a58063o0220o
50,58065.279379,17.354,0.069,415,29,o,0,2.83,323.19056,24.14069,2352.3,8211.63,2.98,2.78,-76.1,-0.458,18.54,19.93,01a58065o0211o
51,58065.286169000006,17.542,0.054000000000000006,349,19,o,0,4.19,323.19056,24.14069,2376.02,8278.0,2.82,2.65,-87.6,-0.47,18.97,20.29,01a58065o0225o
52,58065.294601,17.315,0.051,431,22,o,0,3.31,323.19056,24.14069,2312.32,8231.56,2.86,2.67,-87.8,-0.469,18.72,20.05,01a58065o0242o
53,58065.30293400001,17.410999999999998,0.069,394,27,o,0,2.2,323.19056,24.14069,2303.26,8378.81,2.91,2.66,89.7,-0.463,18.66,20.0,01a58065o0259o
54,58067.280119,17.683,0.042,307,13,o,0,15.4,323.19056,24.14069,7521.77,2979.28,2.2,2.09,39.2,-0.444,19.46,20.55,02a58067o0215o
55,58067.286053,17.570999999999998,0.039,340,13,o,0,15.73,323.19056,24.14069,7505.04,2939.87,2.24,2.13,46.5,-0.445,19.41,20.53,02a58067o0227o
56,58067.29416900001,17.572,0.039,340,13,o,0,18.56,323.19056,24.14069,7558.13,3017.61,2.16,2.11,34.5,-0.446,19.47,20.5,02a58067o0243o
57,58067.302541,17.648,0.041,317,13,o,0,17.22,323.19056,24.14069,7577.13,2900.43,2.2,2.11,45.7,-0.451,19.41,20.45,02a58067o0260o
58,58071.315001,17.347,0.028,418,12,c,0,15.84,323.19056,24.14069,6467.96,5217.1,2.48,2.3,38.3,-0.471,19.62,21.31,02a58071o0183c
59,58073.269085,17.539,0.043,350,15,o,0,4.4,323.19056,24.14069,2016.35,6487.94,3.42,2.85,89.8,-0.448,19.28,21.01,01a58073o0195o
60,58073.273515,17.625,0.047,324,15,o,0,4.74,323.19056,24.14069,2038.0,6543.41,3.49,2.81,-88.6,-0.447,19.25,20.98,01a58073o0204o
61,58073.279336,17.541,0.045,350,16,o,0,4.02,323.19056,24.14069,1989.81,6487.14,3.33,2.72,89.8,-0.453,19.34,21.02,01a58073o0216o
62,58073.287308000006,17.602,0.043,331,14,o,0,4.91,323.19056,24.14069,1962.62,6630.56,3.33,2.77,87.4,-0.452,19.3,20.97,01a58073o0232o
63,58077.253508,18.28,0.08,177,14,o,0,3.36,323.19056,24.14069,1604.84,7755.0,3.39,2.65,-85.4,-0.436,19.3,20.98,01a58077o0156o
64,58077.259237,17.959,0.065,238,16,o,0,2.89,323.19056,24.14069,1629.92,7815.05,3.56,2.89,-84.7,-0.418,19.27,20.96,01a58077o0168o
65,58077.26367000001,18.073,0.068,214,15,o,0,3.19,323.19056,24.14069,1563.41,7753.61,3.48,2.77,-85.8,-0.422,19.25,20.89,01a58077o0177o
66,58077.267248,17.881,0.058,256,15,o,0,3.0,323.19056,24.14069,1549.41,7882.93,3.5,2.83,-89.1,-0.414,19.23,20.87,01a58077o0184o
67,58079.288648,17.901,0.043,251,11,c,0,8.63,323.19056,24.14069,6099.51,2771.59,2.65,2.4,44.4,-0.431,19.71,21.61,02a58079o0214c
68,58079.297303,18.014,0.042,226,10,c,0,9.88,323.19056,24.14069,6081.98,2731.9,2.76,2.47,47.3,-0.424,19.65,21.58,02a58079o0232c
69,58079.305518,18.039,0.048,221,11,c,0,7.71,323.19056,24.14069,6136.27,2808.34,2.7,2.47,45.3,-0.4270000000000001,19.68,21.53,02a58079o0249c
70,58079.314167,18.035,0.05,222,11,c,0,5.59,323.19056,24.14069,6154.95,2691.51,2.77,2.53,46.1,-0.416,19.57,21.45,02a58079o0267c
73,58081.200965,18.185,0.106,193,20,o,0,1.34,323.19056,24.14069,9796.25,6903.81,2.86,2.59,-65.2,-0.475,19.02,20.68,01a58081o0058o
74,58081.20187999999,18.086,0.118,212,25,o,0,1.85,323.19056,24.14069,158.24,7081.4,2.79,2.53,-84.8,-0.446,18.79,20.59,01a58081o0060o
