Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
17,58026.438186,20.808000000000003,0.708,17,12,o,0,5.27,14.5342,-10.12045,2717.26,4714.68,2.04,1.98,-12.1,-0.455,19.43,20.29,02a58026o0494o
24,58033.418921,19.277,0.416,71,29,o,0,1.19,14.5342,-10.12045,7928.17,4347.48,3.36,2.84,-88.2,-0.443,18.51,19.19,01a58033o0413o
25,58033.42593099999,18.936,0.322,97,31,o,0,0.95,14.5342,-10.12045,7953.88,4412.9,3.37,2.79,-86.1,-0.448,18.49,19.2,01a58033o0427o
34,58036.414721,19.412,0.278,62,17,o,0,1.77,14.5342,-10.12045,9718.03,4684.29,3.16,2.83,-80.2,-0.443,19.2,20.4,01a58036o0468o
36,58036.428157,19.689,0.397,48,19,o,0,1.48,14.5342,-10.12045,39.45,4866.62,2.84,2.51,87.4,-0.464,19.17,20.37,01a58036o0496o
39,58037.41215599999,20.469,0.718,24,17,o,0,2.23,14.5342,-10.12045,10092.19,5886.28,3.24,2.82,-84.1,-0.439,19.21,20.56,01a58037o0268o
40,58037.418769,20.319000000000006,0.581,27,16,o,0,2.09,14.5342,-10.12045,10115.72,5952.97,3.22,2.78,-86.5,-0.447,19.22,20.5,01a58037o0282o
41,58037.42312000001,20.296,0.5539999999999999,28,15,o,0,2.61,14.5342,-10.12045,374.59,6015.51,2.79,2.5,88.6,-0.46,19.2,20.49,01a58037o0291o
43,58037.430934,18.661,0.121,125,15,o,0,4.21,14.5342,-10.12045,398.89,6084.29,2.8,2.51,-89.4,-0.453,19.21,20.47,01a58037o0306o
45,58037.439215,19.199,0.193,76,15,o,0,3.52,14.5342,-10.12045,351.94,6041.57,2.81,2.49,-87.0,-0.457,19.23,20.47,01a58037o0321o
46,58037.447976,19.469,0.241,59,14,o,0,2.25,14.5342,-10.12045,332.6,6192.47,2.74,2.45,-89.6,-0.466,19.24,20.46,01a58037o0336o
56,58054.381535,18.85,0.114,105,12,o,0,7.02,14.5342,-10.12045,3351.91,4082.65,2.04,2.0,12.1,-0.458,19.45,20.35,02a58054o0416o
59,58056.361704,18.722,0.237,118,28,o,0,1.41,14.5342,-10.12045,8062.53,3699.74,3.31,2.8,-82.6,-0.43,18.98,19.98,01a58056o0239o
60,58056.368826,19.1,0.241,83,20,o,0,1.5,14.5342,-10.12045,8085.48,3767.12,3.37,3.01,-88.2,-0.424,18.85,19.97,01a58056o0254o
61,58056.3766,18.358,0.126,165,21,o,0,2.09,14.5342,-10.12045,8033.12,3719.07,3.38,2.96,-83.0,-0.421,18.89,19.95,01a58056o0269o
62,58056.384339,18.663,0.157,124,20,o,0,2.06,14.5342,-10.12045,8019.15,3866.43,3.25,2.9,-83.0,-0.4320000000000001,18.9,19.95,01a58056o0284o
63,58062.369531,20.153,0.677,32,21,o,0,3.38,14.5342,-10.12045,528.78,4060.24,2.43,2.24,40.1,-0.444,18.67,19.13,02a58062o0326o
64,58062.37620700001,18.226,0.132,186,25,o,0,1.8,14.5342,-10.12045,510.09,4020.44,2.34,2.23,42.1,-0.455,18.69,19.12,02a58062o0340o
65,58062.381002,18.507,0.16899999999999998,144,24,o,0,1.8,14.5342,-10.12045,10228.76,4081.83,2.39,2.26,69.0,-0.482,18.72,19.08,02a58062o0350o
66,58062.38339,18.285,0.125,176,22,o,0,3.72,14.5342,-10.12045,570.04,4098.36,2.24,2.07,68.0,-0.453,18.75,19.12,02a58062o0355o
