Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
2,58022.475011,20.575,0.606,21,13,o,0,1.46,36.14728,-11.75048,9452.33,8702.37,2.15,1.89,43.6,-0.477,19.66,20.73,02a58022o0540o
4,58024.471903,20.845,0.845,17,14,o,0,1.79,36.14728,-11.75048,7788.26,3710.78,3.3,3.18,-41.9,-0.409,19.12,20.64,01a58024o0566o
7,58024.493564,20.401,0.5710000000000001,25,14,o,0,1.19,36.14728,-11.75048,7840.34,3552.66,3.34,2.93,-86.3,-0.421,19.27,20.7,01a58024o0611o
23,58036.477618,20.63,0.915,20,19,o,0,1.09,36.14728,-11.75048,7829.91,2454.1,3.26,3.11,-15.0,-0.407,18.98,20.15,01a58036o0587o
24,58036.484752,19.979,0.534,37,20,o,0,0.94,36.14728,-11.75048,7847.89,2309.48,3.19,3.05,-71.1,-0.416,19.0,20.14,01a58036o0602o
51,58058.399539,19.35,0.41,66,27,o,0,2.14,36.14728,-11.75048,2702.29,7264.77,1.94,1.86,15.0,-0.503,18.51,18.39,02a58058o0275o
53,58062.41245700001,19.9,0.78,40,31,o,0,0.95,36.14728,-11.75048,7675.05,943.12,2.43,2.26,-89.0,-0.44,18.52,18.75,02a58062o0414o
57,58064.405348,19.655,0.485,50,24,o,0,1.22,36.14728,-11.75048,983.88,6821.87,3.28,3.11,-80.2,-0.403,18.78,19.9,01a58064o0454o
58,58064.41433099999,19.257,0.304,72,22,o,0,1.49,36.14728,-11.75048,1009.33,6895.68,3.25,2.74,-88.3,-0.433,18.84,19.91,01a58064o0471o
59,58064.423717,19.685,0.467,48,23,o,0,1.11,36.14728,-11.75048,958.24,6855.59,3.17,2.67,-86.3,-0.439,18.87,19.91,01a58064o0488o
60,58064.433065,20.15,0.619,32,20,o,0,1.42,36.14728,-11.75048,944.64,7010.55,3.09,2.63,-88.0,-0.448,18.86,19.89,01a58064o0505o
62,58068.394718,19.068,0.35200000000000004,86,30,o,0,1.5,36.14728,-11.75048,10167.84,10155.91,3.78,2.69,-84.6,-0.428,18.49,19.88,01a58068o0456o
63,58068.401925,19.377,0.513,64,33,o,0,1.49,36.14728,-11.75048,10192.52,10224.88,3.74,2.71,-82.7,-0.43,18.62,20.03,01a58068o0471o
64,58068.402387,18.463,0.215,150,32,o,0,0.92,36.14728,-11.75048,467.17,10268.04,3.15,2.59,-80.3,-0.484,18.57,19.97,01a58068o0472o
65,58068.40906799999,19.241,0.28800000000000003,73,21,o,0,1.06,36.14728,-11.75048,10137.18,10174.99,3.67,2.72,-83.1,-0.435,19.16,20.65,01a58068o0486o
66,58068.40953,19.126,0.212,81,17,o,0,1.29,36.14728,-11.75048,490.06,10336.16,3.07,2.65,-81.1,-0.487,19.17,20.68,01a58068o0487o
68,58068.41695700001,19.023,0.254,89,23,o,0,1.42,36.14728,-11.75048,436.33,10288.63,3.16,2.66,-77.8,-0.484,18.85,20.34,01a58068o0502o
69,58068.424991,18.714,0.19,119,22,o,0,1.21,36.14728,-11.75048,423.17,10440.03,3.09,2.56,-79.3,-0.495,18.94,20.46,01a58068o0517o
70,58070.399388,19.025,0.105,89,9,o,0,2.25,36.14728,-11.75048,9461.56,2391.99,2.15,1.97,50.0,-0.487,19.66,20.94,02a58070o0442o
71,58070.406855,19.163,0.127,78,10,o,0,2.09,36.14728,-11.75048,9443.18,2355.0,2.12,1.97,46.4,-0.487,19.68,20.89,02a58070o0457o
72,58070.414272,18.813,0.085,108,9,o,0,2.78,36.14728,-11.75048,9501.04,2434.37,2.08,1.99,48.8,-0.477,19.7,20.91,02a58070o0472o
73,58070.422487,18.917,0.107,98,10,o,0,1.66,36.14728,-11.75048,9519.58,2319.9,2.12,2.0,38.1,-0.47,19.67,20.93,02a58070o0487o
74,58071.390095,18.854,0.135,104,14,o,0,1.23,36.14728,-11.75048,2016.27,124.8,3.29,2.78,84.7,-0.441,19.24,20.97,01a58071o0367o
75,58071.39879,18.92,0.14800000000000002,98,14,o,0,1.4,36.14728,-11.75048,2041.32,199.58,3.47,2.85,77.8,-0.431,19.25,20.97,01a58071o0386o
76,58071.399708,19.025,0.151,89,14,o,0,1.82,36.14728,-11.75048,1983.22,125.18,3.43,2.87,80.2,-0.438,19.2,20.97,01a58071o0388o
77,58071.413901,18.784,0.122,111,14,o,0,1.35,36.14728,-11.75048,1971.26,301.16,3.53,2.84,80.0,-0.426,19.22,20.95,01a58071o0418o
78,58072.38434,18.71,0.116,119,14,o,0,1.37,36.14728,-11.75048,10027.75,6521.35,3.79,2.81,-83.8,-0.428,19.4,21.1,01a58072o0436o
79,58072.392024,18.923,0.136,98,13,o,0,1.32,36.14728,-11.75048,378.11,6634.65,3.24,2.58,88.8,-0.424,19.42,21.13,01a58072o0452o
80,58072.39248,18.81,0.121,109,13,o,0,1.25,36.14728,-11.75048,10051.86,6593.09,3.73,2.76,-84.7,-0.424,19.39,21.1,01a58072o0453o
81,58072.400115,18.97,0.117,94,11,o,0,1.72,36.14728,-11.75048,401.67,6705.38,3.4,2.74,88.3,-0.4,19.4,21.22,01a58072o0469o
82,58072.40057200001,18.877,0.122,102,12,o,0,1.51,36.14728,-11.75048,9997.08,6546.84,3.73,2.81,-86.7,-0.425,19.44,21.21,01a58072o0470o
83,58072.40854600001,18.755,0.104,114,12,o,0,1.54,36.14728,-11.75048,347.35,6662.08,3.17,2.55,87.1,-0.419,19.45,21.21,01a58072o0486o
84,58072.409006,18.889,0.134,101,14,o,0,1.22,36.14728,-11.75048,9982.43,6697.24,3.64,2.77,-86.5,-0.419,19.43,21.19,01a58072o0487o
85,58072.41794500001,18.993,0.141,92,13,o,0,1.62,36.14728,-11.75048,335.11,6817.43,3.21,2.58,88.7,-0.416,19.43,21.16,01a58072o0503o
86,58074.397063,18.922,0.103,98,10,c,0,1.24,36.14728,-11.75048,7940.46,1035.34,3.06,2.66,56.0,-0.425,19.7,21.56,02a58074o0340c
87,58074.406451,18.886,0.098,101,10,c,0,1.47,36.14728,-11.75048,7922.99,996.91,3.12,2.7,51.8,-0.425,19.68,21.56,02a58074o0357c
88,58074.415719,19.095,0.11,84,9,c,0,1.57,36.14728,-11.75048,7980.72,1076.16,2.9,2.63,49.4,-0.4320000000000001,19.71,21.58,02a58074o0374c
89,58075.387911,18.22,0.159,187,30,o,0,1.38,36.14728,-11.75048,10501.12,185.61,5.23,4.03,1.1,-0.447,18.98,21.09,01a58075o0454o
90,58075.391147,18.775,0.129,112,14,o,0,1.58,36.14728,-11.75048,637.95,223.03,3.59,3.24,61.7,-0.458,19.26,21.15,01a58075o0461o
91,58075.39573400001,18.828,0.206,107,22,o,0,1.14,36.14728,-11.75048,10446.94,139.04,4.54,4.28,-5.2,-0.4320000000000001,19.02,21.12,01a58075o0471o
92,58075.404003,18.489,0.115,146,17,o,0,1.5,36.14728,-11.75048,10430.36,291.46,4.39,4.2,-17.8,-0.399,19.07,21.17,01a58075o0489o
93,58075.40629199999,18.838,0.185,106,20,o,0,1.13,36.14728,-11.75048,607.83,246.01,5.1,3.57,5.4,-0.408,19.03,21.19,01a58075o0494o
94,58075.407208,18.648,0.139,126,18,o,0,1.32,36.14728,-11.75048,667.43,328.71,4.25,3.49,11.8,-0.431,19.1,21.17,01a58075o0496o
95,58075.411331,18.719,0.161,118,19,o,0,0.96,36.14728,-11.75048,593.0,385.01,3.78,3.45,26.9,-0.476,19.17,21.1,01a58075o0505o
96,58076.37875700001,19.078,0.198,85,17,o,0,1.49,36.14728,-11.75048,10345.97,10083.84,4.05,3.51,-78.8,-0.402,19.1,20.74,01a58076o0346o
97,58076.38653400001,18.569000000000006,0.154,136,21,o,0,1.71,36.14728,-11.75048,646.46,10190.47,3.29,3.04,-72.4,-0.439,18.89,20.5,01a58076o0362o
98,58076.38699299999,18.92,0.251,98,25,o,0,1.21,36.14728,-11.75048,10370.91,10157.37,4.18,4.03,-62.2,-0.354,18.79,20.57,01a58076o0363o
99,58076.394709,18.798,0.158,110,17,o,0,1.73,36.14728,-11.75048,689.28,10261.82,3.43,3.31,-15.1,-0.438,18.85,20.51,01a58076o0379o
100,58076.395167,18.918,0.249,98,24,o,0,1.46,36.14728,-11.75048,10315.34,10110.58,4.88,4.26,3.9,-0.359,18.77,20.66,01a58076o0380o
101,58076.402834,18.787,0.234,111,26,o,0,1.57,36.14728,-11.75048,615.49,10217.64,3.74,3.35,-2.9,-0.425,18.57,20.24,01a58076o0396o
102,58076.403295,19.442,0.7340000000000001,61,44,o,0,0.97,36.14728,-11.75048,10302.0,10261.78,4.44,4.25,-68.6,-0.434,18.32,20.05,01a58076o0397o
103,58076.41125800001,18.989,0.246,92,23,o,0,1.41,36.14728,-11.75048,598.62,10370.34,4.19,3.46,3.3,-0.415,18.75,20.47,01a58076o0413o
