Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
4,58023.449021,20.85,0.8170000000000001,17,14,o,0,1.29,23.30517,-17.525489999999998,3584.06,2092.68,3.2,2.9,78.2,-0.431,19.2,20.73,01a58023o0419o
5,58023.45176900001,20.939,0.913,15,14,o,0,1.24,23.30517,-17.525489999999998,3601.06,2121.8,3.14,2.77,78.7,-0.44,19.24,20.76,01a58023o0425o
6,58023.466052,20.943,0.895,15,14,o,0,1.07,23.30517,-17.525489999999998,3633.38,2107.46,3.28,2.78,83.5,-0.438,19.24,20.8,01a58023o0455o
19,58037.464914,20.689,0.816,19,16,o,0,0.95,23.30517,-17.525489999999998,7339.01,8574.68,2.33,2.23,37.0,-0.438,19.33,20.19,02a58037o0342o
22,58039.44729,20.792,0.778,18,14,o,0,1.04,23.30517,-17.525489999999998,5220.47,8479.64,3.09,2.81,-77.8,-0.436,19.24,20.68,01a58039o0405o
23,58039.454166,20.73,0.835,18,16,o,0,1.14,23.30517,-17.525489999999998,5201.35,8624.94,3.25,2.85,-79.0,-0.431,19.18,20.6,01a58039o0419o
30,58043.453693,19.549,0.373,55,20,o,0,1.25,23.30517,-17.525489999999998,3454.92,10293.08,3.54,3.02,-77.8,-0.423,18.85,20.58,01a58043o0567o
34,58047.43159400001,20.265,0.48,28,14,o,0,1.61,23.30517,-17.525489999999998,4766.12,946.13,3.3,3.26,-43.6,-0.415,19.06,20.58,01a58047o0524o
47,58055.407655,20.421,0.741,25,18,o,0,1.03,23.30517,-17.525489999999998,5599.73,1177.45,3.28,3.21,-88.9,-0.409,18.97,20.25,01a58055o0482o
50,58059.406624,19.519,0.6940000000000001,56,39,o,0,0.89,23.30517,-17.525489999999998,4289.35,954.89,3.02,2.81,87.4,-0.44,18.12,18.66,01a58059o0401o
53,58063.393304,19.567,0.439,54,24,o,0,1.41,23.30517,-17.525489999999998,3560.75,9714.0,3.28,2.95,-75.6,-0.439,18.62,19.64,01a58063o0464o
59,58065.395848,20.049,0.502,35,17,o,0,1.01,23.30517,-17.525489999999998,4839.08,1581.61,2.18,2.05,70.6,-0.4320000000000001,18.97,19.75,02a58065o0470o
62,58067.382866,20.13,0.43,32,14,o,0,1.2,23.30517,-17.525489999999998,6950.55,9023.42,3.37,2.7,-82.3,-0.47,19.26,20.77,01a58067o0432o
64,58067.399893,18.46,0.404,150,61,o,0,1.05,23.30517,-17.525489999999998,6885.53,9131.04,3.37,2.72,-83.5,-0.44,17.84,19.17,01a58067o0469o
65,58071.362459,18.938,0.163,96,16,o,0,0.86,23.30517,-17.525489999999998,5717.29,1680.46,3.31,2.75,-89.7,-0.44,19.2,20.79,01a58071o0307o
66,58071.370304,19.096,0.17800000000000002,84,15,o,0,1.06,23.30517,-17.525489999999998,5739.39,1752.28,3.5,2.86,86.8,-0.426,19.16,20.77,01a58071o0324o
67,58071.37811000001,19.447,0.242,60,15,o,0,1.14,23.30517,-17.525489999999998,5687.7,1705.82,3.33,2.71,87.1,-0.4370000000000001,19.19,20.78,01a58071o0341o
68,58071.385927,18.786,0.14400000000000002,111,16,o,0,0.97,23.30517,-17.525489999999998,5673.3,1854.27,3.34,2.8,87.6,-0.4320000000000001,19.16,20.84,01a58071o0358o
69,58075.363522,18.071,0.077,214,17,o,0,0.98,23.30517,-17.525489999999998,4354.69,1780.14,3.71,3.6,42.4,-0.414,19.07,21.04,01a58075o0401o
70,58075.371351,18.05,0.07,219,15,o,0,1.23,23.30517,-17.525489999999998,4376.45,1852.23,3.6,3.25,11.6,-0.405,19.15,21.03,01a58075o0418o
71,58075.379152,17.965,0.067,236,16,o,0,1.08,23.30517,-17.525489999999998,4324.31,1805.75,3.98,3.36,8.4,-0.389,19.06,21.01,01a58075o0435o
72,58075.386988,17.994,0.07200000000000001,230,17,o,0,1.19,23.30517,-17.525489999999998,4310.03,1954.09,4.25,3.6,5.1,-0.396,19.03,21.0,01a58075o0452o
73,58079.34763300001,17.750999999999994,0.049,288,14,o,0,1.33,23.30517,-17.525489999999998,4993.69,876.56,3.19,2.83,86.2,-0.438,19.27,21.05,01a58079o0365o
74,58079.354503,17.792,0.051,278,14,o,0,1.21,23.30517,-17.525489999999998,5016.47,943.44,3.2,2.8,84.9,-0.433,19.32,21.04,01a58079o0380o
75,58079.36139299999,17.76,0.051,286,14,o,0,1.31,23.30517,-17.525489999999998,4963.44,894.1,3.34,2.94,86.4,-0.43,19.22,20.99,01a58079o0395o
76,58079.36507000001,17.674,0.052000000000000005,309,16,o,0,1.1,23.30517,-17.525489999999998,4947.69,1026.34,3.44,3.02,79.7,-0.426,19.19,20.96,01a58079o0403o
77,58081.319074,17.595,0.043,332,14,c,0,1.13,23.30517,-17.525489999999998,4776.88,9706.1,2.73,2.28,13.4,-0.48,19.57,21.18,02a58081o0107c
78,58081.335066,17.519000000000002,0.037000000000000005,357,13,c,0,1.44,23.30517,-17.525489999999998,4758.54,9666.39,2.88,2.44,11.9,-0.47,19.55,21.32,02a58081o0142c
79,58081.341455,17.5,0.035,363,13,c,0,1.67,23.30517,-17.525489999999998,4813.89,9747.54,2.82,2.43,9.1,-0.475,19.57,21.36,02a58081o0156c
80,58081.345561,17.544,0.039,349,14,c,0,1.67,23.30517,-17.525489999999998,4832.88,9628.55,2.85,2.44,9.2,-0.474,19.6,21.41,02a58081o0165c
81,58091.307864,17.88,0.134,256,34,o,0,1.0,23.30517,-17.525489999999998,3963.61,9986.78,3.62,3.13,-78.5,-0.421,18.41,19.32,01a58091o0248o
82,58091.309703,17.744,0.105,290,30,o,0,0.99,23.30517,-17.525489999999998,2524.47,291.8,3.52,3.03,83.8,-0.417,18.35,19.27,01a58091o0252o
83,58091.314747,17.901,0.131,251,33,o,0,1.01,23.30517,-17.525489999999998,3986.59,10053.71,3.66,3.15,-77.4,-0.416,18.37,19.31,01a58091o0263o
84,58091.316576,18.029,0.147,223,33,o,0,0.75,23.30517,-17.525489999999998,2548.18,358.98,3.6,3.11,79.9,-0.398,18.32,19.26,01a58091o0267o
85,58091.321635,17.909000000000006,0.133,249,33,o,0,1.0,23.30517,-17.525489999999998,3934.44,10004.22,3.71,3.18,-76.4,-0.415,18.39,19.31,01a58091o0278o
86,58091.3253,17.922,0.122,246,30,o,0,1.16,23.30517,-17.525489999999998,2495.39,316.6,3.43,2.93,82.8,-0.415,18.37,19.25,01a58091o0286o
87,58091.326674,17.829,0.123,268,33,o,0,1.21,23.30517,-17.525489999999998,3918.35,10142.44,3.61,3.09,-77.0,-0.425,18.45,19.3,01a58091o0289o
88,58091.328046,17.909000000000006,0.117,249,29,o,0,1.36,23.30517,-17.525489999999998,2479.9,446.05,3.57,3.15,80.9,-0.418,18.29,19.25,01a58091o0292o
89,58095.323362,18.111,0.069,207,14,o,0,1.33,23.30517,-17.525489999999998,5686.15,1049.1,3.37,2.95,85.1,-0.429,19.22,20.9,01a58095o0310o
90,58095.33069600001,18.191,0.075,192,14,o,0,1.1,23.30517,-17.525489999999998,5706.96,1117.18,3.12,2.74,85.8,-0.446,19.29,20.89,01a58095o0326o
91,58095.341229,18.251,0.07,182,13,o,0,1.62,23.30517,-17.525489999999998,5654.89,1082.05,3.12,2.68,-88.4,-0.448,19.28,20.88,01a58095o0349o
92,58095.343975,18.22,0.075,187,14,o,0,1.39,23.30517,-17.525489999999998,5637.66,1211.92,3.14,2.73,85.6,-0.441,19.26,20.82,01a58095o0355o
93,58097.32125,18.181,0.065,194,13,o,0,1.01,23.30517,-17.525489999999998,6038.65,9724.97,2.22,2.11,24.3,-0.463,19.63,20.93,02a58097o0252o
94,58097.328103,18.282,0.077,177,14,o,0,1.03,23.30517,-17.525489999999998,6021.61,9685.23,2.21,2.11,31.9,-0.473,19.6,20.81,02a58097o0267o
95,58097.333179,19.631,0.55,51,28,o,0,0.83,23.30517,-17.525489999999998,4774.3,44.17,2.25,1.94,39.7,-0.504,19.69,20.91,02a58097o0278o
96,58097.335013,18.507,0.084,144,12,o,0,1.53,23.30517,-17.525489999999998,6079.4,9762.56,2.14,2.05,12.5,-0.462,19.65,20.9,02a58097o0282o
97,58097.341913,18.322,0.07400000000000001,170,13,o,0,1.05,23.30517,-17.525489999999998,6099.87,9646.16,2.24,2.18,12.5,-0.478,19.62,20.96,02a58097o0297o
98,58099.317848,18.465,0.113,149,17,o,0,1.09,23.30517,-17.525489999999998,3855.88,1458.67,3.09,2.86,83.5,-0.435,19.09,20.38,01a58099o0297o
99,58099.324717,18.338,0.104,168,18,o,0,0.95,23.30517,-17.525489999999998,3878.9,1525.87,3.12,2.82,79.0,-0.436,19.1,20.42,01a58099o0312o
100,58099.331601,18.43,0.115,154,18,o,0,1.04,23.30517,-17.525489999999998,3825.63,1476.77,3.56,3.24,85.4,-0.411,18.93,20.46,01a58099o0327o
101,58099.3385,18.296,0.09,174,16,o,0,1.13,23.30517,-17.525489999999998,3810.85,1621.57,3.3,3.0,76.5,-0.418,19.01,20.44,01a58099o0342o
102,58103.307923,18.735,0.149,116,17,o,0,1.05,23.30517,-17.525489999999998,5137.95,10248.74,3.86,3.14,-78.8,-0.416,19.08,20.65,01a58103o0193o
