Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
7,58024.329612,20.181,0.5589999999999999,31,17,o,0,1.53,313.37785,-10.05301,9152.7,3643.21,3.26,2.85,-84.8,-0.433,19.11,20.3,01a58024o0279o
12,58028.31255900001,19.554,0.96,55,53,o,0,1.39,313.37785,-10.05301,6234.01,6930.83,3.2,2.81,89.8,-0.45,18.37,18.98,01a58028o0191o
22,58032.368464,20.056,0.826,34,28,o,0,0.92,313.37785,-10.05301,5987.26,4004.93,3.05,2.88,-80.8,-0.4370000000000001,18.46,19.19,01a58032o0371o
23,58032.37697000001,20.257,0.962,29,28,o,0,1.04,313.37785,-10.05301,5970.5,4151.4,2.99,2.69,-83.0,-0.455,18.49,19.14,01a58032o0389o
31,58034.318891,17.930999999999994,0.6779999999999999,244,166,o,0,1.09,313.37785,-10.05301,1648.68,6388.35,2.05,2.01,-46.5,-0.43,16.58,16.52,02a58034o0270o
34,58035.309884,18.014,0.7879999999999999,226,178,o,0,0.71,313.37785,-10.05301,6532.48,5044.69,3.02,2.79,84.7,-0.45,16.48,17.16,01a58035o0229o
36,58036.293051,20.002,0.383,36,14,o,0,1.11,313.37785,-10.05301,9200.76,4697.97,3.17,2.8,88.6,-0.443,19.33,20.94,01a58036o0217o
40,58037.29560700001,20.346,0.556,26,15,o,0,1.14,313.37785,-10.05301,9556.77,5917.1,2.94,2.79,20.1,-0.455,19.3,20.71,01a58037o0023o
42,58037.309763,20.841,0.8909999999999999,17,15,o,0,0.83,313.37785,-10.05301,9524.68,5935.21,3.01,2.69,-86.1,-0.454,19.31,20.73,01a58037o0053o
43,58037.316895,19.694000000000006,0.32299999999999995,48,16,o,0,1.15,313.37785,-10.05301,9507.81,6080.11,3.06,2.65,-86.7,-0.461,19.32,20.74,01a58037o0068o
52,58048.280578,20.169,0.775,31,24,o,0,1.54,313.37785,-10.05301,8952.11,3769.6,3.09,2.7,-87.7,-0.451,18.57,19.81,01a58048o0204o
53,58048.28767100001,19.806,0.696,43,30,o,0,0.88,313.37785,-10.05301,8896.2,3721.21,3.14,2.72,-82.5,-0.45,18.63,19.89,01a58048o0219o
55,58056.267203,19.655,0.476,50,24,o,0,1.13,313.37785,-10.05301,7535.76,3822.96,2.89,2.86,72.4,-0.45,18.77,19.53,01a58056o0043o
58,58056.28840499999,20.183,0.81,31,25,o,0,1.14,313.37785,-10.05301,7482.97,3981.89,3.36,2.85,-85.2,-0.441,18.58,19.45,01a58056o0088o
63,58062.208627,20.726,0.908,19,17,o,0,1.22,313.37785,-10.05301,1132.02,4279.87,2.28,2.18,39.4,-0.461,19.01,19.72,02a58062o0014o
67,58064.269804,20.466,0.648,24,15,o,0,1.48,313.37785,-10.05301,7500.32,3766.23,3.3,3.02,-87.2,-0.424,19.08,20.38,01a58064o0172o
69,58066.255035,19.314,0.154,68,10,o,0,1.88,313.37785,-10.05301,900.18,3302.69,1.95,1.82,31.2,-0.513,19.36,20.18,02a58066o0138o
70,58066.263008,20.183,0.448,31,14,o,0,0.93,313.37785,-10.05301,884.87,3262.11,1.98,1.82,34.5,-0.508,19.33,20.17,02a58066o0155o
71,58066.270983,19.55,0.244,55,13,o,0,1.47,313.37785,-10.05301,944.52,3339.31,1.97,1.84,29.8,-0.511,19.34,20.14,02a58066o0172o
72,58066.279653,19.858,0.344,41,14,o,0,1.07,313.37785,-10.05301,965.02,3221.52,2.04,1.9,33.6,-0.496,19.3,20.12,02a58066o0189o
73,58068.251925,18.689,0.127,121,15,o,0,1.57,313.37785,-10.05301,7072.76,7151.44,2.87,2.55,-86.1,-0.477,19.12,20.24,01a58068o0156o
74,58068.25893,18.965,0.189,94,18,o,0,1.23,313.37785,-10.05301,7094.43,7216.19,2.95,2.55,-84.6,-0.475,19.14,20.26,01a58068o0171o
75,58068.265894,18.741,0.189,116,22,o,0,1.21,313.37785,-10.05301,7036.33,7165.42,3.4,2.79,-82.8,-0.4320000000000001,18.9,20.11,01a58068o0186o
76,58068.272874,19.014,0.35100000000000003,90,32,o,0,1.17,313.37785,-10.05301,7018.63,7306.81,3.03,2.55,-84.6,-0.471,18.55,19.62,01a58068o0201o
77,58070.251726,18.211,0.081,189,15,o,0,0.91,313.37785,-10.05301,2876.27,5700.63,1.97,1.87,42.5,-0.495,19.42,20.28,02a58070o0131o
