Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58061.501772,19.319000000000006,0.54,68,37,o,0,1.03,134.36928999999998,28.616640000000004,7113.52,3066.38,3.01,2.89,-54.4,-0.439,18.26,18.8,01a58061o0666o
1,58061.503235,19.283,0.455,70,32,o,0,1.25,134.36928999999998,28.616640000000004,7100.17,3028.67,2.95,2.83,-58.3,-0.454,18.29,18.81,01a58061o0669o
2,58061.504699,18.629,0.26,128,33,o,0,1.06,134.36928999999998,28.616640000000004,7154.11,3105.02,2.96,2.82,-68.1,-0.453,18.29,18.82,01a58061o0672o
3,58061.506605,19.169,0.399,78,31,o,0,1.51,134.36928999999998,28.616640000000004,7174.1,2986.45,3.08,2.97,-58.3,-0.44,18.28,18.84,01a58061o0676o
4,58063.595338,18.981,0.2,93,19,o,0,2.52,134.36928999999998,28.616640000000004,5889.66,6372.85,2.33,2.12,-43.7,-0.438,18.93,19.5,02a58063o0778o
5,58063.605129,19.117,0.224,82,18,o,0,1.56,134.36928999999998,28.616640000000004,5898.96,6416.87,2.46,2.21,-50.1,-0.453,18.93,19.54,02a58063o0795o
6,58063.615001,18.589,0.141,133,19,o,0,1.98,134.36928999999998,28.616640000000004,5830.15,6340.83,2.45,2.33,-54.4,-0.442,18.87,19.56,02a58063o0812o
7,58063.625262,18.388,0.116,160,19,o,0,1.88,134.36928999999998,28.616640000000004,5813.38,6459.33,2.44,2.28,-52.2,-0.451,18.88,19.58,02a58063o0829o
9,58065.594039,17.867,0.843,259,218,o,0,1.14,134.36928999999998,28.616640000000004,5239.88,1641.27,3.09,2.86,-19.1,-0.471,16.15,16.35,01a58065o0817o
10,58065.606284,17.915,0.207,248,51,o,0,0.95,134.36928999999998,28.616640000000004,5312.86,1681.9,3.05,2.93,-2.8,-0.459,18.06,18.9,01a58065o0834o
11,58065.61487899999,17.702,0.22,302,66,o,0,1.26,134.36928999999998,28.616640000000004,5339.71,1536.12,3.2,3.02,8.2,-0.439,17.67,18.29,01a58065o0850o
12,58067.614626,18.553,0.16399999999999998,138,23,o,0,1.86,134.36928999999998,28.616640000000004,5411.5,8433.29,2.21,2.11,-21.8,-0.474,19.1,19.7,02a58067o0857o
13,58067.625473,18.271,0.138,178,25,o,0,2.2,134.36928999999998,28.616640000000004,5419.51,8479.98,2.05,1.95,-13.2,-0.509,19.1,19.68,02a58067o0874o
14,58067.63653500001,18.088,0.08900000000000001,211,19,o,0,2.6,134.36928999999998,28.616640000000004,5367.92,8405.36,2.06,1.96,-18.8,-0.503,19.11,19.67,02a58067o0891o
15,58067.646954,17.998,0.117,230,27,o,0,1.97,134.36928999999998,28.616640000000004,5351.35,8524.77,2.25,2.17,-0.3,-0.498,18.92,19.55,02a58067o0908o
16,58071.631028,17.730999999999995,0.03,293,9,c,0,9.85,134.36928999999998,28.616640000000004,6518.12,6095.38,2.34,2.32,21.9,-0.456,19.74,21.41,02a58071o0740c
17,58071.640525,17.671,0.034,310,10,c,0,5.24,134.36928999999998,28.616640000000004,6553.56,6137.45,2.32,2.3,48.3,-0.452,19.76,21.37,02a58071o0758c
18,58071.649363,17.777,0.045,281,13,c,0,4.11,134.36928999999998,28.616640000000004,6483.42,6058.84,2.36,2.32,46.0,-0.456,19.52,20.84,02a58071o0775c
19,58071.658816,17.750999999999994,0.159,288,46,c,0,1.14,134.36928999999998,28.616640000000004,6466.78,6180.07,2.43,2.37,42.5,-0.496,17.91,18.69,02a58071o0793c
