Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58091.611799,17.47,0.06,373,22,o,0,1.19,162.97092,51.00807,4564.32,4363.32,2.19,2.04,-60.9,-0.44,18.8,19.28,02a58091o0918o
1,58091.62014299999,17.340999999999998,0.038,420,16,o,0,2.72,162.97092,51.00807,4588.8,4402.96,2.21,2.04,-63.1,-0.445,18.82,19.3,02a58091o0936o
2,58091.62804,17.379,0.055,406,22,o,0,0.99,162.97092,51.00807,4529.29,4327.21,2.26,2.06,-52.1,-0.442,18.84,19.31,02a58091o0953o
3,58091.63647100001,17.261,0.047,453,22,o,0,1.82,162.97092,51.00807,4517.73,4445.06,2.16,2.09,-69.7,-0.451,18.85,19.32,02a58091o0971o
4,58094.644151,17.644000000000005,0.067,318,21,o,0,1.51,162.97092,51.00807,7961.48,7449.56,3.5,2.93,-78.1,-0.434,18.9,20.06,01a58094o0979o
5,58094.653076,17.514,0.071,358,26,o,0,1.3,162.97092,51.00807,7948.81,7376.82,3.45,2.85,-79.5,-0.4320000000000001,18.84,19.93,01a58094o0998o
6,58094.661971,17.652,0.19,316,60,o,0,1.07,162.97092,51.00807,8020.32,7423.86,3.56,2.83,-82.1,-0.4370000000000001,18.35,19.05,01a58094o1017o
7,58096.644007,17.542,0.056,349,19,o,0,2.58,162.97092,51.00807,3967.09,4168.58,2.09,1.92,39.8,-0.477,18.86,19.81,02a58096o0988o
8,58096.662053,17.837,0.09,266,24,o,0,1.26,162.97092,51.00807,3931.31,4129.7,2.17,1.92,39.5,-0.469,18.59,19.31,02a58096o1026o
9,58098.629055,17.959,0.062,238,15,o,0,1.41,162.97092,51.00807,5921.52,6906.4,3.22,2.94,-74.3,-0.434,19.28,21.0,01a58098o0927o
10,58098.637906,18.133,0.063,203,13,o,0,1.71,162.97092,51.00807,5907.12,6834.82,3.19,2.82,-76.0,-0.428,19.41,21.09,01a58098o0946o
11,58098.646891,18.021,0.066,225,15,o,0,1.33,162.97092,51.00807,5978.49,6879.4,3.25,2.85,-79.2,-0.4320000000000001,19.3,21.0,01a58098o0965o
12,58098.65584299999,17.975,0.103,234,24,o,0,1.21,162.97092,51.00807,5998.68,6728.6,3.4,2.99,-74.7,-0.436,18.68,20.03,01a58098o0984o
13,58100.65125900001,18.113,0.057,206,12,o,0,2.63,162.97092,51.00807,3390.59,4117.3,2.1,1.88,37.8,-0.471,19.66,20.98,02a58100o0485o
14,58100.661292,18.192,0.071,192,14,o,0,1.45,162.97092,51.00807,7071.81,6268.71,2.12,1.92,49.1,-0.506,19.41,20.47,02a58100o0504o
15,58100.671005,18.385,0.267,161,43,o,0,1.02,162.97092,51.00807,3356.86,4079.5,2.16,1.93,33.1,-0.46,18.02,18.09,02a58100o0523o
16,58102.626996000006,18.489,0.117,146,17,o,0,1.25,162.97092,51.00807,9195.19,8294.52,3.62,2.9,-80.7,-0.408,19.25,20.87,01a58102o0939o
17,58102.635756,18.385,0.08800000000000001,161,14,o,0,1.63,162.97092,51.00807,9180.76,8221.57,3.52,2.8,-83.1,-0.418,19.35,20.89,01a58102o0958o
18,58102.644685,18.225,0.08900000000000001,186,16,o,0,1.49,162.97092,51.00807,9253.64,8268.28,3.74,2.98,-76.4,-0.41,19.21,20.83,01a58102o0977o
19,58102.653564,18.485,0.103,146,15,o,0,1.58,162.97092,51.00807,9274.02,8116.59,3.47,2.7,-84.9,-0.42,19.28,20.76,01a58102o0996o
20,58110.60443300001,18.61,0.103,131,14,o,0,1.47,162.97092,51.00807,8264.87,8203.69,3.33,2.87,-82.3,-0.425,19.46,21.3,01a58110o0899o
21,58110.61324299999,18.413,0.085,157,13,o,0,1.45,162.97092,51.00807,8261.72,8131.3,3.43,2.89,-78.9,-0.423,19.43,21.35,01a58110o0918o
22,58110.622061,18.215,0.07200000000000001,188,14,o,0,1.27,162.97092,51.00807,8320.5,8176.73,3.59,3.07,-78.8,-0.417,19.38,21.35,01a58110o0937o
23,58110.630967,18.771,0.115,113,13,o,0,1.37,162.97092,51.00807,8351.91,8026.44,3.4,2.82,-80.8,-0.4270000000000001,19.46,21.31,01a58110o0956o
24,58112.607003,18.301,0.06,174,10,o,0,2.77,162.97092,51.00807,4322.4,3783.94,2.18,1.97,26.7,-0.452,19.7,21.18,02a58112o0902o
25,58112.617126,18.391,0.064,160,10,o,0,2.5,162.97092,51.00807,6132.17,6605.51,2.06,1.93,43.7,-0.476,19.73,21.11,02a58112o0921o
26,58112.62727100001,18.605,0.084,131,11,o,0,1.58,162.97092,51.00807,6189.31,6679.75,1.99,1.86,47.8,-0.487,19.74,21.09,02a58112o0940o
27,58112.637485,18.379,0.071,162,11,o,0,2.66,162.97092,51.00807,4278.75,3860.73,2.03,1.92,29.6,-0.454,19.72,21.05,02a58112o0959o
28,58116.602033,18.65,0.078,126,10,o,0,2.11,162.97092,51.00807,2495.18,4206.93,2.25,2.0,36.1,-0.458,19.69,21.23,02a58116o0885o
29,58116.612157,18.722,0.079,118,9,o,0,1.99,162.97092,51.00807,7973.11,6183.75,2.1,1.96,53.1,-0.48,19.71,21.22,02a58116o0904o
30,58116.622343,18.679,0.095,122,12,o,0,1.29,162.97092,51.00807,8019.29,6257.67,2.1,1.97,54.5,-0.487,19.74,21.24,02a58116o0923o
31,58116.63264700001,18.468,0.078,149,12,o,0,2.04,162.97092,51.00807,8042.48,6141.9,2.1,1.95,55.9,-0.484,19.73,21.22,02a58116o0942o
32,58120.520123,18.741,0.206,116,24,o,0,1.77,162.97092,51.00807,2121.25,2474.59,2.39,2.14,33.6,-0.463,18.53,18.9,02a58120o0595o
33,58120.529153,19.129,0.37,81,30,o,0,0.8,162.97092,51.00807,2145.87,2516.17,2.24,1.98,34.8,-0.504,18.59,18.93,02a58120o0613o
34,58120.540079,18.539,0.182,139,25,o,0,1.43,162.97092,51.00807,2082.91,2438.03,2.31,2.02,29.3,-0.477,18.57,18.97,02a58120o0635o
35,58120.546264,19.162,0.28,78,22,o,0,1.83,162.97092,51.00807,2071.76,2553.13,2.15,1.88,35.9,-0.501,18.66,18.99,02a58120o0648o
36,58122.578425,19.668,0.624,49,31,o,0,1.42,162.97092,51.00807,6268.99,6526.91,3.62,3.29,-83.5,-0.417,18.52,19.55,01a58122o0837o
37,58122.588856,19.782,0.6629999999999999,44,29,o,0,1.04,162.97092,51.00807,3690.72,3813.19,3.48,3.35,-83.9,-0.411,18.46,19.47,01a58122o0856o
38,58122.599471,19.098,0.34700000000000003,83,29,o,0,1.25,162.97092,51.00807,3622.45,3779.31,3.41,3.29,-83.7,-0.423,18.44,19.43,01a58122o0875o
41,58128.592946,21.144,0.85,13,11,o,0,2.22,162.97092,51.00807,8422.2,7901.82,2.18,2.02,23.4,-0.459,19.71,21.28,02a58128o0808o
96,58180.46165,18.791,0.878,110,97,o,0,1.9,162.97092,51.00807,5303.61,6871.71,2.17,1.94,-30.9,-0.489,17.32,17.31,02a58180o0535o
101,58194.40098099999,21.093000000000004,0.545,13,7,c,0,1.4,162.97092,51.00807,481.17,2541.94,2.45,2.23,44.4,-0.456,19.85,21.75,02a58194o0402c
102,58194.41645700001,20.718000000000004,0.38,19,7,c,0,2.29,162.97092,51.00807,469.93,2505.32,2.53,2.3,46.6,-0.45,19.81,21.72,02a58194o0435c
