Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
3,58033.520176,19.671,0.624,49,31,o,0,1.08,35.78962999999999,-32.87227,7135.41,979.75,2.21,2.07,69.2,-0.444,18.58,18.77,02a58033o0602o
5,58037.46719500001,19.634,0.3720000000000001,51,19,o,0,0.81,35.78962999999999,-32.87227,2560.23,7960.63,2.31,2.16,-0.3,-0.455,19.14,19.94,02a58037o0347o
24,58049.456691,20.309,0.525,27,14,c,0,1.05,35.78962999999999,-32.87227,4282.71,9970.74,2.54,2.28,21.1,-0.465,19.66,21.19,02a58049o0391c
29,58049.462806,21.118,0.951,13,12,c,0,1.18,35.78962999999999,-32.87227,6256.45,435.22,2.8,2.46,56.4,-0.456,19.63,21.2,02a58049o0404c
36,58055.416159,19.775,0.4270000000000001,45,19,o,0,1.45,35.78962999999999,-32.87227,9933.02,8577.67,3.76,2.95,88.7,-0.378,18.83,20.02,01a58055o0500o
44,58059.412578,19.189,0.489,77,37,o,0,1.95,35.78962999999999,-32.87227,9334.04,1429.88,3.74,2.86,-84.9,-0.436,18.12,18.79,01a58059o0414o
54,58063.43369600001,19.256,0.444,72,32,o,0,0.76,35.78962999999999,-32.87227,7020.46,671.73,3.44,3.24,-77.2,-0.413,18.37,19.32,01a58063o0552o
57,58065.42019400001,20.405,0.675,25,17,o,0,1.54,35.78962999999999,-32.87227,7440.97,959.29,2.22,2.06,64.6,-0.472,19.08,19.69,02a58065o0523o
58,58065.422475,20.111,0.727,33,24,o,0,1.57,35.78962999999999,-32.87227,7393.47,882.67,2.25,2.09,60.8,-0.472,18.86,19.46,02a58065o0528o
61,58067.409056,18.243,0.443,183,81,o,0,0.93,35.78962999999999,-32.87227,4602.83,9641.0,3.27,2.83,-79.3,-0.455,17.92,19.3,01a58067o0489o
62,58067.419586,20.273,0.851,28,24,o,0,1.06,35.78962999999999,-32.87227,4559.83,9606.1,3.24,2.8,-77.5,-0.464,18.78,20.15,01a58067o0512o
68,58071.41207000001,20.896,1.0,16,16,o,0,1.21,35.78962999999999,-32.87227,723.84,2543.95,3.72,2.87,83.1,-0.438,19.05,20.71,01a58071o0414o
69,58075.389748,19.372,0.34,65,22,o,0,1.08,35.78962999999999,-32.87227,9351.48,2416.13,4.36,3.71,-82.0,-0.387,18.78,21.54,01a58075o0458o
70,58075.397565,19.403,0.274,63,17,o,0,1.23,35.78962999999999,-32.87227,9305.9,2369.09,4.09,3.8,-89.0,-0.39,19.01,20.96,01a58075o0475o
71,58075.401715,19.818,0.445,43,19,o,0,1.14,35.78962999999999,-32.87227,9274.52,2502.74,4.5,3.97,-0.5,-0.392,18.95,20.92,01a58075o0484o
72,58079.36919,18.736,0.16,116,19,o,0,0.98,35.78962999999999,-32.87227,9990.57,1467.93,4.17,3.15,-87.7,-0.4270000000000001,19.04,20.77,01a58079o0412o
73,58079.373772000006,18.31,0.104,172,18,o,0,1.31,35.78962999999999,-32.87227,10025.66,1526.44,4.01,3.02,-85.2,-0.439,19.12,20.75,01a58079o0422o
74,58079.376517,18.52,0.136,142,19,o,0,0.99,35.78962999999999,-32.87227,9961.39,1458.44,4.15,3.11,-87.8,-0.431,19.05,20.74,01a58079o0428o
76,58079.383385,18.708,0.146,119,18,o,0,1.22,35.78962999999999,-32.87227,9948.19,1601.82,4.1,3.15,-86.8,-0.434,19.05,20.73,01a58079o0443o
77,58079.387509,18.614,0.16,130,21,o,0,1.05,35.78962999999999,-32.87227,71.2,1674.89,3.89,3.04,82.4,-0.446,19.07,20.77,01a58079o0452o
78,58081.33826,17.574,0.631,339,214,c,0,0.27,35.78962999999999,-32.87227,30.04,9004.12,3.38,2.68,30.6,-0.385,19.43,21.2,02a58081o0149c
79,58081.356872,18.223,0.068,186,13,c,0,1.06,35.78962999999999,-32.87227,466.77,1402.76,3.41,2.94,57.4,-0.4270000000000001,19.52,21.38,02a58081o0189c
80,58081.358696,18.084,0.06,212,13,c,0,1.04,35.78962999999999,-32.87227,482.46,1442.81,3.4,2.94,59.2,-0.441,19.5,21.37,02a58081o0193c
81,58081.359874,18.21,0.078,189,15,c,0,1.04,35.78962999999999,-32.87227,10364.59,1402.91,3.86,2.93,56.2,-0.387,19.47,21.37,02a58081o0195c
82,58081.36189099999,18.297,0.076,174,13,c,0,1.44,35.78962999999999,-32.87227,100.91,8919.84,3.19,2.59,28.3,-0.395,19.52,21.32,02a58081o0199c
83,58081.366454,18.252,0.214,182,39,c,0,2.2,35.78962999999999,-32.87227,10021.65,9079.75,2.98,2.69,-47.6,-0.454,19.51,21.36,02a58081o0209c
84,58081.381456,18.202,0.066,190,13,c,0,1.47,35.78962999999999,-32.87227,10056.35,8959.56,2.94,2.64,-48.4,-0.452,19.52,21.39,02a58081o0241c
85,58091.330349,18.844,0.382,105,40,o,0,1.12,35.78962999999999,-32.87227,7495.81,839.46,4.36,3.69,-85.6,-0.394,18.01,18.99,01a58091o0297o
86,58091.33927200001,18.496,0.264,145,38,o,0,1.15,35.78962999999999,-32.87227,7516.14,917.17,3.88,3.24,-87.6,-0.422,18.05,18.99,01a58091o0315o
87,58091.346142,18.566,0.295,136,40,o,0,1.06,35.78962999999999,-32.87227,7470.99,866.33,4.04,3.39,-86.5,-0.413,17.97,18.99,01a58091o0330o
88,58091.34843099999,18.303,0.189,173,33,o,0,1.45,35.78962999999999,-32.87227,7456.48,993.01,3.95,3.36,-87.6,-0.41,18.05,18.99,01a58091o0335o
89,58095.35222000001,18.913,0.194,99,19,o,0,0.98,35.78962999999999,-32.87227,752.74,1749.1,3.72,3.02,77.8,-0.442,18.97,20.49,01a58095o0373o
90,58095.356339,18.76,0.177,114,20,o,0,0.86,35.78962999999999,-32.87227,772.16,1804.76,3.78,3.07,79.7,-0.439,18.92,20.41,01a58095o0382o
91,58095.365501,18.635,0.181,128,23,o,0,0.89,35.78962999999999,-32.87227,727.45,1764.83,3.85,3.14,82.1,-0.446,18.86,20.26,01a58095o0402o
92,58095.37877999999,18.329,0.125,169,21,o,0,0.98,35.78962999999999,-32.87227,700.52,1935.88,3.52,2.73,83.0,-0.465,18.91,20.18,01a58095o0431o
93,58097.339584,18.673,0.109,123,14,o,0,1.33,35.78962999999999,-32.87227,1323.43,9039.88,2.36,2.03,16.7,-0.471,19.45,20.66,02a58097o0292o
94,58097.34649700001,18.791,0.125,110,14,o,0,0.93,35.78962999999999,-32.87227,1310.31,8999.19,2.3,1.98,18.7,-0.463,19.5,20.75,02a58097o0307o
95,58097.353387,18.607,0.101,131,13,o,0,0.95,35.78962999999999,-32.87227,1377.65,9077.68,2.31,2.0,15.8,-0.469,19.45,20.72,02a58097o0322o
96,58097.36029,18.312,0.098,172,17,o,0,0.63,35.78962999999999,-32.87227,1397.84,8959.21,2.4,2.12,16.7,-0.46,19.4,20.66,02a58097o0337o
97,58099.33618200001,19.47,0.376,59,22,o,0,1.24,35.78962999999999,-32.87227,8845.29,2015.86,4.33,3.85,-85.3,-0.371,18.72,20.22,01a58099o0337o
98,58099.343085,19.028,0.266,89,24,o,0,1.17,35.78962999999999,-32.87227,8864.48,2083.37,4.48,3.91,-83.2,-0.37,18.66,20.26,01a58099o0352o
99,58099.349963,19.079,0.247,85,21,o,0,1.33,35.78962999999999,-32.87227,8798.53,2032.12,3.99,3.41,-84.5,-0.391,18.69,20.17,01a58099o0367o
100,58099.35685,19.205,0.292,76,22,o,0,1.14,35.78962999999999,-32.87227,8783.21,2176.92,4.14,3.44,-83.6,-0.392,18.67,20.11,01a58099o0382o
101,58103.32810499999,19.732,0.411,46,19,o,0,1.25,35.78962999999999,-32.87227,8717.02,1110.8,3.96,3.06,-87.9,-0.4370000000000001,18.86,20.37,01a58103o0237o
102,58103.33500700001,19.261,0.275,72,20,o,0,1.13,35.78962999999999,-32.87227,8752.53,1179.05,4.0,3.02,-88.7,-0.438,18.86,20.34,01a58103o0252o
