Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
5,58065.374575,19.506,0.476,57,27,o,0,0.91,13.27408,-38.94369,9300.65,8414.08,2.3,2.19,77.3,-0.467,18.59,19.39,02a58065o0425o
16,58075.348799,19.738,0.376,46,17,o,0,1.01,13.27408,-38.94369,1564.45,4653.63,3.7,3.4,81.8,-0.398,18.95,20.64,01a58075o0369o
17,58075.356614,19.057,0.244,87,21,o,0,1.08,13.27408,-38.94369,1582.3,4723.48,3.84,3.74,8.7,-0.398,18.86,20.58,01a58075o0386o
18,58075.364441,19.798,0.449,44,20,o,0,0.97,13.27408,-38.94369,1522.84,4679.12,3.92,3.64,81.2,-0.389,18.9,20.63,01a58075o0403o
19,58075.372267,19.196,0.244,76,19,o,0,0.91,13.27408,-38.94369,1509.63,4827.36,3.86,3.77,-68.6,-0.377,18.88,20.68,01a58075o0420o
20,58079.332949,17.956,0.07200000000000001,239,17,o,0,1.27,13.27408,-38.94369,2206.02,3742.13,3.92,3.25,84.8,-0.405,18.97,20.72,01a58079o0333o
21,58079.33983300001,18.123,0.083,204,17,o,0,1.22,13.27408,-38.94369,2223.73,3808.33,3.85,3.18,86.5,-0.405,18.94,20.7,01a58079o0348o
22,58079.346715,18.133,0.083,203,17,o,0,0.89,13.27408,-38.94369,2164.87,3760.7,3.82,3.13,87.5,-0.414,18.99,20.7,01a58079o0363o
23,58079.353588,18.148,0.077,200,15,o,0,1.55,13.27408,-38.94369,2152.4,3904.27,3.79,3.09,86.0,-0.416,18.98,20.66,01a58079o0378o
24,58081.32181,17.555999999999994,0.045,345,15,c,0,1.43,13.27408,-38.94369,7965.68,6901.25,2.54,2.47,-83.1,-0.461,19.33,20.89,02a58081o0113c
25,58081.324089,17.541,0.045,350,16,c,0,1.13,13.27408,-38.94369,8026.16,6976.91,2.52,2.46,-74.7,-0.463,19.32,20.88,02a58081o0118c
26,58081.32728300001,17.465,0.035,375,13,c,0,2.13,13.27408,-38.94369,8041.02,6858.79,2.55,2.46,-65.2,-0.46,19.37,20.88,02a58081o0125c
27,58091.283992,17.395,0.112,400,45,o,0,0.9,13.27408,-38.94369,9465.52,3111.23,4.39,3.15,-84.1,-0.399,18.07,18.89,01a58091o0196o
28,58091.290869,17.541,0.113,350,39,o,0,2.9,13.27408,-38.94369,9484.81,3178.71,4.39,3.29,-83.9,-0.402,18.0,18.87,01a58091o0211o
29,58091.297776,17.344,0.109,419,46,o,0,0.93,13.27408,-38.94369,9424.86,3127.81,4.36,3.14,-84.3,-0.405,17.96,18.85,01a58091o0226o
30,58091.304658,17.197,0.09,480,43,o,0,1.17,13.27408,-38.94369,9411.25,3271.93,4.37,3.19,-84.3,-0.399,18.0,18.83,01a58091o0241o
31,58095.308681,17.55,0.047,347,16,o,0,1.56,13.27408,-38.94369,2889.16,3900.59,3.37,2.86,85.4,-0.434,19.0,20.51,01a58095o0278o
32,58095.315564,17.623,0.058,324,19,o,0,1.06,13.27408,-38.94369,2921.26,3966.48,3.44,2.88,85.2,-0.426,19.0,20.59,01a58095o0293o
33,58095.32244600001,17.633,0.055,321,18,o,0,1.15,13.27408,-38.94369,2860.98,3918.26,3.53,3.01,89.2,-0.428,18.95,20.47,01a58095o0308o
34,58095.327951,17.668,0.056,311,17,o,0,1.28,13.27408,-38.94369,2830.92,4056.72,3.69,3.19,88.7,-0.409,18.89,20.43,01a58095o0320o
35,58097.307074,17.639,0.049,320,16,o,0,1.02,13.27408,-38.94369,9242.9,6928.27,2.23,2.08,86.7,-0.454,19.33,20.5,02a58097o0221o
36,58097.313475,17.703,0.043,301,13,o,0,1.59,13.27408,-38.94369,9231.38,6888.2,2.3,2.17,85.0,-0.485,19.31,20.54,02a58097o0235o
37,58097.320338,17.649,0.043,317,14,o,0,1.65,13.27408,-38.94369,9295.14,6963.2,2.22,2.13,83.0,-0.448,19.33,20.55,02a58097o0250o
38,58097.32719,17.642,0.044,319,14,o,0,1.25,13.27408,-38.94369,9311.71,6847.08,2.22,2.11,-84.7,-0.446,19.29,20.53,02a58097o0265o
39,58099.303173,17.85,0.086,263,23,o,0,1.02,13.27408,-38.94369,1078.49,4347.1,3.75,3.11,86.6,-0.423,18.76,20.1,01a58099o0265o
40,58099.310048,17.925,0.098,245,24,o,0,1.02,13.27408,-38.94369,1093.83,4413.26,3.62,2.98,86.5,-0.44,18.75,20.01,01a58099o0280o
41,58099.31693200001,17.8,0.086,276,24,o,0,1.06,13.27408,-38.94369,1031.14,4364.72,3.7,3.09,86.0,-0.428,18.72,20.03,01a58099o0295o
42,58099.323801,17.825,0.105,269,28,o,0,1.11,13.27408,-38.94369,1017.09,4508.16,4.3,3.77,86.6,-0.397,18.51,19.91,01a58099o0310o
43,58103.295537,18.198,0.112,191,22,o,0,1.16,13.27408,-38.94369,950.26,3455.93,4.23,3.3,84.3,-0.397,18.76,20.23,01a58103o0166o
44,58103.30196799999,18.29,0.14,175,25,o,0,0.84,13.27408,-38.94369,966.5,3520.2,4.08,3.19,87.0,-0.4,18.71,20.14,01a58103o0180o
45,58103.308852,18.297,0.14,174,24,o,0,1.07,13.27408,-38.94369,904.02,3471.81,4.19,3.31,87.0,-0.397,18.69,20.14,01a58103o0195o
46,58103.315724,17.949,0.1,240,24,o,0,1.15,13.27408,-38.94369,888.75,3614.93,4.41,3.4,84.0,-0.387,18.59,20.07,01a58103o0210o
47,58111.27111900001,18.271,0.118,178,21,o,0,1.01,13.27408,-38.94369,3091.58,4581.43,4.0,3.46,89.3,-0.4,18.75,20.26,01a58111o0186o
48,58111.277543,18.485,0.14300000000000002,146,21,o,0,1.07,13.27408,-38.94369,3107.53,4645.37,3.87,3.38,88.0,-0.409,18.74,20.22,01a58111o0200o
49,58111.284429,18.091,0.116,211,24,o,0,0.8,13.27408,-38.94369,3046.85,4597.06,3.85,3.34,88.7,-0.411,18.73,20.18,01a58111o0215o
50,58111.2913,18.531,0.146,140,20,o,0,1.13,13.27408,-38.94369,3032.26,4739.22,3.88,3.25,88.7,-0.411,18.76,20.16,01a58111o0230o
51,58115.26121,18.258,0.243,181,44,o,0,1.02,13.27408,-38.94369,10456.04,4146.67,5.46,4.43,-83.7,-0.344,17.95,19.39,01a58115o0172o
52,58115.26765,18.791,0.385,111,43,o,0,1.19,13.27408,-38.94369,10469.96,4212.06,5.5,4.36,-85.9,-0.325,18.04,19.41,01a58115o0186o
53,58115.271313,18.551,0.295,138,41,o,0,0.93,13.27408,-38.94369,741.62,4215.43,4.85,4.28,84.3,-0.345,18.13,19.46,01a58115o0194o
54,58115.274064,18.372,0.265,163,43,o,0,1.03,13.27408,-38.94369,10406.12,4158.27,5.72,4.76,-81.3,-0.298,17.95,19.37,01a58115o0200o
55,58115.278182,18.555,0.319,137,44,o,0,1.1,13.27408,-38.94369,756.26,4280.83,5.22,4.78,86.8,-0.32299999999999995,17.95,19.43,01a58115o0209o
56,58115.280934,18.539,0.311,139,43,o,0,1.08,13.27408,-38.94369,10389.56,4301.23,5.69,4.43,-84.1,-0.343,17.94,19.31,01a58115o0215o
57,58115.284603,18.392,0.334,160,53,o,0,0.92,13.27408,-38.94369,693.41,4230.8,5.06,4.79,80.4,-0.327,17.92,19.34,01a58115o0223o
58,58115.291477,18.028,0.189,223,42,o,0,1.05,13.27408,-38.94369,678.61,4373.4,5.23,4.58,82.2,-0.329,17.98,19.36,01a58115o0238o
59,58119.24335599999,18.089,0.18,211,38,o,0,0.9,13.27408,-38.94369,9548.59,1956.69,3.55,2.8,-82.6,-0.439,18.17,18.87,01a58119o0116o
60,58119.249788,19.066,0.43,86,37,o,0,1.15,13.27408,-38.94369,9579.17,2022.66,3.67,2.88,-83.5,-0.424,18.09,18.82,01a58119o0130o
61,58119.256664,18.378,0.255,162,41,o,0,0.99,13.27408,-38.94369,9516.66,1971.03,3.52,2.83,-82.3,-0.438,18.06,18.78,01a58119o0145o
62,58119.26354,18.151,0.213,199,42,o,0,0.8,13.27408,-38.94369,9484.89,2134.48,3.58,2.81,-82.8,-0.451,18.1,18.73,01a58119o0160o
