Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
1,58043.448658,19.435,0.368,61,22,o,0,1.07,29.58026,-28.387490000000003,9904.33,2087.7,3.85,3.1,-81.4,-0.412,18.77,20.42,01a58043o0556o
21,58053.415155,20.785,0.721,18,13,o,0,0.62,29.58026,-28.387490000000003,2851.76,773.52,2.08,1.86,49.6,-0.482,19.47,20.37,02a58053o0499o
40,58063.421331,19.595,0.76,53,40,o,0,1.25,29.58026,-28.387490000000003,53.34,1796.82,3.66,3.25,83.3,-0.435,18.43,19.46,01a58063o0525o
42,58065.404661,19.111,0.459,82,38,o,0,1.96,29.58026,-28.387490000000003,8270.62,9568.3,2.25,2.15,43.2,-0.477,18.29,18.77,02a58065o0489o
43,58065.410603,19.919,0.472,39,18,o,0,0.91,29.58026,-28.387490000000003,8341.25,9646.68,2.22,2.11,48.9,-0.455,19.06,19.7,02a58065o0502o
49,58071.37719500001,20.895,0.956,16,15,o,0,0.97,29.58026,-28.387490000000003,3739.33,3326.79,3.57,2.98,86.9,-0.411,19.05,20.68,01a58071o0339o
61,58081.338717,21.365,0.971,10,10,c,0,1.47,29.58026,-28.387490000000003,6950.76,8070.69,2.58,2.44,14.4,-0.455,19.53,21.26,02a58081o0150c
65,58091.31337300001,18.589,0.28300000000000003,133,38,o,0,1.18,29.58026,-28.387490000000003,10366.33,1876.06,4.48,3.22,-85.2,-0.405,18.18,19.13,01a58091o0260o
67,58091.324842,19.094,0.4320000000000001,84,36,o,0,1.11,29.58026,-28.387490000000003,561.13,2020.47,4.01,3.16,85.0,-0.42,18.18,19.1,01a58091o0285o
68,58091.32713200001,18.243,0.222,183,41,o,0,1.2,29.58026,-28.387490000000003,10322.02,1893.4,4.44,3.24,-84.1,-0.417,18.17,19.11,01a58091o0290o
69,58091.33080800001,19.612,0.83,52,43,o,0,1.02,29.58026,-28.387490000000003,549.2,2004.55,4.44,3.69,83.7,-0.392,18.03,19.1,01a58091o0298o
70,58091.335608,19.174,0.508,78,40,o,0,1.13,29.58026,-28.387490000000003,10308.42,2045.06,4.5,3.27,-84.1,-0.406,18.12,19.1,01a58091o0307o
72,58091.347973,19.706,0.8059999999999999,48,38,o,0,1.17,29.58026,-28.387490000000003,489.93,2155.97,4.08,3.29,85.1,-0.417,18.14,19.1,01a58091o0334o
73,58095.33573099999,18.804,0.139,109,15,o,0,0.92,29.58026,-28.387490000000003,3710.66,2690.21,3.26,2.82,81.1,-0.4270000000000001,19.2,20.81,01a58095o0337o
74,58095.347639,18.608,0.103,131,14,o,0,1.29,29.58026,-28.387490000000003,3681.26,2699.55,2.98,2.53,89.1,-0.462,19.24,20.72,01a58095o0363o
75,58095.34855700001,18.66,0.116,125,14,o,0,0.9,29.58026,-28.387490000000003,3734.46,2778.98,3.03,2.62,87.1,-0.452,19.17,20.68,01a58095o0365o
76,58095.36091799999,18.644,0.12,127,15,o,0,1.33,29.58026,-28.387490000000003,3669.82,2870.29,3.26,2.8,88.6,-0.428,18.97,20.35,01a58095o0392o
77,58097.335925,18.828,0.111,107,12,o,0,1.47,29.58026,-28.387490000000003,8221.35,8074.2,2.09,2.03,50.3,-0.466,19.53,20.7,02a58097o0284o
78,58097.342825,18.634,0.09,128,12,o,0,1.19,29.58026,-28.387490000000003,8206.63,8034.68,2.17,2.13,50.9,-0.475,19.53,20.82,02a58097o0299o
