Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
10,58053.485206,18.722,0.637,118,75,o,0,0.89,77.1625,-33.523140000000005,5930.69,1482.53,2.17,2.02,53.7,-0.458,18.08,18.99,02a58053o0630o
50,58081.432216,20.042,0.292,35,10,c,0,0.91,77.1625,-33.523140000000005,8029.53,2737.66,3.15,2.61,55.6,-0.416,19.51,21.43,02a58081o0351c
51,58081.442275,19.57,0.17800000000000002,54,10,c,0,1.48,77.1625,-33.523140000000005,8058.4,2778.74,3.02,2.49,57.0,-0.428,19.6,21.45,02a58081o0373c
52,58081.453249,19.497,0.16699999999999998,58,10,c,0,1.46,77.1625,-33.523140000000005,7991.96,2700.22,3.26,2.72,57.8,-0.411,19.52,21.46,02a58081o0397c
53,58081.455074,19.823,0.26,43,11,c,0,0.93,77.1625,-33.523140000000005,7975.67,2816.31,3.36,2.81,57.9,-0.397,19.45,21.48,02a58081o0401c
54,58091.422463,18.94,0.8190000000000001,96,79,o,0,1.08,77.1625,-33.523140000000005,5482.15,8168.55,3.87,3.37,-83.4,-0.428,17.97,18.83,01a58091o0491o
55,58091.42475499999,18.735,0.659,116,77,o,0,1.06,77.1625,-33.523140000000005,5464.19,8120.97,3.83,3.3,-87.6,-0.412,17.98,18.83,01a58091o0496o
57,58091.439868,18.65,0.711,126,90,o,0,0.91,77.1625,-33.523140000000005,5534.29,8025.11,4.15,3.71,-81.4,-0.412,17.97,18.85,01a58091o0529o
58,58095.429158000006,19.686,0.3720000000000001,48,18,o,0,1.32,77.1625,-33.523140000000005,8327.36,2858.81,3.88,3.11,-85.2,-0.411,18.8,20.26,01a58095o0541o
59,58095.437857,19.505,0.361,57,21,o,0,0.92,77.1625,-33.523140000000005,8285.94,2853.71,4.0,3.15,-86.5,-0.405,18.85,20.27,01a58095o0560o
60,58095.440602,20.549,0.831,22,18,o,0,0.99,77.1625,-33.523140000000005,8353.3,2942.74,3.78,2.94,-84.7,-0.418,18.9,20.28,01a58095o0566o
61,58095.454105,20.502,0.8440000000000001,23,19,o,0,0.99,77.1625,-33.523140000000005,8278.56,3036.47,3.86,2.98,-83.5,-0.419,18.88,20.29,01a58095o0594o
62,58097.428934,19.572,0.175,54,9,o,0,1.81,77.1625,-33.523140000000005,3660.97,7694.7,2.39,2.25,23.1,-0.45,19.4,20.71,02a58097o0487o
63,58097.433958,19.797,0.226,44,10,o,0,1.12,77.1625,-33.523140000000005,3691.74,7730.22,2.38,2.28,34.9,-0.452,19.36,20.66,02a58097o0498o
64,58097.440346,20.658,0.669,20,13,o,0,0.87,77.1625,-33.523140000000005,3725.06,7770.91,2.47,2.36,22.8,-0.443,19.29,20.54,02a58097o0512o
65,58097.44993,19.747,0.28600000000000003,46,13,o,0,1.04,77.1625,-33.523140000000005,3743.11,7653.78,2.56,2.5,45.7,-0.43,19.21,20.46,02a58097o0533o
