Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
1,58065.64332,18.766,0.329,113,37,o,0,1.05,161.61225,-33.03945,2979.26,9938.48,2.26,1.99,35.4,-0.4970000000000001,18.4,18.97,02a58065o1006o
2,58065.643777,18.908,0.29,99,29,o,0,1.19,161.61225,-33.03945,5464.27,177.49,2.39,2.11,48.2,-0.442,17.4,18.42,02a58065o1007o
3,58065.646971,19.377,0.415,64,27,o,0,2.03,161.61225,-33.03945,5479.89,216.51,2.35,2.11,54.4,-0.415,18.43,18.93,02a58065o1014o
4,58065.64788400001,18.736,0.268,116,31,o,0,1.27,161.61225,-33.03945,2993.53,9978.44,2.38,2.12,40.8,-0.494,18.33,18.71,02a58065o1016o
5,58067.636722,18.9,0.247,100,25,o,0,1.23,161.61225,-33.03945,3779.7,10438.35,3.58,3.08,-81.1,-0.422,18.66,19.88,01a58067o0979o
7,58067.645471,18.565,0.252,136,34,o,0,1.32,161.61225,-33.03945,6257.58,619.03,3.64,3.05,86.9,-0.43,18.29,19.16,01a58067o0998o
8,58067.646388,19.393,0.67,64,42,o,0,1.0,161.61225,-33.03945,3747.66,10373.45,3.84,3.49,-74.0,-0.401,17.9,18.87,01a58067o1000o
10,58067.649135,18.055,0.265,218,58,o,0,1.18,161.61225,-33.03945,6302.35,687.51,3.65,3.19,-89.8,-0.42,17.68,18.23,01a58067o1006o
11,58071.611528,18.854,0.212,104,22,o,0,1.37,161.61225,-33.03945,3685.24,8035.22,3.83,3.25,-86.1,-0.419,18.78,20.24,01a58071o0835o
12,58071.618946,18.644,0.161,127,20,o,0,1.4,161.61225,-33.03945,3656.3,7979.12,3.67,3.16,-86.2,-0.417,18.82,20.3,01a58071o0851o
13,58071.626834,18.776,0.179,112,20,o,0,1.15,161.61225,-33.03945,3709.51,8037.88,3.74,3.18,89.1,-0.421,18.87,20.36,01a58071o0868o
14,58071.63469500001,19.263,0.264,72,19,o,0,1.44,161.61225,-33.03945,3712.23,7900.51,3.68,3.12,87.8,-0.423,18.89,20.39,01a58071o0885o
15,58075.620722,18.792,0.215,110,24,o,0,1.34,161.61225,-33.03945,5031.55,7949.54,3.58,3.08,-86.1,-0.425,18.76,20.11,01a58075o0953o
16,58075.62854600001,18.228,0.103,186,19,o,0,1.51,161.61225,-33.03945,5003.48,7889.95,3.54,3.04,-85.9,-0.426,18.82,20.19,01a58075o0970o
17,58075.636411,18.505,0.128,144,18,o,0,1.61,161.61225,-33.03945,5040.64,7944.96,3.61,3.2,-85.1,-0.418,18.8,20.25,01a58075o0987o
18,58075.644287,18.674,0.179,123,22,o,0,1.25,161.61225,-33.03945,5045.35,7806.46,3.65,3.15,-87.7,-0.424,18.84,20.18,01a58075o1004o
19,58079.603756,18.42,0.14400000000000002,156,22,o,0,1.14,161.61225,-33.03945,4394.26,8837.46,4.44,3.86,88.6,-0.401,18.72,20.55,01a58079o0917o
20,58079.610647,18.716,0.146,118,17,o,0,1.49,161.61225,-33.03945,4350.56,8781.25,3.81,3.21,-88.2,-0.42,18.97,20.65,01a58079o0932o
21,58079.617548,18.57,0.146,136,20,o,0,1.11,161.61225,-33.03945,4405.52,8841.28,4.3,3.82,-86.5,-0.406,18.86,20.74,01a58079o0947o
22,58079.62510499999,18.438,0.105,153,16,o,0,1.77,161.61225,-33.03945,4410.67,8703.07,3.79,3.2,-88.4,-0.417,19.05,20.81,01a58079o0962o
23,58081.591178,18.455,0.101,151,15,c,0,1.45,161.61225,-33.03945,6808.08,1730.25,3.82,3.21,42.6,-0.39,19.08,21.01,02a58081o0698c
24,58081.591635,18.639,0.116,127,15,c,0,1.33,161.61225,-33.03945,6824.4,1769.52,3.55,3.0,47.0,-0.398,19.19,21.02,02a58081o0699c
25,58081.593917,18.171,0.087,196,17,c,0,1.26,161.61225,-33.03945,6759.96,1690.79,3.5,2.82,49.4,-0.402,19.22,21.02,02a58081o0704c
26,58081.609801,18.452,0.093,151,14,c,0,1.49,161.61225,-33.03945,6741.15,1810.07,3.33,2.85,48.9,-0.405,19.25,21.04,02a58081o0738c
29,58083.601196,17.617,0.384,326,125,o,0,0.85,161.61225,-33.03945,86.68,269.8,3.93,3.18,79.1,-0.5,18.0,19.41,01a58083o0167o
32,58083.60857200001,18.48,0.33,147,49,o,0,1.88,161.61225,-33.03945,9415.6,252.91,4.59,3.61,-87.3,-0.385,17.15,18.7,01a58083o0183o
33,58083.609953,19.177,0.727,78,56,o,0,1.05,161.61225,-33.03945,7152.92,10144.54,3.91,3.31,-82.4,-0.416,17.63,19.12,01a58083o0186o
35,58083.61501,18.19,0.669,192,129,o,0,1.45,161.61225,-33.03945,9471.98,311.03,4.61,3.96,-89.3,-0.386,17.23,18.72,01a58083o0197o
38,58091.56799700001,18.686,0.366,122,45,o,0,0.91,161.61225,-33.03945,6863.38,9417.62,4.08,3.34,-83.2,-0.411,17.98,18.9,01a58091o0808o
39,58091.574433,18.523,0.278,142,39,o,0,1.18,161.61225,-33.03945,6819.02,9363.27,3.9,3.11,-82.7,-0.425,18.07,18.94,01a58091o0822o
40,58091.580859,18.94,0.404,96,39,o,0,1.26,161.61225,-33.03945,6874.39,9423.91,3.95,3.09,-83.9,-0.421,18.08,18.97,01a58091o0836o
42,58095.581523,19.526,0.41,56,23,o,0,1.7,161.61225,-33.03945,3653.66,8682.4,3.5,2.86,-88.1,-0.441,18.67,19.8,01a58095o0868o
43,58095.586559,19.633,0.465,51,24,o,0,1.46,161.61225,-33.03945,3631.17,8627.46,3.45,2.82,89.2,-0.443,18.72,19.82,01a58095o0879o
44,58095.596641,18.74,0.2,116,23,o,0,1.77,161.61225,-33.03945,3667.11,8675.91,3.76,3.1,87.4,-0.426,18.63,19.86,01a58095o0901o
45,58095.59755599999,18.621,0.174,129,22,o,0,1.64,161.61225,-33.03945,3697.58,8556.26,3.54,3.01,89.5,-0.433,18.71,19.86,01a58095o0903o
46,58097.578861,18.83,0.14,107,15,o,0,1.87,161.61225,-33.03945,5554.5,1709.32,2.43,2.12,44.7,-0.4370000000000001,19.09,19.98,02a58097o0808o
47,58097.585744,19.082,0.207,85,18,o,0,1.37,161.61225,-33.03945,5569.56,1749.45,2.48,2.23,45.1,-0.421,19.09,20.02,02a58097o0823o
48,58097.592644,18.915,0.179,99,18,o,0,1.03,161.61225,-33.03945,5502.2,1672.45,2.6,2.38,55.7,-0.407,19.09,20.07,02a58097o0838o
49,58097.599102,19.016,0.15,90,13,o,0,1.9,161.61225,-33.03945,5482.88,1789.52,2.42,2.16,48.3,-0.428,19.11,20.09,02a58097o0852o
50,58099.576938,19.868,0.631,41,26,o,0,1.6,161.61225,-33.03945,5483.85,8291.73,3.93,3.58,90.0,-0.413,18.48,19.97,01a58099o0857o
51,58099.58382100001,18.408,0.168,157,26,o,0,1.42,161.61225,-33.03945,5458.48,8231.74,4.2,3.9,-77.1,-0.426,18.52,20.01,01a58099o0872o
54,58103.569254,18.921,0.183,98,18,o,0,1.26,161.61225,-33.03945,5581.81,9156.59,3.61,2.9,-87.0,-0.435,19.06,20.6,01a58103o0698o
55,58103.571085,18.856,0.16699999999999998,104,17,o,0,1.14,161.61225,-33.03945,5597.04,9190.01,3.76,3.11,-88.7,-0.43,18.98,20.62,01a58103o0702o
56,58103.57797200001,18.596,0.14300000000000002,132,19,o,0,1.34,161.61225,-33.03945,5635.74,9207.31,3.6,2.93,-85.2,-0.44,19.04,20.59,01a58103o0717o
