Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
9,58065.60819199999,18.086,0.638,212,135,o,0,0.65,130.67346,13.9678,6595.0,2389.68,3.07,3.01,-15.1,-0.44,17.6,18.04,01a58065o0837o
35,58093.55183,18.304,0.5770000000000001,173,100,o,0,1.38,130.67346,13.9678,7387.1,2234.0,3.48,2.96,-83.2,-0.4320000000000001,17.06,17.19,01a58093o0739o
37,58097.57315599999,20.046,0.43,35,15,o,0,1.1,130.67346,13.9678,2190.66,8446.47,3.22,2.9,-80.7,-0.434,19.18,20.66,01a58097o0744o
38,58097.588265,20.652,0.7090000000000001,20,14,o,0,1.32,130.67346,13.9678,2137.32,8429.4,3.04,2.69,-83.8,-0.455,19.25,20.67,01a58097o0769o
39,58097.603177,20.257,0.5579999999999999,29,16,o,0,0.93,130.67346,13.9678,2122.8,8607.47,3.01,2.64,-86.6,-0.458,19.26,20.71,01a58097o0796o
41,58099.568298,20.111,0.578,33,19,o,0,1.27,130.67346,13.9678,7796.21,3099.39,4.13,2.36,1.1,-0.406,18.93,20.35,02a58099o0775o
43,58099.593765,19.751,0.398,46,18,o,0,1.26,130.67346,13.9678,7868.28,3058.95,2.8,2.22,8.5,-0.4270000000000001,19.07,20.19,02a58099o0822o
44,58101.548152,20.061,0.35100000000000003,34,12,o,0,1.23,130.67346,13.9678,6939.77,1504.54,3.46,3.08,-84.9,-0.417,19.38,21.22,01a58101o0738o
45,58101.56114400001,19.583,0.237,53,13,o,0,1.36,130.67346,13.9678,3249.68,8869.51,3.45,3.0,-81.5,-0.416,19.36,21.29,01a58101o0764o
49,58105.551594,19.997,0.303,36,11,o,0,1.61,130.67346,13.9678,5268.3,4653.68,3.14,3.11,-52.5,-0.415,19.38,21.27,01a58105o0667o
53,58109.566724,19.961,0.319,38,12,o,0,1.38,130.67346,13.9678,2556.76,8062.84,3.38,2.84,-86.5,-0.429,19.42,21.37,01a58109o0092o
54,58109.574417,20.438,0.429,24,10,o,0,1.94,130.67346,13.9678,2502.18,8016.5,3.24,2.73,86.9,-0.44,19.47,21.4,01a58109o0107o
55,58109.58420499999,20.616,0.52,21,11,o,0,1.7,130.67346,13.9678,2487.65,8172.57,3.4,2.86,-85.2,-0.4270000000000001,19.45,21.42,01a58109o0128o
56,58111.657516,19.62,0.238,52,12,o,0,2.07,130.67346,13.9678,4671.49,4231.42,2.03,1.96,-57.5,-0.467,19.55,20.69,02a58111o0687o
57,58111.669774,20.185,0.852,31,26,o,0,1.48,130.67346,13.9678,4653.15,4192.88,2.06,2.02,-45.8,-0.46,18.45,18.67,02a58111o0712o
58,58113.528525,20.839,0.769,17,13,o,0,1.31,130.67346,13.9678,4126.38,6959.76,3.4,2.92,-81.4,-0.435,19.35,21.18,01a58113o0572o
60,58113.547427,19.763,0.259,45,12,o,0,1.2,130.67346,13.9678,4095.54,6994.42,3.26,2.79,-82.5,-0.439,19.39,21.17,01a58113o0609o
