Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
3,58049.516853,19.863,0.28,41,12,c,0,1.11,59.40725,-36.85932,1625.92,2270.25,2.8,2.46,39.8,-0.453,19.53,21.04,02a58049o0520c
26,58067.459496,18.244,0.387,183,71,o,0,1.19,59.40725,-36.85932,9236.99,7627.8,3.82,2.82,-81.8,-0.405,18.29,19.6,01a58067o0597o
61,58095.39389500001,20.07,0.609,34,21,o,0,1.33,59.40725,-36.85932,9392.82,9453.19,4.12,2.96,-79.6,-0.388,18.95,20.27,01a58095o0464o
65,58097.394217,19.664,0.248,50,12,o,0,0.85,59.40725,-36.85932,2696.61,1204.91,2.66,2.33,47.8,-0.466,19.36,20.77,02a58097o0411o
66,58097.401063,20.211,0.478,30,14,o,0,0.84,59.40725,-36.85932,2758.71,1283.61,2.83,2.49,53.4,-0.439,19.35,20.78,02a58097o0426o
67,58097.407923,20.259,0.463,29,13,o,0,0.96,59.40725,-36.85932,2777.7,1166.89,2.68,2.33,50.7,-0.462,19.4,20.8,02a58097o0441o
70,58099.393139,20.421,0.8290000000000001,25,20,o,0,1.2,59.40725,-36.85932,2483.39,179.02,4.04,3.73,74.5,-0.376,18.62,20.26,01a58099o0461o
71,58099.397722,19.871,0.474,41,19,o,0,1.36,59.40725,-36.85932,7588.65,9774.13,4.1,3.41,-82.5,-0.391,18.89,20.38,01a58099o0471o
73,58099.404601,19.021,0.257,89,23,o,0,1.18,59.40725,-36.85932,7565.04,9917.16,4.37,3.76,-85.0,-0.401,18.76,20.37,01a58099o0486o
74,58099.406891,19.339,0.317,67,21,o,0,1.01,59.40725,-36.85932,2445.54,196.89,3.9,3.52,87.2,-0.396,18.63,20.25,01a58099o0491o
76,58103.37258600001,20.002,0.556,36,20,o,0,0.84,59.40725,-36.85932,7495.05,8839.97,4.04,3.05,-80.3,-0.39,19.04,20.66,01a58103o0334o
77,58103.384951,20.489,0.711,23,16,o,0,1.44,59.40725,-36.85932,7522.2,8926.87,4.28,3.25,-82.1,-0.376,19.01,20.66,01a58103o0361o
78,58103.394569,19.767,0.369,45,17,o,0,1.29,59.40725,-36.85932,7463.57,8886.81,4.13,3.13,-80.8,-0.385,18.99,20.61,01a58103o0382o
79,58103.395942,19.61,0.34600000000000003,52,18,o,0,1.01,59.40725,-36.85932,7448.09,9010.84,4.13,3.14,-81.2,-0.385,19.0,20.65,01a58103o0385o
81,58111.355524,19.373,0.303,65,20,o,0,1.0,59.40725,-36.85932,9580.16,10110.35,4.34,3.11,-83.3,-0.398,19.07,20.6,01a58111o0370o
82,58111.359645,19.994,0.471,36,17,o,0,1.04,59.40725,-36.85932,4562.11,458.72,3.64,3.22,80.6,-0.405,18.9,20.56,01a58111o0379o
