Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
5,58062.614238,16.804000000000002,0.927,689,638,o,0,0.96,181.43983,10.39817,9095.85,5234.99,4.93,2.76,2.1,-0.392,15.52,15.8,02a58062o0625o
14,58088.648837,18.296,0.107,174,19,o,0,1.24,181.43983,10.39817,3872.63,6799.15,3.03,2.94,-61.2,-0.43,18.55,19.95,01a58088o0039o
15,58088.655517,18.115,0.17,206,35,o,0,0.98,181.43983,10.39817,3856.03,6741.23,3.04,2.9,-67.3,-0.448,18.56,19.48,01a58088o0052o
18,58100.66523300001,17.515,0.151,358,54,o,0,1.37,181.43983,10.39817,3259.96,6163.21,3.4,3.0,5.5,-0.468,18.14,18.79,01a58100o1024o
19,58112.570052,18.798,0.106,110,12,o,0,1.73,181.43983,10.39817,1548.68,6818.68,3.36,2.87,-86.6,-0.442,19.35,21.05,01a58112o0808o
20,58112.577067,18.814,0.127,108,14,o,0,1.22,181.43983,10.39817,1534.32,6762.09,3.34,2.9,90.0,-0.4370000000000001,19.32,21.04,01a58112o0823o
21,58112.583999,19.159,0.14300000000000002,79,11,o,0,1.64,181.43983,10.39817,1597.96,6820.89,3.24,2.78,88.9,-0.442,19.36,21.06,01a58112o0838o
22,58112.590924,18.805,0.11,109,12,o,0,1.78,181.43983,10.39817,1622.89,6683.64,3.21,2.78,-87.7,-0.446,19.34,21.05,01a58112o0853o
23,58116.57906900001,18.897,0.131,100,13,o,0,1.23,181.43983,10.39817,4266.66,7299.24,3.38,2.75,-81.7,-0.436,19.34,21.12,01a58116o0793o
24,58116.587046,18.996,0.123,92,11,o,0,1.68,181.43983,10.39817,4252.0,7237.06,3.49,2.84,-80.0,-0.431,19.32,21.13,01a58116o0810o
25,58116.594984,19.048,0.14,87,12,o,0,1.25,181.43983,10.39817,4313.57,7289.67,3.4,2.77,-80.8,-0.435,19.38,21.16,01a58116o0827o
26,58116.602961,19.085,0.161,84,14,o,0,1.09,181.43983,10.39817,4335.67,7147.9,3.53,2.9,-85.5,-0.433,19.32,21.15,01a58116o0844o
