Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58048.592562,20.376,0.703,26,18,o,0,0.98,134.46358999999998,-6.84485,599.0,3726.79,3.49,2.91,81.1,-0.444,19.16,20.6,01a58048o0852o
2,58048.60030499999,20.626,0.778,20,16,o,0,1.18,134.46358999999998,-6.84485,575.64,3670.53,3.46,2.87,82.2,-0.452,19.2,20.72,01a58048o0865o
10,58054.611214,20.451,0.393,24,9,o,0,1.31,134.46358999999998,-6.84485,7471.48,9554.05,2.05,1.91,30.9,-0.475,19.59,20.6,02a58054o0865o
15,58056.576368,20.929,0.971,15,15,o,0,1.17,134.46358999999998,-6.84485,2051.26,3580.57,3.43,2.91,85.4,-0.429,19.16,20.66,01a58056o0675o
16,58058.535659,20.124,0.8170000000000001,32,26,o,0,1.34,134.46358999999998,-6.84485,10278.73,7460.5,2.17,1.91,43.2,-0.532,18.86,19.14,02a58058o0560o
20,58058.554934,20.098,0.754,33,25,o,0,1.06,134.46358999999998,-6.84485,10221.23,7540.23,2.22,1.88,45.5,-0.499,18.78,19.11,02a58058o0592o
27,58064.58699,19.45,0.942,60,57,o,0,1.12,134.46358999999998,-6.84485,2032.59,3611.82,3.25,3.1,53.2,-0.435,17.75,18.38,01a58064o0821o
41,58072.552199,20.402,0.627,25,16,o,0,0.95,134.46358999999998,-6.84485,2551.2,3916.99,3.31,3.1,82.2,-0.429,19.11,20.7,01a58072o0777o
43,58072.568039,20.611,0.648,21,13,o,0,1.15,134.46358999999998,-6.84485,2623.96,3836.02,3.04,2.79,85.8,-0.45,19.28,20.85,01a58072o0811o
44,58074.559181,20.399,0.475,25,12,c,0,1.17,134.46358999999998,-6.84485,10106.43,9565.26,3.26,2.99,46.7,-0.386,19.51,21.42,02a58074o0648c
52,58076.53967100001,20.47,1.0,24,24,o,0,0.84,134.46358999999998,-6.84485,2264.57,432.29,3.36,3.07,78.1,-0.421,18.91,20.51,01a58076o0670o
63,58080.546011,20.724,0.8240000000000001,19,15,o,0,1.12,134.46358999999998,-6.84485,9417.56,3046.88,4.07,3.08,-88.2,-0.425,19.2,21.01,01a58080o0743o
64,58080.554003,20.68,0.757,19,15,o,0,1.14,134.46358999999998,-6.84485,9474.03,3100.58,4.05,3.13,-86.4,-0.424,19.2,21.0,01a58080o0760o
74,58092.51101,19.549,0.657,55,36,o,0,0.96,134.46358999999998,-6.84485,452.79,2491.48,3.4,2.8,83.9,-0.47,18.46,19.22,01a58092o0686o
76,58092.51901900001,19.55,0.684,55,38,o,0,0.8,134.46358999999998,-6.84485,430.16,2428.43,3.3,2.72,79.6,-0.47,18.53,19.25,01a58092o0703o
77,58092.526634,19.975,0.861,37,32,o,0,1.06,134.46358999999998,-6.84485,10112.9,2373.89,3.88,3.02,-86.0,-0.4370000000000001,18.49,19.29,01a58092o0719o
78,58092.527091,19.951,0.8390000000000001,38,32,o,0,1.18,134.46358999999998,-6.84485,488.34,2483.0,3.33,2.8,77.7,-0.468,18.51,19.28,01a58092o0720o
80,58092.535164,18.947,0.366,96,35,o,0,1.18,134.46358999999998,-6.84485,504.18,2340.63,3.5,2.99,76.0,-0.456,18.46,19.32,01a58092o0737o
81,58092.542885,19.776,0.7020000000000001,45,31,o,0,1.09,134.46358999999998,-6.84485,10186.85,2281.93,3.91,3.11,-87.3,-0.434,18.49,19.39,01a58092o0753o
82,58096.508276,19.573,0.326,54,18,o,0,0.92,134.46358999999998,-6.84485,2879.66,3253.91,3.22,2.85,85.6,-0.439,18.98,20.16,01a58096o0691o
83,58096.51538200001,19.829,0.389,42,16,o,0,1.22,134.46358999999998,-6.84485,2857.57,3193.43,3.17,2.81,84.1,-0.443,18.99,20.28,01a58096o0706o
84,58096.522465,19.253,0.24,72,17,o,0,1.05,134.46358999999998,-6.84485,2913.96,3248.52,3.16,2.83,86.1,-0.442,19.04,20.27,01a58096o0721o
85,58096.529551,19.363,0.289,65,19,o,0,1.22,134.46358999999998,-6.84485,2931.22,3109.61,3.22,3.05,66.9,-0.435,18.89,20.21,01a58096o0736o
86,58098.50741599999,18.972,0.18600000000000005,94,17,o,0,1.48,134.46358999999998,-6.84485,9778.68,7109.06,2.17,2.01,50.2,-0.479,19.1,20.03,02a58098o0684o
87,58098.51453099999,19.723,0.324,47,15,o,0,1.43,134.46358999999998,-6.84485,9797.17,7149.66,2.16,2.05,49.7,-0.464,19.4,20.45,02a58098o0699o
88,58098.51687000001,19.067,0.168,86,14,o,0,0.89,134.46358999999998,-6.84485,108.33,7087.89,2.44,1.98,49.3,-0.413,19.47,20.6,02a58098o0704o
89,58098.521615,19.985,0.316,37,12,o,0,1.44,134.46358999999998,-6.84485,9737.31,7072.95,2.23,2.03,47.0,-0.488,19.51,20.63,02a58098o0714o
90,58098.523964,19.453,0.265,60,16,o,0,1.73,134.46358999999998,-6.84485,127.02,7127.91,2.47,1.91,47.8,-0.428,18.98,19.86,02a58098o0719o
91,58098.528714,19.27,0.269,71,19,o,0,1.03,134.46358999999998,-6.84485,9715.35,7191.1,2.15,1.96,50.7,-0.47,19.04,19.93,02a58098o0729o
