Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
18,58062.393478,19.696,0.489,48,24,o,0,1.1,14.3523,-0.76775,10265.8,2876.94,2.27,2.22,-86.2,-0.488,18.77,19.08,02a58062o0375o
27,58066.378554,21.191,0.893,12,11,o,0,1.43,14.3523,-0.76775,319.55,1915.52,1.97,1.71,37.2,-0.531,19.5,20.45,02a58066o0396o
53,58076.366429,20.593000000000004,0.7829999999999999,21,16,o,0,1.44,14.3523,-0.76775,7629.33,8434.28,3.79,3.65,-9.7,-0.382,18.98,20.68,01a58076o0321o
69,58082.345221,17.433,0.5770000000000001,386,223,c,0,1.0,14.3523,-0.76775,10092.04,5421.39,2.55,2.49,80.2,-0.4270000000000001,15.93,17.06,02a58082o0352c
75,58092.314168,20.084,0.8059999999999999,34,27,o,0,1.02,14.3523,-0.76775,9495.62,6249.89,3.96,2.94,-86.7,-0.423,18.7,19.77,01a58092o0291o
78,58096.312815,18.948,0.128,96,12,o,0,1.07,14.3523,-0.76775,7062.38,5491.64,3.43,2.87,-86.9,-0.42,19.28,20.99,01a58096o0291o
79,58096.319888,19.155,0.155,79,12,o,0,1.27,14.3523,-0.76775,7085.51,5559.24,3.41,2.86,-84.6,-0.428,19.31,20.97,01a58096o0306o
80,58096.327004,19.484,0.25,58,15,o,0,1.06,14.3523,-0.76775,7030.43,5510.19,3.69,3.16,-83.6,-0.416,19.19,20.92,01a58096o0321o
81,58096.334196,19.351,0.223,66,15,o,0,1.05,14.3523,-0.76775,7015.69,5653.09,3.55,3.06,-85.0,-0.412,19.2,20.82,01a58096o0336o
82,58098.309517,18.543,0.122,139,17,o,0,1.24,14.3523,-0.76775,1081.15,5356.68,2.11,1.8,22.6,-0.488,19.12,20.22,02a58098o0280o
83,58098.316442,18.626,0.139,129,18,o,0,1.22,14.3523,-0.76775,1062.68,5316.93,2.08,1.75,23.0,-0.475,19.09,20.18,02a58098o0295o
84,58098.323463,18.631,0.136,128,17,o,0,1.45,14.3523,-0.76775,1122.39,5393.29,2.04,1.76,22.6,-0.498,19.07,20.13,02a58098o0310o
85,58098.33050599999,18.564,0.125,136,17,o,0,1.37,14.3523,-0.76775,1144.19,5274.08,2.12,1.79,24.0,-0.481,19.0,20.11,02a58098o0325o
86,58100.30533600001,18.023,0.058,224,13,o,0,1.18,14.3523,-0.76775,7989.92,6780.52,3.62,2.7,-85.3,-0.435,19.35,21.05,01a58100o0280o
87,58100.312354,18.042,0.07,220,16,o,0,1.18,14.3523,-0.76775,8012.38,6846.05,3.61,2.71,-83.6,-0.431,19.24,20.93,01a58100o0295o
88,58100.31943400001,18.187,0.073,193,14,o,0,1.16,14.3523,-0.76775,7956.48,6796.12,3.62,2.71,-83.3,-0.431,19.37,21.06,01a58100o0310o
89,58100.326503,18.087,0.08,212,17,o,0,1.0,14.3523,-0.76775,7942.34,6940.13,3.64,2.74,-85.1,-0.43,19.15,20.82,01a58100o0325o
90,58110.291178,17.245,0.027000000000000003,459,12,c,0,0.94,14.3523,-0.76775,1634.93,4193.14,2.36,2.28,52.1,-0.431,19.71,21.29,02a58110o0212c
91,58110.299167,17.238,0.022,462,10,c,0,1.72,14.3523,-0.76775,1695.49,4270.99,2.42,2.34,58.3,-0.421,19.69,21.3,02a58110o0229c
92,58110.307205,17.266,0.023,450,10,c,0,2.06,14.3523,-0.76775,1716.67,4154.52,2.48,2.41,55.3,-0.411,19.65,21.32,02a58110o0246c
93,58112.25947899999,17.527,0.057,354,20,o,0,0.99,14.3523,-0.76775,9667.42,6265.65,4.01,2.79,-84.0,-0.4270000000000001,19.11,20.43,01a58112o0164o
94,58112.266639,17.52,0.053,356,19,o,0,1.16,14.3523,-0.76775,9690.97,6333.84,4.05,2.79,-84.4,-0.422,19.11,20.41,01a58112o0179o
95,58112.27363400001,17.435,0.058,385,22,o,0,0.78,14.3523,-0.76775,9635.06,6284.65,4.15,2.81,-84.3,-0.426,19.06,20.41,01a58112o0194o
96,58112.280797,17.570999999999998,0.057,340,19,o,0,1.32,14.3523,-0.76775,9620.71,6430.05,4.24,2.98,-82.1,-0.411,18.99,20.37,01a58112o0209o
97,58116.28431,17.659000000000006,0.117,314,37,o,0,1.15,14.3523,-0.76775,6963.19,5866.7,3.87,3.2,-81.9,-0.411,18.44,19.43,01a58116o0189o
98,58116.292172,17.699,0.129,302,39,o,0,0.78,14.3523,-0.76775,6987.4,5935.31,3.86,3.07,-80.3,-0.416,18.43,19.4,01a58116o0206o
99,58116.300092,17.782,0.125,280,35,o,0,1.12,14.3523,-0.76775,6932.44,5888.49,3.68,2.96,-85.8,-0.431,18.44,19.37,01a58116o0223o
100,58116.308018,17.587,0.117,335,39,o,0,1.12,14.3523,-0.76775,6918.28,6033.59,3.78,3.03,-83.9,-0.419,18.42,19.33,01a58116o0240o
101,58120.27044099999,17.772000000000006,0.146,282,41,o,0,1.0,14.3523,-0.76775,9938.46,6143.89,3.64,2.87,-85.7,-0.443,18.45,19.33,01a58120o0182o
102,58120.27833,17.796,0.16899999999999998,276,47,o,0,0.86,14.3523,-0.76775,9962.96,6213.07,3.92,3.15,-85.8,-0.422,18.37,19.3,01a58120o0199o
