Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
62,58103.44680700001,19.039,0.201,88,18,o,0,0.85,92.23671,-27.79586,1572.38,943.36,3.31,2.74,80.1,-0.467,19.24,21.01,01a58103o0436o
63,58103.460113,19.002,0.195,91,18,o,0,0.82,92.23671,-27.79586,1603.87,1033.4,3.32,2.78,80.3,-0.469,19.23,21.05,01a58103o0465o
64,58103.470379,19.633,0.354,51,18,o,0,1.0,92.23671,-27.79586,1532.47,999.06,3.74,3.16,69.4,-0.436,19.15,21.02,01a58103o0485o
65,58103.475877,19.517,0.35100000000000003,57,20,o,0,0.82,92.23671,-27.79586,1526.72,1138.4,3.29,2.68,83.3,-0.474,19.2,20.99,01a58103o0497o
72,58109.432071,19.921,0.478,39,19,c,0,14.98,92.23671,-27.79586,7389.41,10275.89,5.02,4.29,35.2,-0.312,19.19,22.12,02a58109o0149c
73,58109.43316,19.095,0.21600000000000005,84,18,c,0,18.64,92.23671,-27.79586,293.17,9867.16,4.41,3.59,10.7,-0.443,19.32,22.08,02a58109o0151c
78,58111.428788,15.349,0.009000000000000001,2632,23,o,0,1.87,92.23671,-27.79586,3744.29,2152.86,3.27,2.85,83.9,-0.434,19.26,21.11,01a58111o0530o
79,58111.434716,15.349,0.01,2632,26,o,0,1.01,92.23671,-27.79586,6832.93,8074.65,3.79,3.11,90.0,-0.4270000000000001,19.2,21.03,01a58111o0542o
80,58111.443215,15.339,0.009000000000000001,2658,24,o,0,1.2,92.23671,-27.79586,3700.18,2173.16,3.37,2.97,85.1,-0.428,19.23,21.11,01a58111o0560o
81,58111.45831900001,15.355,0.009000000000000001,2618,24,o,0,1.17,92.23671,-27.79586,3694.21,2350.29,3.57,3.13,82.6,-0.421,19.13,20.98,01a58111o0592o
82,58115.424702,15.089,0.01,3346,33,o,0,1.01,92.23671,-27.79586,1363.21,1714.64,3.77,3.54,46.4,-0.41,18.58,20.21,01a58115o0528o
83,58115.434775,15.083,0.01,3364,33,o,0,1.09,92.23671,-27.79586,1389.25,1793.94,4.07,3.62,11.1,-0.411,18.72,20.27,01a58115o0550o
84,58115.442584,15.063,0.01,3425,34,o,0,1.14,92.23671,-27.79586,1342.54,1747.77,3.86,3.61,29.0,-0.426,18.82,20.3,01a58115o0567o
85,58115.449457,15.071,0.009000000000000001,3401,30,o,0,1.53,92.23671,-27.79586,1330.71,1892.2,3.64,3.37,62.6,-0.424,18.86,20.31,01a58115o0582o
86,58117.42883200001,15.04,0.023,3500,82,o,0,3.22,92.23671,-27.79586,310.37,499.55,2.39,1.78,30.5,-0.614,17.77,18.12,02a58117o0188o
87,58117.434328,15.003,0.036000000000000004,3620,132,o,0,1.33,92.23671,-27.79586,7189.69,10352.6,2.25,2.01,24.7,-0.481,16.85,16.94,02a58117o0200o
88,58117.436613,14.937,0.019,3849,74,o,0,5.43,92.23671,-27.79586,294.09,457.53,2.42,1.78,31.9,-0.631,17.78,17.93,02a58117o0205o
89,58117.441652,15.05,0.01,3467,35,o,0,6.57,92.23671,-27.79586,9703.25,554.2,2.35,2.1,44.3,-0.487,18.87,19.39,02a58117o0216o
90,58117.442108,14.984000000000002,0.009000000000000001,3684,33,o,0,6.03,92.23671,-27.79586,7173.45,10314.17,2.24,2.03,20.1,-0.479,18.84,19.31,02a58117o0217o
91,58117.444401,14.982,0.012,3690,43,o,0,13.91,92.23671,-27.79586,348.47,538.12,2.36,1.84,27.9,-0.602,18.76,19.24,02a58117o0222o
92,58117.449441,15.031,0.01,3528,37,o,0,6.43,92.23671,-27.79586,9689.59,513.7,2.25,2.02,37.9,-0.516,18.74,19.2,02a58117o0233o
93,58117.449898,15.007,0.011,3606,39,o,0,3.31,92.23671,-27.79586,7227.5,10393.74,2.23,2.03,11.0,-0.481,18.74,19.14,02a58117o0234o
94,58117.452178,14.948,0.011,3808,42,o,0,14.23,92.23671,-27.79586,366.36,419.7,2.35,1.87,31.8,-0.623,18.7,19.18,02a58117o0239o
95,58117.457225,15.095999999999998,0.016,3325,53,o,0,3.08,92.23671,-27.79586,9741.76,590.99,2.27,2.15,27.9,-0.495,18.41,18.82,02a58117o0250o
96,58117.45768200001,15.001,0.012,3626,45,o,0,2.21,92.23671,-27.79586,7262.85,10274.82,2.27,2.09,11.8,-0.483,18.44,18.8,02a58117o0251o
97,58117.465602,14.984000000000002,0.012,3686,43,o,0,6.19,92.23671,-27.79586,9761.92,471.47,2.29,2.12,15.5,-0.54,18.79,19.27,02a58117o0267o
98,58119.409414,15.052,0.018000000000000002,3460,63,o,0,1.29,92.23671,-27.79586,7546.08,9238.93,3.72,2.89,-83.2,-0.4320000000000001,18.24,18.9,01a58119o0478o
99,58119.417199,15.076,0.014,3384,48,o,0,1.12,92.23671,-27.79586,7568.83,9310.52,3.58,2.81,-82.2,-0.4320000000000001,18.27,18.89,01a58119o0495o
100,58119.42178300001,15.113,0.016,3271,54,o,0,0.88,92.23671,-27.79586,7520.16,9249.03,3.68,2.91,-82.6,-0.436,18.25,18.89,01a58119o0505o
101,58119.431849,15.118,0.014,3256,45,o,0,1.43,92.23671,-27.79586,7508.56,9407.31,3.72,2.86,-79.7,-0.434,18.21,18.87,01a58119o0526o
102,58121.40218400001,15.019,0.016,3569,55,o,0,1.84,92.23671,-27.79586,219.78,7965.74,2.55,2.1,21.8,-0.444,18.53,19.01,02a58121o0457o
103,58121.407658,15.059,0.019,3439,66,o,0,1.41,92.23671,-27.79586,205.38,7925.91,2.75,2.39,26.2,-0.448,18.34,18.84,02a58121o0469o
104,58121.413586,15.056,0.015,3448,52,o,0,1.94,92.23671,-27.79586,275.32,7885.36,2.6,2.19,23.4,-0.465,18.24,18.59,02a58121o0482o
105,58121.416778,15.067,0.022,3413,76,o,0,1.81,92.23671,-27.79586,258.84,8003.33,2.45,2.01,18.3,-0.447,18.14,18.5,02a58121o0489o
106,58121.418604,15.136,0.028,3203,90,o,0,1.95,92.23671,-27.79586,9947.31,8009.13,2.15,2.11,2.0,-0.525,18.3,18.54,02a58121o0493o
107,58121.420428,15.055,0.02,3452,70,o,0,3.11,92.23671,-27.79586,9966.27,8047.2,2.11,2.08,10.2,-0.528,18.37,18.66,02a58121o0497o
108,58121.42818,15.095999999999998,0.031,3322,101,o,0,1.69,92.23671,-27.79586,10019.32,8066.75,2.2,2.16,12.6,-0.54,18.1,18.37,02a58121o0514o
109,58121.43229,14.996,0.026,3646,95,o,0,2.43,92.23671,-27.79586,10038.31,7946.9,2.27,2.21,20.7,-0.55,17.87,18.41,02a58121o0523o
110,58123.428502,15.265,0.01,2844,28,o,0,1.6,92.23671,-27.79586,3078.28,2004.15,3.19,2.74,85.8,-0.455,18.67,19.94,01a58123o0204o
111,58123.431254,15.261,0.009000000000000001,2854,27,o,0,1.65,92.23671,-27.79586,3061.49,1978.05,3.13,2.78,84.5,-0.461,18.65,19.94,01a58123o0210o
112,58123.437675,15.262,0.011,2853,31,o,0,1.01,92.23671,-27.79586,3013.5,1964.71,3.34,2.93,-90.0,-0.449,18.63,19.96,01a58123o0224o
113,58123.44179400001,15.27,0.01,2832,28,o,0,1.52,92.23671,-27.79586,2997.34,2100.0,3.3,2.75,87.3,-0.452,18.63,19.95,01a58123o0233o
114,58127.41346900001,15.591,0.013,2106,27,o,0,2.67,92.23671,-27.79586,9013.11,10228.28,5.66,4.22,-78.8,-0.339,19.21,21.45,01a58127o0482o
115,58127.41484500001,15.69,0.011,1923,21,o,0,1.56,92.23671,-27.79586,1974.36,467.56,3.73,3.6,75.8,-0.396,19.14,21.44,01a58127o0485o
116,58127.415303,15.63,0.012,2032,25,o,0,3.97,92.23671,-27.79586,8996.24,10196.19,5.89,4.6,-78.2,-0.319,19.15,21.46,01a58127o0486o
117,58127.419886,15.634,0.012,2024,25,o,0,0.93,92.23671,-27.79586,1993.93,529.08,3.58,3.43,65.8,-0.403,19.22,21.49,01a58127o0496o
118,58127.421717,15.61,0.013,2070,27,o,0,2.06,92.23671,-27.79586,8964.65,10182.41,5.82,4.28,-79.2,-0.313,19.23,21.52,01a58127o0500o
119,58127.426293,15.619000000000002,0.012,2053,25,o,0,4.83,92.23671,-27.79586,8949.0,10320.32,6.19,4.69,-77.4,-0.29,19.15,21.55,01a58127o0510o
120,58127.42858200001,15.656,0.012,1984,24,o,0,1.33,92.23671,-27.79586,1928.9,485.03,4.35,4.11,-75.0,-0.3670000000000001,19.01,21.51,01a58127o0515o
121,58127.44323,15.674,0.012,1951,23,o,0,0.92,92.23671,-27.79586,1918.96,661.98,3.77,3.57,73.8,-0.405,19.21,21.64,01a58127o0547o
122,58129.400525,15.716,0.015,1878,28,o,0,8.22,92.23671,-27.79586,316.96,10315.87,2.49,1.84,14.9,-0.52,19.17,20.66,02a58129o0452o
123,58129.40601900001,15.718,0.033,1875,62,o,0,1.25,92.23671,-27.79586,3084.88,612.83,2.37,1.96,33.9,-0.532,18.24,19.59,02a58129o0464o
124,58129.40831,15.749,0.02,1822,36,o,0,4.09,92.23671,-27.79586,302.02,10276.14,2.56,1.91,13.4,-0.494,18.8,20.24,02a58129o0469o
125,58129.41151900001,15.747,0.035,1824,64,o,0,1.3,92.23671,-27.79586,10104.91,10376.2,2.34,2.17,-8.4,-0.507,18.04,19.41,02a58129o0476o
126,58129.41381900001,15.799,0.049,1739,86,o,0,1.09,92.23671,-27.79586,3069.39,571.69,2.55,2.11,31.1,-0.508,17.63,19.01,02a58129o0481o
127,58129.416121,15.48,0.175,2332,408,o,0,0.82,92.23671,-27.79586,354.99,10355.66,2.55,1.94,7.6,-0.523,16.12,17.41,02a58129o0486o
128,58129.419337,15.71,0.244,1888,460,o,0,0.58,92.23671,-27.79586,10087.9,10337.52,2.46,2.26,1.6,-0.4970000000000001,15.99,17.29,02a58129o0493o
129,58129.42945800001,15.451,0.511,2396,1224,o,0,0.76,92.23671,-27.79586,3158.6,533.11,2.73,2.34,34.6,-0.465,15.07,16.39,02a58129o0515o
130,58129.434954,15.169,0.55,3108,1708,o,0,1.38,92.23671,-27.79586,10177.8,10297.53,2.52,2.23,-3.3,-0.456,13.85,15.17,02a58129o0527o
131,58131.40043,15.948,0.036000000000000004,1516,55,o,0,0.9,92.23671,-27.79586,9796.14,956.44,4.59,3.46,-85.8,-0.397,18.05,20.0,01a58131o0271o
132,58131.40547100001,15.849,0.018000000000000002,1661,30,o,0,1.14,92.23671,-27.79586,9814.18,1017.63,4.17,2.94,-86.8,-0.431,18.88,20.82,01a58131o0282o
133,58131.41188099999,15.844,0.02,1668,34,o,0,1.18,92.23671,-27.79586,9745.0,1083.06,4.09,3.03,-85.9,-0.4370000000000001,18.84,20.78,01a58131o0296o
134,58131.41463200001,15.869000000000002,0.021,1631,34,o,0,1.03,92.23671,-27.79586,9763.97,976.1,4.48,3.42,-85.8,-0.396,18.62,20.51,01a58131o0302o
135,58131.416923,13.130999999999998,0.002,20300,35,o,0,8970.8,92.23671,-27.79586,43.56,1130.1,3.62,3.12,75.7,-0.4320000000000001,19.02,21.01,01a58131o0307o
136,58135.397987,15.853,0.016,1655,27,o,0,2.35,92.23671,-27.79586,8669.71,10388.54,6.04,4.45,-77.2,-0.304,19.06,21.04,01a58135o0440o
137,58135.403505,15.893,0.014,1595,22,o,0,0.87,92.23671,-27.79586,1635.04,694.31,3.31,3.08,73.7,-0.423,19.11,20.97,01a58135o0452o
138,58135.406251,15.905,0.018000000000000002,1578,28,o,0,2.42,92.23671,-27.79586,8691.36,10461.92,6.0,4.36,-76.6,-0.294,19.08,20.98,01a58135o0458o
139,58135.411775,15.92,0.014,1556,21,o,0,1.31,92.23671,-27.79586,1657.59,766.68,3.57,3.28,76.6,-0.413,19.03,20.92,01a58135o0470o
140,58135.415015,15.848,0.017,1663,28,o,0,2.84,92.23671,-27.79586,8642.0,10416.83,6.15,4.52,-76.6,-0.278,18.97,20.95,01a58135o0477o
141,58135.42053,15.880999999999998,0.015,1614,24,o,0,1.25,92.23671,-27.79586,1608.05,723.32,4.12,3.85,84.5,-0.388,18.87,20.92,01a58135o0489o
142,58135.428814,15.882,0.015,1611,25,o,0,0.96,92.23671,-27.79586,1577.3,875.97,3.39,3.11,83.6,-0.424,19.07,20.91,01a58135o0507o
143,58139.393201,15.924,0.014,1550,22,o,0,1.06,92.23671,-27.79586,1891.11,1905.77,3.36,3.02,82.8,-0.429,19.05,20.84,01a58139o0172o
144,58139.40149400001,15.921,0.015,1555,23,o,0,1.09,92.23671,-27.79586,1914.25,1977.66,3.29,2.84,83.4,-0.449,19.11,20.8,01a58139o0190o
145,58141.384864,15.777,0.018000000000000002,1776,31,o,0,1.91,92.23671,-27.79586,2119.81,1191.5,2.9,2.43,28.6,-0.504,19.28,20.76,02a58141o0219o
146,58141.393104,15.773,0.014,1782,26,o,0,2.96,92.23671,-27.79586,2103.48,1151.03,2.9,2.43,27.5,-0.49,19.4,20.89,02a58141o0237o
147,58141.4019,15.949000000000002,0.018000000000000002,1515,27,o,0,0.96,92.23671,-27.79586,2156.95,1231.87,3.26,2.84,44.3,-0.448,19.32,20.95,02a58141o0256o
148,58141.410201,15.755,0.014,1811,26,o,0,2.91,92.23671,-27.79586,2176.31,1113.89,2.92,2.5,30.7,-0.501,19.38,20.93,02a58141o0274o
151,58143.397166,15.087,0.348,3352,1168,o,0,0.96,92.23671,-27.79586,8887.88,9397.38,6.15,4.21,-78.1,-0.242,14.88,15.52,01a58143o0427o
152,58143.405449,15.9,0.073,1584,115,o,0,1.38,92.23671,-27.79586,8873.06,9548.29,6.16,4.28,-78.0,-0.251,17.07,18.07,01a58143o0445o
153,58145.38574600001,16.151,0.018000000000000002,1257,22,o,0,3.93,92.23671,-27.79586,7886.41,7903.59,1.99,1.91,-4.7,-0.5,19.11,19.73,02a58145o0404o
154,58145.394488,16.128,0.02,1285,26,o,0,3.16,92.23671,-27.79586,7870.5,7864.35,1.97,1.86,-9.8,-0.503,19.03,19.68,02a58145o0423o
155,58145.403202,16.137999999999998,0.021,1273,26,o,0,2.8,92.23671,-27.79586,7923.58,7942.23,2.0,1.89,-8.6,-0.505,19.09,19.72,02a58145o0442o
156,58145.41196900001,16.124000000000002,0.019,1290,24,o,0,3.0,92.23671,-27.79586,7943.23,7824.27,2.05,1.92,-8.6,-0.501,19.03,19.72,02a58145o0461o
157,58147.39756799999,16.415,0.048,986,47,o,0,1.12,92.23671,-27.79586,9721.02,9377.92,5.11,3.34,-75.7,-0.353,18.43,19.23,01a58147o0011o
158,58147.401723,16.427,0.042,975,41,o,0,0.88,92.23671,-27.79586,363.83,9364.06,3.83,3.08,-83.4,-0.417,18.41,19.26,01a58147o0020o
159,58147.410527,16.333,0.043,1064,46,o,0,0.97,92.23671,-27.79586,348.82,9517.53,4.18,3.38,-89.0,-0.387,18.35,19.22,01a58147o0039o
160,58151.365338,16.79,0.061,698,43,o,0,1.32,92.23671,-27.79586,10064.58,10027.5,6.27,4.08,-78.4,-0.284,18.52,19.63,01a58151o0245o
161,58151.372312,16.704,0.04,756,30,o,0,0.77,92.23671,-27.79586,3074.54,291.97,2.83,2.68,59.1,-0.448,18.48,19.49,01a58151o0260o
162,58151.373687,16.680999999999994,0.059,772,45,o,0,1.14,92.23671,-27.79586,10085.85,10102.0,6.17,3.95,-77.7,-0.294,18.54,19.56,01a58151o0263o
163,58151.379686,16.807000000000002,0.053,688,37,o,0,1.12,92.23671,-27.79586,670.77,10155.3,4.09,3.35,-84.7,-0.409,18.5,19.55,01a58151o0276o
164,58151.38108200001,16.788,0.047,700,33,o,0,0.79,92.23671,-27.79586,3112.25,366.28,2.96,2.77,67.0,-0.4320000000000001,18.42,19.45,01a58151o0279o
165,58151.38245599999,16.712,0.057,750,43,o,0,1.42,92.23671,-27.79586,10034.02,10057.66,6.2,4.03,-78.3,-0.287,18.54,19.53,01a58151o0282o
166,58151.388424,16.709,0.049,753,37,o,0,1.02,92.23671,-27.79586,690.51,10229.25,4.08,3.3,-86.1,-0.412,18.54,19.54,01a58151o0295o
167,58151.389819,16.692999999999998,0.039,764,30,o,0,0.82,92.23671,-27.79586,3044.27,323.81,2.89,2.71,62.4,-0.44,18.43,19.43,01a58151o0298o
168,58151.3912,16.622,0.056,815,45,o,0,1.21,92.23671,-27.79586,10000.57,10210.77,6.14,3.96,-77.0,-0.292,18.49,19.49,01a58151o0301o
169,58151.397223,16.839000000000002,0.063,667,42,o,0,0.93,92.23671,-27.79586,639.84,10187.42,4.13,3.33,-86.0,-0.405,18.46,19.49,01a58151o0314o
170,58151.39859400001,16.726,0.046,740,34,o,0,0.81,92.23671,-27.79586,3028.56,476.55,2.92,2.79,57.8,-0.444,18.4,19.37,01a58151o0317o
171,58151.405959,16.827,0.058,675,39,o,0,1.07,92.23671,-27.79586,620.79,10341.14,4.12,3.35,-84.1,-0.406,18.53,19.45,01a58151o0333o
172,58153.375091,16.83,0.031,673,21,o,0,1.32,92.23671,-27.79586,6731.79,9466.55,2.4,2.22,10.2,-0.452,19.16,20.06,02a58153o0374o
173,58153.38384700001,16.838,0.032,668,21,o,0,1.44,92.23671,-27.79586,6717.03,9426.85,2.23,2.01,4.5,-0.486,19.19,19.97,02a58153o0393o
174,58153.392624,16.815,0.037000000000000005,682,25,o,0,0.83,92.23671,-27.79586,6770.24,9503.8,2.29,2.06,1.9,-0.478,19.13,19.9,02a58153o0412o
175,58153.40140800001,16.85,0.035,661,23,o,0,1.27,92.23671,-27.79586,6789.29,9386.18,2.28,2.07,2.7,-0.479,19.09,19.85,02a58153o0431o
176,58157.362175,17.082,0.036000000000000004,534,19,o,0,1.48,92.23671,-27.79586,7888.85,8058.55,2.5,2.21,2.3,-0.466,19.31,20.81,02a58157o0284o
177,58157.370473,17.134,0.035,509,18,o,0,1.19,92.23671,-27.79586,7874.06,8019.87,2.39,2.14,-1.4,-0.485,19.35,20.75,02a58157o0302o
178,58157.379229,17.149,0.044,502,22,o,0,0.77,92.23671,-27.79586,7927.87,8097.27,2.53,2.35,7.1,-0.451,19.31,20.8,02a58157o0321o
179,58157.387574,17.032,0.03,559,17,o,0,1.07,92.23671,-27.79586,7946.59,7980.29,2.34,2.14,1.6,-0.486,19.31,20.77,02a58157o0339o
