Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
4,58053.450344,20.598000000000006,0.769,21,16,o,0,1.09,50.86642,-41.30557,9664.04,6538.57,2.24,2.03,54.1,-0.483,19.29,20.14,02a58053o0576o
9,58055.46296,20.781,1.0,18,18,o,0,1.1,50.86642,-41.30557,9406.88,1831.36,3.62,2.86,-88.0,-0.4320000000000001,19.05,20.33,01a58055o0599o
19,58063.449718,19.388,0.7959999999999999,64,51,o,0,0.99,50.86642,-41.30557,7256.44,7154.98,3.82,3.29,-80.7,-0.398,18.33,19.25,01a58063o0586o
21,58065.43115,19.712,0.8540000000000001,47,40,o,0,0.81,50.86642,-41.30557,1472.02,3868.33,2.56,2.3,61.8,-0.453,18.36,19.66,02a58065o0547o
28,58067.459039,19.862,0.617,41,25,o,0,0.99,50.86642,-41.30557,1280.16,6738.74,3.54,2.98,89.5,-0.416,18.57,19.95,01a58067o0596o
34,58073.436399,21.289,0.969,11,11,c,0,1.0,50.86642,-41.30557,9895.56,4506.95,2.75,2.5,89.0,-0.456,19.6,21.42,02a58073o0215c
40,58075.429194,18.289,0.147,176,26,o,0,24.6,50.86642,-41.30557,92.57,9298.46,4.25,3.71,86.8,-0.36,18.95,20.71,01a58075o0544o
42,58075.438858,19.9,0.763,40,30,o,0,0.88,50.86642,-41.30557,54.88,9261.04,3.96,3.41,87.9,-0.37,19.03,20.71,01a58075o0564o
44,58079.393469,20.627,0.985,20,20,o,0,1.04,50.86642,-41.30557,10093.44,8121.73,4.54,3.28,-82.3,-0.343,18.98,20.58,01a58079o0465o
53,58081.378531,20.655,0.6890000000000001,20,14,c,0,1.0,50.86642,-41.30557,10311.38,8225.66,3.17,2.96,84.1,-0.399,19.44,21.33,02a58081o0235c
63,58091.375952,18.51,0.637,143,91,o,0,1.13,50.86642,-41.30557,7685.67,7525.57,4.29,3.48,-84.3,-0.403,17.94,18.87,01a58091o0393o
64,58095.386113,18.95,0.23,96,22,o,0,1.21,50.86642,-41.30557,1418.28,8518.5,3.89,3.3,-89.0,-0.38,18.79,20.19,01a58095o0447o
65,58095.387943,18.971,0.22,94,21,o,0,1.2,50.86642,-41.30557,1404.9,8488.14,3.65,3.01,-87.1,-0.392,18.85,20.17,01a58095o0451o
66,58095.394812,19.236,0.312,73,23,o,0,1.02,50.86642,-41.30557,1365.45,8477.97,3.75,3.1,-88.3,-0.395,18.8,20.15,01a58095o0466o
67,58095.400767,18.626,0.168,129,22,o,0,1.38,50.86642,-41.30557,1353.5,8620.14,3.8,3.16,-82.2,-0.387,18.81,20.15,01a58095o0479o
68,58097.367167,18.604,0.147,131,19,o,0,0.89,50.86642,-41.30557,1402.09,2340.08,2.55,2.27,34.6,-0.484,19.27,20.67,02a58097o0352o
69,58097.374039,18.408,0.104,157,16,o,0,1.3,50.86642,-41.30557,1374.45,2298.7,2.5,2.18,33.5,-0.475,19.29,20.74,02a58097o0367o
70,58097.380916,18.853,0.139,104,14,o,0,1.0,50.86642,-41.30557,1435.62,2378.06,2.5,2.21,38.6,-0.477,19.32,20.7,02a58097o0382o
71,58097.387818,18.898,0.127,100,13,o,0,1.61,50.86642,-41.30557,1466.6,2263.31,2.69,2.37,44.1,-0.465,19.21,20.63,02a58097o0397o
72,58099.36373200001,18.206,0.151,190,29,o,0,1.01,50.86642,-41.30557,8996.72,8657.91,4.69,3.81,-84.1,-0.339,18.55,20.04,01a58099o0397o
73,58099.370622,18.229,0.152,186,28,o,0,0.89,50.86642,-41.30557,9032.44,8726.44,4.55,3.62,-85.3,-0.338,18.69,20.11,01a58099o0412o
74,58099.37753,18.366,0.172,164,28,o,0,0.84,50.86642,-41.30557,8975.78,8674.91,4.64,3.66,-84.2,-0.343,18.66,20.15,01a58099o0427o
75,58099.38440900001,18.835,0.271,106,29,o,0,1.04,50.86642,-41.30557,8963.5,8818.2,4.79,3.98,-86.1,-0.332,18.59,20.16,01a58099o0442o
76,58103.353801,18.365,0.128,164,21,o,0,1.2,50.86642,-41.30557,8887.86,7747.94,4.55,3.22,-83.9,-0.361,18.85,20.41,01a58103o0293o
77,58103.365716,18.446,0.139,152,21,o,0,1.14,50.86642,-41.30557,8850.46,7756.25,4.49,3.19,-83.1,-0.3670000000000001,18.9,20.46,01a58103o0319o
78,58103.366174,18.271,0.112,178,20,o,0,1.34,50.86642,-41.30557,8910.18,7836.84,4.53,3.23,-83.7,-0.365,18.89,20.46,01a58103o0320o
79,58103.377619000006,18.18,0.102,194,20,o,0,1.12,50.86642,-41.30557,8841.64,7920.62,4.52,3.22,-82.1,-0.366,18.92,20.58,01a58103o0345o
