Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
62,58110.327751,19.985,0.294,37,11,o,0,1.27,23.40346,33.43117,6909.01,7457.3,2.97,2.56,-81.4,-0.466,19.44,21.1,01a58110o0324o
63,58110.332556,19.113,0.151,82,12,o,0,1.19,23.40346,33.43117,6932.52,7513.65,2.95,2.49,-82.4,-0.464,19.48,21.1,01a58110o0334o
64,58110.346791,19.387,0.189,64,12,o,0,1.29,23.40346,33.43117,6885.54,7489.42,3.19,2.81,-84.2,-0.445,19.36,21.04,01a58110o0365o
65,58110.35119,19.24,0.16399999999999998,73,12,o,0,1.0,23.40346,33.43117,6877.37,7621.42,2.96,2.55,-86.9,-0.466,19.47,21.02,01a58110o0374o
66,58111.360216,19.172,0.134,78,10,o,0,1.31,23.40346,33.43117,103.96,3208.45,2.13,1.76,28.2,-0.5,19.58,20.69,02a58111o0087o
67,58111.373081,17.493,0.024,366,9,o,0,218.17,23.40346,33.43117,88.13,3168.47,2.21,1.86,33.0,-0.479,19.55,20.72,02a58111o0112o
68,58111.374647,19.284,0.194,70,14,o,0,1.02,23.40346,33.43117,9971.15,3211.84,2.12,2.0,37.9,-0.476,19.66,20.77,02a58111o0115o
69,58111.385003,19.084,0.133,84,11,o,0,1.15,23.40346,33.43117,137.73,3245.4,2.23,1.86,28.4,-0.469,19.53,20.73,02a58111o0137o
70,58111.38654,19.385,0.182,64,12,o,0,0.91,23.40346,33.43117,9954.71,3172.54,2.21,2.04,32.2,-0.49,19.57,20.78,02a58111o0140o
71,58111.396878,19.063,0.142,86,12,o,0,1.24,23.40346,33.43117,170.19,3128.75,2.25,1.79,25.6,-0.471,19.5,20.65,02a58111o0162o
72,58111.398275,19.724,0.24,47,11,o,0,1.43,23.40346,33.43117,10003.51,3251.22,2.11,1.98,23.1,-0.472,19.59,20.69,02a58111o0165o
73,58111.41026900001,19.783,0.275,44,12,o,0,1.29,23.40346,33.43117,10036.21,3136.83,2.31,2.1,37.8,-0.49,19.47,20.58,02a58111o0190o
74,58112.332342,19.357,0.198,66,13,o,0,1.27,23.40346,33.43117,969.38,1702.66,2.35,1.98,42.6,-0.52,19.57,20.72,02a58112o0324o
75,58112.336747,19.279,0.14800000000000002,71,10,o,0,1.67,23.40346,33.43117,953.17,1662.88,2.45,2.09,43.7,-0.504,19.53,20.72,02a58112o0333o
76,58112.351842,19.346,0.189,66,12,o,0,1.06,23.40346,33.43117,1003.44,1742.29,2.29,1.93,46.0,-0.5329999999999999,19.6,20.7,02a58112o0364o
77,58112.35586799999,19.05,0.13,87,11,o,0,1.63,23.40346,33.43117,1034.6,1622.55,2.36,1.95,44.8,-0.529,19.57,20.69,02a58112o0372o
78,58114.34839199999,18.908,0.366,99,36,o,0,1.17,23.40346,33.43117,9228.56,9707.05,4.13,3.07,-88.0,-0.392,18.37,19.5,01a58114o0354o
79,58114.364798,19.206,0.3670000000000001,75,28,o,0,0.98,23.40346,33.43117,2025.66,125.94,3.29,2.92,70.2,-0.431,18.57,19.47,01a58114o0389o
82,58114.37763,18.422,0.394,155,61,o,0,1.36,23.40346,33.43117,2066.87,208.97,3.29,2.95,73.6,-0.451,17.55,18.1,01a58114o0417o
83,58114.382111,19.273,0.5579999999999999,71,40,o,0,1.45,23.40346,33.43117,2024.87,141.8,3.3,2.93,72.2,-0.4370000000000001,17.97,18.72,01a58114o0426o
84,58114.383027,18.899,0.439,100,44,o,0,0.97,23.40346,33.43117,9226.51,9898.91,3.8,2.98,-85.4,-0.418,18.17,18.99,01a58114o0428o
85,58114.40186000001,19.106,0.35100000000000003,83,29,o,0,1.13,23.40346,33.43117,2046.99,315.58,3.37,2.98,72.6,-0.433,18.39,19.35,01a58114o0467o
86,58116.325893,18.873,0.255,103,26,o,0,0.99,23.40346,33.43117,2891.08,1209.95,2.58,2.21,36.9,-0.468,18.77,19.38,02a58116o0300o
87,58116.34014,19.391,0.35700000000000004,64,23,o,0,1.28,23.40346,33.43117,2859.35,1169.57,2.61,2.19,35.5,-0.47,18.72,19.3,02a58116o0331o
88,58116.344618,19.599,0.433,52,23,o,0,1.11,23.40346,33.43117,2924.85,1247.08,2.53,2.12,36.0,-0.468,18.63,19.21,02a58116o0340o
91,58117.31326,19.221,0.389,74,29,o,0,0.95,23.40346,33.43117,2124.66,282.33,3.09,2.75,76.1,-0.45,18.56,19.3,01a58117o0190o
92,58117.321684,18.753,0.258,114,30,o,0,1.28,23.40346,33.43117,2068.4,233.9,3.25,2.79,76.6,-0.443,18.51,19.27,01a58117o0207o
93,58117.33061100001,18.902,0.306,100,31,o,0,1.29,23.40346,33.43117,2064.49,384.87,3.33,2.86,79.4,-0.443,18.51,19.26,01a58117o0224o
94,58118.34782,19.092,0.32299999999999995,84,27,o,0,1.33,23.40346,33.43117,5966.01,9491.37,3.27,2.86,-79.4,-0.472,18.48,19.27,01a58118o0347o
95,58118.35880800001,20.019,0.9,36,32,o,0,0.98,23.40346,33.43117,6001.28,9564.9,3.23,2.84,-83.4,-0.472,18.46,19.23,01a58118o0370o
96,58118.36456900001,19.261,0.4920000000000001,72,35,o,0,0.96,23.40346,33.43117,5946.64,9503.88,3.33,2.91,-78.3,-0.463,18.42,19.2,01a58118o0382o
97,58118.380913,19.549,0.672,55,37,o,0,0.91,23.40346,33.43117,5962.63,9669.45,3.37,2.89,-84.1,-0.462,18.36,19.13,01a58118o0417o
98,58119.32221900001,19.082,0.285,85,24,o,0,1.07,23.40346,33.43117,1416.69,2070.98,2.22,1.86,34.6,-0.524,18.79,19.12,02a58119o0282o
99,58119.331754,19.048,0.267,87,23,o,0,0.96,23.40346,33.43117,1400.24,2031.67,2.09,1.81,31.9,-0.5479999999999999,18.7,19.08,02a58119o0301o
100,58119.34145299999,19.304,0.339,69,23,o,0,1.34,23.40346,33.43117,1449.66,2108.29,2.14,1.87,31.7,-0.544,18.67,19.04,02a58119o0320o
101,58119.350927,20.449,0.94,24,23,o,0,1.4,23.40346,33.43117,1482.74,1989.95,2.17,1.89,32.7,-0.526,18.62,19.01,02a58119o0339o
102,58120.313426,18.809,0.19,109,21,o,0,1.21,23.40346,33.43117,3270.55,2922.53,2.28,2.06,42.5,-0.4370000000000001,18.65,19.11,02a58120o0175o
103,58120.324398,19.487,0.388,58,23,o,0,1.29,23.40346,33.43117,3252.16,2881.48,2.34,2.14,44.9,-0.435,18.54,19.07,02a58120o0199o
104,58120.330821,19.698,0.511,48,24,o,0,1.31,23.40346,33.43117,3317.49,2959.58,2.54,2.36,43.8,-0.42,18.48,19.04,02a58120o0212o
105,58120.343607,20.193,0.75,30,23,o,0,1.18,23.40346,33.43117,3331.6,2841.28,2.23,1.97,38.5,-0.428,18.62,18.99,02a58120o0240o
106,58122.293767,18.87,0.255,103,26,o,0,1.07,23.40346,33.43117,9005.66,9026.17,4.24,3.62,-82.2,-0.379,18.68,20.02,01a58122o0233o
110,58123.314816,19.823,0.385,43,16,o,0,1.08,23.40346,33.43117,1694.25,1558.16,2.26,1.87,35.3,-0.519,19.29,20.07,02a58123o0263o
111,58123.325612,19.049,0.17800000000000002,87,16,o,0,1.73,23.40346,33.43117,1677.13,1518.75,2.33,1.95,35.3,-0.516,19.14,19.92,02a58123o0284o
112,58123.337065,19.485,0.312,58,18,o,0,1.16,23.40346,33.43117,1724.84,1596.47,2.34,1.94,32.9,-0.518,19.1,19.76,02a58123o0307o
113,58123.348447,19.948,0.478,38,18,o,0,1.38,23.40346,33.43117,1757.51,1477.14,2.48,2.04,35.8,-0.526,19.01,19.74,02a58123o0330o
114,58124.318504,20.144,0.311,32,10,o,0,0.96,23.40346,33.43117,3838.02,1441.5,2.3,2.06,38.4,-0.455,19.65,21.03,02a58124o0203o
115,58124.329202,19.548,0.168,55,9,o,0,1.37,23.40346,33.43117,3821.03,1401.48,2.16,1.91,38.7,-0.466,19.71,21.0,02a58124o0225o
116,58124.340374,20.299,0.38,28,10,o,0,1.37,23.40346,33.43117,3883.98,1478.16,2.26,1.97,35.3,-0.453,19.6,20.74,02a58124o0248o
117,58124.35193200001,20.063,0.293,34,10,o,0,2.0,23.40346,33.43117,3898.7,1362.21,2.22,1.94,36.1,-0.459,19.45,20.42,02a58124o0271o
118,58125.307241,19.736,0.358,46,17,o,0,0.98,23.40346,33.43117,7456.72,9317.11,4.09,3.03,-81.8,-0.394,19.33,20.83,01a58125o0251o
120,58125.33063200001,19.662,0.3720000000000001,50,18,o,0,1.27,23.40346,33.43117,7460.07,9360.34,4.26,3.17,-82.5,-0.386,19.17,20.6,01a58125o0298o
121,58125.34299400001,19.576,0.3720000000000001,54,20,o,0,0.94,23.40346,33.43117,7451.1,9517.92,4.35,3.19,-82.2,-0.382,19.1,20.45,01a58125o0323o
122,58126.305923,20.121,0.46,32,15,o,0,1.27,23.40346,33.43117,7886.46,8010.62,4.13,3.01,-83.1,-0.391,19.26,20.81,01a58126o0241o
123,58126.315014,20.595,0.6509999999999999,21,14,o,0,1.41,23.40346,33.43117,7916.8,8081.37,4.1,2.9,-84.0,-0.394,19.28,20.79,01a58126o0260o
125,58126.335117,20.73,0.862,18,16,o,0,1.36,23.40346,33.43117,7870.73,8189.06,4.29,3.17,-84.2,-0.3720000000000001,19.16,20.68,01a58126o0302o
126,58128.270098,20.513,0.373,23,8,o,0,1.65,23.40346,33.43117,3370.34,2924.33,2.31,2.1,34.2,-0.4320000000000001,19.53,20.82,02a58128o0174o
127,58128.278536,20.031,0.27,35,10,o,0,1.31,23.40346,33.43117,3351.89,2883.68,2.17,1.95,32.4,-0.444,19.59,20.79,02a58128o0192o
128,58128.28694600001,19.721,0.207,47,10,o,0,1.1,23.40346,33.43117,3414.75,2959.68,2.34,2.13,36.4,-0.4320000000000001,19.48,20.75,02a58128o0210o
130,58129.301696,20.85,0.917,17,15,o,0,1.2,23.40346,33.43117,7737.35,8646.37,4.82,3.49,-83.1,-0.349,19.22,21.12,01a58129o0141o
131,58129.311249,19.673,0.331,49,16,o,0,1.01,23.40346,33.43117,7768.6,8717.9,4.87,3.53,-83.4,-0.342,19.27,21.13,01a58129o0160o
132,58129.32255700001,20.553,0.8390000000000001,22,18,o,0,0.82,23.40346,33.43117,7737.6,8678.3,5.14,3.81,-84.0,-0.321,19.14,21.09,01a58129o0183o
133,58129.3346,20.802,1.0,17,17,o,0,0.94,23.40346,33.43117,7744.7,8833.02,5.22,3.86,-82.1,-0.305,19.18,21.08,01a58129o0208o
135,58130.297682,20.06,0.441,34,15,o,0,0.94,23.40346,33.43117,6275.76,6630.64,3.87,3.02,-82.7,-0.406,19.28,21.05,01a58130o0150o
136,58130.306739,19.852,0.341,42,14,o,0,1.17,23.40346,33.43117,6224.15,6586.51,3.83,2.96,-85.4,-0.406,19.26,20.99,01a58130o0169o
137,58130.31624,19.774,0.313,45,14,o,0,1.1,23.40346,33.43117,6223.5,6735.73,4.19,3.35,-85.4,-0.395,19.13,21.0,01a58130o0189o
138,58131.302137,20.514,0.423,23,10,o,0,1.56,23.40346,33.43117,1860.09,3271.57,2.2,1.97,33.0,-0.468,19.56,20.8,02a58131o0076o
139,58131.308176,20.18,0.376,31,12,o,0,1.25,23.40346,33.43117,1844.13,3232.43,2.36,2.12,38.7,-0.445,19.51,20.8,02a58131o0088o
141,58131.32610700001,20.496,0.511,23,12,o,0,0.77,23.40346,33.43117,1909.55,3191.92,2.47,2.2,40.1,-0.441,19.42,20.74,02a58131o0124o
143,58132.319011,20.284,0.363,28,10,o,0,1.44,23.40346,33.43117,1277.05,203.07,2.69,2.11,34.9,-0.552,19.57,20.89,02a58132o0257o
144,58132.32917100001,20.846,0.732,17,12,o,0,1.5,23.40346,33.43117,1341.4,283.19,2.65,2.06,31.6,-0.504,19.58,20.89,02a58132o0278o
151,58134.256725,20.662,0.741,20,15,o,0,0.82,23.40346,33.43117,8200.73,7220.04,3.89,2.79,-84.5,-0.416,19.45,21.2,01a58134o0141o
152,58134.265552,20.271,0.5,28,14,o,0,0.86,23.40346,33.43117,8146.14,7177.35,3.9,2.78,-84.7,-0.416,19.37,21.14,01a58134o0160o
153,58134.27444,20.01,0.342,36,12,o,0,1.55,23.40346,33.43117,8142.52,7327.36,3.98,2.89,-84.8,-0.408,19.41,21.1,01a58134o0179o
154,58135.310211,21.036,0.588,14,8,c,0,1.48,23.40346,33.43117,1934.96,2701.06,2.96,2.68,45.2,-0.412,19.58,21.52,02a58135o0245c
155,58135.320203,19.837,0.218,42,9,c,0,1.35,23.40346,33.43117,1902.83,2662.19,2.72,2.43,37.8,-0.429,19.69,21.49,02a58135o0266c
