Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
1,57870.587003,20.209,0.394,30,12,c,0,0.86,251.31142000000003,70.80739,5704.5,1329.23,3.53,2.62,33.4,-0.464,19.36,20.47,02a57870o0620c
3,57870.606053,20.437,0.418,24,10,c,0,1.35,251.31142000000003,70.80739,5748.96,1364.09,3.6,2.68,33.4,-0.449,19.35,20.51,02a57870o0656c
5,57870.618677,20.949,0.88,15,13,c,0,0.79,251.31142000000003,70.80739,5723.43,1302.83,3.62,2.67,33.3,-0.458,19.21,20.19,02a57870o0680c
14,57884.553749,19.784,0.972,44,43,o,0,1.08,251.31142000000003,70.80739,1584.9,9069.11,3.49,3.03,47.6,-0.429,18.47,19.27,01a57884o0443o
16,57884.595614,19.598,0.951,53,50,o,0,1.1,251.31142000000003,70.80739,1581.68,9189.01,3.49,3.07,49.1,-0.438,18.46,19.25,01a57884o0522o
30,57895.537646,20.556,0.971,22,21,o,0,1.1,251.31142000000003,70.80739,4212.09,7934.86,3.52,2.95,-51.6,-0.471,18.86,20.29,01a57895o0334o
48,57903.497804,20.452,0.695,24,17,o,0,1.23,251.31142000000003,70.80739,4302.21,7806.04,4.38,3.38,-49.1,-0.429,19.09,20.66,01a57903o0485o
53,57904.519241,20.447,0.943,24,23,o,0,0.92,251.31142000000003,70.80739,2593.28,9876.78,5.98,4.35,-45.0,-0.28600000000000003,18.87,20.68,01a57904o0328o
55,57904.548927,16.067,0.322,1359,438,o,0,0.3,251.31142000000003,70.80739,4366.55,29.6,3.81,3.63,5.9,-0.361,18.94,20.79,01a57904o0385o
63,57908.504362,17.477999999999998,0.523,370,194,o,0,0.99,251.31142000000003,70.80739,948.52,10030.04,3.09,2.85,83.2,-0.4970000000000001,16.3,16.92,01a57908o0516o
74,57912.529535,19.737,0.945,46,44,o,0,1.05,251.31142000000003,70.80739,4287.58,7429.27,3.36,2.94,45.5,-0.423,18.45,19.09,01a57912o0539o
85,57925.438909,20.818,0.6779999999999999,17,12,o,0,1.17,251.31142000000003,70.80739,4393.87,824.52,3.27,3.01,49.4,-0.433,19.43,21.04,01a57925o0403o
97,57933.427574,20.727,0.614,19,11,o,0,1.15,251.31142000000003,70.80739,2543.19,8592.76,3.15,3.0,62.8,-0.433,19.51,21.44,01a57933o0380o
100,57937.407299,20.113,0.629,33,21,o,0,0.85,251.31142000000003,70.80739,2715.64,9632.09,3.21,3.05,-88.8,-0.448,18.95,20.13,01a57937o0332o
103,57937.437956,19.96,0.5379999999999999,38,20,o,0,1.13,251.31142000000003,70.80739,2676.69,9828.52,3.3,3.15,70.5,-0.454,18.91,20.11,01a57937o0394o
118,57945.410195,19.552,0.393,55,22,o,0,1.4,251.31142000000003,70.80739,3094.4,617.77,3.18,2.99,49.8,-0.4370000000000001,18.84,19.77,01a57945o0248o
129,57953.416028,20.073,0.496,34,17,o,0,1.04,251.31142000000003,70.80739,4085.19,9943.59,3.77,3.09,-88.6,-0.426,19.07,20.6,01a57953o0340o
131,57955.36888,21.058000000000003,0.933,14,13,o,0,1.72,251.31142000000003,70.80739,5484.35,10005.62,2.73,2.4,49.0,-0.467,19.35,20.49,02a57955o0259o
132,57955.369856,20.62,0.924,20,19,o,0,0.85,251.31142000000003,70.80739,7521.11,56.3,2.67,2.3,57.8,-0.454,19.28,20.42,02a57955o0261o
144,57965.349541,20.451,0.963,24,23,o,0,0.77,251.31142000000003,70.80739,4685.77,445.89,2.96,2.86,32.1,-0.423,18.91,20.04,01a57965o0206o
147,57965.36764,19.589,0.542,53,29,o,0,0.98,251.31142000000003,70.80739,2952.31,10490.52,3.05,2.72,-87.7,-0.448,18.44,19.43,01a57965o0243o
149,57965.378407,18.583,0.597,134,80,o,0,1.26,251.31142000000003,70.80739,4678.35,630.7,2.98,2.87,38.5,-0.418,17.52,18.35,01a57965o0265o
155,57969.36824500001,20.453,0.912,24,22,o,0,1.17,251.31142000000003,70.80739,836.48,9752.55,3.34,2.75,-86.8,-0.457,18.81,19.88,01a57969o0169o
156,57969.36874,20.274,0.871,28,25,o,0,1.12,251.31142000000003,70.80739,772.12,9650.69,3.46,2.9,-85.9,-0.442,18.75,19.88,01a57969o0170o
161,57972.349463,19.196,0.47,76,36,o,0,1.23,251.31142000000003,70.80739,3610.61,9901.36,2.22,1.96,33.1,-0.529,18.63,19.03,02a57972o0224o
166,57978.34531799999,21.001,0.885,14,13,o,0,1.6,251.31142000000003,70.80739,1318.65,8894.84,2.87,2.47,87.7,-0.465,19.35,20.9,01a57978o0198o
