Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
5,57735.58218,19.089,0.667,84,56,o,0,0.94,128.45758,-25.04016,1916.47,10153.96,3.71,3.4,21.5,-0.457,18.29,18.97,02a57735o0663o
8,57735.607299,18.984,0.594,92,55,o,0,1.04,128.45758,-25.04016,1197.4,221.34,4.16,3.86,-26.8,-0.436,18.28,19.01,02a57735o0712o
18,57747.56234,18.727,0.261,117,31,c,0,2.59,128.45758,-25.04016,9141.47,62.48,4.27,4.18,23.9,-0.394,19.6,21.67,02a57747o0752c
21,57747.577362,19.112,0.275,82,23,c,0,2.39,128.45758,-25.04016,315.57,9796.7,5.17,4.14,10.9,-0.393,19.4,21.51,02a57747o0782c
22,57747.57835700001,15.018,0.006,3571,23,c,0,324.23,128.45758,-25.04016,10273.1,9778.72,4.98,4.26,4.1,-0.397,19.43,21.58,02a57747o0784c
23,57747.591891,20.222,0.662,30,20,c,0,1.25,128.45758,-25.04016,10220.93,9839.49,4.55,4.3,15.7,-0.4,19.47,21.56,02a57747o0811c
24,57751.518963,20.614,0.985,21,20,c,0,0.98,128.45758,-25.04016,3774.92,8801.32,3.67,3.46,9.9,-0.435,19.74,21.82,02a57751o0185c
27,57751.558829,20.116,0.5760000000000001,33,19,c,0,1.03,128.45758,-25.04016,3846.77,8727.42,3.9,3.8,24.9,-0.42,19.65,21.74,02a57751o0264c
35,57763.49730700001,18.694000000000006,0.416,121,50,o,0,0.92,128.45758,-25.04016,100.95,9634.08,3.38,3.1,33.3,-0.529,18.54,19.39,02a57763o0481o
41,57763.537048,19.236,0.701,73,52,o,0,0.98,128.45758,-25.04016,143.52,9651.44,3.4,3.08,28.5,-0.546,18.48,19.27,02a57763o0559o
46,57767.510029,18.887,0.62,101,63,o,0,0.92,128.45758,-25.04016,2435.2,9547.81,3.25,2.85,-1.5,-0.504,18.38,19.04,02a57767o0588o
47,57767.525481,18.532,0.441,140,62,o,0,0.94,128.45758,-25.04016,2456.92,9430.15,3.27,2.89,0.8,-0.498,18.37,19.03,02a57767o0618o
48,57767.540973,19.305,0.9,69,62,o,0,1.13,128.45758,-25.04016,2423.14,9486.16,3.34,2.99,7.3,-0.494,18.33,18.99,02a57767o0648o
49,57771.473763,18.364,0.225,164,37,o,0,0.89,128.45758,-25.04016,159.75,8138.58,3.44,3.18,42.7,-0.482,18.93,20.17,02a57771o0534o
50,57771.487868,18.24,0.182,184,33,o,0,0.78,128.45758,-25.04016,10054.85,8181.54,3.74,3.21,-85.5,-0.456,18.9,20.13,02a57771o0561o
51,57771.488892,18.332,0.224,169,38,o,0,1.14,128.45758,-25.04016,143.18,8099.85,3.6,3.3,44.1,-0.479,18.88,20.13,02a57771o0563o
52,57771.502803,18.698,0.261,120,31,o,0,0.96,128.45758,-25.04016,10036.79,8145.12,3.72,3.15,-86.3,-0.456,18.91,20.11,02a57771o0590o
53,57771.50382200001,18.343,0.189,167,32,o,0,1.49,128.45758,-25.04016,214.45,8179.85,3.75,3.46,45.5,-0.477,18.83,20.1,02a57771o0592o
54,57771.518392,18.949,0.343,96,33,o,0,0.79,128.45758,-25.04016,10091.44,8222.74,3.68,3.09,-85.3,-0.464,18.9,20.09,02a57771o0620o
55,57771.51944,18.911,0.374,99,37,o,0,1.04,128.45758,-25.04016,237.63,8061.42,4.37,3.63,11.9,-0.4370000000000001,18.71,20.06,02a57771o0622o
56,57771.534014,18.859,0.342,104,36,o,0,0.92,128.45758,-25.04016,10112.68,8104.64,3.84,3.8,58.5,-0.446,18.79,20.05,02a57771o0650o
57,57771.535062,18.341,0.247,167,41,o,0,1.06,128.45758,-25.04016,203.59,8116.5,4.27,3.63,14.6,-0.448,18.69,20.01,02a57771o0652o
58,57771.549548,18.972,0.439,94,41,o,0,0.95,128.45758,-25.04016,10078.17,8164.92,3.86,3.7,85.3,-0.449,18.75,19.95,02a57771o0680o
59,57779.446024,18.334,0.1,168,17,c,0,1.1,128.45758,-25.04016,1319.78,1627.33,4.12,3.79,75.9,-0.397,19.69,21.72,02a57779o0445c
