Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
12,57752.426973,18.805,0.547,109,60,c,0,1.07,68.18512,-5.8918,4303.9,8136.94,3.77,3.69,63.8,-0.413,18.13,19.91,02a57752o0423c
13,57752.443626,16.935,0.545,611,333,c,0,1.14,68.18512,-5.8918,4326.49,8018.7,3.74,3.71,40.5,-0.409,16.1,17.78,02a57752o0456c
14,57752.45598300001,16.572,0.123,853,105,c,0,1.44,68.18512,-5.8918,4289.11,8075.61,3.75,3.7,57.2,-0.415,17.47,19.18,02a57752o0480c
15,57756.38135800001,18.116,0.075,206,15,c,0,1.66,68.18512,-5.8918,6546.64,6751.13,3.52,3.35,-72.6,-0.449,19.83,21.86,02a57756o0354c
16,57756.396588,17.815,0.053,272,14,c,0,1.91,68.18512,-5.8918,6527.44,6710.73,3.54,3.37,-75.0,-0.45,19.83,21.86,02a57756o0383c
17,57756.409207,17.924,0.055,246,13,c,0,2.86,68.18512,-5.8918,6586.13,6787.45,3.52,3.34,-71.0,-0.454,19.81,21.82,02a57756o0404c
18,57756.423827,17.953,0.064,239,15,c,0,1.59,68.18512,-5.8918,6609.92,6671.18,3.59,3.43,-71.8,-0.445,19.77,21.79,02a57756o0430c
19,57756.438516,17.919,0.067,247,17,c,0,1.54,68.18512,-5.8918,6572.33,6728.65,3.62,3.45,-74.7,-0.443,19.76,21.78,02a57756o0455c
20,57764.374127,16.523,0.48,893,429,o,0,1.98,68.18512,-5.8918,5579.42,9625.38,3.5,3.31,8.6,-0.482,16.88,16.6,02a57764o0358o
21,57764.38967,17.311,0.467,432,202,o,0,2.07,68.18512,-5.8918,5560.35,9585.06,3.47,3.27,4.4,-0.483,17.17,17.23,02a57764o0387o
22,57764.40521,17.476,0.958,371,355,o,0,1.58,68.18512,-5.8918,5619.44,9661.47,4.32,3.21,2.0,-0.476,17.03,17.11,02a57764o0416o
23,57764.421649,16.42,0.996,982,978,o,0,1.25,68.18512,-5.8918,5643.18,9543.28,6.15,3.41,4.9,-0.368,16.21,16.33,02a57764o0445o
31,57776.37588099999,18.509,0.105,143,15,c,0,1.4,68.18512,-5.8918,5084.13,7475.08,3.9,3.78,69.8,-0.395,19.73,21.83,02a57776o0321c
32,57776.392436,18.222,0.085,187,16,c,0,1.25,68.18512,-5.8918,5142.98,7552.1,3.73,3.66,66.1,-0.416,19.75,21.81,02a57776o0353c
33,57776.409536,18.294,0.111,175,20,c,0,1.73,68.18512,-5.8918,5164.67,7433.83,3.88,3.84,70.2,-0.396,19.46,21.51,02a57776o0386c
34,57776.425825,19.391,0.789,64,50,c,0,0.95,68.18512,-5.8918,5128.27,7490.27,3.69,3.62,52.0,-0.412,16.75,18.59,02a57776o0417c
35,57780.348555,18.463,0.111,150,17,c,0,1.75,68.18512,-5.8918,4943.62,9048.98,3.5,3.29,-8.9,-0.42,19.8,21.83,02a57780o0265c
36,57780.364851,18.494,0.114,145,17,c,0,1.68,68.18512,-5.8918,4927.56,9009.17,3.51,3.34,-4.1,-0.404,19.77,21.76,02a57780o0296c
37,57780.381693,18.375,0.096,162,16,c,0,1.77,68.18512,-5.8918,4988.36,9084.94,3.56,3.32,-4.6,-0.412,19.72,21.7,02a57780o0328c
38,57780.399639,18.427,0.104,155,16,c,0,1.89,68.18512,-5.8918,5008.99,8967.13,3.52,3.32,-6.9,-0.41,19.67,21.63,02a57780o0362c
39,57780.417141,18.581,0.145,134,19,c,0,1.53,68.18512,-5.8918,4971.78,9023.71,3.6,3.33,-0.6,-0.425,19.59,21.5,02a57780o0395c
40,57784.34009600001,18.785,0.141,111,16,c,0,1.5,68.18512,-5.8918,6667.35,7227.69,3.71,3.62,-89.6,-0.428,19.67,21.69,02a57784o0069c
41,57784.35591900001,19.214,0.226,75,17,c,0,1.34,68.18512,-5.8918,6649.16,7187.5,3.91,3.76,87.1,-0.402,19.63,21.68,02a57784o0099c
42,57784.371049,18.963,0.154,94,14,c,0,1.8,68.18512,-5.8918,6710.25,7264.65,3.87,3.76,89.4,-0.403,19.6,21.61,02a57784o0128c
43,57784.402175,18.625,0.13,129,17,c,0,1.47,68.18512,-5.8918,6694.06,7203.78,3.91,3.79,84.4,-0.392,19.5,21.49,02a57784o0187c
44,57788.289451,18.963,0.333,94,32,o,0,1.62,68.18512,-5.8918,117.68,194.59,4.1,3.68,-43.0,-0.46,18.81,19.95,02a57788o0180o
46,57788.30022100001,18.24,0.221,184,41,o,0,1.22,68.18512,-5.8918,9838.03,241.53,3.7,3.29,79.3,-0.444,18.88,20.06,02a57788o0199o
