Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58117.546042,16.558,0.038,865,33,o,0,1.17,160.08875,-46.41962,7891.8,7118.15,2.32,2.04,51.3,-0.514,18.69,19.19,02a58117o0441o
1,58117.546954,16.493,0.038,918,35,o,0,0.94,160.08875,-46.41962,7918.74,7157.82,2.23,1.98,50.6,-0.512,18.65,19.2,02a58117o0443o
2,58117.555625,16.477999999999998,0.033,930,31,o,0,1.25,160.08875,-46.41962,7853.85,7077.99,2.59,2.19,56.6,-0.474,18.56,19.24,02a58117o0462o
3,58117.564916,16.498,0.035,914,32,o,0,0.91,160.08875,-46.41962,7839.95,7194.72,2.35,2.07,52.0,-0.506,18.62,19.29,02a58117o0481o
4,58119.541704,16.592,0.049,838,41,o,0,1.67,160.08875,-46.41962,5207.69,4000.35,3.86,3.26,-87.0,-0.406,17.89,18.76,01a58119o0762o
5,58119.548589,16.517,0.047,898,43,o,0,1.16,160.08875,-46.41962,5183.39,3937.76,3.92,3.24,89.6,-0.397,17.91,18.8,01a58119o0777o
6,58119.555477,16.438,0.047,965,45,o,0,0.91,160.08875,-46.41962,5227.28,3990.34,3.72,3.13,-89.5,-0.409,17.94,18.82,01a58119o0792o
7,58119.562359,16.430999999999994,0.044,972,43,o,0,1.27,160.08875,-46.41962,5244.51,3849.97,3.84,3.29,-89.8,-0.395,17.93,18.86,01a58119o0807o
8,58121.54199500001,16.332,0.075,1065,79,o,0,1.54,160.08875,-46.41962,5266.46,9346.83,2.49,2.45,65.7,-0.484,17.67,18.22,02a58121o0757o
9,58121.549754,16.496,0.105,915,96,o,0,1.2,160.08875,-46.41962,5276.83,9387.27,2.67,2.57,-84.1,-0.489,17.67,18.22,02a58121o0774o
10,58121.557512,16.733,0.108,736,80,o,0,1.44,160.08875,-46.41962,5221.41,9310.31,2.29,2.18,69.1,-0.515,17.81,18.21,02a58121o0791o
11,58121.56482100001,16.41,0.095,991,94,o,0,1.39,160.08875,-46.41962,5204.17,9429.64,2.55,2.44,79.6,-0.501,17.63,18.19,02a58121o0807o
12,58123.555697,16.548,0.041,872,36,o,0,0.99,160.08875,-46.41962,2730.09,1595.32,3.5,3.03,85.6,-0.449,18.35,19.37,01a58123o0475o
13,58123.561691,16.399,0.036000000000000004,1001,36,o,0,1.03,160.08875,-46.41962,2709.69,1512.29,3.4,3.01,82.6,-0.451,18.32,19.4,01a58123o0487o
14,58123.567644,16.469,0.036000000000000004,938,34,o,0,1.2,160.08875,-46.41962,2759.4,1590.31,3.36,3.1,89.1,-0.45,18.29,19.41,01a58123o0500o
15,58123.576356,16.526,0.04,890,36,o,0,1.33,160.08875,-46.41962,2765.54,1440.73,3.24,3.06,83.9,-0.456,18.36,19.39,01a58123o0519o
16,58127.539313,16.692,0.028,764,21,o,0,1.37,160.08875,-46.41962,3754.76,3128.67,4.07,3.55,88.1,-0.414,18.76,20.54,01a58127o0753o
17,58127.54965,16.71,0.03,752,22,o,0,1.12,160.08875,-46.41962,3729.2,3052.58,4.02,3.58,88.7,-0.411,18.77,20.56,01a58127o0775o
