Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58091.442614,19.466,0.74,59,44,o,0,1.08,86.51046,-25.65183,3637.64,4029.47,3.93,3.53,88.9,-0.388,17.98,18.83,01a58091o0535o
21,58103.441767,20.944000000000006,0.884,15,13,o,0,0.96,86.51046,-25.65183,8140.22,6548.67,3.64,2.72,-84.5,-0.434,19.33,21.02,01a58103o0425o
22,58103.451847,20.149,0.431,32,14,o,0,1.54,86.51046,-25.65183,8094.35,6510.42,3.73,2.8,-85.6,-0.426,19.28,21.05,01a58103o0447o
28,58111.411393,20.575,0.649,21,14,o,0,1.49,86.51046,-25.65183,10223.02,7723.86,4.35,3.08,-85.5,-0.365,19.25,21.08,01a58111o0492o
30,58111.424209,19.771,0.315,45,14,o,0,1.19,86.51046,-25.65183,10197.97,7733.87,4.13,2.89,-84.6,-0.379,19.31,21.16,01a58111o0520o
32,58111.42833,20.536,0.64,22,14,o,0,1.05,86.51046,-25.65183,688.3,7856.5,3.62,2.89,-89.3,-0.392,19.3,21.14,01a58111o0529o
33,58111.437715,20.294,0.467,28,13,o,0,1.5,86.51046,-25.65183,635.28,7858.11,3.61,2.97,87.3,-0.391,19.29,21.17,01a58111o0548o
34,58111.44000900001,20.557,0.7440000000000001,22,16,o,0,1.23,86.51046,-25.65183,10184.9,7916.89,4.3,3.13,-86.1,-0.362,19.26,21.16,01a58111o0553o
36,58115.410471,16.574,0.298,852,254,o,0,0.56,86.51046,-25.65183,7917.0,7230.93,4.34,4.2,-18.3,-0.376,17.88,19.24,01a58115o0497o
37,58115.416905,18.728,0.8079999999999999,117,95,o,0,1.05,86.51046,-25.65183,7936.94,7296.83,4.32,4.16,-1.4,-0.361,18.06,19.66,01a58115o0511o
38,58115.427449,19.181,0.326,77,25,o,0,1.06,86.51046,-25.65183,7857.55,7376.54,4.82,4.05,0.4,-0.3670000000000001,18.62,20.25,01a58115o0534o
39,58115.42928200001,18.96,0.224,95,21,o,0,1.12,86.51046,-25.65183,7891.99,7268.39,4.23,4.01,-17.6,-0.355,18.72,20.25,01a58115o0538o
40,58117.421946,17.949,0.72,240,173,o,0,0.81,86.51046,-25.65183,695.09,4661.86,2.1,1.86,29.8,-0.478,16.37,16.66,02a58117o0173o
41,58117.42883200001,18.747,0.616,115,71,o,0,1.41,86.51046,-25.65183,10256.2,4727.46,2.08,1.99,55.5,-0.524,17.77,18.12,02a58117o0188o
42,58117.42974299999,18.448,0.32,152,48,o,0,1.45,86.51046,-25.65183,749.16,4739.95,2.09,1.8,26.8,-0.487,17.72,17.93,02a58117o0190o
43,58117.436613,18.117,0.37,206,76,o,0,1.02,86.51046,-25.65183,10240.0,4687.58,2.06,1.99,67.9,-0.547,17.78,17.93,02a58117o0205o
44,58117.437526,18.054,0.279,218,61,o,0,0.92,86.51046,-25.65183,767.92,4622.63,2.09,1.81,26.2,-0.495,17.74,17.84,02a58117o0207o
45,58117.444401,18.25,0.147,182,27,o,0,1.06,86.51046,-25.65183,10293.99,4764.63,2.08,2.03,69.3,-0.499,18.76,19.24,02a58117o0222o
46,58117.452178,18.093,0.131,210,28,o,0,1.45,86.51046,-25.65183,10313.39,4647.55,2.09,2.07,33.3,-0.49,18.7,19.18,02a58117o0239o
