Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
6,58071.637151,21.214,0.816,12,10,c,0,1.01,136.75017,16.674529999999994,9687.57,9836.84,2.5,2.34,4.8,-0.445,19.77,21.3,02a58071o0752c
24,58079.66140700001,19.191,0.603,76,46,c,0,1.08,136.75017,16.674529999999994,3242.87,7691.3,2.49,2.32,13.5,-0.505,18.01,18.83,02a58079o0886c
45,58105.55067999999,20.669,0.639,20,12,o,0,1.12,136.75017,16.674529999999994,3583.14,10025.18,3.13,3.0,-66.7,-0.429,19.39,21.27,01a58105o0665o
47,58105.554737,20.867,0.775,16,13,o,0,1.36,136.75017,16.674529999999994,9347.59,9979.51,3.58,2.97,-87.5,-0.43,19.38,21.22,01a58105o0673o
50,58105.564738,20.85,0.723,17,12,o,0,0.94,136.75017,16.674529999999994,6581.77,333.08,3.1,2.99,-77.3,-0.428,19.48,21.26,01a58105o0693o
53,58109.568474,19.592,0.219,53,12,o,0,0.96,136.75017,16.674529999999994,4236.2,2712.8,3.17,2.72,86.3,-0.434,19.5,21.38,01a58109o0095o
54,58109.573953,19.79,0.225,44,10,o,0,1.35,136.75017,16.674529999999994,4256.43,2773.82,3.21,2.79,86.2,-0.431,19.46,21.42,01a58109o0106o
55,58109.584785,19.396,0.17600000000000002,63,11,o,0,1.1,136.75017,16.674529999999994,4203.5,2740.12,3.24,2.77,86.5,-0.428,19.48,21.42,01a58109o0129o
56,58109.59463300001,19.438,0.207,61,13,o,0,0.72,136.75017,16.674529999999994,4190.98,2895.96,3.2,2.75,83.4,-0.434,19.46,21.39,01a58109o0147o
57,58111.66931799999,19.262,0.467,72,33,o,0,0.91,136.75017,16.674529999999994,2912.97,9505.1,2.19,1.93,3.6,-0.519,18.64,18.9,02a58111o0711o
58,58113.53329,19.88,0.332,40,13,o,0,0.95,136.75017,16.674529999999994,4346.93,8616.62,3.45,2.95,-85.1,-0.433,19.34,21.16,01a58113o0581o
59,58113.547902,19.519,0.27,56,15,o,0,0.53,136.75017,16.674529999999994,5825.64,1751.07,3.18,2.81,-88.3,-0.44,19.4,21.15,01a58113o0610o
60,58113.556337,20.494,0.583,23,13,o,0,0.9,136.75017,16.674529999999994,5771.25,1707.29,3.22,2.89,87.2,-0.435,19.39,21.15,01a58113o0626o
61,58113.566121,19.376,0.183,64,12,o,0,1.09,136.75017,16.674529999999994,5754.99,1863.21,3.23,2.87,-89.0,-0.436,19.39,21.17,01a58113o0647o
62,58117.491171,19.322,0.271,68,18,o,0,1.04,136.75017,16.674529999999994,3574.34,7200.51,3.07,2.8,-78.9,-0.45,18.97,20.11,01a58117o0548o
63,58117.50296000001,19.77,0.426,45,19,o,0,1.18,136.75017,16.674529999999994,3562.77,7119.7,3.27,3.01,-80.9,-0.44,18.9,20.12,01a58117o0573o
64,58117.512275,19.792,0.476,44,21,o,0,1.48,136.75017,16.674529999999994,3624.22,7143.41,3.45,3.05,-11.1,-0.44,18.74,19.96,01a58117o0591o
65,58117.512734,19.367,0.425,65,28,o,0,1.49,136.75017,16.674529999999994,3660.89,7024.89,4.12,3.19,-4.3,-0.401,18.38,19.88,01a58117o0592o
66,58119.493541,19.537,0.317,56,18,o,0,1.28,136.75017,16.674529999999994,6287.44,2052.88,2.03,1.95,74.7,-0.477,18.73,19.06,02a58119o0606o
67,58119.505202,19.358,0.363,66,24,o,0,0.81,136.75017,16.674529999999994,6304.15,2093.48,2.09,2.05,62.2,-0.461,18.62,18.99,02a58119o0625o
68,58119.516174,19.416,0.348,62,22,o,0,0.98,136.75017,16.674529999999994,6247.59,2018.14,2.11,2.03,59.6,-0.444,18.63,18.99,02a58119o0644o
72,58123.647385,19.744,0.7509999999999999,46,34,o,0,0.75,136.75017,16.674529999999994,4489.65,7900.11,2.16,2.05,-5.0,-0.519,18.51,18.97,02a58123o0919o
73,58123.65964400001,19.677,0.745,49,36,o,0,0.79,136.75017,16.674529999999994,4508.14,7785.12,2.43,2.32,11.6,-0.509,18.32,18.91,02a58123o0942o
77,58125.648566,20.448,0.691,24,17,o,0,0.95,136.75017,16.674529999999994,4786.58,3210.06,3.18,2.76,-86.9,-0.435,19.0,20.28,01a58125o0931o
88,58131.57902999999,20.72,0.5,19,9,o,0,1.39,136.75017,16.674529999999994,4652.87,9612.7,2.34,2.17,12.0,-0.473,19.73,21.26,02a58131o0607o
90,58133.530785,20.889,0.833,16,13,o,0,0.85,136.75017,16.674529999999994,4154.85,1936.54,2.83,2.68,69.2,-0.481,19.21,21.08,01a58133o0681o
94,58135.55165,20.62,0.493,20,10,c,0,1.09,136.75017,16.674529999999994,4685.07,9007.73,2.77,2.53,6.0,-0.46,19.68,21.55,02a58135o0738c
95,58135.557028,20.402,0.495,25,12,c,0,1.2,136.75017,16.674529999999994,4667.79,8968.84,3.67,3.49,12.2,-0.412,19.43,21.56,02a58135o0748c
96,58135.569953,20.471,0.399,24,9,c,0,1.02,136.75017,16.674529999999994,4724.9,9046.06,2.7,2.46,11.0,-0.456,19.69,21.58,02a58135o0775c
97,58135.57770900001,19.988,0.333,37,12,c,0,0.97,136.75017,16.674529999999994,4745.48,8929.13,3.19,3.04,16.1,-0.424,19.51,21.58,02a58135o0790c
100,58137.529758,20.943,0.969,15,15,o,0,0.91,136.75017,16.674529999999994,6589.46,433.07,3.53,3.15,-86.1,-0.42,19.28,21.14,01a58137o0679o
135,58167.487212,20.87,0.69,16,11,c,0,0.75,136.75017,16.674529999999994,5413.61,7244.29,2.53,2.42,16.0,-0.465,19.64,21.44,02a58167o0577c
136,58167.490849,20.767,0.955,18,17,c,0,0.74,136.75017,16.674529999999994,5395.69,7205.99,2.48,2.36,18.3,-0.466,19.2,20.94,02a58167o0584c
165,58208.416705,19.734,0.716,46,33,o,0,1.45,136.75017,16.674529999999994,6183.88,714.19,3.11,2.86,85.7,-0.463,18.14,18.8,01a58208o0127o
206,58267.260984,16.1,0.472,1319,622,o,0,1.34,136.75017,16.674529999999994,3568.2,664.89,3.57,3.02,-4.1,-0.406,15.08,15.5,01a58267o0040o
236,58279.27549,19.945,0.388,38,15,c,0,1.93,136.75017,16.674529999999994,6273.33,7901.89,2.86,2.61,-56.7,-0.42,19.05,20.43,02a58279o0079c
