Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
2,58091.652602,19.574,0.508,54,27,o,0,0.88,202.10179,67.71773,5495.02,1131.08,2.26,2.13,49.7,-0.478,18.54,18.96,02a58091o1005o
9,58110.645683,18.526,0.107,141,15,o,0,1.35,202.10179,67.71773,620.44,2214.26,3.37,2.87,88.3,-0.449,19.27,20.99,01a58110o0987o
10,58110.65465599999,18.734,0.131,116,15,o,0,1.11,202.10179,67.71773,616.78,2148.6,3.38,2.87,-90.0,-0.454,19.25,20.96,01a58110o1006o
11,58110.663769000006,18.457,0.146,150,22,o,0,1.39,202.10179,67.71773,695.04,2190.83,3.57,3.05,87.5,-0.44,18.69,19.86,01a58110o1025o
12,58110.673017,18.805,0.939,109,102,o,0,1.25,202.10179,67.71773,736.11,2041.41,3.64,3.04,89.8,-0.457,16.6,17.29,01a58110o1044o
13,58112.672729,17.963,0.353,237,84,o,0,0.96,202.10179,67.71773,1324.57,10214.12,2.53,2.0,4.7,-0.5479999999999999,17.77,17.79,02a58112o1030o
14,58116.659185,18.533,0.102,140,14,o,0,2.69,202.10179,67.71773,9879.48,10456.44,2.66,2.18,-7.4,-0.481,19.5,20.83,02a58116o0993o
17,58116.678202,18.293,0.505,175,88,o,0,0.89,202.10179,67.71773,3611.03,1036.38,2.52,2.24,37.5,-0.465,17.43,17.35,02a58116o1033o
18,58120.579164,18.145,0.313,200,63,o,0,1.33,202.10179,67.71773,9490.47,8742.29,2.27,2.01,-1.6,-0.5579999999999999,18.5,18.81,02a58120o0715o
19,58120.58773099999,18.594,0.441,133,58,o,0,1.5,202.10179,67.71773,9513.72,8782.82,2.31,2.0,3.1,-0.512,18.49,18.84,02a58120o0733o
20,58120.597609,18.669,0.398,124,49,o,0,2.18,202.10179,67.71773,9444.43,8713.34,2.29,2.08,9.5,-0.523,18.56,18.88,02a58120o0754o
21,58120.60916,18.321,0.301,170,51,o,0,1.29,202.10179,67.71773,9424.4,8834.43,2.37,2.1,8.5,-0.475,18.51,18.9,02a58120o0779o
22,58122.65547100001,18.908,0.281,99,28,o,0,1.12,202.10179,67.71773,5237.23,9817.51,3.57,3.23,-76.9,-0.43,18.54,19.68,01a58122o0980o
23,58122.657324,18.661,0.233,125,29,o,0,1.18,202.10179,67.71773,8994.97,195.59,3.73,3.36,-74.5,-0.41,18.5,19.59,01a58122o0984o
24,58122.664661,18.449,0.227,152,34,o,0,0.73,202.10179,67.71773,5232.2,9743.89,3.54,3.15,-76.7,-0.425,18.43,19.41,01a58122o0999o
25,58122.66651900001,18.325,0.217,170,37,o,0,1.01,202.10179,67.71773,8990.45,122.26,3.76,3.37,-76.9,-0.435,18.27,19.07,01a58122o1003o
26,58122.673451,18.853,0.949,104,99,o,0,1.12,202.10179,67.71773,5298.93,9789.86,3.48,3.18,-74.0,-0.47,17.27,17.53,01a58122o1018o
27,58128.64662000001,19.024,0.14800000000000002,89,13,o,0,1.61,202.10179,67.71773,9385.51,8769.13,2.42,2.3,-20.4,-0.461,19.58,21.15,02a58128o0909o
28,58128.656777,18.725,0.113,118,13,o,0,0.93,202.10179,67.71773,9401.94,8811.37,2.28,2.14,-9.8,-0.495,19.6,21.05,02a58128o0928o
29,58128.666445,18.838,0.123,106,13,o,0,1.8,202.10179,67.71773,1130.35,1724.86,2.75,2.25,53.8,-0.501,19.44,20.66,02a58128o0947o
30,58128.67615399999,18.379,0.889,162,144,o,0,1.09,202.10179,67.71773,9329.53,8836.74,2.38,2.28,23.5,-0.629,18.04,18.17,02a58128o0966o
32,58134.66245700001,19.374,0.27,65,18,o,0,1.2,202.10179,67.71773,9981.63,1985.32,4.23,2.93,-85.2,-0.433,19.09,20.63,01a58134o1004o
33,58134.663588,19.152,0.277,79,22,o,0,1.15,202.10179,67.71773,10481.37,7934.29,5.21,3.22,-84.8,-0.35100000000000003,19.08,20.47,01a58134o1006o
34,58134.67395599999,19.194000000000006,0.964,76,74,o,0,1.09,202.10179,67.71773,9977.78,1900.61,4.43,3.16,-87.6,-0.419,17.52,17.94,01a58134o1025o
37,58138.667936,19.585,0.39,53,21,o,0,1.08,202.10179,67.71773,8805.57,1914.35,4.05,3.07,-86.4,-0.412,18.91,20.4,01a58138o1010o
38,58138.678797,18.657,0.738,125,92,o,0,1.02,202.10179,67.71773,8880.93,1955.61,4.16,3.07,-87.2,-0.436,17.2,17.55,01a58138o1031o
39,58144.665976,19.157,0.155,79,12,o,0,1.12,202.10179,67.71773,8673.82,2363.19,2.49,2.03,52.3,-0.462,19.59,20.88,02a58144o0880o
40,58144.67598200001,18.943,0.141,96,14,o,0,1.9,202.10179,67.71773,8653.37,2324.57,2.37,2.0,51.3,-0.484,19.17,19.86,02a58144o0901o
41,58148.621479,19.301,0.312,69,22,o,0,1.01,202.10179,67.71773,4930.1,1072.17,2.39,2.09,35.4,-0.499,18.85,19.33,02a58148o0894o
42,58148.631656,19.157,0.35700000000000004,79,28,o,0,0.87,202.10179,67.71773,5532.69,9316.04,2.34,1.97,18.5,-0.4920000000000001,18.83,19.45,02a58148o0913o
43,58148.641264,19.237,0.31,73,23,o,0,1.29,202.10179,67.71773,4905.45,1033.87,2.32,2.03,37.0,-0.508,18.96,19.41,02a58148o0932o
44,58148.65033500001,19.223,0.331,74,25,o,0,1.18,202.10179,67.71773,5596.17,9277.23,2.26,1.9,13.5,-0.504,18.93,19.56,02a58148o0951o
45,58150.596121,19.371,0.959,65,62,o,0,0.99,202.10179,67.71773,9985.34,7606.17,5.41,3.36,-84.8,-0.34,18.19,19.1,01a58150o0831o
47,58152.63945,19.169,0.195,78,15,o,0,2.28,202.10179,67.71773,5086.4,8592.39,2.17,1.84,25.6,-0.521,19.11,19.82,02a58152o0917o
48,58152.649343,19.728,0.501,47,23,o,0,0.85,202.10179,67.71773,5069.86,8552.24,2.14,1.86,28.8,-0.517,19.08,19.81,02a58152o0938o
49,58152.659161,20.138,0.6990000000000001,32,22,o,0,1.52,202.10179,67.71773,5119.37,8628.51,2.3,1.98,30.2,-0.5,19.03,19.77,02a58152o0959o
50,58152.66905599999,19.893,0.701,40,28,o,0,1.65,202.10179,67.71773,5131.9,8510.83,2.26,1.94,30.2,-0.52,18.72,19.32,02a58152o0980o
51,58154.636124,17.152,0.943,500,472,o,0,0.99,202.10179,67.71773,9978.43,9923.06,5.62,3.51,-82.9,-0.319,15.15,15.88,01a58154o0750o
52,58156.618755,20.085,0.564,34,19,o,0,1.51,202.10179,67.71773,284.0,1922.01,2.88,2.28,51.4,-0.468,18.98,20.1,02a58156o0697o
53,58156.628518,20.314,0.616,27,17,o,0,0.98,202.10179,67.71773,260.73,1884.78,2.81,2.23,50.8,-0.472,19.2,20.36,02a58156o0718o
54,58156.63942000001,20.149,0.505,32,16,o,0,1.23,202.10179,67.71773,319.75,1953.73,2.92,2.28,53.9,-0.476,19.29,20.46,02a58156o0739o
