Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
12,57999.372954,19.215,0.6970000000000001,75,52,o,0,0.86,329.62073,-27.70676,5372.19,949.96,3.36,3.17,81.1,-0.4320000000000001,17.85,18.57,01a57999o0282o
66,58027.352658,20.261,0.939,29,27,o,0,1.5,329.62073,-27.70676,5481.58,2132.24,3.27,2.96,88.5,-0.4370000000000001,18.37,19.17,01a58027o0101o
70,58033.370384,20.253,0.7709999999999999,29,22,o,0,1.1,329.62073,-27.70676,5536.28,1395.01,2.2,1.99,86.8,-0.459,18.76,19.08,02a58033o0279o
78,58043.326592,18.113,0.266,206,55,o,0,1.05,329.62073,-27.70676,5060.72,883.73,4.39,3.46,2.1,-0.393,17.69,19.32,01a58043o0292o
86,58049.315392,0.0,0.0,0,0,c,0,-2.0,329.62073,-27.70676,1995.26,10462.57,2.71,2.21,12.7,-0.448,19.15,20.55,02a58049o0083c
92,58049.34060700001,13.234000000000002,0.002,18464,37,c,0,8974.21,329.62073,-27.70676,4665.22,750.78,2.8,2.47,51.0,-0.45,19.42,20.82,02a58049o0138c
95,58053.293459,21.009,0.86,14,12,o,0,1.76,329.62073,-27.70676,5145.78,1398.21,2.13,1.98,64.7,-0.462,19.3,20.03,02a58053o0237o
100,58055.306888,19.675,0.652,49,32,o,0,1.11,329.62073,-27.70676,8608.84,1673.27,3.35,2.91,-82.2,-0.43,18.27,19.24,01a58055o0266o
140,58095.241627,20.733,0.918,18,17,o,0,1.13,329.62073,-27.70676,8628.68,1575.58,3.29,2.8,-85.9,-0.444,18.98,20.19,01a58095o0132o
141,58095.248508,20.356,0.718,26,19,o,0,1.16,329.62073,-27.70676,8608.4,1717.64,3.39,2.79,-88.8,-0.44,18.95,20.17,01a58095o0147o
142,58097.228296,20.787,1.0,18,18,o,0,0.96,329.62073,-27.70676,3269.96,9391.34,2.42,2.39,37.1,-0.458,19.18,20.2,02a58097o0049o
148,58099.237006,20.005,0.547,36,20,o,0,1.17,329.62073,-27.70676,6790.74,1973.99,3.43,2.98,-89.1,-0.428,18.76,19.96,01a58099o0121o
159,58113.20942100001,20.052,0.6609999999999999,35,23,o,0,1.26,329.62073,-27.70676,2393.46,9791.32,2.47,1.94,12.0,-0.502,18.69,19.27,02a58113o0051o
162,58245.597141,18.219,0.266,187,50,o,0,1.1,329.62073,-27.70676,2882.59,10437.87,2.39,2.03,30.2,-0.467,18.16,18.49,02a58245o0798o
163,58245.59759600001,19.198,0.4320000000000001,76,33,o,0,1.95,329.62073,-27.70676,5322.5,711.03,2.22,2.16,63.3,-0.462,18.17,18.48,02a58245o0799o
164,58245.611751,18.22,0.145,187,27,o,0,1.51,329.62073,-27.70676,5338.83,751.36,2.09,2.03,-84.9,-0.462,18.42,18.75,02a58245o0830o
165,58245.61220700001,18.732,0.469,117,55,o,0,0.84,329.62073,-27.70676,2917.08,10479.26,2.15,1.93,31.5,-0.504,18.45,18.77,02a58245o0831o
166,58245.619056,18.288,0.207,176,36,o,0,1.06,329.62073,-27.70676,2846.13,10403.04,2.21,1.97,27.7,-0.484,18.29,18.64,02a58245o0846o
167,58245.619511,18.614,0.218,130,28,o,0,0.99,329.62073,-27.70676,5267.7,674.09,2.18,2.08,63.4,-0.456,18.24,18.55,02a58245o0847o
169,58245.620424,18.692,0.236,121,29,o,0,1.4,329.62073,-27.70676,5250.23,791.33,2.17,2.1,68.1,-0.48,18.16,18.53,02a58245o0849o
170,58250.616218,17.808,0.086,274,24,c,0,1.22,329.62073,-27.70676,8647.08,437.75,2.97,2.68,59.8,-0.379,19.14,20.42,02a58250o0812c
171,58250.616675,17.7,0.058,302,18,c,0,1.31,329.62073,-27.70676,6068.34,10132.16,2.85,2.57,39.9,-0.443,19.15,20.37,02a58250o0813c
172,58250.619427,17.766,0.078,284,22,c,0,1.63,329.62073,-27.70676,6084.31,10172.56,2.88,2.64,36.6,-0.4320000000000001,18.83,19.86,02a58250o0819c
173,58250.62035499999,17.913,0.18,248,45,c,0,0.65,329.62073,-27.70676,8662.71,477.91,2.96,2.68,62.8,-0.389,18.66,19.61,02a58250o0821c
