Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
2,57746.660174,19.431,0.278,61,17,c,0,1.95,214.12946,39.58628,1466.54,1770.9,4.11,4.06,11.9,-0.378,19.41,21.23,02a57746o0908c
5,57762.632909,19.797,0.474,44,21,o,0,2.18,214.12946,39.58628,7398.08,1801.14,3.55,3.31,-82.0,-0.457,19.56,21.29,02a57762o0856o
7,57762.656306,20.204,0.626,30,19,o,0,3.01,214.12946,39.58628,7353.38,1746.31,3.59,3.4,-85.0,-0.447,19.55,21.3,02a57762o0901o
8,57762.66649700001,20.402,0.934,25,23,o,0,2.04,214.12946,39.58628,7340.8,1865.08,3.56,3.41,87.2,-0.445,19.38,20.93,02a57762o0920o
9,57762.674373,19.209,0.54,75,41,o,0,1.33,214.12946,39.58628,7372.23,1827.26,3.58,3.41,89.5,-0.451,18.52,19.23,02a57762o0935o
10,57765.587705,19.376,0.736,64,48,o,0,1.44,214.12946,39.58628,10379.3,2526.13,3.75,3.04,85.4,-0.496,18.42,19.1,02a57765o0719o
11,57765.623697,17.94,0.16,242,39,o,0,1.52,214.12946,39.58628,10396.73,2571.22,3.73,3.03,84.1,-0.466,18.52,19.24,02a57765o0777o
12,57765.624245000006,18.61,0.332,131,43,o,0,1.31,214.12946,39.58628,877.42,2552.86,3.73,3.52,87.7,-0.425,18.49,19.21,02a57765o0778o
13,57765.62525499999,17.951,0.182,240,44,o,0,1.35,214.12946,39.58628,10335.03,2495.85,3.72,3.02,84.0,-0.484,18.52,19.25,02a57765o0780o
14,57765.639479,18.738,0.424,116,49,o,0,1.08,214.12946,39.58628,890.72,2592.2,3.73,3.27,-9.2,-0.454,18.48,19.3,02a57765o0803o
15,57765.64858,18.682,0.359,122,44,o,0,1.07,214.12946,39.58628,10318.08,2616.59,3.77,3.08,84.5,-0.474,18.55,19.32,02a57765o0815o
16,57765.65803200001,18.633,0.294,128,38,o,0,1.42,214.12946,39.58628,829.86,2514.09,3.85,3.55,79.2,-0.414,18.54,19.32,02a57765o0829o
17,57765.666358,18.421,0.238,156,37,o,0,1.78,214.12946,39.58628,10350.98,2559.35,3.81,3.12,83.7,-0.469,18.56,19.33,02a57765o0841o
18,57765.675665,18.39,0.276,160,44,o,0,1.38,214.12946,39.58628,817.82,2632.02,3.83,3.55,77.5,-0.415,18.37,18.94,02a57765o0855o
19,57766.638012,18.279,0.228,177,40,o,0,1.23,214.12946,39.58628,9644.45,1647.08,3.63,3.19,81.3,-0.482,18.63,19.47,02a57766o0807o
20,57766.650562,18.000999999999994,0.156,229,36,o,0,1.83,214.12946,39.58628,9655.55,1687.1,3.64,3.18,81.5,-0.488,18.66,19.51,02a57766o0830o
21,57766.663849,17.849,0.131,263,34,o,0,1.8,214.12946,39.58628,9596.29,1612.2,3.69,3.29,80.2,-0.484,18.64,19.5,02a57766o0853o
22,57766.66847999999,17.649,0.138,317,44,o,0,0.96,214.12946,39.58628,123.28,1607.57,3.86,3.71,-72.7,-0.425,18.59,19.43,02a57766o0861o
24,57766.681403,17.041,0.246,554,136,o,0,1.05,214.12946,39.58628,155.13,1648.47,3.76,3.63,-80.8,-0.41,17.46,17.19,02a57766o0884o
25,57774.583134,16.531,0.027000000000000003,886,24,o,0,2.45,214.12946,39.58628,9273.97,2590.49,3.72,3.33,85.0,-0.445,19.35,20.93,02a57774o0767o
26,57774.595844,16.494,0.025,917,23,o,0,3.16,214.12946,39.58628,9289.74,2630.72,3.67,3.17,86.9,-0.457,19.38,20.93,02a57774o0791o
27,57774.608734,16.462,0.025,945,24,o,0,2.67,214.12946,39.58628,9231.85,2559.49,3.65,3.2,86.0,-0.456,19.4,20.96,02a57774o0815o
28,57774.621403,16.498,0.028,914,25,o,0,2.34,214.12946,39.58628,9216.77,2678.25,3.64,3.18,86.3,-0.453,19.4,20.97,02a57774o0839o
29,57774.633887,16.509,0.027000000000000003,905,24,o,0,2.34,214.12946,39.58628,9260.99,2619.38,3.71,3.3,84.8,-0.448,19.41,21.0,02a57774o0863o
30,57778.587254,16.303,0.017,1093,19,c,0,3.16,214.12946,39.58628,5661.58,9442.77,3.78,3.77,-35.6,-0.4320000000000001,19.79,21.86,02a57778o0598c
31,57778.600103,16.3,0.018000000000000002,1097,20,c,0,2.58,214.12946,39.58628,5676.78,9484.35,3.77,3.71,89.2,-0.4370000000000001,19.82,21.89,02a57778o0622c
32,57778.61311000001,16.22,0.016,1180,19,c,0,3.62,214.12946,39.58628,5617.24,9410.98,3.66,3.62,-74.2,-0.445,19.83,21.9,02a57778o0646c
33,57778.625911,16.27,0.018000000000000002,1127,20,c,0,2.82,214.12946,39.58628,5602.48,9529.16,3.65,3.61,-66.7,-0.429,19.83,21.88,02a57778o0670c
34,57778.638709000006,16.291,0.016,1106,18,c,0,3.28,214.12946,39.58628,5645.59,9471.29,3.77,3.74,61.1,-0.441,19.81,21.89,02a57778o0694c
35,57782.57134700001,16.305999999999994,0.019,1090,20,c,0,2.36,214.12946,39.58628,9710.15,720.07,3.91,3.77,73.6,-0.44,19.85,21.98,02a57782o0727c
36,57782.57404299999,16.227,0.02,1173,24,c,0,3.1,214.12946,39.58628,6138.58,10461.98,3.56,3.33,-8.1,-0.393,19.86,21.98,02a57782o0732c
37,57782.584731,16.250999999999998,0.016,1147,18,c,0,2.61,214.12946,39.58628,176.44,686.02,4.16,4.0,84.1,-0.394,19.84,22.01,02a57782o0752c
38,57782.58524099999,16.309,0.019,1087,21,c,0,2.47,214.12946,39.58628,9722.63,761.34,3.94,3.82,64.5,-0.431,19.85,22.03,02a57782o0753c
39,57782.58790499999,16.256,0.031,1142,35,c,0,2.72,214.12946,39.58628,6165.82,10502.64,3.59,3.36,-12.1,-0.366,19.88,22.03,02a57782o0758c
40,57782.598735,16.271,0.018000000000000002,1127,20,c,0,2.03,214.12946,39.58628,191.18,727.15,4.26,4.08,81.3,-0.386,19.82,22.01,02a57782o0778c
41,57782.59924500001,16.255,0.02,1142,22,c,0,2.28,214.12946,39.58628,9662.86,688.28,4.06,3.95,88.6,-0.424,19.83,22.02,02a57782o0779c
42,57782.601971,16.304000000000002,0.019,1093,21,c,0,2.4,214.12946,39.58628,6103.41,10426.1,4.13,3.99,21.7,-0.422,19.8,22.04,02a57782o0784c
43,57782.61273200001,16.271,0.018000000000000002,1127,20,c,0,2.13,214.12946,39.58628,128.01,646.93,4.52,4.42,78.1,-0.365,19.73,21.97,02a57782o0804c
44,57782.613313,16.311,0.019,1085,21,c,0,2.12,214.12946,39.58628,9647.4,810.1,4.2,4.08,84.1,-0.409,19.77,21.97,02a57782o0805c
45,57782.626602,16.248,0.016,1150,19,c,0,2.56,214.12946,39.58628,113.95,767.26,4.08,3.86,86.6,-0.398,19.87,21.99,02a57782o0830c
46,57782.627199,16.316,0.018000000000000002,1080,19,c,0,2.85,214.12946,39.58628,9680.12,753.56,3.86,3.67,76.0,-0.441,19.88,22.0,02a57782o0831c
47,57782.629941,16.257,0.026,1141,29,c,0,3.91,214.12946,39.58628,6118.53,10491.46,3.6,3.37,-6.2,-0.376,19.88,22.01,02a57782o0836c
48,57782.64060599999,16.26,0.017,1138,19,c,0,2.23,214.12946,39.58628,161.83,713.43,4.36,4.26,75.7,-0.375,19.78,22.0,02a57782o0856c
49,57786.574191,16.434,0.021,969,20,c,0,2.68,214.12946,39.58628,5884.44,9172.9,3.69,3.61,-85.7,-0.435,19.85,21.97,02a57786o0527c
50,57786.586989,16.469,0.02,938,18,c,0,3.82,214.12946,39.58628,5901.98,9213.9,3.63,3.6,-86.3,-0.439,19.89,22.01,02a57786o0551c
51,57786.599954,16.456,0.021,950,20,c,0,2.84,214.12946,39.58628,5839.76,9138.01,3.57,3.53,-70.2,-0.453,19.72,21.81,02a57786o0575c
