Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57366.373734,15.106,0.205,3292,675,o,0,0.81,57.03959,10.26909,34.73,493.57,6.77,3.92,-32.3,-0.435,19.05,20.67,02a57366o0278o
1,57366.37882200001,20.115,0.718,33,23,o,0,0.97,57.03959,10.26909,7991.21,10207.63,3.91,3.87,57.2,-0.419,19.06,20.68,02a57366o0286o
6,57366.435127,19.529,0.465,56,26,o,0,1.42,57.03959,10.26909,9008.07,1709.42,5.14,4.59,15.7,-0.402,18.97,20.86,02a57366o0369o
7,57400.345367,17.798,0.061,276,17,c,0,1.32,57.03959,10.26909,7759.42,10345.04,3.86,3.79,32.4,-0.41,19.6,21.54,02a57400o0243c
8,57400.34784800001,17.982,0.101,233,23,c,0,0.96,57.03959,10.26909,9673.1,651.69,4.67,3.76,18.5,-0.459,19.58,21.52,02a57400o0247c
9,57400.356075,18.214,0.113,188,21,c,0,2.25,57.03959,10.26909,134.66,1217.46,5.99,3.84,-31.2,-0.425,19.56,21.5,02a57400o0260c
10,57400.366273,18.025,0.086,224,19,c,0,1.38,57.03959,10.26909,9991.71,1252.65,4.53,3.81,23.2,-0.45,19.57,21.52,02a57400o0276c
11,57400.376171,17.894000000000005,0.069,253,18,c,0,1.33,57.03959,10.26909,7240.9,9760.94,3.84,3.7,70.4,-0.42,19.58,21.52,02a57400o0292c
12,57400.392320000006,17.768,0.132,284,38,c,0,1.14,57.03959,10.26909,9166.77,81.4,4.67,3.63,13.3,-0.443,19.58,21.48,02a57400o0318c
13,57400.40171000001,17.762999999999995,0.103,285,29,c,0,1.18,57.03959,10.26909,8874.4,1850.41,4.12,3.64,16.9,-0.457,19.56,21.47,02a57400o0332c
14,57401.34127100001,18.801,0.159,110,17,c,0,1.38,57.03959,10.26909,7782.52,10434.06,3.91,3.84,53.6,-0.406,19.6,21.56,02a57401o0250c
15,57401.346209,18.602,0.129,132,17,c,0,2.03,57.03959,10.26909,9704.08,752.44,4.46,3.78,17.6,-0.461,19.59,21.54,02a57401o0258c
16,57401.354349,18.405,0.139,158,22,c,0,3.07,57.03959,10.26909,125.2,1309.45,5.69,3.76,-32.0,-0.436,19.59,21.51,02a57401o0271c
17,57401.36439700001,18.32,0.096,171,16,c,0,1.61,57.03959,10.26909,9988.03,1345.04,4.28,3.78,25.5,-0.459,19.59,21.55,02a57401o0287c
18,57401.374227,18.477,0.105,148,16,c,0,1.35,57.03959,10.26909,7207.95,9838.82,3.84,3.72,69.1,-0.419,19.59,21.55,02a57401o0303c
19,57401.382288,18.765,0.273,113,31,c,0,1.3,57.03959,10.26909,9116.43,164.68,4.69,3.79,12.3,-0.439,19.56,21.5,02a57401o0316c
20,57401.401579,18.246,0.129,183,24,c,0,1.09,57.03959,10.26909,8808.04,1928.67,4.05,3.68,14.4,-0.457,19.55,21.45,02a57401o0345c
22,57408.394588,18.891,0.885,101,89,o,0,1.26,57.03959,10.26909,118.69,124.25,7.15,3.6,-29.6,-0.34,18.17,18.88,02a57408o0344o
23,57408.419995,18.807,0.613,109,67,o,0,1.26,57.03959,10.26909,8093.18,9849.8,3.61,3.37,89.9,-0.472,18.09,18.71,02a57408o0383o
27,57421.34125700001,20.133,0.708,32,23,c,0,1.26,57.03959,10.26909,195.96,164.89,6.14,3.97,-29.3,-0.434,19.43,21.34,02a57421o0245c
29,57421.360691,20.134,0.746,32,24,c,0,1.18,57.03959,10.26909,10079.67,205.85,4.7,3.94,16.6,-0.448,19.45,21.35,02a57421o0277c
41,57428.29180499999,19.601,0.43,52,22,c,0,1.13,57.03959,10.26909,9126.45,1406.78,4.7,3.89,18.9,-0.495,19.45,21.33,02a57428o0153c
49,57428.36354500001,20.22,0.894,30,26,c,0,1.21,57.03959,10.26909,10106.76,102.0,5.55,3.81,19.1,-0.419,19.37,21.18,02a57428o0270c
52,57445.21789299999,18.634,0.818,128,104,o,0,0.93,57.03959,10.26909,8523.04,842.15,3.83,3.45,-84.8,-0.507,17.74,18.07,02a57445o0046o
53,57445.223655,18.264,0.616,180,111,o,0,0.63,57.03959,10.26909,6628.29,10514.47,3.65,3.54,50.5,-0.493,18.47,19.5,02a57445o0056o
55,57445.240285,19.665,0.537,49,26,o,0,1.55,57.03959,10.26909,7790.37,9940.23,3.84,3.57,68.8,-0.48,18.95,20.49,02a57445o0084o
68,57460.29665900001,19.521,0.985,56,56,c,0,0.89,57.03959,10.26909,9968.46,146.87,6.11,4.7,21.9,-0.425,18.55,19.97,02a57460o0180c
71,57464.260481,19.242,0.759,73,55,o,0,0.74,57.03959,10.26909,6672.59,10115.58,3.76,3.2,87.9,-0.5670000000000001,18.27,19.25,02a57464o0116o
75,57468.263494000006,18.677,0.6890000000000001,123,85,o,0,0.87,57.03959,10.26909,9247.27,1589.63,4.54,4.19,59.3,-0.523,18.03,18.98,02a57468o0116o
78,57468.298899,18.07,0.619,215,133,o,0,0.97,57.03959,10.26909,10170.47,422.31,5.25,4.2,39.1,-0.502,17.82,18.56,02a57468o0187o
