,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57354.431166999995,-18.136,0.5870000000000001,-202,119,o,0,1.17,67.12847,-17.656489999999998,1852.43,4962.49,4.23,3.79,-54.8,-0.424,17.3,17.69,02a57354o0408o
1,57354.439804999995,-18.968,2.1430000000000002,-94,201,o,0,1.22,67.12847,-17.656489999999998,1852.49,4963.76,4.0,3.57,-57.0,-0.444,16.81,16.88,02a57354o0421o
2,57354.448843,-17.930999999999997,0.555,-244,135,o,0,1.12,67.12847,-17.656489999999998,1851.49,4965.73,4.29,3.85,-56.6,-0.426,17.29,17.73,02a57354o0434o
3,57354.458101,-18.486,0.768,-146,112,o,0,1.18,67.12847,-17.656489999999998,1853.65,4967.71,3.89,3.4,-55.8,-0.46399999999999997,17.41,17.65,02a57354o0447o
4,57356.43848,-19.72,0.561,-47,26,o,0,1.26,67.12847,-17.656489999999998,1853.03,4964.84,4.02,3.57,-55.5,-0.435,18.9,20.22,02a57356o0335o
5,57356.446691,-18.6,0.2,-132,26,o,0,1.37,67.12847,-17.656489999999998,1853.78,4965.99,3.96,3.48,-55.1,-0.441,18.93,20.24,02a57356o0348o
6,57356.454934,20.47,1.138,24,27,o,0,1.41,67.12847,-17.656489999999998,1856.39,4964.72,4.01,3.52,-55.0,-0.439,18.91,20.22,02a57356o0361o
7,57356.463202,-20.289,0.971,-28,27,o,0,1.16,67.12847,-17.656489999999998,1857.71,4964.32,4.03,3.54,-54.1,-0.434,18.89,20.21,02a57356o0374o
8,57357.4049,-19.588,0.325,-53,17,o,0,2.13,67.12847,-17.656489999999998,8910.87,6023.09,3.59,3.14,83.7,-0.455,19.12,20.59,02a57357o0362o
9,57357.424352999995,19.913,0.5579999999999999,39,22,o,0,1.73,67.12847,-17.656489999999998,2137.09,4677.03,3.82,3.43,-52.7,-0.435,19.09,20.5,02a57357o0392o
10,57357.446342999996,21.068,1.889,14,26,o,0,1.0,67.12847,-17.656489999999998,2727.52,5267.95,3.79,3.54,-60.3,-0.41,19.07,20.52,02a57357o0425o
11,57357.46700700001,-18.607,0.184,-131,24,o,0,1.32,67.12847,-17.656489999999998,1266.93,4375.88,4.09,3.52,-50.2,-0.45,19.05,20.47,02a57357o0456o
12,57358.398654,-18.39,0.105,-160,17,o,0,1.86,67.12847,-17.656489999999998,8638.22,6013.75,3.91,3.49,84.6,-0.441,19.15,20.87,02a57358o0370o
13,57358.416955999994,21.151999999999997,1.6569999999999998,13,21,o,0,1.24,67.12847,-17.656489999999998,8336.76,5432.39,3.68,3.31,81.5,-0.451,19.13,20.7,02a57358o0398o
14,57358.431421,-17.687,0.08199999999999999,-306,25,o,0,1.06,67.12847,-17.656489999999998,1562.45,4086.66,4.21,3.56,-45.5,-0.457,19.12,20.6,02a57358o0421o
15,57358.458197,-18.836,0.218,-106,23,o,0,1.61,67.12847,-17.656489999999998,1255.67,5828.35,4.25,3.65,-59.6,-0.435,19.01,20.51,02a57358o0462o
16,57359.405611,-18.858,0.153,-104,16,o,0,1.67,67.12847,-17.656489999999998,8636.37,6017.01,3.69,3.24,82.4,-0.456,19.44,21.25,02a57359o0248o
17,57359.422662,18.137,0.106,202,22,o,0,1.37,67.12847,-17.656489999999998,2432.38,5259.85,3.95,3.56,-55.9,-0.434,19.39,21.18,02a57359o0275o
18,57359.440291,-17.965,0.073,-236,17,o,0,1.77,67.12847,-17.656489999999998,1559.81,4085.86,4.31,3.65,-42.5,-0.441,19.26,20.95,02a57359o0301o
19,57359.467587,-18.35,0.10400000000000001,-166,17,o,0,2.74,67.12847,-17.656489999999998,1258.62,5829.27,4.04,3.51,-57.4,-0.452,19.21,20.81,02a57359o0343o
20,57368.376303,-18.924,0.218,-98,21,o,0,1.46,67.12847,-17.656489999999998,8648.95,6019.23,3.95,3.78,34.8,-0.473,19.07,20.8,02a57368o0318o
21,57368.394217999994,18.438,0.11900000000000001,153,18,o,0,1.62,67.12847,-17.656489999999998,2609.06,5028.46,4.08,3.56,-49.6,-0.441,19.29,21.02,02a57368o0344o
22,57368.412652,21.065,1.643,14,22,o,0,1.25,67.12847,-17.656489999999998,1744.46,3857.58,4.6,3.69,-40.0,-0.44,19.35,21.15,02a57368o0370o
23,57368.430316,-17.795,0.073,-277,20,o,0,1.55,67.12847,-17.656489999999998,1447.17,5600.36,4.38,3.68,-53.7,-0.43799999999999994,19.29,21.08,02a57368o0395o
24,57369.39806,18.363,0.13699999999999998,164,22,o,0,1.38,67.12847,-17.656489999999998,2607.4,5029.03,3.99,3.51,-51.7,-0.447,19.12,20.65,02a57369o0161o
25,57369.413935000004,-19.273,0.387,-71,27,o,0,1.28,67.12847,-17.656489999999998,1736.99,3857.81,4.46,3.57,-41.9,-0.47200000000000003,19.13,20.67,02a57369o0184o
26,57369.437330999994,-17.468,0.067,-374,25,o,0,1.3,67.12847,-17.656489999999998,1440.84,5600.27,4.39,3.53,-54.5,-0.467,19.16,20.78,02a57369o0219o
27,57370.373047,-19.757,0.355,-45,16,c,0,1.36,67.12847,-17.656489999999998,8649.68,6017.18,3.99,3.48,79.7,-0.441,19.61,21.64,02a57370o0311c
28,57370.390826,19.804000000000002,0.396,44,17,c,0,1.08,67.12847,-17.656489999999998,2602.41,5028.32,4.37,3.76,-48.7,-0.424,19.61,21.66,02a57370o0337c
29,57370.409015,-18.262999999999998,0.096,-180,17,c,0,1.32,67.12847,-17.656489999999998,1735.7,3857.91,4.85,3.86,-38.9,-0.424,19.63,21.69,02a57370o0363c
30,57370.430828,-18.273,0.09300000000000001,-178,17,c,0,1.17,67.12847,-17.656489999999998,1435.52,5597.91,4.71,3.83,-50.3,-0.42100000000000004,19.59,21.67,02a57370o0395c
