,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57715.664887,17.428,0.397,388,154,c,0,1.31,150.76712,-18.96968,146.51,1747.69,4.75,4.56,4.9,-0.33799999999999997,17.51,17.9,02a57715o0809c
1,57735.611432000005,19.399,0.6459999999999999,63,41,o,0,1.16,150.76712,-18.96968,1721.54,2319.77,4.09,3.79,-7.3,-0.401,18.41,19.28,02a57735o0720o
2,57735.625311,-21.024,2.865,-14,40,o,0,0.99,150.76712,-18.96968,1702.92,2281.82,3.99,3.68,-9.4,-0.41,18.46,19.3,02a57735o0747o
3,57735.644766,20.339000000000002,1.594,27,42,o,0,0.91,150.76712,-18.96968,1757.68,2359.63,3.98,3.71,-10.2,-0.423,18.49,19.32,02a57735o0784o
4,57735.652976,22.296,8.182,4,36,o,0,1.1,150.76712,-18.96968,1781.34,2243.22,4.05,3.82,-15.0,-0.41,18.48,19.35,02a57735o0800o
5,57735.66708099999,-20.962,3.3139999999999996,-15,50,o,0,1.24,150.76712,-18.96968,1745.57,2301.02,4.27,3.92,-10.5,-0.39899999999999997,18.18,18.87,02a57735o0827o
6,57743.666479,19.075,0.353,85,30,o,0,1.36,150.76712,-18.96968,718.56,1027.85,3.89,3.67,-89.7,-0.44,18.79,19.86,02a57743o0937o
7,57743.67887,19.955,3.781,38,143,o,0,1.01,150.76712,-18.96968,700.23,988.68,3.94,3.76,85.3,-0.441,17.32,17.08,02a57743o0961o
8,57743.679382,17.242,0.371,460,171,o,0,1.18,150.76712,-18.96968,10306.05,1052.58,3.74,3.2,85.1,-0.466,17.31,16.99,02a57743o0962o
9,57747.578863999996,18.725,0.13,118,15,c,0,1.21,150.76712,-18.96968,175.07,2014.34,4.44,4.26,18.6,-0.344,19.65,21.76,02a57747o0785c
10,57747.592389,18.517,0.11599999999999999,142,16,c,0,1.04,150.76712,-18.96968,157.9,1975.81,4.21,4.11,40.7,-0.364,19.67,21.75,02a57747o0812c
11,57747.59340700001,18.538,0.121,140,17,c,0,1.05,150.76712,-18.96968,9747.62,2057.11,4.26,4.06,10.7,-0.406,19.62,21.73,02a57747o0814c
12,57747.605876,18.811,0.14400000000000002,108,16,c,0,1.04,150.76712,-18.96968,215.41,2059.69,4.33,4.22,29.2,-0.355,19.61,21.69,02a57747o0839c
13,57747.606891999996,18.868,0.157,103,16,c,0,1.16,150.76712,-18.96968,9731.12,2020.56,4.13,4.0,70.8,-0.408,19.62,21.68,02a57747o0841c
14,57747.623612999996,18.697,0.13699999999999998,120,16,c,0,0.92,150.76712,-18.96968,233.97,1935.68,4.2,4.11,46.8,-0.365,19.64,21.67,02a57747o0874c
15,57747.625109,18.807000000000002,0.153,109,17,c,0,1.13,150.76712,-18.96968,9787.02,2097.46,4.14,3.99,12.3,-0.406,19.61,21.66,02a57747o0877c
16,57747.633610000004,18.869,0.166,103,17,c,0,1.0,150.76712,-18.96968,198.14,1996.4,4.88,4.2,5.6,-0.341,19.52,21.64,02a57747o0894c
17,57747.634613,18.663,0.146,124,18,c,0,0.86,150.76712,-18.96968,9807.76,1981.27,4.28,4.07,2.1,-0.391,19.58,21.65,02a57747o0896c
18,57747.641105999995,18.66,0.136,125,17,c,0,0.99,150.76712,-18.96968,9771.51,2039.75,3.99,3.72,84.0,-0.42,19.65,21.62,02a57747o0909c
19,57751.575353,17.977,0.061,234,14,c,0,1.33,150.76712,-18.96968,3553.97,1021.97,3.99,3.87,-16.4,-0.42200000000000004,19.78,21.88,02a57751o0297c
20,57751.588434000005,18.017,0.068,226,15,c,0,1.21,150.76712,-18.96968,3537.74,985.5,3.96,3.85,-21.3,-0.42100000000000004,19.79,21.87,02a57751o0323c
21,57751.602548,18.031,0.076,223,17,c,0,0.95,150.76712,-18.96968,3594.44,1064.88,3.97,3.8,-20.1,-0.41700000000000004,19.79,21.86,02a57751o0351c
22,57751.616624,18.018,0.068,225,15,c,0,1.15,150.76712,-18.96968,3613.55,948.18,4.0,3.82,-18.4,-0.42100000000000004,19.76,21.81,02a57751o0379c
23,57751.630151,18.065,0.076,216,16,c,0,0.94,150.76712,-18.96968,3577.12,1008.55,4.07,3.86,-18.1,-0.415,19.72,21.75,02a57751o0406c
24,57755.564921000005,17.634,0.046,321,15,c,0,1.19,150.76712,-18.96968,2377.91,3358.46,3.79,3.67,70.7,-0.39399999999999996,19.86,21.92,02a57755o0712c
25,57755.578355,17.781,0.052000000000000005,280,15,c,0,1.28,150.76712,-18.96968,2361.24,3321.94,3.84,3.69,69.6,-0.392,19.82,21.86,02a57755o0738c
26,57755.59224600001,17.625,0.049,324,16,c,0,0.92,150.76712,-18.96968,2417.25,3400.74,3.83,3.66,74.1,-0.395,19.82,21.85,02a57755o0765c
27,57755.60610800001,17.69,0.051,305,16,c,0,0.78,150.76712,-18.96968,2437.43,3285.19,3.81,3.64,75.4,-0.39399999999999996,19.8,21.8,02a57755o0792c
28,57755.620227,17.675,0.051,309,16,c,0,1.04,150.76712,-18.96968,2401.15,3344.61,3.84,3.65,76.4,-0.392,19.77,21.75,02a57755o0819c
29,57763.553348,18.047,0.14800000000000002,219,32,o,0,1.04,150.76712,-18.96968,9584.2,1920.01,3.62,3.04,85.6,-0.483,18.72,19.63,02a57763o0591o
30,57763.567667999996,18.037,0.138,221,31,o,0,1.3,150.76712,-18.96968,9566.43,1883.3,3.65,3.09,85.7,-0.479,18.72,19.64,02a57763o0618o
31,57763.569202,16.46,0.11900000000000001,947,113,o,0,5.13,150.76712,-18.96968,49.75,1913.47,3.92,3.67,77.3,-0.4,18.69,19.61,02a57763o0621o
32,57763.581327,17.942,0.135,242,33,o,0,1.22,150.76712,-18.96968,9623.57,1964.89,3.69,3.17,82.4,-0.48,18.71,19.65,02a57763o0645o
33,57763.582888,17.727,0.156,294,46,o,0,0.74,150.76712,-18.96968,70.47,1796.47,3.89,3.6,82.3,-0.418,18.69,19.6,02a57763o0648o
34,57763.595002999995,18.02,0.163,225,36,o,0,0.92,150.76712,-18.96968,9646.9,1846.08,3.65,3.1,86.1,-0.485,18.74,19.68,02a57763o0672o
35,57763.596516,-17.349,0.263,-417,110,o,0,1.53,150.76712,-18.96968,35.76,1853.91,3.9,3.56,80.3,-0.41200000000000003,18.71,19.64,02a57763o0675o
36,57763.608702,17.831,0.13,268,35,o,0,1.01,150.76712,-18.96968,9610.07,1905.2,3.62,3.15,81.9,-0.48200000000000004,18.78,19.76,02a57763o0699o
