,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57366.373734,15.106,0.205,3292,675,o,0,0.81,57.039590000000004,10.26909,34.73,493.57,6.77,3.92,-32.3,-0.435,19.05,20.67,02a57366o0278o
1,57366.378822000006,20.115,0.718,33,23,o,0,0.97,57.039590000000004,10.26909,7991.21,10207.63,3.91,3.87,57.2,-0.419,19.06,20.68,02a57366o0286o
2,57366.383966999994,21.92,5.0,6,31,o,0,1.42,57.039590000000004,10.26909,9914.51,527.29,4.65,3.68,18.1,-0.48200000000000004,19.11,20.68,02a57366o0294o
3,57366.39141900001,-20.962,2.273,-15,34,o,0,1.66,57.039590000000004,10.26909,332.03,1086.99,6.21,3.86,-33.5,-0.42,19.1,20.7,02a57366o0305o
4,57366.402408,-19.646,0.609,-50,31,o,0,1.21,57.039590000000004,10.26909,10196.61,1118.79,4.71,4.02,21.5,-0.46399999999999997,19.05,20.73,02a57366o0321o
5,57366.415952999996,21.539,2.8,9,25,o,0,0.97,57.039590000000004,10.26909,7409.19,9617.72,4.03,3.88,85.2,-0.42,19.08,20.78,02a57366o0340o
6,57366.435127,19.529,0.465,56,26,o,0,1.42,57.039590000000004,10.26909,9008.07,1709.42,5.14,4.59,15.7,-0.402,18.97,20.86,02a57366o0369o
7,57400.345366999994,17.798,0.061,276,17,c,0,1.32,57.039590000000004,10.26909,7759.42,10345.04,3.86,3.79,32.4,-0.41,19.6,21.54,02a57400o0243c
8,57400.347848000005,17.982,0.10099999999999999,233,23,c,0,0.96,57.039590000000004,10.26909,9673.1,651.69,4.67,3.76,18.5,-0.45899999999999996,19.58,21.52,02a57400o0247c
9,57400.356075,18.214000000000002,0.113,188,21,c,0,2.25,57.039590000000004,10.26909,134.66,1217.46,5.99,3.84,-31.2,-0.425,19.56,21.5,02a57400o0260c
10,57400.366273,18.025,0.086,224,19,c,0,1.38,57.039590000000004,10.26909,9991.71,1252.65,4.53,3.81,23.2,-0.45,19.57,21.52,02a57400o0276c
11,57400.376171,17.894000000000002,0.069,253,18,c,0,1.33,57.039590000000004,10.26909,7240.9,9760.94,3.84,3.7,70.4,-0.42,19.58,21.52,02a57400o0292c
12,57400.392320000006,17.768,0.132,284,38,c,0,1.14,57.039590000000004,10.26909,9166.77,81.4,4.67,3.63,13.3,-0.44299999999999995,19.58,21.48,02a57400o0318c
13,57400.401710000006,17.762999999999998,0.10300000000000001,285,29,c,0,1.18,57.039590000000004,10.26909,8874.4,1850.41,4.12,3.64,16.9,-0.457,19.56,21.47,02a57400o0332c
14,57401.341271000005,18.801,0.159,110,17,c,0,1.38,57.039590000000004,10.26909,7782.52,10434.06,3.91,3.84,53.6,-0.406,19.6,21.56,02a57401o0250c
15,57401.346209,18.602,0.129,132,17,c,0,2.03,57.039590000000004,10.26909,9704.08,752.44,4.46,3.78,17.6,-0.461,19.59,21.54,02a57401o0258c
16,57401.354349,18.405,0.139,158,22,c,0,3.07,57.039590000000004,10.26909,125.2,1309.45,5.69,3.76,-32.0,-0.436,19.59,21.51,02a57401o0271c
17,57401.364397000005,18.32,0.096,171,16,c,0,1.61,57.039590000000004,10.26909,9988.03,1345.04,4.28,3.78,25.5,-0.45899999999999996,19.59,21.55,02a57401o0287c
18,57401.374227,18.477,0.105,148,16,c,0,1.35,57.039590000000004,10.26909,7207.95,9838.82,3.84,3.72,69.1,-0.419,19.59,21.55,02a57401o0303c
19,57401.382288,18.765,0.273,113,31,c,0,1.3,57.039590000000004,10.26909,9116.43,164.68,4.69,3.79,12.3,-0.439,19.56,21.5,02a57401o0316c
20,57401.401579,18.246,0.129,183,24,c,0,1.09,57.039590000000004,10.26909,8808.04,1928.67,4.05,3.68,14.4,-0.457,19.55,21.45,02a57401o0345c
21,57408.375986,-18.702,0.402,-120,48,o,0,1.18,57.039590000000004,10.26909,6916.82,10424.66,3.7,3.66,54.3,-0.466,18.21,19.0,02a57408o0314o
22,57408.394588,18.891,0.885,101,89,o,0,1.26,57.039590000000004,10.26909,118.69,124.25,7.15,3.6,-29.6,-0.34,18.17,18.88,02a57408o0344o
23,57408.419995000004,18.807000000000002,0.613,109,67,o,0,1.26,57.039590000000004,10.26909,8093.18,9849.8,3.61,3.37,89.9,-0.47200000000000003,18.09,18.71,02a57408o0383o
24,57421.313316,-20.105999999999998,0.652,-33,22,c,0,1.19,57.039590000000004,10.26909,9179.56,1375.99,4.48,3.93,18.6,-0.441,19.49,21.46,02a57421o0199c
25,57421.329725999996,22.629,6.5,3,21,c,0,1.26,57.039590000000004,10.26909,6996.76,10463.57,4.08,3.99,14.8,-0.389,19.49,21.46,02a57421o0226c
26,57421.337007,-20.268,0.7120000000000001,-28,20,c,0,1.05,57.039590000000004,10.26909,8876.14,788.75,4.56,3.9,12.0,-0.43,19.47,21.41,02a57421o0238c
27,57421.34125700001,20.133,0.708,32,23,c,0,1.26,57.039590000000004,10.26909,195.96,164.89,6.14,3.97,-29.3,-0.434,19.43,21.34,02a57421o0245c
28,57421.35342100001,-20.271,0.632,-28,18,c,0,1.06,57.039590000000004,10.26909,8147.78,9889.73,3.99,3.95,61.0,-0.39299999999999996,19.44,21.38,02a57421o0265c
29,57421.360690999994,20.134,0.746,32,24,c,0,1.18,57.039590000000004,10.26909,10079.67,205.85,4.7,3.94,16.6,-0.44799999999999995,19.45,21.35,02a57421o0277c
30,57421.364935000005,-19.936,0.593,-38,23,c,0,1.31,57.039590000000004,10.26909,123.34,126.21,6.21,4.04,-28.4,-0.43200000000000005,19.36,21.25,02a57421o0284c
31,57421.377123,21.119,1.419,13,18,c,0,1.2,57.039590000000004,10.26909,8092.17,9851.73,3.93,3.89,46.0,-0.39899999999999997,19.4,21.29,02a57421o0304c
32,57421.384435,-21.595,3.5,-8,29,c,0,0.98,57.039590000000004,10.26909,10006.83,168.71,4.68,3.92,17.1,-0.43799999999999994,19.4,21.28,02a57421o0316c
33,57422.307841999995,-20.680999999999997,1.077,-19,21,c,0,1.14,57.039590000000004,10.26909,8948.85,1434.15,4.58,3.99,14.0,-0.457,19.39,21.27,02a57422o0189c
34,57422.326608,-21.385,27.24,-10,276,c,0,0.04,57.039590000000004,10.26909,6787.55,10520.1,4.0,3.94,22.4,-0.42,19.39,21.26,02a57422o0220c
35,57422.331484,0.0,20.488000000000003,0,23,c,0,1.16,57.039590000000004,10.26909,8664.25,847.48,4.84,3.88,10.7,-0.455,19.38,21.24,02a57422o0228c
36,57422.350257000006,-20.326,0.7609999999999999,-27,20,c,0,1.02,57.039590000000004,10.26909,7937.99,9944.3,3.9,3.76,70.9,-0.418,19.41,21.26,02a57422o0259c
37,57422.355126,20.647,1.459,20,29,c,0,1.11,57.039590000000004,10.26909,9847.0,263.58,4.96,3.77,16.0,-0.461,19.4,21.23,02a57422o0267c
38,57422.3618,-19.659000000000002,0.469,-50,23,c,0,2.43,57.039590000000004,10.26909,124.71,125.05,6.69,3.93,-29.0,-0.389,19.33,21.12,02a57422o0278c
