,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57358.662564,-19.082,1.3840000000000001,-84,117,o,0,1.38,174.15072,-3.0773,10177.26,6802.62,3.78,3.24,-89.0,-0.47100000000000003,18.0,18.56,02a57358o0780o
1,57358.665013,-18.288,0.685,-176,120,o,0,1.37,174.15072,-3.0773,455.13,6777.28,3.99,3.53,-68.5,-0.433,17.65,17.86,02a57358o0784o
2,57359.66142999999,18.712,1.131,119,134,o,0,1.27,174.15072,-3.0773,10176.11,6805.16,3.64,3.09,-86.7,-0.47,18.0,18.6,02a57359o0648o
3,57359.67004,-17.873,1.5659999999999998,-258,403,o,0,1.3,174.15072,-3.0773,459.94,6779.38,4.1,3.5,-71.4,-0.43700000000000006,17.04,16.61,02a57359o0662o
4,57399.565672000004,20.826999999999998,0.812,17,14,c,0,1.07,174.15072,-3.0773,10111.26,6663.05,3.91,3.42,80.1,-0.425,19.59,21.57,02a57399o0593c
5,57399.56628300001,21.247,1.31,12,15,c,0,1.29,174.15072,-3.0773,411.57,6647.33,4.17,3.67,-58.4,-0.395,19.57,21.53,02a57399o0594c
6,57399.585782,-20.155,0.396,-32,12,c,0,1.28,174.15072,-3.0773,9794.31,6062.24,3.84,3.36,82.7,-0.435,19.61,21.59,02a57399o0622c
7,57399.58852999999,-21.195999999999998,1.419,-12,17,c,0,0.89,174.15072,-3.0773,88.12,6048.08,4.29,3.68,-53.8,-0.391,19.6,21.56,02a57399o0626c
8,57399.607475,21.201,1.206,12,14,c,0,1.22,174.15072,-3.0773,9580.79,3245.22,3.77,3.56,52.5,-0.435,19.58,21.52,02a57399o0654c
9,57399.632436,19.972,0.42,37,16,c,0,0.92,174.15072,-3.0773,9332.3,5007.06,3.73,3.39,79.2,-0.426,19.58,21.51,02a57399o0691c
10,57408.579193,19.064,0.389,86,34,o,0,0.9,174.15072,-3.0773,1033.4,6221.4,4.02,3.53,-59.4,-0.452,18.72,19.85,02a57408o0615o
11,57408.592862,19.281,0.41200000000000003,70,29,o,0,1.07,174.15072,-3.0773,9421.15,3903.48,3.62,3.3,83.5,-0.461,18.76,19.9,02a57408o0636o
12,57408.594669000006,19.884,0.7979999999999999,40,32,o,0,1.01,174.15072,-3.0773,579.04,5044.86,4.23,3.65,-47.9,-0.43,18.74,19.92,02a57408o0639o
13,57408.616439,18.598,0.213,132,28,o,0,1.09,174.15072,-3.0773,873.0,3300.59,4.55,3.65,-39.6,-0.433,18.89,20.21,02a57408o0671o
14,57408.622739,20.017,0.667,36,24,o,0,0.95,174.15072,-3.0773,10296.32,5069.66,3.77,3.21,87.4,-0.447,19.0,20.4,02a57408o0681o
15,57421.62966900001,-20.857,3.375,-16,56,c,0,0.5,174.15072,-3.0773,43.26,4498.98,4.47,3.79,-44.7,-0.35700000000000004,19.4,21.18,02a57421o0719c
16,57421.662489999995,19.875999999999998,0.523,41,21,c,0,1.06,174.15072,-3.0773,924.67,3341.02,4.6,3.81,-36.0,-0.397,19.21,20.87,02a57421o0773c
17,57421.66981,19.242,0.446,73,33,c,0,1.2,174.15072,-3.0773,846.82,3302.61,4.94,4.15,-35.8,-0.366,18.62,19.95,02a57421o0785c
18,57422.662585000005,19.717,0.45299999999999996,47,21,c,0,1.15,174.15072,-3.0773,710.94,3398.3,5.14,4.05,-34.4,-0.373,19.17,20.95,02a57422o0773c
19,57422.669270000006,19.473,0.545,59,32,c,0,1.11,174.15072,-3.0773,848.54,3302.21,4.95,3.88,-34.3,-0.406,18.74,20.03,02a57422o0784c
20,57428.620422,20.159000000000002,0.919,31,29,c,0,0.72,174.15072,-3.0773,48.53,4569.51,4.75,3.67,-43.3,-0.368,19.63,21.63,02a57428o0689c
21,57428.635122,20.651999999999997,0.7170000000000001,20,14,c,0,1.21,174.15072,-3.0773,9767.95,4601.26,3.84,3.48,70.3,-0.461,19.63,21.59,02a57428o0713c
22,57428.653498,19.972,0.5,37,19,c,0,0.97,174.15072,-3.0773,9505.09,4021.93,3.85,3.59,57.5,-0.44299999999999995,19.55,21.49,02a57428o0743c
23,57428.658416,20.101,0.5429999999999999,33,18,c,0,1.09,174.15072,-3.0773,1006.88,3413.61,4.74,3.65,-35.2,-0.423,19.44,21.3,02a57428o0751c
24,57428.668195000006,19.191,0.436,76,33,c,0,1.16,174.15072,-3.0773,967.7,3255.75,4.84,3.65,-34.2,-0.42,18.73,19.93,02a57428o0767c
25,57436.341066999994,-19.951,1.554,-38,59,c,0,1.08,174.15072,-3.0773,1283.91,6391.47,4.43,3.96,-54.3,-0.42100000000000004,18.12,19.16,02a57436o0220c
26,57436.369618,-21.301,4.696000000000001,-11,51,c,0,1.45,174.15072,-3.0773,9838.55,7385.18,4.42,3.89,71.8,-0.41100000000000003,18.43,19.56,02a57436o0257c
27,57436.370219000004,20.893,2.969,16,47,c,0,0.91,174.15072,-3.0773,388.59,7562.96,4.64,4.14,-52.7,-0.349,18.33,19.49,02a57436o0258c
