,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57400.640083000006,-23.087,6.332999999999999,-2,13,c,0,0.94,202.33572,12.22682,3590.11,6014.78,3.91,3.66,-74.8,-0.38799999999999996,19.72,21.84,02a57400o0665c
1,57400.663888,21.6,1.8330000000000002,8,15,c,0,0.81,202.33572,12.22682,3268.96,5419.74,3.89,3.64,-55.1,-0.39299999999999996,19.62,21.6,02a57400o0694c
2,57400.66657,20.215999999999998,0.511,30,15,c,0,1.01,202.33572,12.22682,4135.66,6584.27,3.79,3.55,-76.9,-0.401,19.51,21.37,02a57400o0697c
3,57400.676608,-19.293,0.626,-70,44,c,0,1.02,202.33572,12.22682,4405.25,4836.27,3.72,3.57,-75.7,-0.406,18.39,19.21,02a57400o0710c
4,57401.640854,20.358,0.557,26,14,c,0,1.04,202.33572,12.22682,3553.79,6126.56,3.77,3.5,-71.8,-0.406,19.7,21.7,02a57401o0685c
5,57401.658409,20.586,0.6459999999999999,21,14,c,0,1.14,202.33572,12.22682,3272.11,5547.93,3.73,3.52,-68.8,-0.40399999999999997,19.69,21.64,02a57401o0708c
6,57401.667127999994,20.207,0.574,30,17,c,0,0.91,202.33572,12.22682,4131.3,6717.96,3.66,3.48,-84.1,-0.40299999999999997,19.47,21.22,02a57401o0719c
7,57401.676966,20.4,1.7280000000000002,25,43,c,0,1.06,202.33572,12.22682,4422.06,4979.17,3.65,3.46,-76.3,-0.402,18.4,19.18,02a57401o0730c
8,57436.418874,19.754,0.89,46,40,c,0,1.25,202.33572,12.22682,4345.55,5717.25,3.99,3.84,-30.4,-0.391,18.33,19.44,02a57436o0340c
9,57436.432504,19.687,0.8220000000000001,48,40,c,0,1.01,202.33572,12.22682,4644.43,6300.1,4.2,4.1,-18.9,-0.359,18.38,19.58,02a57436o0363c
10,57436.446126999996,-20.829,2.381,-17,40,c,0,1.11,202.33572,12.22682,3469.1,6880.01,4.01,3.9,-48.1,-0.376,18.5,19.7,02a57436o0386c
11,57436.459667999996,19.744,0.75,46,34,c,0,0.93,202.33572,12.22682,3224.46,6688.13,3.89,3.71,-69.3,-0.391,18.63,19.81,02a57436o0409c
12,57444.619169000005,20.615,2.0,21,41,o,0,0.94,202.33572,12.22682,6530.65,4403.88,3.6,3.52,86.4,-0.445,18.27,19.04,02a57444o0308o
13,57445.603344,19.62,0.5429999999999999,52,28,o,0,1.27,202.33572,12.22682,6274.28,5252.36,3.46,3.23,-82.2,-0.47200000000000003,18.62,19.6,02a57445o0770o
14,57445.626446,-19.93,0.726,-39,28,o,0,1.33,202.33572,12.22682,5991.49,4675.2,3.49,3.42,-77.9,-0.47200000000000003,18.58,19.56,02a57445o0811o
15,57445.64993099999,21.516,3.333,9,30,o,0,1.26,202.33572,12.22682,7145.61,4100.21,3.58,3.47,71.7,-0.462,18.55,19.52,02a57445o0852o
16,57452.59392000001,21.284000000000002,1.286,11,14,c,0,0.98,202.33572,12.22682,6417.97,5366.35,3.63,3.44,86.1,-0.41200000000000003,19.7,21.68,02a57452o0661c
17,57452.616354,20.776,0.7040000000000001,18,12,c,0,1.26,202.33572,12.22682,6135.02,4787.39,3.6,3.59,5.8,-0.41,19.63,21.57,02a57452o0704c
18,57452.6388,20.16,0.43,31,14,c,0,1.09,202.33572,12.22682,7288.26,4216.73,3.69,3.56,59.2,-0.41,19.59,21.5,02a57452o0747c
19,57452.66138400001,19.269000000000002,0.5760000000000001,71,41,c,0,1.14,202.33572,12.22682,7403.99,3987.13,3.79,3.68,59.5,-0.41200000000000003,18.33,19.18,02a57452o0790c
20,57460.567626,20.903000000000002,0.8540000000000001,16,14,c,0,0.85,202.33572,12.22682,6550.6,5153.95,3.66,3.49,86.7,-0.414,19.67,21.65,02a57460o0707c
21,57460.590453,-21.680999999999997,1.696,-8,13,c,0,1.12,202.33572,12.22682,6264.34,4574.39,3.65,3.61,62.9,-0.40700000000000003,19.64,21.61,02a57460o0750c
22,57460.61300700001,-21.859,2.263,-7,15,c,0,1.01,202.33572,12.22682,7419.97,4001.19,3.73,3.58,47.1,-0.41600000000000004,19.62,21.55,02a57460o0793c
23,57460.635652,20.574,0.633,21,14,c,0,1.5,202.33572,12.22682,7401.74,3984.14,3.75,3.62,50.6,-0.41600000000000004,19.57,21.49,02a57460o0836c
24,57464.554567,20.656,0.882,20,18,o,0,1.22,202.33572,12.22682,6325.96,4870.52,3.6,3.44,-73.6,-0.484,19.3,21.09,02a57464o0691o
25,57464.576948,-21.031,1.4,-14,20,o,0,0.97,202.33572,12.22682,6024.63,4292.39,3.67,3.53,-7.5,-0.46799999999999997,19.24,21.0,02a57464o0734o
26,57464.599701,21.135,1.6880000000000002,13,22,o,0,0.89,202.33572,12.22682,7196.62,3718.63,3.65,3.51,23.7,-0.47700000000000004,19.26,20.99,02a57464o0777o
27,57464.62278,21.369,1.8459999999999999,10,19,o,0,1.36,202.33572,12.22682,7404.32,3975.99,3.6,3.5,51.0,-0.475,19.25,20.97,02a57464o0820o
28,57472.525634000005,-22.049,8.267000000000001,-6,46,o,0,1.13,202.33572,12.22682,6364.05,5223.77,3.59,3.22,-87.8,-0.498,18.05,18.66,02a57472o0594o
29,57472.5464,20.88,3.07,16,50,o,0,1.04,202.33572,12.22682,6081.9,4644.45,3.54,3.32,-82.9,-0.5,18.03,18.6,02a57472o0629o
30,57472.568538,-23.206999999999997,25.4,-2,48,o,0,1.31,202.33572,12.22682,7241.9,4068.82,3.57,3.37,78.4,-0.5,18.04,18.6,02a57472o0662o
31,57472.591947,18.598,0.396,132,52,o,0,1.09,202.33572,12.22682,7395.17,3976.81,3.6,3.4,71.4,-0.47100000000000003,18.03,18.58,02a57472o0700o
32,57476.520602,19.825,0.509,43,22,o,0,1.4,202.33572,12.22682,6631.59,4896.9,3.56,3.37,88.0,-0.46399999999999997,18.93,20.3,02a57476o0610o
33,57476.542795,-21.879,3.5,-6,22,o,0,1.28,202.33572,12.22682,6344.47,4317.52,3.69,3.66,11.9,-0.441,18.88,20.28,02a57476o0653o
34,57476.565452999996,20.244,0.981,29,28,o,0,1.2,202.33572,12.22682,7502.21,3743.58,4.92,4.05,7.5,-0.385,18.6,20.12,02a57476o0696o
35,57480.522797000005,21.435,1.357,10,13,c,0,1.21,202.33572,12.22682,6250.34,5181.35,3.7,3.64,1.4,-0.42,19.57,21.5,02a57480o0624c
36,57480.546296,21.848000000000003,2.1,7,14,c,0,1.22,202.33572,12.22682,5964.11,4605.57,3.6,3.56,-88.7,-0.41100000000000003,19.47,21.25,02a57480o0669c
37,57480.569749,20.809,0.961,17,17,c,0,1.3,202.33572,12.22682,7120.03,4031.93,3.66,3.55,34.9,-0.41700000000000004,19.4,21.11,02a57480o0714c
38,57480.59323099999,21.883000000000003,3.111,6,20,c,0,0.81,202.33572,12.22682,7386.65,3978.23,3.73,3.61,41.3,-0.41600000000000004,19.31,20.97,02a57480o0759c
39,57490.44498200001,21.424,1.4169999999999998,10,14,c,0,1.06,202.33572,12.22682,6309.47,5019.49,4.39,3.81,1.6,-0.361,19.53,21.66,02a57490o0507c
40,57490.463426,20.837,0.8240000000000001,17,14,c,0,0.97,202.33572,12.22682,6002.75,4443.01,3.67,3.61,86.7,-0.39,19.63,21.6,02a57490o0538c
41,57490.483971,20.96,0.889,15,13,c,0,1.1,202.33572,12.22682,7180.32,3864.38,3.71,3.57,80.8,-0.392,19.61,21.56,02a57490o0571c
