,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57402.263613,0.0,20.544,0,22,c,0,1.45,17.74667,20.856189999999998,7536.63,1878.4,4.26,3.85,10.3,-0.467,19.15,20.75,02a57402o0123c
1,57402.279354,21.051,1.6669999999999998,14,23,c,0,0.98,17.74667,20.856189999999998,7823.72,2468.14,4.27,3.95,13.7,-0.46399999999999997,19.13,20.73,02a57402o0149c
2,57402.2959,-20.239,0.828,-29,24,c,0,1.2,17.74667,20.856189999999998,6943.44,1294.18,4.71,3.72,2.9,-0.498,19.1,20.66,02a57402o0176c
3,57402.311875,19.715999999999998,0.491,47,23,c,0,1.14,17.74667,20.856189999999998,6644.89,3044.84,4.01,3.75,-6.6,-0.46299999999999997,19.06,20.57,02a57402o0202c
4,57403.26373200001,18.882,0.307,102,31,c,0,1.24,17.74667,20.856189999999998,7540.87,1874.7,4.15,3.8,12.5,-0.49700000000000005,18.87,20.2,02a57403o0123c
5,57403.279582,19.372,0.47100000000000003,65,30,c,0,0.98,17.74667,20.856189999999998,7829.42,2463.19,4.21,3.88,15.7,-0.475,18.83,20.15,02a57403o0149c
6,57403.296299,20.666999999999998,1.795,20,35,c,0,0.99,17.74667,20.856189999999998,6947.28,1290.38,4.67,3.59,2.6,-0.507,18.82,20.1,02a57403o0176c
7,57403.312298000004,19.828,0.7709999999999999,43,33,c,0,1.08,17.74667,20.856189999999998,6648.58,3041.94,4.21,3.71,-2.8,-0.48,18.76,20.01,02a57403o0202c
8,57415.21436699999,18.097,0.18600000000000003,210,39,o,0,1.47,17.74667,20.856189999999998,6695.97,2533.45,3.71,3.23,-85.2,-0.484,18.4,19.35,02a57415o0045o
9,57415.228757000004,18.646,0.22699999999999998,126,29,o,0,1.22,17.74667,20.856189999999998,6382.69,1949.82,3.69,3.48,-69.4,-0.445,18.85,20.21,02a57415o0067o
10,57415.248629999995,18.014,0.132,226,30,o,0,1.24,17.74667,20.856189999999998,7564.46,1374.46,4.0,3.68,3.6,-0.498,18.87,20.27,02a57415o0097o
11,57415.267624,18.198,0.17,191,32,o,0,0.95,17.74667,20.856189999999998,7832.06,1302.18,4.01,3.63,3.3,-0.498,18.85,20.21,02a57415o0127o
12,57420.25565499999,18.244,0.131,183,24,c,0,0.94,17.74667,20.856189999999998,8019.45,1182.15,4.47,4.17,11.6,-0.419,19.24,21.15,02a57420o0043c
13,57420.275041999994,18.026,0.106,224,24,c,0,0.97,17.74667,20.856189999999998,7838.84,1298.96,4.66,4.25,7.2,-0.413,19.21,21.11,02a57420o0074c
14,57427.21736,18.324,0.235,170,40,c,0,1.17,17.74667,20.856189999999998,7037.86,2308.53,4.12,4.02,72.3,-0.431,18.49,19.61,02a57427o0041c
15,57427.226573,18.416,0.158,156,25,c,0,0.95,17.74667,20.856189999999998,6752.31,1727.58,4.08,3.86,13.0,-0.48100000000000004,19.13,20.76,02a57427o0056c
16,57427.242898000004,18.236,0.147,184,27,c,0,0.89,17.74667,20.856189999999998,7978.97,1158.39,4.23,3.81,14.6,-0.491,19.21,20.9,02a57427o0082c
17,57427.261857000005,18.588,0.19399999999999998,133,26,c,0,0.99,17.74667,20.856189999999998,7952.56,1225.52,4.6,3.85,9.4,-0.484,19.16,20.84,02a57427o0113c
18,57432.250176,18.735,0.335,116,39,c,0,0.98,17.74667,20.856189999999998,7918.69,1210.05,4.25,3.83,3.9,-0.484,18.7,19.91,02a57432o0103c
19,57599.573164999994,20.212,0.7120000000000001,30,21,o,0,1.19,17.74667,20.856189999999998,3229.67,7866.33,4.07,3.87,-45.9,-0.43200000000000005,19.11,20.87,02a57599o0367o
20,57599.587633,21.177,1.4240000000000002,12,18,o,0,1.43,17.74667,20.856189999999998,3254.3,7903.97,3.68,3.48,-63.4,-0.449,19.24,20.92,02a57599o0395o
21,57599.603077,21.64,2.0,8,16,o,0,1.37,17.74667,20.856189999999998,3195.38,7824.96,3.65,3.38,-66.0,-0.456,19.33,21.05,02a57599o0424o
22,57599.611473000004,-25.029,54.0,0,19,o,0,1.02,17.74667,20.856189999999998,3158.12,7942.25,3.58,3.38,-64.5,-0.451,19.33,21.02,02a57599o0440o
23,57599.627923,-21.642,4.591,-8,37,o,0,0.98,17.74667,20.856189999999998,3207.97,7887.21,3.64,3.39,-69.0,-0.465,18.57,19.56,02a57599o0468o
24,57606.578511,20.721,0.726,19,14,c,0,1.16,17.74667,20.856189999999998,3618.42,9642.55,4.07,3.75,-42.1,-0.433,19.77,21.89,02a57606o0405c
25,57606.599687,22.993000000000002,6.692,2,15,c,0,1.08,17.74667,20.856189999999998,3558.3,9567.25,4.11,3.73,-47.6,-0.433,19.78,21.91,02a57606o0432c
26,57606.61760599999,-24.500999999999998,31.0,-1,18,c,0,1.03,17.74667,20.856189999999998,7004.19,818.95,6.27,3.84,2.5,-0.41200000000000003,19.51,21.83,02a57606o0455c
27,57606.628361,19.615,0.441,52,23,c,0,1.43,17.74667,20.856189999999998,6966.77,875.09,4.79,3.74,6.2,-0.47700000000000004,19.07,20.56,02a57606o0469c
28,57610.583075,20.48,0.898,23,21,o,0,1.12,17.74667,20.856189999999998,3563.85,8505.49,3.82,3.42,-58.0,-0.48,19.31,21.4,02a57610o0566o
29,57610.599512,-20.54,0.943,-22,21,o,0,1.03,17.74667,20.856189999999998,3579.94,8542.47,3.85,3.46,-58.5,-0.474,19.26,21.36,02a57610o0592o
30,57610.617091,-20.897,1.8419999999999999,-16,29,o,0,1.5,17.74667,20.856189999999998,7010.38,2015.66,6.68,3.82,2.4,-0.402,18.79,21.17,02a57610o0618o
31,57610.633587000004,-22.381999999999998,16.125,-4,65,o,0,1.12,17.74667,20.856189999999998,7028.1,1904.1,4.33,3.65,10.4,-0.511,18.11,19.23,02a57610o0644o
32,57618.515249000004,19.555,1.472,55,80,o,0,1.24,17.74667,20.856189999999998,1780.9,8506.98,3.69,3.5,-54.0,-0.473,18.26,19.48,02a57618o0619o
33,57618.525847000004,19.39,1.213,64,77,o,0,1.23,17.74667,20.856189999999998,1796.86,8547.55,3.61,3.48,-49.3,-0.478,18.31,19.54,02a57618o0635o
34,57618.544040999994,21.522,8.696,9,78,o,0,0.99,17.74667,20.856189999999998,1720.26,8469.26,3.7,3.51,-58.3,-0.47200000000000003,18.33,19.59,02a57618o0664o
35,57618.550941999994,19.659000000000002,1.611,50,80,o,0,1.14,17.74667,20.856189999999998,1700.89,8586.3,3.73,3.54,-57.5,-0.475,18.33,19.62,02a57618o0675o
36,57626.546156,19.964000000000002,0.42200000000000004,38,16,c,0,0.95,17.74667,20.856189999999998,7177.32,2392.92,3.98,3.64,10.5,-0.42100000000000004,19.47,21.31,02a57626o0567c
37,57626.555298,-23.575,12.333,-1,17,c,0,1.14,17.74667,20.856189999999998,5220.16,2363.38,5.01,3.66,-0.9,-0.382,19.33,21.32,02a57626o0583c
38,57626.56370399999,-22.405,4.5,-4,18,c,0,1.05,17.74667,20.856189999999998,5276.45,2444.04,5.52,3.73,-0.2,-0.36200000000000004,19.26,21.33,02a57626o0599c
